 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,187",573,"13,801","5,405",227,573,"2,036","5,268",960,-,"11,765",137
,27.7%,81.7%,33.5%,40.2%,32.2%,81.7%,26.4%,39.2%,26.8%,-,35.1%,4566.7%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"123,890","26,369","1,062,217","219,699","34,618","26,205","289,901","218,046","89,272",164,"772,316","1,653"
,106.6%,135.7%,104.3%,125.4%,106.2%,137.1%,100.9%,126.3%,106.7%,51.3%,105.6%,65.6%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"8,514","3,993","94,552","42,751","2,148","3,951","26,819","42,159","6,366",42,"67,733",592
,69.1%,81.5%,90.9%,106.9%,59.3%,83.3%,89.3%,108.5%,73.2%,26.9%,91.6%,53.0%
中国(香港含む),"74,614","52,042","654,721","439,840","14,601","51,958","112,547","438,767","60,013",84,"542,174","1,073"
,92.0%,99.6%,94.9%,103.4%,105.7%,99.8%,85.3%,103.5%,89.2%,50.6%,97.1%,67.7%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,713","18,703","206,245","157,442","10,963","17,428","97,205","140,809","11,750","1,275","109,040","16,633"
,101.9%,77.3%,98.2%,80.3%,102.2%,76.8%,85.5%,78.3%,101.6%,84.5%,113.1%,101.5%
内航定期計,"18,091","4,083","166,408","39,298","8,316","2,901","77,459","23,051","9,775","1,182","88,949","16,247"
,104.6%,107.1%,106.4%,99.7%,97.6%,123.5%,97.3%,93.9%,111.3%,80.8%,115.9%,109.4%
北海道,"6,707",503,"58,409","2,933","3,558",503,"29,926","2,759","3,149",-,"28,483",174
,113.3%,108.4%,113.1%,155.1%,116.9%,131.0%,110.6%,316.8%,109.5%,-,115.9%,17.1%
東北,"3,815","1,273","29,740","8,102","1,219","1,206","13,591","7,555","2,596",67,"16,149",547
,127.1%,210.8%,87.2%,84.3%,100.2%,240.2%,83.0%,89.4%,145.5%,65.7%,91.2%,47.2%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,3.7%,27.8%,-,-,-,62.8%,-,-,17.0%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,675",517,"19,838","8,775",115,486,"3,214","8,592","1,560",31,"16,624",183
,86.5%,66.7%,136.6%,83.2%,21.3%,62.9%,82.1%,88.1%,111.6%,1550.0%,156.7%,23.1%
近畿,955,378,"9,273","3,687",121,378,770,"3,560",834,-,"8,503",127
,176.9%,65.4%,136.9%,71.3%,465.4%,65.4%,129.0%,73.0%,162.3%,-,137.7%,43.1%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,330",328,"22,887",713,"1,241",328,"9,618",406,"1,089",-,"13,269",307
,78.6%,157.7%,103.9%,72.2%,97.0%,292.9%,94.3%,109.4%,64.6%,-,112.3%,49.8%
沖縄,"2,609","1,084","25,910","14,948","2,062",-,"20,118",39,547,"1,084","5,792","14,909"
,95.0%,93.0%,99.2%,139.9%,91.0%,-,98.0%,-,114.0%,93.0%,103.6%,139.5%
内航不定期,"4,622","14,620","39,837","118,144","2,647","14,527","19,746","117,758","1,975",93,"20,091",386
,92.7%,71.7%,74.2%,75.4%,119.8%,71.4%,58.0%,75.9%,71.1%,202.2%,102.0%,25.0%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
