地域階層,地域コード,地域,平成17年／総数,平成17年／男,平成17年／女,平成18年／総数,平成18年／男,平成18年／女,平成19年／総数,平成19年／男,平成19年／女,平成20年／総数,平成20年／男,平成20年／女,平成21年／総数,平成21年／男,平成21年／女,平成22年／総数,平成22年／男,平成22年／女,平成23年／総数,平成23年／男,平成23年／女,平成24年／総数,平成24年／男,平成24年／女,平成25年／総数,平成25年／男,平成25年／女,平成26年／総数,平成26年／男,平成26年／女,平成27年／総数,平成27年／男,平成27年／女,平成28年／総数,平成28年／男,平成28年／女,平成29年／総数,平成29年／男,平成29年／女,平成30年／総数,平成30年／男,平成30年／女,平成31年／総数,平成31年／男,平成31年／女,令和2年／総数,令和2年／男,令和2年／女,令和3年／総数,令和3年／男,令和3年／女,令和4年／総数,令和4年／男,令和4年／女,令和5年／総数,令和5年／男,令和5年／女
3,13400,八丈支庁,9208,4619,4589,9054,4528,4526,8951,4482,4469,8804,4410,4394,8647,4332,4315,8519,4270,4249,8406,4200,4206,8363,4155,4208,8247,4113,4134,8006,3984,4022,7885,3936,3949,7779,3877,3902,7649,3816,3833,7513,3758,3755,7414,3718,3696,7289,3675,3614,7187,3618,3569,7096,3561,3535,7019,3521,3498
4,13401,八丈町,8999,4486,4513,8839,4391,4448,8740,4347,4393,8592,4273,4319,8445,4202,4243,8322,4141,4181,8204,4070,4134,8164,4032,4132,8055,3995,4060,7822,3870,3952,7708,3831,3877,7605,3771,3834,7481,3715,3766,7340,3662,3678,7248,3618,3630,7114,3569,3545,7016,3516,3500,6920,3456,3464,6845,3417,3428
4,13402,青ヶ島村,209,133,76,215,137,78,211,135,76,212,137,75,202,130,72,197,129,68,202,130,72,199,123,76,192,118,74,184,114,70,177,105,72,174,106,68,168,101,67,173,96,77,166,100,66,175,106,69,171,102,69,176,105,71,174,104,70
3,13420,小笠原支庁,2709,1675,1034,2717,1689,1028,2739,1711,1028,2751,1708,1043,2759,1708,1051,2801,1750,1051,2798,1763,1035,2883,1820,1063,2941,1843,1098,2958,1862,1096,2956,1854,1102,3011,1885,1126,2998,1875,1123,3027,1880,1147,2993,1845,1148,2977,1824,1153,2937,1811,1126,2906,1800,1106,2912,1787,1125
4,13421,小笠原村,2709,1675,1034,2717,1689,1028,2739,1711,1028,2751,1708,1043,2759,1708,1051,2801,1750,1051,2798,1763,1035,2883,1820,1063,2941,1843,1098,2958,1862,1096,2956,1854,1102,3011,1885,1126,2998,1875,1123,3027,1880,1147,2993,1845,1148,2977,1824,1153,2937,1811,1126,2906,1800,1106,2912,1787,1125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人口の動き（令和4年中）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
参考表２　区市町村、男女別人口（平成17年～令和5年）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注１) 各年1月1日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注２) 平成12年国勢調査において、三宅村の人口がゼロとなったため、その後の住民基本台帳等の増減数は三宅村には加えず、総数のみに加えた。このため平成13年から17年までにおいて、総数と各地域の合計は一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
