年度,区分レベル１,区分レベル２,区分レベル３,金額
2022,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2022,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"2,487"
2022,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,451
2022,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2022,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,19
2022,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,△ 1
2022,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,706
2022,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,43
2022,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,5
2022,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,212
2022,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,"2,817"
2022,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2022,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"4,936"
2022,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2022,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"2,528"
2022,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,0
2022,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,125
2022,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,0
2022,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,"1,031"
2022,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"1,872"
2022,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,"2,042"
2022,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2022,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"7,462"
2022,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,12
2022,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2022,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,"3,385"
2022,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,320
2022,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,815"
2022,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,0
2022,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,1
2022,05_財務活動（収入）,20_財務活動収入,56_都債,"2,398"
2022,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,22
2022,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2022,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2022,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"3,457"
2022,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,20
2022,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2022,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,2
2022,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,5495
2021,01_行政サービス活動（収入）,01_税収等,01_地方税,"58,715"
2021,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,533
2021,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,280
2021,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2021,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2021,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"24,510"
2021,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,28
2021,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,0
2021,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,117
2021,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,426"
2021,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,129
2021,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,549
2021,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,486"
2021,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,7
2021,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,24
2021,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,105
2021,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"15,495"
2021,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,809"
2021,02_行政サービス活動（支出）,06_行政支出,19_物件費,"5,474"
2021,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,048"
2021,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,611"
2021,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"36,830"
2021,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,781
2021,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,194"
2021,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,257
2021,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2021,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"2,691"
2021,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,490
2021,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2021,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,22
2021,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,1
2021,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,635
2021,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,44
2021,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,3
2021,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,535
2021,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2021,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2021,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"2,823"
2021,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2021,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"2,473"
2021,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,2
2021,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,50
2021,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,0
2021,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,945
2021,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"2,011"
2021,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,"1,945"
2021,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2021,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,338
2021,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,13
2021,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2021,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,"1,079"
2021,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,264
2021,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,330"
2021,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,2
2021,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,2
2021,05_財務活動（収入）,20_財務活動収入,56_都債,"2,484"
2021,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,20
2021,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2021,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2021,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"3,179"
2021,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,23
2021,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2021,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,0
2021,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,4451
2020,01_行政サービス活動（収入）,01_税収等,01_地方税,"52,930"
2020,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,473
2020,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,89
2020,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2020,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2020,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"11,692"
2020,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,29
2020,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,0
2020,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,83
2020,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,422"
2020,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,123
2020,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,498
2020,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,079"
2020,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,12
2020,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,18
2020,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,138
2020,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"13,893"
2020,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,650"
2020,02_行政サービス活動（支出）,06_行政支出,19_物件費,"3,797"
2020,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,056"
2020,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,406"
2020,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"23,394"
2020,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,742
2020,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,296"
2020,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,365
2020,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2020,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"2,680"
2020,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,537
2020,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2020,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,24
2020,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,△ 2
2020,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,516
2020,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,28
2020,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,6
2020,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,114
2020,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,"4,720"
2020,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2020,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"2,057"
2020,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2020,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"4,257"
2020,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,0
2020,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,62
2020,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,0
2020,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,819
2020,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"2,650"
2020,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,703
2020,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2020,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"2,231"
2020,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,214
2020,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2020,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,"1,157"
2020,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,514
2020,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"7,525"
2020,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,1
2020,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,2
2020,05_財務活動（収入）,20_財務活動収入,56_都債,"4,916"
2020,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,18
2020,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2020,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2020,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"3,343"
2020,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,24
2020,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2020,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,1
2020,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,5317
2019,01_行政サービス活動（収入）,01_税収等,01_地方税,"57,326"
2019,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,"2,715"
2019,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,177
2019,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2019,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2019,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"2,937"
2019,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,26
2019,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,0
2019,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,77
2019,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,493"
2019,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,127
2019,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,539
2019,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,076"
2019,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,0
2019,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,23
2019,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,138
2019,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"14,360"
2019,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,710"
2019,02_行政サービス活動（支出）,06_行政支出,19_物件費,"3,351"
2019,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,062"
2019,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,362"
2019,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"13,325"
2019,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,590
2019,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,665"
2019,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,369
2019,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2019,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"2,779"
2019,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,596
2019,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2019,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,15
2019,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,1
2019,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,609
2019,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,26
2019,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,6
2019,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,153
2019,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2019,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2019,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"4,417"
2019,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2019,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"2,950"
2019,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,1
2019,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,83
2019,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,0
2019,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,984
2019,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"4,479"
2019,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,916
2019,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2019,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,"4,776"
2019,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,16
2019,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2019,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,455
2019,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,445
2019,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,976"
2019,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,0
2019,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,0
2019,05_財務活動（収入）,20_財務活動収入,56_都債,"1,385"
2019,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,18
2019,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2019,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2019,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"3,462"
2019,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,22
2019,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2019,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,0
2019,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,4897
2018,01_行政サービス活動（収入）,01_税収等,01_地方税,"54,625"
2018,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,"2,768"
2018,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,59
2018,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2018,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2018,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"2,690"
2018,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,26
2018,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,14
2018,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,72
2018,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,509"
2018,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,126
2018,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,536
2018,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,061"
2018,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,0
2018,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,16
2018,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,140
2018,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"14,218"
2018,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,502"
2018,02_行政サービス活動（支出）,06_行政支出,19_物件費,"3,001"
2018,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,042"
2018,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,313"
2018,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"11,322"
2018,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,510
2018,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,705"
2018,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,454
2018,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2018,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"2,791"
2018,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,660
2018,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2018,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,7
2018,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,0
2018,03_社会資本整備等投資活動（収入）,10_国庫支出金等,32_国庫支出金,684
2018,03_社会資本整備等投資活動（収入）,10_国庫支出金等,33_分担金及負担金,31
2018,03_社会資本整備等投資活動（収入）,10_国庫支出金等,34_繰入金等,7
2018,03_社会資本整備等投資活動（収入）,11_財産収入,35_財産売払収入,428
2018,03_社会資本整備等投資活動（収入）,12_基金繰入金,36_財政調整基金,0
2018,03_社会資本整備等投資活動（収入）,12_基金繰入金,37_減債基金,0
2018,03_社会資本整備等投資活動（収入）,12_基金繰入金,38_特定目的基金,"4,183"
2018,03_社会資本整備等投資活動（収入）,12_基金繰入金,39_定額運用基金,0
2018,03_社会資本整備等投資活動（収入）,13_貸付金元金回収収入等,40_貸付金元金回収収入等,"3,497"
2018,03_社会資本整備等投資活動（収入）,14_保証金収入,41_保証金収入,2
2018,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,42_物件費,74
2018,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,43_補助費等,8
2018,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,44_投資的経費補助,"1,280"
2018,04_社会資本整備等投資活動（支出）,15_社会資本整備支出,45_投資的経費単独,"8,209"
2018,04_社会資本整備等投資活動（支出）,16_基金積立金,46_財政調整基金,"1,262"
2018,04_社会資本整備等投資活動（支出）,16_基金積立金,47_減債基金,0
2018,04_社会資本整備等投資活動（支出）,16_基金積立金,48_特定目的基金,633
2018,04_社会資本整備等投資活動（支出）,16_基金積立金,49_定額運用基金,19
2018,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,50_出資金,0
2018,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,51_出資金及出捐金,371
2018,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,52_繰出金（他会計）,514
2018,04_社会資本整備等投資活動（支出）,17_貸付金・出資金等,53_貸付金,"2,781"
2018,04_社会資本整備等投資活動（支出）,18_保証金支出,54_保証金支出,1
2018,04_社会資本整備等投資活動（支出）,19_端数調整（支出）,55_端数調整（支出）,2
2018,05_財務活動（収入）,20_財務活動収入,56_都債,"1,427"
2018,05_財務活動（収入）,20_財務活動収入,57_他会計借入金等,8
2018,05_財務活動（収入）,20_財務活動収入,58_基金運用金借入,0
2018,05_財務活動（収入）,20_財務活動収入,59_繰入金,0
2018,06_財務活動（支出）,21_財務活動支出,60_公債費（元金）,"4,083"
2018,06_財務活動（支出）,21_財務活動支出,61_他会計借入金等償還,17
2018,06_財務活動（支出）,21_財務活動支出,62_基金運用金償還,0
2018,06_財務活動（支出）,22_端数調整（支出）,63_端数調整（支出）,1
2018,07_前年度からの繰越金,23_前年度からの繰越金,64_前年度からの繰越金,4768
2017,01_行政サービス活動（収入）,01_税収等,01_地方税,"52,892"
2017,01_行政サービス活動（収入）,01_税収等,02_地方譲与税,"2,451"
2017,01_行政サービス活動（収入）,01_税収等,03_地方特例交付金,52
2017,01_行政サービス活動（収入）,01_税収等,04_国有提供施設等所在市町村助成交付金,0
2017,01_行政サービス活動（収入）,01_税収等,05_税諸収入,0
2017,01_行政サービス活動（収入）,02_国庫支出金等,06_国庫支出金,"3,057"
2017,01_行政サービス活動（収入）,02_国庫支出金等,07_交通安全対策特別交付金,28
2017,01_行政サービス活動（収入）,03_業務収入その他,08_事業収入（特別会計）,4
2017,01_行政サービス活動（収入）,03_業務収入その他,09_分担金及負担金,72
2017,01_行政サービス活動（収入）,03_業務収入その他,10_使用料及手数料,"1,515"
2017,01_行政サービス活動（収入）,03_業務収入その他,11_財産収入,109
2017,01_行政サービス活動（収入）,03_業務収入その他,12_諸収入（受託事業収入）,529
2017,01_行政サービス活動（収入）,03_業務収入その他,13_諸収入,"1,031"
2017,01_行政サービス活動（収入）,03_業務収入その他,14_寄附金,0
2017,01_行政サービス活動（収入）,03_業務収入その他,15_繰入金,26
2017,01_行政サービス活動（収入）,04_金融収入,16_受取利息及配当金,142
2017,02_行政サービス活動（支出）,05_税連動経費,17_税連動経費,"13,850"
2017,02_行政サービス活動（支出）,06_行政支出,18_給与関係費,"15,338"
2017,02_行政サービス活動（支出）,06_行政支出,19_物件費,"2,853"
2017,02_行政サービス活動（支出）,06_行政支出,20_維持補修費,"1,039"
2017,02_行政サービス活動（支出）,06_行政支出,21_扶助費,"1,306"
2017,02_行政サービス活動（支出）,06_行政支出,22_補助費等,"11,998"
2017,02_行政サービス活動（支出）,06_行政支出,23_投資的経費補助,665
2017,02_行政サービス活動（支出）,06_行政支出,24_投資的経費単独,"3,271"
2017,02_行政サービス活動（支出）,06_行政支出,25_投資的経費国直轄,478
2017,02_行政サービス活動（支出）,06_行政支出,26_出捐金（出捐金等）,0
2017,02_行政サービス活動（支出）,06_行政支出,27_繰出金,"1,987"
2017,02_行政サービス活動（支出）,07_金融支出,28_公債費（利子・手数料）,705
2017,02_行政サービス活動（支出）,07_金融支出,29_他会計借入金利子等,0
2017,02_行政サービス活動（支出）,08_特別支出,30_災害復旧事業支出,6
2017,02_行政サービス活動（支出）,09_端数調整（支出）,31_端数調整（支出）,△ 4
