年度,区分レベル１,区分レベル２,区分レベル３,区分レベル４,金額
2022,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,0
2022,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2022,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,1
2022,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,56
2022,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,438
2022,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,1
2022,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,0
2022,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,40
2022,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,19
2022,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,7
2022,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,0
2022,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,"1,072"
2022,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,2
2021,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"58,345"
2021,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,533
2021,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,280
2021,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2021,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2021,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"24,501"
2021,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,28
2021,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,0
2021,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,118
2021,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,426"
2021,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,129
2021,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,549
2021,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,493"
2021,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,7
2021,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,24
2021,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,73
2021,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,5
2021,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"15,495"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,736"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"5,474"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,048"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,611"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"36,820"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,781
2021,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,196"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,257
2021,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2021,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,572
2021,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"2,690"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"2,189"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2021,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,5
2021,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2021,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,118"
2021,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,876
2021,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2021,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,46
2021,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,10
2021,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,105
2021,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,468
2021,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,22
2021,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,0
2021,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2021,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,1
2021,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,60
2021,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,112
2021,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,0
2021,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,26
2021,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,20
2021,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,22
2021,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,3
2021,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,0
2021,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,248
2021,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,3
2020,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"53,403"
2020,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,473
2020,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,89
2020,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2020,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2020,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"11,684"
2020,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,29
2020,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,0
2020,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,84
2020,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,424"
2020,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,123
2020,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,498
2020,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,077"
2020,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,12
2020,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,18
2020,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,8
2020,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,5
2020,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"13,893"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,606"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"3,790"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,056"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,406"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"23,385"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,741
2020,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,297"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,365
2020,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2020,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,731
2020,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"2,679"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"2,095"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,7
2020,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,80
2020,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,2
2020,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,134"
2020,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,907
2020,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2020,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,40
2020,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,8
2020,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,138
2020,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,510
2020,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,24
2020,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,2
2020,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2020,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,2
2020,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,39
2020,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,985
2020,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,0
2020,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,3
2020,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,33
2020,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,24
2020,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,1
2020,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,0
2020,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,238
2020,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,2
2019,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"57,395"
2019,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,"2,715"
2019,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,177
2019,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2019,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2019,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"2,932"
2019,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,26
2019,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,0
2019,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,78
2019,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,495"
2019,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,127
2019,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,539
2019,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,086"
2019,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,0
2019,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,23
2019,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,241
2019,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,5
2019,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"14,360"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,667"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"3,352"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,062"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,362"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"13,316"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,590
2019,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,665"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,369
2019,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2019,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,275
2019,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"2,778"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"2,019"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2019,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,50
2019,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,2
2019,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,152"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,"1,156"
2019,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2019,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,38
2019,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,7
2019,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,138
2019,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,580
2019,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,15
2019,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,1
2019,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2019,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,1
2019,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,65
2019,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,"1,423"
2019,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,1
2019,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,10
2019,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,642
2019,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,15
2019,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,1
2019,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,1
2019,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,778
2019,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,2
2018,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"54,638"
2018,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,"2,768"
2018,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,59
2018,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2018,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2018,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"2,689"
2018,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,26
2018,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,14
2018,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,72
2018,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,509"
2018,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,125
2018,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,536
2018,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,062"
2018,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,0
2018,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,16
2018,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,0
2018,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,9
2018,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"14,218"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,482"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"3,002"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,046"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,313"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"11,316"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,510
2018,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,692"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,454
2018,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2018,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,186
2018,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"2,790"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"1,982"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2018,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,72
2018,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2018,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,116"
2018,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,596
2018,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2018,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,30
2018,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,10
2018,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,140
2018,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,645
2018,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,13
2018,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,2
2018,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2018,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,1
2018,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,206
2018,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,596
2018,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,0
2018,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,13
2018,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,129
2018,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,7
2018,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,14
2018,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,1
2018,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,"6,821"
2018,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,1
2017,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"52,880"
2017,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,"2,451"
2017,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,52
2017,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2017,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,0
2017,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"3,057"
2017,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,28
2017,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,4
2017,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,73
2017,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,522"
2017,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,126
2017,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,529
2017,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,032"
2017,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,0
2017,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,26
2017,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,1
2017,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,5
2017,01_通常収支の部,01_行政収支の部,02_行政費用,18_税連動経費,"13,850"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,19_給与関係費,"13,546"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,20_物件費,"2,856"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,21_維持補修費,"1,039"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,22_扶助費,"1,307"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,23_補助費等,"11,984"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,24_投資的経費補助,665
2017,01_通常収支の部,01_行政収支の部,02_行政費用,25_投資的経費単独,"3,271"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,26_投資的経費国直轄,478
2017,01_通常収支の部,01_行政収支の部,02_行政費用,27_出捐金（出捐金等）,0
2017,01_通常収支の部,01_行政収支の部,02_行政費用,28_出捐金,150
2017,01_通常収支の部,01_行政収支の部,02_行政費用,29_繰出金,"1,978"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,30_減価償却費,"1,773"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,31_債務保証費,0
2017,01_通常収支の部,01_行政収支の部,02_行政費用,32_不納欠損引当金繰入額,77
2017,01_通常収支の部,01_行政収支の部,02_行政費用,33_貸倒引当金繰入額,1
2017,01_通常収支の部,01_行政収支の部,02_行政費用,34_賞与引当金繰入額,"1,052"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,35_退職給与引当金繰入額,"1,478"
2017,01_通常収支の部,01_行政収支の部,02_行政費用,36_その他引当金繰入額,0
2017,01_通常収支の部,01_行政収支の部,02_行政費用,37_その他行政費用,37
2017,01_通常収支の部,01_行政収支の部,02_行政費用,38_端数調整,7
2017,01_通常収支の部,02_金融収支の部,03_金融収入,39_受取利息及配当金,142
2017,01_通常収支の部,02_金融収支の部,04_金融費用,40_公債費（利子）,694
2017,01_通常収支の部,02_金融収支の部,04_金融費用,41_都債発行費,11
2017,01_通常収支の部,02_金融収支の部,04_金融費用,42_都債発行差金,0
2017,01_通常収支の部,02_金融収支の部,04_金融費用,43_他会計借入金利子等,0
2017,01_通常収支の部,02_金融収支の部,04_金融費用,44_端数調整,1
2017,02_特別収支の部,03_特別収支の部,05_特別収入,45_固定資産売却益,40
2017,02_特別収支の部,03_特別収支の部,05_特別収入,46_その他特別収入,"2,103"
2017,02_特別収支の部,03_特別収支の部,05_特別収入,47_端数調整,0
2017,02_特別収支の部,03_特別収支の部,06_特別費用,48_固定資産売却損,309
2017,02_特別収支の部,03_特別収支の部,06_特別費用,49_固定資産除却損,100
2017,02_特別収支の部,03_特別収支の部,06_特別費用,50_災害復旧費,6
2017,02_特別収支の部,03_特別収支の部,06_特別費用,51_不納欠損額,5
2017,02_特別収支の部,03_特別収支の部,06_特別費用,52_貸倒損失,9
2017,02_特別収支の部,03_特別収支の部,06_特別費用,53_その他特別費用,510
2017,02_特別収支の部,03_特別収支の部,06_特別費用,54_端数調整,1
2016,01_通常収支の部,01_行政収支の部,01_行政収入,01_地方税,"53,159"
2016,01_通常収支の部,01_行政収支の部,01_行政収入,02_地方譲与税,"2,355"
2016,01_通常収支の部,01_行政収支の部,01_行政収入,03_地方特例交付金,48
2016,01_通常収支の部,01_行政収支の部,01_行政収入,04_国有提供施設等所在市町村助成交付金,0
2016,01_通常収支の部,01_行政収支の部,01_行政収入,05_税諸収入,1
2016,01_通常収支の部,01_行政収支の部,01_行政収入,06_国庫支出金,"2,674"
2016,01_通常収支の部,01_行政収支の部,01_行政収入,07_交通安全対策特別交付金,29
2016,01_通常収支の部,01_行政収支の部,01_行政収入,08_事業収入（特別会計）,0
2016,01_通常収支の部,01_行政収支の部,01_行政収入,09_分担金及負担金,77
2016,01_通常収支の部,01_行政収支の部,01_行政収入,10_使用料及手数料,"1,535"
2016,01_通常収支の部,01_行政収支の部,01_行政収入,11_財産収入,118
2016,01_通常収支の部,01_行政収支の部,01_行政収入,12_諸収入（受託事業収入）,515
2016,01_通常収支の部,01_行政収支の部,01_行政収入,13_諸収入,"1,128"
2016,01_通常収支の部,01_行政収支の部,01_行政収入,14_寄附金,0
2016,01_通常収支の部,01_行政収支の部,01_行政収入,15_繰入金,33
2016,01_通常収支の部,01_行政収支の部,01_行政収入,16_その他行政収入,0
2016,01_通常収支の部,01_行政収支の部,01_行政収入,17_端数調整,7
