"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"ＷＯＬＦＭＡＮ　ＢＡＲＢＥＲ　ＳＨＯＰ　－ＲＯＰＰＯＮＧＩ－","107-0052","東京都港区赤坂九丁目6番26号","フォンテ六本木102","2020/6/15","2港み生環き第53号"
"ｕｋａ　東京ミッドタウン店","107-0052","東京都港区赤坂九丁目7番4号","東京ミッドタウンガレリア2階","2021/4/20","3港み生環き第13号"
"クレール　ヘア＆スパ","106-0045","東京都港区麻布十番一丁目5番1号","YKビル 地下1階","2004/6/1","16港み生環き第17号"
"ＡＺＡＢＵ　ＹＡＭＡＭＯＴＯ","106-0045","東京都港区麻布十番一丁目5番25号","1階","2009/3/24","20港み生環き第175号"
"ヘアーサロン　ヤマモト","106-0045","東京都港区麻布十番一丁目5番25号","2階","2001/5/29","13港み生環き第20号"
"ＥＸＥＣＵＴＩＶＥ　ＣＬＵＢ　ＢＡＲＢＥＲ　（エグゼクティブ　クラブ　バーバー）","106-0045","東京都港区麻布十番一丁目8番5号","パステル麻布4階","2018/9/28","30港み生環き第92号"
"Ｋ－ＳＴＹＬＥ　ＨＡＩＲ　ＳＴＵＤＩＯ　麻布十番店","106-0045","東京都港区麻布十番二丁目3番2号","TRUNK麻布十番ビル3階","2022/6/13","4港み生環き第22号"
"ＡＺＡＢＵ　ＹＡＭＡＭＯＴＯ　Ｓｈａｖｉｎｇ＆Ｓｐａ","106-0045","東京都港区麻布十番二丁目4番6号","ファミール榎本2階","2020/4/28","2港み生環き第25号"
"Ｓａｒｔｏｒｉｏ（サルトリオ）","106-0045","東京都港区麻布十番二丁目8番5号","メゾンアザブディックス201","2007/4/6","18港み生環き第173号"
"サルトリオ","106-0045","東京都港区麻布十番二丁目8番5号","メゾンアザブディックス201","2013/1/15","24港み生環き第157号"
"有限会社　理容エンドウ","106-0045","東京都港区麻布十番二丁目13番10号",,"1993/1/6","4港麻総衛環き第36号"
"粋然荘","106-0045","東京都港区麻布十番三丁目7番4号","麻布六堂ビル 5階","2008/7/23","20港み生環き第62号"
"Ｉ．Ｂ．ＫＡＮ（アイビカン）","106-0045","東京都港区麻布十番三丁目8番6号","1、2階","1969/12/27","第4号"
"ヘアーサロン・タナカ","108-0022","東京都港区海岸三丁目9番40号","ロジング湾 2階","2004/3/4","15港み生環き第142号"
"ＨＡＩＲ　ＳＡＬＯＮ　ｎｅｅｄ’ｓ（ヘアーサロン　ニーズ）","107-0061","東京都港区北青山一丁目2番3号","青山ビル 1階","2002/6/5","14港み生環き第32号"
"Ｐｌｕｇ（プラグ）","107-0061","東京都港区北青山二丁目12番7号",,"2008/1/31","19港み生環き第116号"
"ｓｈｅｓｔｈé（シェステ）","107-0061","東京都港区北青山二丁目12番12号","Sugar 3階","2017/3/22","28港み生環き第204号"
"バーバーショップ　Ｋ","107-0061","東京都港区北青山二丁目12番27号","2階","2001/12/13","13港み生環き第86号"
"ヘヤーサロン　なかだ","107-0061","東京都港区北青山三丁目3番7号","東急ストア 2階","1977/6/6","52港赤保衛環き第4号"
"ＳＵＲＡＪ表参道（スラージ）","107-0061","東京都港区北青山三丁目8番3号","青山レジデンス 3階","2013/10/4","25港み生環き第111号"
"セリジェ","107-0061","東京都港区北青山三丁目8番3号","ドムール青山302","2021/12/7","3港み生環き第169号"
"Ｉ　Ｄｅａｒ．．．","107-0061","東京都港区北青山三丁目8番8号","カーム青山201","2021/12/24","3港み生環き第153号"
"青山ゼロ理容室","107-0061","東京都港区北青山三丁目10番9号","川島ビル 地下1階","2011/3/22","22港み生環き第190号"
"ＡｃＲｏ","107-0061","東京都港区北青山三丁目10番19号","2階","2021/11/9","3港み生環き第141号"
"Ａｒｔｅａ（アルテア）","107-0061","東京都港区北青山三丁目11番7号","Ao<アオ> 4階","2013/7/4","25港み生環き第46号"
"ｍｉｎｇｌｅ（ミングル）","107-0061","東京都港区北青山三丁目12番12号","HOLON-R 3階","2008/7/23","20港み生環き第57号"
"有限会社　オリオン","108-0075","東京都港区港南二丁目3番27号",,"1992/10/27","4港芝総衛環き第50号"
"株式会社　大林組東京本社理髪室　（ヘアーサロン　ばーばやし）","108-0075","東京都港区港南二丁目15番2号","品川インターシティB棟24階","1998/12/24","10港み生環き第103号"
"ヘアサロン　ワタナベ","108-0075","東京都港区港南四丁目2番6号","シティタワー品川102","2007/10/25","19港み生環き第70号"
"港湾労働者品川宿泊所理容室","108-0075","東京都港区港南五丁目2番13号",,"1971/7/8","第11号"
"ヘアーサロン　大原","105-0014","東京都港区芝二丁目12番15号",,"1987/11/16","62港芝総衛環き第44号"
"ヘアーサロン　エグロ","105-0014","東京都港区芝二丁目15番15号","ラディーチェ芝 1階","2019/7/10","31港み生環き第57号"
"アオバ理容室","105-0014","東京都港区芝三丁目29番6号",,"1993/1/5","4港芝総衛環き第60号"
"ヘアーサロン　いわみつ","108-0014","東京都港区芝四丁目5番15号","クレール芝 地下1階","1995/10/2","7港芝総衛環き第34号"
"ヘアー　サロン　サカタ","108-0014","東京都港区芝四丁目10番8号","伊藤ビル 1階101","2014/8/6","26港み生環き第75号"
"理容アカガワ","108-0014","東京都港区芝五丁目9番13号",,"1991/2/19","2港芝総衛環き第62号"
"バーバーラーク","108-0014","東京都港区芝五丁目13番7号",,"1982/10/14","57港芝保衛環き第51号"
"ＫＡＭＩＹＡ’ｓ　Ｔｏｋｙｏ　田町店","108-0014","東京都港区芝五丁目20番9号","東化ビル1階","2021/12/24","3港み生環き第197号"
"ＥＮ　ｍｅｎ’ｓ　ｔｏｔａｌ　ｂｅａｕｔｙ　ｓａｌｏｎ","108-0014","東京都港区芝五丁目20番12号","芝五ビル5階","2023/6/6","5港み生環き第35号"
"Ｈａｉｒ　ｃｕｔ　ｄｅｓｉｇｎ　ｓａｌｏｎ　ＳＭＡＳＨ　（ヘアーカットデザインサロンスマッシュ）","108-0014","東京都港区芝五丁目21番15号","芝三勝ビル202","2018/1/31","29港み生環き第194号"
"ｈａｉｒ　ｓａｌｏｎ　ＩＮＡＧＡＫＩ","108-0014","東京都港区芝五丁目23番16号",,"1949/11/3",
"バーバーショップ　ミズノ","108-0014","東京都港区芝五丁目25番9号",,"2003/12/26","15港み生環き第106号"
"‐ＰＲＯＵＤ‐ｐｒｉｖａｔｅ　ｈａｉｒ　ｓａｌｏｎ．","108-0014","東京都港区芝五丁目31番7号","三田ステーションビルアミタ10階","2024/1/19","5港み生環き第189号"
"ＨＩＲＯ　ＧＩＮＺＡ　ＨＡＩＲ　ＳＡＬＯＮ　（ヒロ　ギンザ　ヘアーサロン）","108-0014","東京都港区芝五丁目31番15号","センチュリー三田ビル 3階","2014/10/14","26港み生環き第123号"
"理容積田","108-0023","東京都港区芝浦二丁目1番11号","101","1993/11/15","5港芝総衛環き第50号"
"理容・コーナー","108-0023","東京都港区芝浦二丁目15番16号",,"1988/1/19","62港芝総衛環き第53号"
"ネクサス田町店","108-0023","東京都港区芝浦三丁目11番12号","ASKビル6階","2018/5/22","30港み生環き第22号"
"小沢理髪店","108-0023","東京都港区芝浦三丁目12番16号",,"1986/11/20","61港芝保衛環き第50号"
"ＢＡＬＥＳ　ＢＡＲＢＥＲ　ＳＨＯＰ","108-0023","東京都港区芝浦三丁目13番9号","藤ビル2階","2021/11/15","3港み生環き第170号"
"ヘアーサロン　ポワソン","108-0023","東京都港区芝浦四丁目12番44号",,"1986/12/17","61港芝保衛環き第54号"
"浜崎理容室","105-0011","東京都港区芝公園一丁目5番32号","中央労委会館","1973/5/23","48芝保衛環き第12号"
"ヘアサロン　ＦＡＳＴ","105-0012","東京都港区芝大門一丁目6番9号","第二高千穂ビル 1階","2002/10/4","14港み生環き第76号"
"ＢＡＲＢＥＲ　ＳＵＧＩＹＡＭＡ","105-0012","東京都港区芝大門一丁目7番12号","宮本ビル2階","2023/1/20","4港み生環き第187号"
"ＴＨＥ　ＦＡＤＥ","105-0012","東京都港区芝大門一丁目16番11号","サカエビル1階","2020/10/1","2港み生環き第132号"
"ＴＲＡＤＩＴＩＯＮＡＬ","105-0012","東京都港区芝大門二丁目12番3号","共生ビル2号館 1階","2019/6/28","31港み生環き第42号"
"ｖｉｖｉｄ（ビビッド）","108-0072","東京都港区白金一丁目11番12号","LaRocheShirokane 1階","2017/5/8","29港み生環き第15号"
"ＴＨＥ　ＥＢＡＮＡＮＳ　ＣＬＵＢ　ＲＥＧＥＮＴ　ＴＯＫＹＯ／ＳＨＩＲＯＫＡＮＥ","108-0072","東京都港区白金一丁目14番4号","コートモデリア白金1階","2022/10/13","4港み生環き第95号"
"白金理容かわむら","108-0072","東京都港区白金一丁目17番1号","白金タワー107","2016/6/21","28港み生環き第49号"
"ヘアサロン　コバヤシ","108-0072","東京都港区白金一丁目25番11号","プレイス白金108","2005/5/19","17港み生環き第30号"
"メンズサロン　タニ","108-0072","東京都港区白金一丁目25番28号","地下1階","2010/12/3","22港み生環き第134号"
"テクニカルデザインヘアー　シュプリーム","108-0072","東京都港区白金三丁目12番9号","金田ビル1階","2020/7/1","2港み生環き第58号"
"バーバー宮野","108-0072","東京都港区白金五丁目12番17号",,"1998/6/18","10港み生環き第29号"
"岩崎理髪店","108-0072","東京都港区白金六丁目21番3号",,"1980/11/28","55港芝保衛環き第52号"
"ヘアサロン　大野","108-0071","東京都港区白金台一丁目1番50号","都ホテル東京内 地下1階","1979/7/2","54港芝保衛環き第15号"
"ストロベリーキャンドル","108-0071","東京都港区白金台三丁目17番2号","第5松島ビル101","2007/12/10","19港み生環き第88号"
"ヘアーサロン　つかさ","108-0071","東京都港区白金台四丁目5番3号",,"2003/3/12","14港み生環き第149号"
"東京大学医科学研究所構内理髪室","108-0071","東京都港区白金台四丁目6番1号",,"1983/11/8","58港芝保衛環き第37号"
"ｐａｎｄａｗａ　ｓａｌｏｎ","108-0071","東京都港区白金台四丁目8番4号","フローレス白金台2階","2022/12/12","4港み生環き第139号"
"ＳＯＷＡＫＡ（ソワカ）","108-0071","東京都港区白金台五丁目5番2号","マンション白金苑105","2010/11/30","22港み生環き第131号"
"理容室かねこ","108-0071","東京都港区白金台五丁目17番8号",,"1986/8/21","61港芝保衛環き第29号"
"シェステサロン・マーリエ","108-0071","東京都港区白金台五丁目17番8号","3階","2015/7/21","27港み生環き第84号"
"スカイビューレックス","105-0004","東京都港区新橋一丁目2番6号","第一ホテル東京 地下1階","1993/4/9","4港芝総衛環き第70号"
"スカイビューレックス","105-0004","東京都港区新橋一丁目2番6号","第一ホテル東京 地下1階","2002/11/20","14港み生環き第99号"
"ＨＩＲＯ　ＧＩＮＺＡ　ＨＡＩＲ　ＳＡＬＯＮ　並木通り店","105-0004","東京都港区新橋一丁目11番4号","三栄ビル 1階","2012/8/30","24港み生環き第87号"
"アドバンストヘアー　ナカタニ","105-0004","東京都港区新橋一丁目13番5号",,"2007/8/31","19港み生環き第56号"
"ＨＩＲＯ　ＧＩＮＺＡ　ＨＡＩＲ　ＳＡＬＯＮ　新橋日比谷口店","105-0004","東京都港区新橋一丁目18番11号","一松ビル 1階","2010/4/2","21港み生環き第166号"
"ルーシア","105-0004","東京都港区新橋二丁目2番2号","ル・グラシエルBLDG.8 2階","2007/9/11","19港み生環き第49号"
"ＣＡＲＲＥＹＯ　ＳＨＩＭＢＡＳＨＩ　（カレヨ　シンバシ）","105-0004","東京都港区新橋二丁目6番5号","織田興産ビル 2階","2001/8/6","13港み生環き第43号"
"ニュー新橋バーバー","105-0004","東京都港区新橋二丁目16番1号","ニュー新橋ビル231号室","2010/6/29","22港み生環き第53号"
"ニューバーバー進取の気象","105-0004","東京都港区新橋二丁目16番1号","ニュー新橋ビル405号","2010/5/28","22港み生環き第35号"
"ＨＩＲＯ　ＧＩＮＺＡ　ＨＡＩＲ　ＳＡＬＯＮ　新橋銀座口店","105-0004","東京都港区新橋二丁目18番3号","胡萩堂ビル3階","2008/4/14","20港み生環き第2号"
"新橋理容館","105-0004","東京都港区新橋二丁目20番15号",,"1966/10/13","第24号"
"ヘアーサロン銀座マツナガ新橋店","105-0004","東京都港区新橋三丁目5番1号","サンパウロビル 1階","2016/4/21","28港み生環き第4号"
"Ｊｏｌｌｙ（ジョリ）","105-0004","東京都港区新橋三丁目5番2号","新橋OWKビル 2階","2012/6/5","24港み生環き第25号"
"ＢＡＲＢＥＲＳＡＬＯＮ　ＫＡＺＵ　ＨＡＩＲ　（バーバーサロン　カズ　ヘアー）","105-0004","東京都港区新橋三丁目7番3号","ステージ新橋 3階","2018/2/28","29港み生環き第218号"
"カットスタジオアクティブ","105-0004","東京都港区新橋三丁目7番9号",,"1998/11/9","10港み生環き第87号"
"ザ・ワルツ　バーバー　サロン","105-0004","東京都港区新橋三丁目13番5号","新橋カシマビル 1階","2018/1/31","29港み生環き第205号"
"ザ・ワルツ　バーバー　サロン　セカンド","105-0004","東京都港区新橋三丁目13番5号","新橋カシマビル 2階","2022/11/7","4港み生環き第131号"
"ホマレ理容館","105-0004","東京都港区新橋三丁目25番5号",,"1953/9/11","第94号"
"理容室レディ","105-0004","東京都港区新橋五丁目8番5号","窪田ビル内","1971/12/15","第22号"
"ヘアーサロン恵","105-0004","東京都港区新橋五丁目17番5号",,"2009/12/9","21港み生環き第120号"
"じゅげむ理容室","105-0004","東京都港区新橋五丁目23番7号","浜ゴムビル別館 地下1階","1996/6/24","8港芝総衛環き第15号"
"フラワー理容","105-0004","東京都港区新橋五丁目33番8号","正直屋ビル 1階","2008/11/21","20港み生環き第128号"
"ヘアーサロンＫＥＩ（ケイ）","135-0091","東京都港区台場一丁目5番7号","シーリア台場102","2018/1/26","29港み生環き第198号"
"株式会社　フジテレビジョン理容室","135-0091","東京都港区台場二丁目4番8号",,"1997/2/28","8港芝総衛環き第76号"
"ヘアーサロン　カネコ","108-0074","東京都港区高輪一丁目5番25号",,"1992/1/13","3港芝総衛環き第66号"
"理容室スマイル","108-0074","東京都港区高輪一丁目19番11号","1階","2019/6/11","31港み生環き第30号"
"スマイル","108-0074","東京都港区高輪二丁目5番13号",,"2004/3/3","15港み生環き第131号"
"能登理容室","108-0074","東京都港区高輪二丁目15番11号","104","1982/1/22","56港芝保衛環き第51号"
"理容室カンダ","108-0074","東京都港区高輪三丁目8番10号","Fタカナワ102","2022/12/8","4港み生環き第151号"
"ヘアーサロン　トムラ","108-0074","東京都港区高輪三丁目26番33号","秀和品川ビル 2階","1976/6/4","51港芝保衛環き第14号"
"高輪手島理髪店","108-0074","東京都港区高輪四丁目8番9号","りぶ高輪403号","2016/2/9","27港み生環き第191号"
"品川プリンスホテルメインタワーヘアーファクトリーカシマ","108-0074","東京都港区高輪四丁目10番30号",,"1994/11/22","6港芝総衛環き第39号"
"Ａｎｏ　（アノ）","108-0074","東京都港区高輪四丁目20番21号",,"2005/3/24","16港み生環き第138号"
"バーバー　カド","105-0001","東京都港区虎ノ門一丁目8番13号",,"1997/8/7","9港芝総衛環き第33号"
"Ｋ－ＳＴＹＬＥ　ＨＡＩＲ　ＳＴＵＤＩＯ虎ノ門店　（ケースタイル　ヘア　スタジオ）","105-0001","東京都港区虎ノ門一丁目15番8号","JLBグランエクリュ虎ノ門 4階","2017/11/30","29港み生環き第158号"
"虎の門病院理容所","105-0001","東京都港区虎ノ門二丁目2番2号","8階","1985/11/2","60港芝保衛環き第45号"
"ヘアーサロン　ミヤケ","105-0001","東京都港区虎ノ門二丁目2番5号","共同通信会館 地下1階","2014/4/23","26港み生環き第17号"
"ＴＨＥ　ＢＡＲＢＥＲ　虎ノ門ヒルズ","105-0001","東京都港区虎ノ門二丁目6番3号","虎ノ門ヒルズステーションタワー 705-4","2023/10/4","5港み生環き第127号"
"株式会社理容米倉","105-0001","東京都港区虎ノ門二丁目10番4号","The Okura Tokyoオークラプレステージタワー地下1階","2019/9/6","31港み生環き第88号"
"イケダプロ","105-0001","東京都港区虎ノ門四丁目1番7号","松坂ビル 地下1階","1999/6/2","11港み生環き第14号"
"高樹町センタービル理容室","106-0031","東京都港区西麻布二丁目26番23号","高樹町センタービル","1980/1/4","54港麻保衛環き第30号"
"ＢＥ　ＦＩＲＳＴ　ＣＬＡＳＳ","106-0031","東京都港区西麻布三丁目3番3号","第6谷沢ビル3階","2022/9/20","4港み生環き第92号"
"カット＆カット　ヒラタ","106-0031","東京都港区西麻布三丁目20番16号",,"1987/4/20","61港麻保衛環き第58号"
"ヘアーサロン　コバリ","106-0031","東京都港区西麻布四丁目11番30号",,"2009/5/12","21港み生環き第22号"
"ヘアーサロン　アオキ・メンズ","105-0003","東京都港区西新橋一丁目2番9号","地下2階","1983/6/7","58港芝保衛環き第16号"
"ヘアーサロン　エムスタイル新橋","105-0003","東京都港区西新橋一丁目14番7号","西新橋杉浦ビル 1階","2011/7/25","23港み生環き第44号"
"バーバー東京","105-0003","東京都港区西新橋二丁目2番4号","新生ビル1階","2008/10/16","20港み生環き第109号"
"れくらん","105-0003","東京都港区西新橋二丁目8番2号","4階","2022/4/6","4港み生環き第1号"
"ヘアーサロン岩﨑","105-0003","東京都港区西新橋二丁目23番3号","神山ビル 2階","2014/11/26","26港み生環き第142号"
"ヘアーカットコミュニケーション　スマイル","105-0003","東京都港区西新橋三丁目19番14号","東京建硝ビル 地下1階","2010/9/7","22港み生環き第72号"
"下村理容室","105-0003","東京都港区西新橋三丁目25番8号","慈恵医大病院内","2020/5/18","2港み生環き第17号"
"ｍｉｌＡｒｉｎｇｏ（ミルアリンゴ）","105-0013","東京都港区浜松町一丁目1番6号","ダイヤパレス 1階","2017/9/11","29港み生環き第87号"
"ＢＬＵＨＥＮ","105-0013","東京都港区浜松町一丁目20番11号","篠ビル1階","2019/12/27","31港み生環き第200号"
"ＨＩＲＯ　ＧＩＮＺＡ　ＨＡＩＲ　ＳＡＬＯＮ　浜松町店","105-0013","東京都港区浜松町一丁目27番9号","トラスト浜松町ビル 3階","2012/3/1","23港み生環き第148号"
"セイワ理容室","105-0013","東京都港区浜松町一丁目27番17号","三和ビル 1階","2018/1/4","29港み生環き第176号"
"ヘアカット専門店ＪＩＫＵ（ジクウ）","105-0013","東京都港区浜松町二丁目1番16号","SVAX浜松町ビル 1階","2018/2/28","29港み生環き第223号"
"Ｆｉｒｓｔ　Ｃｕｔ（ファースト　カット）","105-0013","東京都港区浜松町二丁目5番2号","柴野ビル 1階","2009/8/14","21港み生環き第66号"
"Ｓａｌｏｎ　ｄｅ　Ｌａｖｉｅ（サロン　ド　ラヴィ）","105-0013","東京都港区浜松町二丁目5番4号","秀和浜松町駅前ビル 4階","2016/10/26","28港み生環き第133号"
"ヘアーサロン　バミューダ．ライム","106-0044","東京都港区東麻布一丁目8番8号","タワーイーストビル 1階","2002/1/7","13港み生環き第91号"
"ヘアサロン　松岡","106-0044","東京都港区東麻布一丁目12番10号",,"1976/10/26","51港麻保衛環き第43号"
"サエグサ","106-0044","東京都港区東麻布二丁目3番8号",,"1967/3/16","第3号"
"ウエダ理容店","106-0044","東京都港区東麻布二丁目32番15号",,"1997/8/11","9港麻総衛環き第17号"
"ＱＢハウスゆりかもめ新橋駅店","105-0021","東京都港区東新橋一丁目1番8号","ゆりかもめ新橋駅改札横","2010/11/16","22港み生環き第125号"
"ヘアサロン　ダンディ馬場","105-0021","東京都港区東新橋一丁目8番2号",,"2002/11/21","14港み生環き第95号"
"ヘアーサロン　フランク","105-0021","東京都港区東新橋二丁目10番7号","中銀第2新橋マンシオン100","2014/10/9","26港み生環き第119号"
"理容シモミチ","108-0073","東京都港区三田二丁目14番10号",,"1998/6/3","10港み生環き第24号"
"竹中理容店","108-0073","東京都港区三田四丁目1番34号",,"1994/3/31","5港芝総衛環き第75号"
"理容くぼ","108-0073","東京都港区三田五丁目2番32号",,"1985/4/5","60港芝保衛環き第2号"
"吉田理容所","108-0073","東京都港区三田五丁目6番6号",,"1962/4/12","第30号"
"アイビカン","108-0073","東京都港区三田五丁目16番12号",,"2000/2/7","11港み生環き第161号"
"株式会社　井上理髪店","107-0062","東京都港区南青山一丁目1番1号","新青山ビル2階","1978/11/17","53港赤保衛環き第24号"
"ｎｅｅｄ’ｓ（ニーズ）","107-0062","東京都港区南青山一丁目1番1号","新青山ビル東館1階111区","2017/9/21","29港み生環き第90号"
"ＤＡＵ　ＢＡＲＢＥＲ　ＳＨＯＰ","107-0062","東京都港区南青山一丁目10番3号","橋本ビル2階","2023/1/12","4港み生環き第181号"
"ＲｅＧＡＲＥ","107-0062","東京都港区南青山一丁目10番10号","I&T Minamiaoyama1階","2022/9/13","4港み生環き第77号"
"ｂａｒｂｅｒｉｎｇ　ｍｅｔｈｏｄ　綺麗　（バーバリングメソッド）","107-0062","東京都港区南青山二丁目12番16号","石塚商事ビル 2階","2018/1/4","29港み生環き第177号"
"ＣＵＴ　ＳＡＬＯＮ　一心楼","107-0062","東京都港区南青山二丁目13番17号",,"2005/6/21","17港み生環き第39号"
"エスパー","107-0062","東京都港区南青山二丁目15番17号","1階","2018/6/8","30港み生環き第33号"
"ＨＩＲＯ　ＧＩＮＺＡ（ヒロ　ギンザ）青山店","107-0062","東京都港区南青山二丁目26番36号","イーグルビル 3階","2015/5/1","27港み生環き第17号"
"ザ・バーバー　青山店","107-0062","東京都港区南青山二丁目27番20号","工藤ビル 1階","2012/3/6","23港み生環き第155号"
"ＤＡＵ　ＢＡＲＢＥＲ　ＳＨＯＰ　表参道","107-0062","東京都港区南青山三丁目12番12号","紅谷ビル2階","2023/11/13","5港み生環き第155号"
"プレミアム　バーバー","107-0062","東京都港区南青山三丁目18番19号","フェスタ表参道本館 3階","2014/4/14","26港み生環き第6号"
"美４サロン　表参道店","107-0062","東京都港区南青山三丁目18番19号","南青山キミジマビル 4階","2013/10/22","25港み生環き第117号"
"〔シェービング＆ブライダルエステ〕　ローブブランシェ表参道店","107-0062","東京都港区南青山五丁目1番18号","ボヌール青山4階C","2023/10/2","5港み生環き第138号"
"エサージュ","107-0062","東京都港区南青山五丁目18番10号","東京モリスビル3　2階","2011/4/5","23港み生環き第1号"
"ヘアドレッシング　大場","107-0062","東京都港区南青山七丁目10番11号",,"2004/6/24","16港み生環き第36号"
"ＯＨＢＡ（大場）青山店","107-0062","東京都港区南青山七丁目14番7号","小寺ビル 2階","2016/9/15","28港み生環き第108号"
"ＰＬＡＧＵＥ（プレイグ）","106-0047","東京都港区南麻布二丁目1番17号","白ビル 2階","2016/10/19","28港み生環き第130号"
"ルネサンス麻布理容室","106-0047","東京都港区南麻布二丁目10番21号",,"1999/4/23","11港み生環き第3号"
"ｕｋａ　広尾店（ウカ）","106-0047","東京都港区南麻布四丁目1番29号","広尾ガーデン 2階","2010/8/20","22港み生環き第90号"
"理容　山田","106-0047","東京都港区南麻布五丁目1番8号","7階","1991/5/1","3港麻総衛環き第3号"
"シェービングサロン　サチコ","106-0047","東京都港区南麻布五丁目2番40号","日興パレス南麻布309","2008/5/2","20港み生環き第19号"
"中島理容所","106-0047","東京都港区南麻布五丁目15番12号",,"1970/5/21","第3号"
"ザ・バーバー広尾店","106-0047","東京都港区南麻布五丁目16番10号","コーポ関根 1階","2010/7/23","22港み生環き第77号"
"田中理容所","106-0046","東京都港区元麻布三丁目2番20号","2階","2006/4/10","18港み生環き第2号"
"ｐｉｎｃｅａｕ（パンソー）","106-0046","東京都港区元麻布三丁目11番3号","パティオ麻布十番2・2階","2010/9/27","22港み生環き第100号"
"ＯＡＺＯ　ＢＡＲＢＥＲ　（オアゾ　バーバー）","106-0032","東京都港区六本木一丁目7番28号","落合麻布台ビル 1階","2014/6/24","26港み生環き第50号"
"ＢＡＲＢＥＲ　サロン　ヤマザキ","106-0032","東京都港区六本木二丁目1番22号",,"1981/10/31","56港麻保衛環き第24号"
"河本理髪店","106-0032","東京都港区六本木三丁目1番25号","六本木グランドプラザ 1階","2023/2/14","4港み生環き第202号"
"ａｔｅｌｉｅｒ．ｃｏ（アトリエ　シーオー）","106-0032","東京都港区六本木三丁目4番15号","クラックスハイム六本木204号","2022/10/20","4港み生環き第110号"
"目黒六　ＭＥＧＵＲＯ　ＢＡＲＢＥＲ　ＳＨＯＰ　６ＰＰＯＮＧＩ","106-0032","東京都港区六本木三丁目13番10号","北麻布ビルディング4階","2023/6/2","5港み生環き第39号"
