"名称","名称かな","所在地","投票区名","分類HCODE","経度","緯度","分類"
"中野中学校（投票所）","なかのちゅうがっこう（とうひょうじょ）","中野区中野四丁目１２番３号","第20投票区","560200","139.661155432738","35.7095095176817","投票所"
"新渡戸文化学園（中野三丁目校舎）（投票所）","にとべぶんかがくえん（なかのさんちょうめこうしゃ）（とうひょうじょ）","中野区中野三丁目４３番１６号","第13投票区","560200","139.661574477388","35.704284381973","投票所"
"新渡戸文化学園（本町六丁目校舎）（投票所）","にとべぶんかがくえん（ほんちょうろくちょうめこうしゃ）（とうひょうじょ）","中野区本町六丁目３８番１号","第８投票区","560200","139.661880843778","35.6964667487947","投票所"
"南中野中学校（投票所）","みなみなかのちゅうがっこう（とうひょうじょ）","中野区南台五丁目２２番１７号","第２投票区","560200","139.662429653162","35.6825768583943","投票所"
"沼袋区民活動センター（投票所）","ぬまぶくろくみんかつどうせんたー（とうひょうじょ）","中野区沼袋二丁目４０番１８号","第27投票区","560200","139.663067290654","35.7236053295508","投票所"
"中野区役所（新庁舎）（投票所）","なかのくやくしょ（しんちょうしゃ）（とうひょうじょ）","中野区中野四丁目１１番１９号","第19投票区","560200","139.662720956436","35.7088363986198","投票所"
"中野区役所（新庁舎）（期日前投票所）","なかのくやくしょ（しんちょうしゃ）（きじつぜんとうひょうじょ）","中野区中野四丁目１１番１９号","","560100","139.662941672577","35.7089831842027","期日前投票所"
"桃花小学校（投票所）","とうかしょうがっこう（とうひょうじょ）","中野区中央五丁目４３番１号","第12投票区","560200","139.665672591058","35.700348077238","投票所"
"第七中学校（投票所）","だいななちゅうがっこう（とうひょうじょ）","中野区江古田二丁目９番１１号","第26投票区","560200","139.668052650096","35.7247088802663","投票所"
"南部すこやか福祉センター（南部スポーツ・コミュニティプラザ）（期日前投票所）","なんぶすこやかふくしせんたー（なんぶすぽーつ・こみゅにてぃぷらざ）（とうひょうじょ）","中野区弥生町五丁目１１番２６号","","560100","139.668493176505","35.688177516856","期日前投票所"
"南部すこやか福祉センター（南部スポーツ・コミュニティプラザ）（投票所）","なんぶすこやかふくしせんたー（なんぶすぽーつ・こみゅにてぃぷらざ）（とうひょうじょ）","中野区弥生町五丁目１１番２６号","第３投票区","560200","139.66867304187","35.6880200232476","投票所"
"令和小学校【（旧）新井小学校】（投票所）","れいわしょうがっこう【（きゅう）あらいしょうがっこう】（とうひょうじょ）","中野区新井四丁目１９番２６号","第28投票区","560200","139.668745733649","35.7174107752879","投票所"
"南台小学校（投票所）","みなみだいしょうがっこう（とうひょうじょ）","中野区南台四丁目４番１号","第１投票区","560200","139.668702944866","35.6817612609784","投票所"
"江古田区民活動センター（期日前投票所）","えごたくみんかつどうせんたー（きじつぜんとうひょうじょ）","中野区江原町二丁目３番１５号","","560100","139.669755997742","35.72883298708","期日前投票所"
"宮の台児童館（投票所）","みやのだいじどうかん（とうひょうじょ）","中野区本町四丁目８番１６号","第７投票区","560200","139.673238189763","35.6956892767116","投票所"
"みなみの小学校【（旧）中野神明小学校】（投票所）","みなみのしょうがっこう【（きゅう）なかのしんめいしょうがっこう】（とうひょうじょ）","中野区弥生町四丁目２７番１１号","第４投票区","560200","139.670685869054","35.6876470398024","投票所"
"第二中学校（投票所）","だいにちゅうがっこう（とうひょうじょ）","中野区本町五丁目１４番１６号","第６投票区","560200","139.671767324031","35.6925184845843","投票所"
"中野区産業振興センター（投票所）","なかのくさんぎょうしんこうせんたー（とうひょうじょ）","中野区中野二丁目１３番１４号","第14投票区","560200","139.668067241958","35.7043844736044","投票所"
"上高田区民活動センター（投票所）","かみたかだくみんかつどうせんたー（とうひょうじょ）","中野区上高田二丁目１１番１号","第21投票区","560200","139.672560551546","35.7115744133733","投票所"
"江原小学校（投票所）","えはらしょうがっこう（とうひょうじょ）","中野区江原町一丁目３９番１号","第25投票区","560200","139.673305568127","35.7295195246619","投票所"
"みずの塔ふれあいの家（投票所）","みずのとうふれあいのいえ（とうひょうじょ）","中野区江古田一丁目９番２４号","第24投票区","560200","139.673546908987","35.7255010704342","投票所"
"中部すこやか福祉センター（投票所）","ちゅうぶすこやかふくしせんたー（とうひょうじょ）","中野区中央三丁目１９番１号","第11投票区","560200","139.674010845867","35.700356986131","投票所"
"（旧）上高田小学校【令和小学校旧校舎】（投票所）","（きゅう）かみたかだしょうがっこう【れいわしょうがっこうきゅうこうしゃ】（とうひょうじょ）","中野区上高田五丁目３５番３号","第23投票区","560200","139.674458689671","35.71690147272","投票所"
"桃園第二小学校（投票所）","ももぞのだいにしょうがっこう（とうひょうじょ）","中野区中野六丁目１６番１７号","第18投票区","560200","139.675208973068","35.70781203654","投票所"
"谷戸小学校（投票所）","やとしょうがっこう（とうひょうじょ）","中野区中野一丁目２６番１号","第15投票区","560200","139.676958312451","35.7024426734578","投票所"
"中野第一小学校【（旧）桃園小学校】（投票所）","なかのだいいちしょうがっこう【（きゅう）ももぞのしょうがっこう】（とうひょうじょ）","中野区本町三丁目１６番１号","第９投票区","560200","139.677017269855","35.6957409438141","投票所"
"白桜小学校（投票所）","はくおうしょうがっこう（とうひょうじょ）","中野区上高田一丁目２番２８号","第22投票区","560200","139.678968330822","35.7102305194397","投票所"
"（旧）向台小学校【中野本郷小学校代替校舎】（投票所）","（きゅう）むこうだいしょうがっこう【なかのほんごうしょうがっこうだいたいこうしゃ】（とうひょうじょ）","中野区弥生町一丁目２５番１号","第５投票区","560200","139.679328018838","35.6919791891653","投票所"
"東部区民活動センター（期日前投票所）","とうぶくみんかつどうせんたー（きじつぜんとうひょうじょ）","中野区中央二丁目１８番２１号","","560100","139.682476202229","35.7004448073127","期日前投票所"
"中野東中学校【（旧）第十中学校】（投票所）","なかのひがしちゅうがっこう【（きゅう）だいじゅうちゅうがっこう】（とうひょうじょ）","中野区中央一丁目４１番４号","第10投票区","560200","139.683627190601","35.6986759403208","投票所"
"塔山小学校（投票所）","とうのやましょうがっこう（とうひょうじょ）","中野区中央一丁目４９番１号","第16投票区","560200","139.683709092562","35.7008187205248","投票所"
"東中野区民活動センター（投票所）","ひがしなかのくみんかつどうせんたー（とうひょうじょ）","中野区東中野五丁目２７番５号","第17投票区","560200","139.690373474073","35.7102178560772","投票所"
"鷺宮区民活動センター（期日前投票所）","さぎのみやくみんかつどうせんたー（きじつぜんとうひょうじょ）","中野区鷺宮三丁目２２番５号","","560100","139.63975552032","35.7235341381738","期日前投票所"
"南台小学校（投票所）","みなみだいしょうがっこう（とうひょうじょ）","中野区南台四丁目４番１号","第１投票区","560200","139.668699625687","35.6817611503981","投票所"
