回答者(or No.),問１　あなたの性別を教えてください。,問２　あなたのふだんからよく遊んだり、やりとりする友だちは、どのような友だちですか。,問３　放課後に過ごす場所／A自分の家,問３　放課後に過ごす場所／B友だちの家,問３　放課後に過ごす場所／C塾や習い事,問３　放課後に過ごす場所／D児童館・児童センター,問３　放課後に過ごす場所／E学校（部活など）,問３　放課後に過ごす場所／F民間等スポーツクラブの活動の場,問３　放課後に過ごす場所／G公園,問３　放課後に過ごす場所／H図書館,問３　放課後に過ごす場所／I商店街やショッピングモール,問３　放課後に過ごす場所／Jゲームセンター,問３　放課後に過ごす場所／Kインターネット上の仮想空間（メタバースなど）,問３　放課後に過ごす場所／Lその他,問３　Lその他／記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問３　休日に一番多く過ごす場所（複数回答５）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、学校の部活動に参加していますか。,問５―１　参加しない理由は何ですか。（複数回答１）,問５―１　参加しない理由は何ですか。（複数回答２）,問５―１　参加しない理由は何ですか。（複数回答３）,問５―１　参加しない理由は何ですか。（複数回答４）,問５―１　６　その他,問６　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問７　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問８　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問９　あなたは、自分の健康状態についてどう感じていますか。,問10　全体として、あなたは最近の生活に、どのくらい満足していますか。,問11　あなたは、学校の授業がわからないことがありますか。,問11１　いつごろから、授業がわからなくなりましたか。,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問12　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問13　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問14　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問14　５　その他,問15　あなたは、将来、どの段階まで進学したいですか。あなたの考えにもっとも近いものに〇をつけてください。,問16　問15で選んだ理由は何ですか（複数回答１）,問16　問15で選んだ理由は何ですか（複数回答２）,問16　問15で選んだ理由は何ですか（複数回答３）,問16　問15で選んだ理由は何ですか（複数回答４）,問17　Aがんばれば、むくわれると思う,問17　B自分は価値のある人間だと思う,問17　C自分は家族に大事にされていると思う,問17　Ｄ不安に感じることはないと思う,問17　Ｅ孤独を感じることはないと思う,問17　Ｆ自分の将来が楽しみだと思う,問17　Ｇ自分のことが好きだと思う,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問18　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問18　10　その他,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問19　あなたに困っていることや悩(なや)みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問19　14　その他,問20　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問21　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問22　あなたは「子どもの権利条約」について知っていますか。,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問23　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問23　11　その他,問24　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問25　A（家以外で）平日の放課後に夜までいることができる場所,問25　B（家以外で）休日にいることができる場所,問25　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問25　D家で勉強できないとき、静かに勉強ができる場所,問25　E大学生のボランティアが、勉強を無料でみてくれる場所,問25　F（学校以外で）勉強、進学、家族のことなど、何でも相談できる場所,問25　G子どもに寄りそう人がいる居場所,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問26　あなたは、狛江市(こまえし)が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問27　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
20,1,1,,,,,,,,2,,,,,,8,,,,,8,1,,,,,,5,1,1,2,,1,5,1,,6,,,,,3,1,3,4,,,4,1,,,,1,2,1,2,1,1,1,4,,,,,,4,,,,,,,,,,,,,3,3,4,1,,,,,,,,2,3,3,3,2,3,5,3,5,8,9,,,,,,中学生、小学生がボランティアを体験、多摩川のごみ拾いなどする機会をつくり。子育てに向いた特に公園や住宅。～の通りのように、商店が集まった場所（あるにはあるのかもしれないが、もっと大々的に）。
21,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,3,1,1,,,2,3,2,,6,,,,,4,1,,,,,4,5,,,,2,2,1,2,2,2,1,11,,,,,,4,,,,,,,,,,,,,1,2,3,1,,,,,,,,1,5,5,5,5,5,5,5,,,,,,,,,
22,2,1,1,4,4,4,3,4,4,4,4,4,4,4,,,,,,,1,1,,,,,,3,1,1,3,,1,3,2,,6,,,,,2,,,,,,5,9,,,,2,2,2,2,2,2,2,,,,,,,1,,,,,,,,,,,,,3,3,4,1,2,,,,,,,1,5,5,5,3,2,5,5,7,8,,,,,,,
23,2,1,2,4,4,4,1,4,4,4,4,4,4,2,部活,12,,,,,1,1,,,,,,5,1,1,2,,1,5,4,5,1,2,3,6,,3,6,,,,,5,9,,,,1,1,1,1,1,1,1,,,,,,,1,4,6,7,,,,,,,,,,3,3,4,1,3,,,,,,,1,5,5,5,5,5,5,5,,,,,,,,,
24,,1,1,4,4,4,1,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,3,1,1,2,,1,5,1,,1,3,6,,,4,3,,,,,4,2,8,,,1,2,1,1,1,1,1,10,,,,,弟がうるさい,1,2,4,,,,,,,,,,,1,2,4,1,,,,,,,,1,5,5,5,5,2,5,5,3,6,7,,,,,,
25,2,1,2,,,,2,,,,,,,,,5,,,,,1,1,,,,,,3,1,1,2,,2,4,2,,6,,,,,2,3,4,,,,3,1,2,3,,1,1,1,3,2,2,1,11,,,,,,1,4,,,,,,,,,,,,1,2,4,1,3,,,,,,,,3,3,5,2,5,5,5,2,4,5,,,,,,
26,2,,3,4,3,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,2,1,1,,,1,5,1,,1,3,6,,,3,1,3,,,,4,1,,,,1,1,1,2,2,1,1,11,,,,,,1,4,,,,,,,,,,,,1,2,4,1,3,,,,,,,1,5,5,5,3,5,2,2,5,6,9,,,,,,
27,2,1,2,4,4,4,3,4,4,4,4,4,4,1,駅前,1,,,,,1,1,,,,,,1,1,2,,,2,2,2,,1,2,3,6,,3,2,3,,,,4,1,,,,1,1,1,3,3,1,1,1,4,,,,,1,4,5,,,,,,,,,,,1,2,4,1,,,,,,,,2,2,2,2,2,2,3,3,7,9,,,,,,,私の学校にバレーボール部がないので、地域でバレーボールがしたいです。SNSに依存してしまい勉強に集中できないことが多いので、誰かがSNSをしないようにし、勉強を協力してくれる場所があればいいなと思っています。
28,2,1,3,,,,2,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,,,1,4,2,,3,4,6,,,4,1,2,4,,,4,2,,,,2,2,1,3,2,3,2,11,,,,,,4,,,,,,,,,,,,,1,2,2,1,,,,,,,,2,5,5,5,1,2,5,5,4,,,,,,,,急行止まるようにしてください。
29,2,1,4,4,4,4,1,4,2,4,3,3,4,,,9,,,,,5,1,,,,,,5,1,1,2,,1,5,2,,1,3,6,,,2,5,,,,学校で配られるプリント,4,8,,,,2,1,1,1,1,1,1,11,,,,,,1,4,5,,,,,,,,,,,1,2,1,1,,,,,,,,2,5,5,5,5,5,5,5,4,5,8,,,,,,マックとスタバなどがほしいです。
30,1,1,3,4,4,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,3,1,1,2,,1,5,2,,6,,,,,4,2,3,,,,4,1,3,5,,1,2,1,3,1,2,1,11,,,,,,4,5,,,,,,,,,,,,1,2,2,1,,,,,,,,1,3,3,3,3,1,2,3,3,7,9,,,,,,
31,2,1,1,4,4,4,3,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,1,1,1,2,,2,3,2,,3,6,,,,2,3,,,,,5,9,,,,3,4,2,4,4,4,4,11,,,,,,15,,,,,,,,,,,,,3,2,2,1,,,,,,,,2,5,5,5,5,5,5,5,5,,,,,,,,ハッピーセットが食べたいので、マクドナルドをつくって下さい!
32,1,1,2,4,4,4,2,4,3,3,3,4,4,4,,1,,,,,1,1,,,,,,5,1,1,,,2,5,2,,1,3,5,6,,4,3,4,,,,5,9,,,,2,1,1,2,1,1,1,11,,,,,,1,3,4,5,6,,,,,,,,,3,3,4,1,3,,,,,,,1,1,1,5,1,5,5,5,,,,,,,,,
33,2,1,1,4,4,4,3,4,4,4,4,4,4,4,,1,,,,,1,2,4,,,,,1,1,1,,,1,4,2,,3,6,,,,4,3,,,,,4,1,,,,1,2,1,3,4,2,2,11,,,,,,4,6,,,,,,,,,,,,,,,1,,,,,,,,1,5,5,5,5,5,5,5,4,5,8,,,,,,・スタバが出来てほしい。　・ロフトみたいな雑貨店がほしい。（GUやユニクロなどの洋服店も!）　・おにぎり屋（コンビニ以外）。
34,1,1,3,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,4,1,1,2,,1,5,2,,1,3,6,,,3,3,,,,,4,1,2,3,,2,1,1,1,1,1,1,11,,,,,,1,4,6,,,,,,,,,,,1,2,1,1,3,,,,,,,1,5,5,5,5,5,5,5,2,5,8,,,,,,
35,2,1,3,4,3,4,2,4,4,4,3,4,4,,,1,,,,,1,1,,,,,,4,1,1,,,1,4,1,,1,3,6,,,2,2,,,,,4,9,,,,1,2,1,3,3,2,1,11,,,,,,1,4,5,6,,,,,,,,,,1,2,1,1,,,,,,,,1,5,3,2,2,5,5,5,4,8,9,,,,,,フリーでつかえる体育館がほしい。留学補助。
36,2,4,1,,,,,,,,,,,,,1,,,,,1,1,,,,,,1,1,1,2,3,3,3,2,,3,4,6,,,4,1,3,,,,4,1,,,,2,3,2,3,3,3,2,11,,,,,,12,15,,,,,,,,,,,,3,2,2,1,2,10,,,,,,3,5,5,5,2,4,4,5,6,7,9,,,,,,駅の近くに本屋がほしいです。
37,1,1,4,4,4,4,1,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,2,2,1,,,3,4,2,,1,3,6,,,5,3,4,,,,4,9,,,,3,3,2,3,2,3,3,11,,,,,,1,4,6,,,,,,,,,,,3,2,2,1,,,,,,,,2,2,5,3,3,5,5,3,3,7,9,,,,,,
38,2,1,,,,,1,,,,,,,,,1,,,,,1,1,,,,,,3,1,5,,,1,5,1,,6,,,,,4,3,,,,,4,5,,,,2,2,2,2,2,2,2,11,,,,,,4,6,,,,,,,,,,,,1,2,1,3,,,,,,,,2,2,2,4,2,2,2,4,5,,,,,,,,夜遅くまでやっている常設の自習室がほしい。（勉強を見てもらうことを目的としていないのがいい。）静かに勉強したい。
39,2,1,1,4,4,4,3,4,3,4,3,4,4,4,,1,,,,,1,2,1,6,,,不登校,1,1,1,2,,5,3,4,3,1,3,6,,,3,3,5,,,プリント,3,1,,,,2,2,1,4,4,3,3,11,,,,,,1,3,4,6,,,,,,,,,,1,2,2,1,2,3,,,,,,1,5,5,5,4,4,4,5,1,7,9,,,,,,街灯などをふやして、明るくしてほしい。
40,1,1,,,2,,,,,,,,,,,1,,,,,1,2,3,,,,,1,1,1,,,1,3,2,,4,,,,,4,1,,,,,2,2,,,,1,2,2,2,2,1,2,,,,,,,1,,,,,,,,,,,,,1,2,4,1,,,,,,,,2,5,2,5,2,2,3,3,3,6,8,,,,,,
41,2,1,3,4,4,2,2,4,4,4,3,3,4,,,4,9,,,,4,1,,,,,,5,1,1,2,,2,4,4,5,1,6,,,,4,2,,,,,,,,,,2,2,1,4,2,2,1,11,,,,,,1,2,,,,,,,,,,,,3,2,4,1,3,,,,,,,1,4,2,2,5,4,5,3,3,4,7,,,,,,狛江市の野菜を積極的に売り場に並べて。
42,2,,3,4,3,4,2,4,4,4,3,4,4,4,,1,,,,,1,1,,,,,,4,1,1,2,,4,3,2,,1,6,,,,4,2,4,,,,4,1,,,,2,3,2,4,1,1,1,11,,,,,,15,,,,,,,,,,,,,1,2,3,1,,,,,,,,4,3,3,2,5,5,2,4,1,8,9,,,,,,・留学をする子どもに対する資金支援（奨学金）など…　・いろいろな習い事を体験できるイベント
43,1,1,2,4,2,4,4,4,4,4,3,4,4,4,,,,,,,13,1,,,,,,2,1,1,,,1,4,2,,1,4,,,,2,1,,,,,5,9,,,,1,2,1,1,1,1,2,4,8,,,,,1,,,,,,,,,,,,,3,3,3,1,3,10,,,,,,2,1,3,2,1,3,1,1,3,4,5,,,,,,子どもが楽しいと思う施設を作る。
44,1,1,1,4,4,4,4,4,4,4,4,4,4,4,,1,,,,,,1,,,,,,4,1,1,3,5,1,5,2,,1,3,6,,,2,6,,,,,5,9,,,,1,1,1,1,1,1,1,11,,,,,,1,3,4,5,,,,,,,,,,3,2,4,1,2,3,,,,,,1,5,5,5,5,5,5,5,3,4,5,,,,,,自転車だけの道路が欲しい。自転車がもっと安全に走れるようにして欲しい。
45,2,1,3,4,4,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,1,1,1,,,1,5,2,,6,,,,,3,3,4,,,,4,1,4,,,3,1,1,3,3,3,2,11,,,,,,2,4,,,,,,,,,,,,3,2,4,1,11,,,,,,姉,2,5,3,4,3,3,3,5,3,8,9,,,,,,学校を完全に禁煙にしてほしい。
46,2,,1,4,4,4,3,4,4,4,4,4,1,,,,,,,,11,1,,,,,,1,4,1,,,3,4,4,4,3,6,,,,2,3,4,,,,4,1,3,,,2,3,2,3,3,2,3,11,,,,,,4,5,12,,,,,,,,,,,1,2,4,1,9,,,,,,,1,2,2,3,3,2,2,2,5,6,7,,,,,,
47,2,1,1,3,3,4,3,4,4,4,4,,2,,,1,,,,,1,1,,,,,,2,1,1,2,,1,3,3,,1,3,4,6,,5,1,3,4,,,4,1,,,,1,2,1,2,2,2,2,,,,,,,1,2,3,4,5,,,,,,,,,2,2,2,1,2,,,,,,,1,2,2,2,1,2,2,2,1,7,8,,,,,,このまま安全なままのきれいな町を保って下さい。
48,1,1,3,4,4,4,2,4,4,4,3,4,4,4,,1,,,,,1,1,,,,,,5,1,1,2,,1,3,4,4,1,2,3,6,,2,3,4,,,,4,1,,,,1,2,2,4,3,1,1,11,,,,,,15,,,,,,,,,,,,,1,2,3,1,2,3,,,,,,3,1,1,5,3,5,3,5,9,,,,,,,,給付金
49,2,1,3,4,4,4,2,4,4,4,3,3,4,4,,9,,,,,1,1,,,,,,1,4,1,,,2,3,4,4,6,,,,,1,6,,,,,3,1,,,,2,3,2,2,2,2,2,3,,,,,,1,2,4,6,7,8,,,,,,,,2,2,3,1,,,,,,,,2,2,2,2,2,3,3,3,4,8,9,,,,,,室内で遊べる場所。
50,1,1,1,3,3,4,2,4,4,4,3,4,4,4,,1,,,,,1,1,,,,,,2,3,1,2,,3,3,4,4,1,2,6,,,2,1,,,,,4,1,3,4,,3,3,2,4,2,2,3,11,,,,,,1,2,3,4,6,,,,,,,,,1,2,4,1,3,,,,,,,1,3,3,3,2,3,2,5,5,6,8,,,,,,かなり広い友達と自由に遊べる場所（児童館は人が多すぎると自由に遊びずらいから）。
51,2,1,1,4,4,4,3,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,1,1,1,2,,4,2,2,,1,3,6,,,4,3,,,,,5,8,,,,2,2,2,4,2,4,4,3,4,8,9,,,1,4,6,,,,,,,,,,,1,2,4,1,3,,,,,,,1,5,3,5,2,3,5,5,5,7,9,,,,,,・お店や施設を増やしてほしい。（有名・人気なところ、チェーン店、ゲームセンター・ショッピングモールなど）
52,1,1,1,4,2,,1,,4,4,3,4,,,,,,,,,5,1,,,,,,3,1,1,,,1,4,2,,1,2,4,6,,3,1,4,,,,,,,,,2,2,2,4,4,4,1,11,,,,,,4,6,8,,,,,,,,,,,2,2,4,1,2,3,,,,,,3,4,2,2,2,3,3,2,3,6,8,,,,,,
53,1,,1,,,,,,,,,,,,,1,,,,,1,2,1,2,4,5,,1,3,1,2,,2,3,4,2,7,,,,,1,6,,,,,2,1,6,,,2,2,1,3,2,2,3,11,,,,,,1,6,,,,,,,,,,,,1,2,3,3,,,,,,,,,3,2,3,3,3,2,2,1,2,,,,,,,
54,2,1,3,4,3,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,3,1,1,2,,3,3,2,,1,6,,,,4,1,,,,,4,9,,,,2,2,2,3,1,2,2,4,,,,,,4,5,,,,,,,,,,,,2,2,2,1,,,,,,,,3,4,2,2,2,3,3,2,1,4,5,,,,,,
55,1,1,1,4,4,4,3,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,1,1,5,,,1,3,2,,1,4,,,,3,1,,,,,4,3,,,,2,2,1,3,3,3,4,11,,,,,,1,3,4,,,,,,,,,,,1,2,4,1,2,3,,,,,,1,2,2,5,2,1,3,5,4,5,7,,,,,,特になし
56,1,1,3,4,4,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,2,2,1,2,,3,2,2,,1,3,4,6,,2,1,,,,,4,1,,,,1,2,1,3,3,2,2,11,,,,,,1,2,4,6,,,,,,,,,,1,2,3,1,2,3,,,,,,1,3,3,5,5,3,5,3,4,7,9,,,,,,
57,2,,1,,,,,,,,,,,,,1,,,,,1,2,6,,,,いく必要がない。,5,1,1,2,5,3,5,2,,3,6,,,,3,3,,,,,5,9,,,,1,2,2,2,2,3,4,8,,,,,,1,2,3,4,5,6,7,8,9,10,11,13,,3,3,4,1,2,3,,,,,,1,2,5,5,1,3,5,5,4,9,,,,,,,畑を大切にしたい。最近家が建ってしまっている。SDGs!
58,1,1,1,4,3,4,3,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,1,1,1,5,,3,4,2,,3,4,,,,3,1,2,3,4,,4,2,8,,,1,2,2,3,1,3,2,4,10,,,,お父さんの独り言がうるさい。,1,3,4,6,,,,,,,,,,2,2,4,1,2,,,,,,,2,5,5,4,3,3,3,4,1,7,8,,,,,,狛江駅の高架下の啓文堂書店跡地に有隣堂を招致してください。啓文堂のところでなくてもいいですけど。喜多見駅の狛江市側にも改札をつくってください。喜多見駅に快速急行と急行を止めてください。
59,3,1,,,,,2,,,,,,,,,1,,,,,13,1,,,,,,2,1,1,2,,2,2,2,,2,3,4,6,,4,1,3,4,,,4,9,,,,3,3,3,2,3,4,3,10,,,,,心とからだの性別が一致しない。それを周りに言うことができない。,15,,,,,,,,,,,,,1,2,2,3,,,,,,,,2,3,2,5,2,4,2,3,6,,,,,,,,・学校のPCが重いので、動きにくいです。タブレットに変えてください。
60,2,1,1,4,3,4,4,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,1,1,1,,,2,4,4,4,1,3,4,,,3,1,,,,,5,2,,,,1,2,1,1,1,2,2,11,,,,,,1,4,,,,,,,,,,,,3,2,4,1,3,,,,,,,1,5,5,5,5,2,2,2,3,5,8,,,,,,
61,2,1,1,4,3,4,4,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,2,1,1,2,,1,4,2,,1,2,3,,,3,3,,,,,2,9,,,,2,2,1,2,2,2,1,11,,,,,,1,2,,,,,,,,,,,,3,3,4,1,,,,,,,,1,5,2,2,3,2,3,2,1,5,9,,,,,,
62,2,1,1,4,2,4,4,4,4,4,4,4,4,4,,3,,,,,1,2,3,,,,,3,1,1,,,1,4,2,,3,6,,,,3,1,3,4,,,4,1,4,,,2,2,1,4,3,2,2,10,,,,,母親が最近家事をストレスに感じている。,15,,,,,,,,,,,,,1,2,2,1,,,,,,,,2,3,3,3,3,3,3,3,7,8,9,,,,,,狛江市の静かさや自然の豊かさをこれからも守ってほしいです。
63,,,,,,,1,,,,,,,,,4,,,,,1,1,,,,,,1,,,,,,,4,4,1,,,,,3,3,,,,,5,9,,,,1,3,2,3,3,3,3,11,,,,,,1,2,4,6,13,,,,,,,,,1,2,4,1,3,,,,,,,2,,2,,,,,,3,,,,,,,,
64,1,1,2,3,3,4,4,2,3,4,3,4,4,4,,1,,,,,1,2,3,,,,,5,1,1,2,,1,5,2,,4,6,,,,3,1,,,,,4,1,3,4,,2,2,2,2,2,2,2,11,,,,,,,,,,,,,,,,,,,3,3,4,3,,,,,,,,2,2,1,2,1,5,5,5,5,,,,,,,,大きな公園をつくってほしい。スケボーパークをつくってほしい。
65,2,1,1,4,2,4,2,4,4,4,4,4,4,,,1,,,,,1,1,,,,,,3,1,1,2,,1,5,2,,1,4,6,,,5,1,3,4,,,4,1,3,,,1,1,1,2,1,2,1,11,,,,,,1,2,3,4,6,8,,,,,,,,2,2,4,1,2,3,5,,,,,1,4,3,5,2,2,2,5,5,6,7,8,,,,,・外国から移住してきた子供で日本語が話せない人の対応をすること。（翻訳する、クラスメイトにこのような子供がいる理由を理解してもらい、優しい目で見るように教育することなど）
66,1,1,1,4,2,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,3,1,1,,,1,3,2,,1,3,4,6,,4,1,3,,,,4,1,,,,2,1,1,2,2,2,1,11,,,,,,1,2,3,4,6,,,,,,,,,2,3,3,1,2,3,,,,,,1,5,5,5,2,2,3,3,1,5,8,,,,,,子供がもう少し遊べる場所をつくってほしい。
67,2,1,1,3,4,4,2,4,3,4,3,4,4,,,1,,,,,1,1,,,,,,4,1,1,2,,1,4,3,,1,4,6,,,4,1,,,,,4,1,,,,2,1,1,3,1,2,2,11,,,,,,1,,,,,,,,,,,,,3,2,4,1,,,,,,,,1,5,5,5,,4,4,3,4,6,9,,,,,,
68,1,1,3,3,4,2,2,3,4,4,3,4,4,,,4,5,,,,5,1,,,,,,5,1,1,2,,1,4,3,,3,6,,,,4,3,,,,,4,3,4,5,,1,1,1,1,1,2,1,,,,,,,4,6,,,,,,,,,,,,2,3,4,1,,,,,,,,1,1,1,1,5,3,5,1,3,4,5,7,9,,,,狛江第二中学校の給食を増やしてください。
69,1,,3,4,3,4,2,4,3,4,3,4,2,,,1,2,5,9,11,1,1,,,,,,5,1,1,2,,1,4,2,,1,2,3,4,6,4,1,3,4,,,4,1,3,4,5,1,1,1,1,1,1,1,11,,,,,,1,2,3,4,5,6,13,,,,,,,3,2,3,1,2,3,10,,,,,1,2,2,3,2,2,2,3,4,5,9,,,,,,体育館をたくさん作ってください。
70,1,1,1,4,3,4,2,4,4,4,4,4,4,4,,,,,,,1,1,,,,,,3,1,1,2,,3,2,2,,4,6,,,,3,1,,,,,4,5,,,,1,2,1,3,2,2,1,11,,,,,,1,4,,,,,,,,,,,,3,2,4,1,,,,,,,,1,5,5,5,3,3,2,2,1,5,6,,,,,,
71,1,1,3,4,3,2,2,3,3,4,3,3,4,,,4,,,,,4,1,,,,,,5,1,1,,,2,5,2,,1,2,3,4,6,2,1,,,,,5,8,,,,2,1,1,2,1,2,2,11,,,,,,4,,,,,,,,,,,,,3,3,4,1,2,,,,,,,2,2,5,3,4,3,4,3,4,9,,,,,,,どれだけ騒いでもクレーム、苦情がこない場所。
72,2,1,1,4,3,4,2,4,4,4,3,4,4,,,1,,,,,1,1,,,,,,4,1,1,2,,1,4,2,,1,2,4,,,4,1,3,4,,,4,1,2,3,,1,1,1,2,2,2,2,10,,,,,,4,,,,,,,,,,,,,1,2,3,1,,,,,,,,2,5,3,5,3,2,4,4,4,5,6,,,,,,・授業のリモート化　・教科書のタブレット化（リュックのおもさを軽くする）　・給食の無償化　・部活動の選択肢を増やす
73,2,1,3,3,3,4,2,4,4,4,4,4,4,4,,1,,,,,1,1,,,,,,4,1,1,,,1,5,2,,3,4,6,,,4,1,,,,,4,9,,,,2,2,2,2,2,2,2,11,,,,,,1,2,4,6,,,,,,,,,,1,2,4,1,,,,,,,,1,5,5,5,5,5,5,5,9,,,,,,,,本屋がほしい。何かの土地に何かつくるときは近隣住民にアンケート（同意書）的なのをとる。
74,2,1,1,4,3,3,2,4,4,4,4,4,4,4,,,,,,,1,1,,,,,,1,2,1,,,4,3,3,,1,2,3,6,,2,2,,,,,2,7,,,,2,2,2,4,3,3,3,11,,,,,,6,7,,,,,,,,,,,,3,2,4,3,4,,,,,,,2,3,3,1,5,3,5,5,4,5,,,,,,,
