回答者(or No.),問１ あなたの性別を教えてください。,問２　あなたがふだんからよく遊んだり、やりとりするのは、どのような友だちですか。,問３　放課後／A自分の家,問３　放課後／B友だちの家,問３　放課後／C塾や習い事,問３　放課後／D児童館・児童センター（学童クラブふくむ）,問３　放課後／E学校（クラブ活動、放課後子ども教室「KoKoA」など）,問３　放課後／Fスポーツクラブなどの活動の場,問３　放課後／G公園,問３　放課後／H図書館,問３　放課後／I商店街やショッピングモール,問３　放課後／Jゲームセンター,問３　放課後／Kインターネット上の仮想空間（メタバースなど）,問３　放課後／Lその他,問３　放課後／Lその他　記述,問３　休日に一番多く過ごす場所（複数回答１）,問３　休日に一番多く過ごす場所（複数回答２）,問３　休日に一番多く過ごす場所（複数回答３）,問３　休日に一番多く過ごす場所（複数回答４）,問４　問３のＡ～Lの場所の中で、あなたが一番ほっとできる居場所はどこですか。,問５　あなたは、体育の授業以外で30分以上からだを動かす遊びや習い事を、１週間でどれくらいしますか。,問６　あなたは、平日（学校に行く日）に毎日、朝ごはんを食べますか。,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答１）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答２）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答３）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答４）,問７　あなたは、平日（学校に行く日）に夕ごはんをだれと食べますか。（複数回答５）,問８　あなたは、自分の健康状態についてどう感じていますか。,問９　全体として、あなたは最近の生活に、どのくらい満足していますか。,問10　あなたは、学校の授業がわからないことがありますか。,問10１　いつごろから、授業がわからなくなりましたか。,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答１）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答２）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答３）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答４）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答５）,問11　勉強がわからないときは、だれに教えてもらいますか。（複数回答６）,問12　あなたは、ふだん(月～金曜日)学校の授業以外にどれくらいの時間、勉強をしますか。１日あたりの勉強時間を教えてください。,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答１）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答２）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答３）,問13　あなたは、学校以外でどのような勉強をしていますか。（複数回答４）,問13　５　その他,問14　Aがんばれば、むくわれると思う,問14　B自分は価値のある人間だと思う,問14　C自分は家族に大事にされていると思う,問14　D不安に感じることはないと思う,問14　E孤独を感じることはないと思う,問14　F自分の将来が楽しみだと思う,問14　G自分のことが好きだと思う,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答１）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答２）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答３）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答４）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答５）,問15　あなたは、自分や家族のことなどで、心配なことや困っていることはありますか。（複数回答６）,問15　10　その他,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答１）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答２）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答３）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答４）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答５）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答６）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答７）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答８）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答９）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答10）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答11）,問16　あなたに困っていることや悩みごとがあるとき、あなたが相談できると思う人はだれですか。（複数回答12）,問16　14　その他,問17　「ヤングケアラー」という言葉をこれまでに聞いたことがありましたか。,問18　あなた自身は「ヤングケアラー」にあてはまると思いますか。,問19　あなたは「子どもの権利条約」について知っていますか。,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答１）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答２）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答３）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答４）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答５）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答６）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答７）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答８）,問20　あなたのまわりの大人で、あなたの意見や考えを一番聞いてくれるのはだれですか。（複数回答９）,問20　11　その他,問21　自分の意見や考えは、まわりの大人にきちんと聞いてもらえていると思いますか。,問22　A（家以外で）平日の放課後に夜までいることができる場所,問22　B（家以外で）休日にいることができる場所,問22　C家の人がいないとき、夕ごはんをみんなで食べることができる場所,問22　D家で勉強できないとき、静かに勉強ができる場所,問22　E大学生のお兄さんやお姉さんが、勉強を無料でみてくれる場所,問22　F（学校以外で）何でも相談できる場所,問22　G子どもに寄りそう人がいる居場所,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答１）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答２）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答３）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答４）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答５）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答６）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答７）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答８）,問23　あなたは、狛江市が、子どもについてどのような取り組みを進めてくれるとよいと思いますか。（複数回答９）,問24　あなたが、狛江市に何でも要望できるとすれば、どのようなことを要望しますか。何でもいいので、書いてください。
19,1,1,1,4,2,4,2,4,3,4,4,4,4,4,,1,,,,1,3,1,1,2,,,,2,4,2,,1,2,,,,,3,1,,,,,2,2,1,2,4,1,2,5,,,,,,,1,2,3,4,6,,,,,,,,,3,3,3,1,2,3,,,,,,,,1,4,2,2,4,2,3,3,4,6,7,,,,,,,犯罪の無い町にしてほしい。
20,2,1,,1,,,,,2,,,,,,,1,,,,2,3,1,1,2,,,,1,4,3,,1,2,7,,,,4,1,5,,,家の勉強,2,2,2,2,2,1,1,11,,,,,,,1,4,5,,,,,,,,,,,3,3,4,1,,,,,,,,,,2,5,3,5,4,3,3,3,5,6,7,,,,,,,
21,2,1,3,3,2,4,4,4,3,4,3,4,4,4,,,,,,1,2,1,1,2,,,,1,3,2,,1,5,7,,,,6,1,4,,,,2,2,1,4,4,2,2,11,,,,,,,1,4,,,,,,,,,,,,1,2,4,1,,,,,,,,,,1,4,4,4,2,4,3,3,3,,,,,,,,,年に3回ぐらい平日休みがほしいです。なぜなら、家族で旅行に行ったり、したいからです。
22,1,1,3,2,3,4,4,4,2,4,4,4,4,,,1,,,,1,5,1,1,,,,,1,4,2,,1,,,,,,3,4,,,,,2,2,1,3,1,1,1,11,,,,,,,1,7,8,,,,,,,,,,,1,2,4,1,,,,,,,,,,1,5,5,3,5,3,1,5,4,8,9,,,,,,,
23,1,1,3,4,3,3,4,4,2,4,4,4,4,4,,1,,,,4,2,1,1,,,,,1,3,3,,1,2,3,5,7,,4,1,3,,,,2,2,2,2,2,1,2,4,6,9,,,,,6,7,,,,,,,,,,,,3,3,4,3,4,,,,,,,,,2,2,3,2,3,3,3,3,4,5,6,8,9,,,,,お金がほしい。
24,1,1,,,,2,,,,,,,,,,,,,,1,5,1,1,2,,,,2,5,5,5,1,3,7,,,,3,2,3,,,,2,1,1,2,1,1,1,11,,,,,,,1,4,6,8,,,,,,,,,,3,2,3,1,3,,,,,,,,,1,4,2,2,5,2,2,2,3,4,5,,,,,,,不審者対策。野球球場を作ってほしい。
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,8,,,,,,,,,,,3,3,4,1,2,3,4,5,6,7,8,10,,1,2,2,2,5,5,5,5,4,8,9,,,,,,,ないです。
26,1,1,2,3,4,4,4,4,3,4,4,4,4,4,,6,,,,1,3,1,1,2,,,,1,4,2,,7,,,,,,3,2,,,,,1,2,1,1,1,1,2,11,,,,,,,1,5,6,,,,,,,,,,,1,2,2,1,,,,,,,,,,1,5,5,5,5,5,5,5,4,5,8,9,,,,,,野球ができる公園を増やしてほしい。
27,2,1,3,4,3,2,4,2,2,3,4,4,4,4,,11,,,,1,5,1,1,,,,,1,4,2,,1,3,7,,,,3,5,,,,チャレンジ,1,1,1,2,2,1,2,11,,,,,,,1,6,7,8,,,,,,,,,,2,3,2,1,2,3,4,5,,,,,,1,1,2,5,3,3,5,3,4,5,9,,,,,,,知らない人でも集まって気軽に遊べる場所。
28,2,1,,1,,,,,,,,,,,,2,,,,,2,1,1,2,,,,1,5,2,,7,,,,,,2,2,,,,,1,1,1,1,1,1,1,11,,,,,,,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,1,3,3,3,3,3,3,3,4,6,8,9,,,,,,近くにバスケットゴールを作ってほしい。
29,1,1,1,,,,,,,,,,,,,3,,,,1,2,1,1,2,,,,2,5,2,,1,3,,,,,3,2,,,,,2,1,1,2,2,2,1,4,,,,,,,1,,,,,,,,,,,,,3,2,4,1,,,,,,,,,,1,5,5,5,3,5,5,5,1,3,4,5,6,7,8,9,,
30,2,4,1,3,3,4,4,4,4,4,4,4,1,4,,11,,,,11,2,1,3,,,,,4,3,1,,7,,,,,,6,1,4,,,,3,3,4,4,4,4,4,10,,,,,,学校に行きたくないのに行かされている。,7,8,9,12,,,,,,,,,,1,2,1,4,5,6,9,,,,,,,3,2,1,5,5,5,2,1,6,9,,,,,,,,学校が嫌いだから、メタバースでの通学がしたい。学校に行きたくない人の居場所を作ってほしい（メタバースでそういった人を何人も見てきた）。
31,1,,2,4,3,4,4,4,3,4,4,4,4,,,1,,,,1,2,1,1,2,,,,2,4,2,,2,3,5,7,,,4,1,3,,,,2,2,1,1,1,2,2,11,,,,,,,1,2,,,,,,,,,,,,3,3,4,1,2,,,,,,,,,2,5,5,3,2,3,3,2,7,8,9,,,,,,,特にないです。
32,2,1,2,4,3,4,4,4,4,4,4,4,4,,,1,,,,1,1,1,1,2,3,,,2,2,3,,1,7,,,,,5,5,,,,英悟,2,3,2,3,3,3,3,10,,,,,,父がむしゃくしゃしてるときに、物にあたり、物がこわれたりすることがある。こわくても指摘できない。,1,4,,,,,,,,,,,,2,2,4,1,,,,,,,,,,4,2,2,5,2,3,2,3,5,6,,,,,,,,・大きい公園（さまざまな遊具）　・身近な場所にある児童館　・シマエナガとふれあえる場所　・ディズニーランドより規模が大きい遊園地　・本の貸し借りができ、食べ物が食べれたり実際にその本を変えたり、友だちと静かに遊べる予約制の防音の個室があったり、人工芝が植えられている庭があり、そこに大きな木が植えられており、そこで借りた本を読める場所。
33,2,1,2,3,3,4,4,4,3,4,4,4,3,,,,,,,1,2,1,1,2,,,,1,4,2,,1,5,7,,,,4,1,,,,,1,1,1,1,1,2,1,11,,,,,,,1,2,3,4,,,,,,,,,,3,3,4,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
34,1,1,2,3,3,4,4,4,3,4,4,4,4,4,,,,,,1,4,1,1,,,,,1,5,2,,1,,,,,,3,3,,,,,1,1,1,2,1,1,1,11,,,,,,,1,3,4,,,,,,,,,,,3,2,4,1,2,,,,,,,,,1,4,4,4,4,4,4,4,1,3,5,,,,,,,
35,3,1,1,4,3,4,4,4,3,3,3,4,4,,,1,,,,1,2,1,1,2,,,,1,3,2,,1,3,,,,,2,2,,,,,2,2,2,2,1,2,2,11,,,,,,,1,3,6,,,,,,,,,,,3,3,2,1,2,3,,,,,,,,2,,,,,,,,,,,,,,,,,
36,2,1,3,4,2,3,4,4,3,4,4,4,4,3,祖父母の家,12,,,,8,3,1,1,2,3,,,1,3,2,,2,,,,,,5,1,,,,,3,4,2,3,2,3,2,11,,,,,,,3,8,,,,,,,,,,,,1,2,1,2,5,,,,,,,,,3,5,5,5,5,5,2,3,1,6,8,,,,,,,・色々な内容の相談を様々な方法（チャット・電話・対面など）でできる仕組み。　・大人に、子どもの考えや思いを知ってもらう機会をつくる。（大人は否定せずに、じっくり子どもの意見をきくこと）ふつうに言うと、「親に逆らうな」とか、怒られて親に全く意見を聞いてもらえない。　・「狛江市二水と緑のまち」を守る活動をたくさんする。　・スクールカウンセラーの人数を増やす。
37,1,1,1,,,,,,,,,,,,,,,,,1,3,1,1,2,,,,2,4,2,,1,3,,,,,3,3,,,,,2,2,1,2,2,1,2,4,,,,,,,1,2,3,4,,,,,,,,,,1,2,3,1,2,3,,,,,,,,2,3,3,5,3,3,3,3,3,5,7,,,,,,,ぼくは大家族で育っているので、お金に余裕がありません。買い物もたまにしかできないので、貯金をするお金を市民の人に分けてほしいです。
