回答者(or No.),問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。,問１　５　その他,問２　あなたの年齢を教えてください。,問２　あなたの年齢を教えてください。,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　３　祖父／人数,問３　４　祖母／人数,問３　５　兄／人数,問３　６　姉／人数,問３　７　弟／人数,問３　８　妹／人数,問３　９　その他の親戚／人数,問３　10　その他／人数,問４　現在のあなたの婚姻状況を教えてください。,問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。,問８　両親の国籍／A　母親,問８　両親の国籍／B　父親,問９　両親の就労状況／A　母親,問９　両親の就労状況／B　父親,問９1　働いていない最も主な理由／A　母親,問９1　働いていない最も主な理由／B　父親,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親,問９3　平日の日中以外の勤務／A　母親（複数回答１）,問９3　平日の日中以外の勤務／A　母親（複数回答２）,問９3　平日の日中以外の勤務／A　母親（複数回答３）,問９3　平日の日中以外の勤務／A　母親（複数回答４）,問９3　平日の日中以外の勤務／A　母親（複数回答５）,問９3　平日の日中以外の勤務／A　母親　６　その他,問９3　平日の日中以外の勤務／B　父親（複数回答１）,問９3　平日の日中以外の勤務／B　父親（複数回答２）,問９3　平日の日中以外の勤務／B　父親（複数回答３）,問９3　平日の日中以外の勤務／B　父親（複数回答４）,問９3　平日の日中以外の勤務／B　父親（複数回答５）,問９3　平日の日中以外の勤務／B　父親（複数回答６）,問９3　平日の日中以外の勤務／B　父親　６　その他,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか,問111　問11で回答した理由を教えてください。（複数回答１）,問111　問11で回答した理由を教えてください。（複数回答２）,問111　問11で回答した理由を教えてください。（複数回答３）,問111　問11で回答した理由を教えてください。（複数回答４）,問111　問11で回答した理由を教えてください。（複数回答５）,問111　５　その他,問12　健康状態／①　あなた（回答者）,問12　健康状態／②　お子さん,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。,問141　受け取っていない理由を教えてください。,問141　７　その他,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。,問16　A　お子さんの勉強をみる,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする,問16　E　お子さんと一緒に家事など（料理等）をする,問16　F　お子さんと一緒に買い物等外出をする,問17　A　海水浴・登山などに行く,問17　B　博物館・科学館・美術館などに行く,問17　C　キャンプやバーベキューなどに行く,問17　D　スポーツ観戦や映画・コンサートなどに行く,問17　E　遊園地やテーマパークなどに行く,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。,問19　買えなかったこと／①食料,問19　買えなかったこと／②衣類,問20　Ａ　電話料金,問20　Ｂ　電気料金,問20　Ｃ　ガス料金,問20　Ｄ　水道料金,問20　Ｅ　家賃,問20　Ｆ　住宅ローン,問20　Ｇ　その他の債務,問21　Ａ　毎月お小遣いを渡す,問21　Ｂ　毎年新しい洋服・靴を買う,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）,問21　Ｅ　お誕生日のお祝いをする,問21　Ｆ　１年に１回くらい家族旅行に行く,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる,問21　Ｈ　子どもの学校行事などに親が参加する,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答１）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答２）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答３）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答４）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答５）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答６）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答７）,問23　最後に通った学校／A　母親,問23　最後に通った学校／B　父親,問231　学校を卒業したか／A　母親,問231　学校を卒業したか／A　母親　3　その他,問231　学校を卒業したか／B　父親,問231　学校を卒業したか／B　父親　3　その他,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答１）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答２）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答３）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答４）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答５）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答１）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答２）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答３）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答４）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答５）,問27　A　現在の受け取り方法（複数回答１）,問27　A　現在の受け取り方法（複数回答２）,問27　A　現在の受け取り方法（複数回答３）,問27　A　現在の受け取り方法（複数回答４）,問27　A　現在の受け取り方法（複数回答５）,問27　A　現在の受け取り方法（複数回答６）,問27　A　現在の受け取り方法（複数回答７）,問27　A　７　その他,問27　B　今後、受け取りたい方法（複数回答１）,問27　B　今後、受け取りたい方法（複数回答２）,問27　B　今後、受け取りたい方法（複数回答３）,問27　B　今後、受け取りたい方法（複数回答４）,問27　B　今後、受け取りたい方法（複数回答５）,問27　B　今後、受け取りたい方法（複数回答６）,問27　B　今後、受け取りたい方法（複数回答７）,問27　B　７　その他,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。,問29　Ａ　市役所の窓口,問29　Ｂ　子ども家庭支援センター,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど,問29　Ｄ　民生委員・児童委員,問29　Ｅ　児童相談所,問29　Ｆ　ハローワーク,問29　Ｇ　上記以外の公的機関,問30　あなたは「子どもの権利条約」について知っていますか。,問31　あなたが狛江市に期待することなどがありましたら、ご自由にお書きください。,学年,生活困難度,世帯タイプ,生活困難度（統合）,世帯タイプ（統合）,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親
105,2,,37,1,1,2,4,7,8,,,1,2,4,7,8,,,,1,,,1,1,,,1,,2,1,1,1,1,1,,,45,45,1,4,,,,,7,,,,,,,8,11,,4,2,,,,,,3,3,2,2,4,,1,1,4,3,1,4,3,4,1,4,1,1,2,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,8,,,,,,,8,9,1,,1,,3,8,,,,,7,,,,,1,3,4,5,,,,,7,,,,,,,掲示板あるとよい。,1,2,2,1,2,2,2,2,1,子どもが3人おり、今後の学業に対する費用の負担が心配である。子どもが、皆平等に学べることができるようにしてほしい。又、高齢者が多いので、その負担が子どもにいかないようにしてほしい。,1,3,2,2,1,5,5
106,2,,37,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,16,50,7,,,,,,2,4,5,,,,,2,10,,4,3,,,,,,3,1,4,2,1,,1,3,3,2,1,2,2,4,1,1,1,1,2,4,4,2,2,2,2,3,2,3,2,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,2,3,4,6,,,,,,,,,,,,,1,2,2,1,2,2,2,2,4,,1,3,1,2,1,2,6
107,2,,,,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,3,4,,,32,73,7,,,,,,2,3,4,5,,,,,,,4,2,3,,,,,3,2,3,2,4,,1,3,3,2,2,4,2,1,3,4,1,3,2,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,,,,,,,,,,,,,,4,8,,,,,4,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,4,,1,,1,,1,4,8
108,2,,48,2,1,6,8,,,,,1,6,8,,,,,,,,1,,1,,,1,,2,1,1,1,1,1,,,9,9,4,,,,,,4,,,,,,,10,7,,4,3,,,,,,1,1,2,2,1,,4,4,4,4,3,2,1,3,3,3,3,3,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,6,5,,,,,3,8,,,,,1,,,,,8,,,,,,,,8,,,,,,,,1,2,2,2,2,2,2,2,4,なんとか暮しています。毎日忙しいですが家族皆が健康で幸せです。,1,,,,,1,1
109,2,,50,3,1,2,6,7,,,,1,2,6,7,,,,,,,1,1,,,,1,,2,1,1,1,5,1,2,,,12,,,,,,,7,,,,,,,,12,,4,2,3,,,,,1,1,5,2,4,,1,1,4,3,1,4,3,1,1,1,1,1,2,4,4,2,2,3,2,3,3,3,2,1,1,1,1,1,1,1,8,,,,,,,9,8,1,,1,,3,8,,,,,7,,,,,1,3,4,,,,,,1,3,4,,,,,,1,2,2,2,2,2,2,2,2,,1,3,1,2,1,,2
110,2,,44,2,1,2,6,,,,,1,2,6,,,,,,,,,,,,,1,,2,1,1,1,1,1,,,43,40,4,,,,,,7,,,,,,,8,12,,3,1,,,,,,3,2,2,2,1,,1,1,3,4,1,4,2,4,1,1,1,4,1,4,4,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,8,,,,,,,6,8,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,5,5
111,2,,46,2,1,2,5,6,7,,,1,2,5,6,7,,,,,1,1,1,,,,1,,2,2,1,1,1,1,,,50,50,7,,,,,,7,,,,,,,7,8,,5,5,,,,,本人の希望を確認したことがない為。,3,3,3,2,1,,1,4,4,4,2,3,3,4,4,1,1,1,4,4,4,2,2,2,2,2,3,3,1,1,1,1,1,3,1,1,8,,,,,,,6,8,1,,1,,5,5,,,,,2,3,4,5,6,3,4,5,,,,,,3,4,5,,,,,,2,1,2,1,2,2,1,,2,①働いても働いても給料は上がらず税金は高いまま。子どもの学費も、本人が大学まで望んだときに十分に出してやれない。安心して学校に行かせてあげられるよう学費の支援、税金下げる等してほしい。子どもに1番金がかかるのは学費。　②高齢者への税金の使い方が大きい。延命治療のための医療費まで医・介保険使うから若者の負担が大きくなる一方なんだと思う。,1,3,1,2,1,6,6
112,2,,46,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,5,1,2,,,45,,,,,,,7,,,,,,,1,12,1,4,1,2,,,,,1,1,4,2,4,,1,2,4,3,1,3,3,4,4,4,1,1,1,4,4,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,8,,,,,,,6,9,1,,1,,3,8,,,,,7,,,,,1,4,7,,,,,ネットニュース等。,1,3,,,,,,,1,2,1,2,2,2,2,2,3,,1,3,1,2,1,,5
113,2,,40,2,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,2,1,3,3,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,4,5,,,,,,,,,,,,3,4,5,,,,,,1,2,1,1,2,2,2,2,3,マンションが沢山増えているが、その受け皿となる公園や小学校が少ないのでは？と…子どもが通う小学校はもうパンパンで、空き教室がないと聞きました。全国的には少子化ですが狛江市は人気も上がっている？ようですし、子どもの数は多いのでしょうか？子どもの自由な居場所や学校内のゆとりがあるといいなと思います。,1,,1,,1,,
114,2,,46,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,5,1,2,,,60,,,,,,,4,5,,,,,,1,12,,4,2,,,,,,1,1,4,2,4,,3,1,3,3,1,3,3,4,4,1,1,1,2,4,4,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,1,8,,,,,7,,,,,1,4,5,6,,,,,1,4,5,6,,,,,1,2,2,1,2,2,1,,3,,1,3,1,2,1,,7
115,2,,39,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,5,1,6,,,40,,,,,,,2,4,5,,,,,1,12,,4,2,,,,,,3,1,4,2,4,,1,3,4,3,1,4,3,4,4,1,4,1,3,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,8,,,,,,,7,,1,,,,3,8,,,,,4,5,6,,,4,,,,,,,,3,4,5,,,,,,1,3,4,2,2,2,2,2,3,,1,3,1,2,1,,5
116,2,,43,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,18,45,7,,,,,,7,,,,,,,3,12,,4,2,3,4,,,,4,3,2,2,1,,1,2,4,2,1,1,3,3,3,4,1,3,1,4,4,2,2,2,2,3,2,3,2,1,1,1,1,2,1,1,,,,,,,,6,8,1,,1,,4,8,,,,,7,,,,,3,6,,,,,,,4,,,,,,,,1,2,2,2,2,2,1,2,2,,1,3,1,2,1,2,5
117,2,,40,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,1,1,,,40,40,4,,,,,,4,,,,,,,6,9,,5,5,,,,,子どもしだい。,1,1,3,2,6,,1,3,3,4,2,2,2,1,4,1,1,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,8,8,1,,1,,3,,,,,,,,,,,4,5,6,,,,,,2,4,5,6,,,,,1,2,2,2,2,2,2,2,4,,1,3,1,2,1,5,5
118,2,,41,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,3,1,,,19,50,5,,,,,,2,,,,,,,3,12,,4,2,3,,,,,4,1,2,2,4,,1,1,4,4,1,4,4,3,1,3,1,1,2,4,4,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,8,,,,,,,9,8,2,,1,,3,8,,,,,4,5,6,,,3,4,5,,,,,,3,4,5,,,,,,1,4,4,1,4,4,4,4,1,子供の医療費を高校生まで所得制限なしで無料にしてください。東京都内でほとんどの市区が無料になっているのに、狛江市だけ所得制限があるのは残念ですし、改善されないなら引越を検討します。,1,3,1,2,1,2,6
119,2,,41,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,2,1,1,3,1,,,29,60,3,4,5,,,,4,5,6,,,,出張でいない時あり。,4,12,,4,1,,,,,,4,3,1,2,4,,1,2,3,4,2,3,3,1,1,1,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,6,,,,,,,8,8,2,,1,,4,8,,,,,2,5,,,,4,,,,,,,,1,,,,,,,,2,4,1,1,2,3,2,2,2,・もっと気軽に子供を預ってくれる場所をつくってほしい。財源黒字なんだから早く対応してほしい。幼稚園児も含めて、働く可能性がせばめられている。,1,3,1,2,1,3,7
120,2,,49,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,30,40,7,,,,,,6,,,,,,不定期に土・日・祝日。,5,6,,4,5,,,,,学力、知識をつける事を学んでほしいから。,1,1,4,2,1,,1,1,3,3,1,2,3,1,1,1,1,4,3,2,2,2,2,2,2,3,2,3,2,2,1,3,1,1,1,1,8,,,,,,,6,8,1,,2,,,3,,,,,7,,,,,2,4,5,6,,,,,1,4,5,7,,,,行政機関からのお便り。,1,2,5,1,1,5,1,5,4,・小学校・中学校の教員の増員　・1クラスの人数をもう少し少なくする　・学校のプール開放　・市内に温水プールを作る　・給食費の無料化　・長期休暇の有料給食提供。,1,2,1,1,1,4,5
121,2,,47,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,1,1,,,40,50,7,,,,,,7,,,,,,,12,12,,4,2,,,,,,2,1,4,2,4,,1,3,3,3,1,3,2,1,4,1,1,1,2,4,4,3,2,2,2,3,2,3,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,4,,,,,,,5,,,,,,,,1,2,2,2,2,2,2,2,3,,1,3,1,2,1,5,6
122,2,,40,2,1,7,,,,,,1,7,,,,,,,,,,1,,,,1,,2,1,1,1,1,1,,,40,50,7,,,,,,7,,,,,,,7,10,,4,2,,,,,,1,1,4,2,4,,1,2,3,4,1,2,2,1,3,1,3,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,9,1,,1,,3,8,,,,,7,,,,,4,,,,,,,,2,,,,,,,,1,2,2,2,2,2,2,2,4,,1,,,,,5,6
123,1,,40,2,1,2,6,8,,,,1,2,6,8,,,,,,,1,,1,,,1,,2,1,1,1,5,1,2,,,40,,,,,,,6,,,,,,月イチで半ドンあり。,1,8,1,3,2,,,,,,1,1,5,2,7,よくわからない。,4,2,2,2,2,4,2,1,1,4,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,,,,,,,,7,8,1,,1,,3,8,,,,,7,,,,,3,4,5,6,,,,,3,4,5,6,,,,,1,2,1,1,2,2,2,2,4,平和。,1,3,1,2,1,,5
124,2,,48,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,2,1,,,35,50,7,,,,,,7,,,,,,,5,10,1,4,2,,,,,,3,1,4,2,6,,1,3,4,4,1,2,3,4,4,4,1,1,2,4,4,2,2,2,2,2,3,3,1,1,2,2,1,1,1,1,8,,,,,,,2,7,1,,1,,4,5,,,,,5,,,,,3,4,6,,,,,,3,4,6,,,,,,1,2,2,1,2,2,2,2,4,,1,3,1,2,1,4,6
125,2,,42,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,1,1,,,40,45,7,,,,,,7,,,,,,,5,10,,4,4,,,,,,3,3,4,2,4,,1,2,2,3,1,3,2,1,4,1,4,1,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,6,7,1,,1,,4,1,,,,,7,,,,,2,3,4,5,6,,,,,,,,,,,,1,1,2,2,2,2,1,2,4,,1,3,1,2,1,5,5
126,2,,49,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,20,65,7,,,,,,1,2,3,4,5,,,4,7,,4,1,5,,,,将来の選択肢を広げてあげたい。,3,4,3,2,5,,1,2,4,4,1,3,3,3,2,3,1,2,1,1,1,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,1,2,3,4,5,6,,,,,,,,,,,1,1,2,1,2,2,1,1,4,・給食費を無償化にして欲しい。→子供と旅行や遊園地へ連れて行くお金にあてたいです。あと塾代にもあてたいです。　・中学生が勉強できたり、集まれるスペースをふやしてほしいです。→空いている公民館のフリースペースをふやしてほしい。,1,1,1,1,1,3,7
127,2,,44,2,1,2,5,6,,,,1,2,5,6,,,,,,1,1,,,,,1,,2,2,1,1,3,1,,,30,50,4,5,,,,,2,3,4,5,,,,,,,4,1,,,,,,5,3,1,2,1,,1,1,4,4,2,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,3,6,7,,,,,8,2,1,,1,,1,8,,,,,1,4,5,6,,4,5,,,,,,,4,5,,,,,,,2,1,1,1,,1,1,1,3,,1,,1,,1,4,6
128,2,,44,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,15,50,7,,,,,,4,5,,,,,,3,10,,4,1,,,,,,1,1,5,2,6,,1,1,3,2,1,2,3,1,1,1,1,1,1,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,1,8,,,,,7,,,,,4,5,6,,,,,,5,6,,,,,,,1,2,2,2,2,2,2,2,2,,1,3,1,2,1,2,6
129,2,,40,2,1,2,5,7,,,,1,2,5,7,,,,,,1,,1,,,,1,,2,1,1,1,4,1,,,8,40,7,,,,,,7,,,,,,,2,12,,4,1,,,,,,1,1,4,2,4,,1,2,4,4,1,3,3,4,4,4,4,1,2,4,4,2,2,2,2,2,3,3,1,1,1,1,1,1,1,1,8,,,,,,,6,8,1,,1,,1,8,,,,,7,,,,,6,7,,,,,,テレビのニュース番組、ネットニュース。,3,5,6,7,,,,左同様。,1,2,2,2,2,2,2,2,3,,1,3,1,2,1,1,5
130,2,,53,3,1,6,,,,,,1,6,,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,15,45,1,5,,,,,7,,,,,,,3,12,,5,3,,,,,,3,1,4,2,4,,1,2,4,2,1,2,3,1,4,4,1,1,2,4,4,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,8,,,,,,,2,8,1,,1,,3,8,,,,,7,,,,,3,,,,,,,,3,,,,,,,,1,2,1,1,2,1,2,2,2,,1,,,,,2,5
131,2,,46,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,15,45,4,,,,,,7,,,,,,,2,12,,4,1,,,,,,1,1,4,2,4,,1,2,3,2,1,3,4,3,3,1,1,3,1,4,4,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,,,,,,,,6,8,1,,1,,3,8,,,,,7,,,,,3,4,5,6,,,,,3,,,,,,,,1,2,2,2,2,2,2,2,4,子供の医療費などの所得制限の見直しや撤廃を期待します。,1,3,1,2,1,2,5
132,2,,45,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,2,1,,,34,50,4,,,,,,7,,,,,,,4,12,,4,2,,,,,,3,3,4,2,1,,1,2,3,4,1,3,4,1,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,3,4,5,6,,,,1,3,4,5,6,,,,1,2,1,3,2,2,1,2,3,子育て支援の施策に所得制限をつけないで欲しいです。友人内で、微妙な空気になります。（医療証など）。,1,3,1,2,1,4,6
133,2,,45,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,4,,,20,60,7,,,,,,1,2,3,4,5,,,3,6,,4,2,,,,,,3,1,3,,,,1,1,3,4,1,2,2,4,1,4,1,1,1,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,8,,,,,,,7,3,1,,1,,2,8,,,,,7,,,,,3,4,5,,,,,,3,4,5,,,,,,1,2,2,4,2,2,2,2,3,,1,3,1,2,1,3,7
134,2,,,,1,6,,,,,,1,6,,,,,,,,,1,,,,,1,,2,1,1,1,5,1,2,,,,,,,,,,7,,,,,,,,,,4,1,,,,,,3,1,5,2,4,,1,1,3,4,1,2,2,1,3,3,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,4,,1,,,,,,
135,2,,45,2,1,2,5,7,,,,1,2,5,7,,,,,,1,,1,,,,1,,2,1,1,1,3,1,,,30,45,4,,,,,,4,5,,,,,,4,7,,4,1,2,,,,,1,1,4,2,5,,1,4,4,4,1,3,4,1,1,1,1,3,2,4,4,2,2,2,2,2,3,2,2,1,1,2,1,1,1,1,3,7,,,,,,8,8,1,,2,,3,8,,,,,5,,,,,1,2,3,4,5,6,,,1,2,3,4,5,6,,,1,4,1,1,5,2,1,5,3,・子どもの遊べる広い公園がない。　・ボール遊びできる公園がもっとほしい。　・プレーパークがある市は近りんの市区の中ではめずらしくとてもありがたいです。働かれているプレーワーカーの方たちは精神面でも子どもに寄り添っていただいていてよくサポートしてくれています。市としてプレーパークのサポートをお願いします。,1,3,1,2,1,4,5
136,2,,46,2,1,2,4,,,,,1,2,4,,,,,,1,,,,,,,1,,1,1,1,1,1,2,,,45,50,7,,,,,,7,,,,,,,11,6,4,4,1,2,3,,,,3,2,3,2,4,,1,2,3,2,1,2,2,1,1,1,1,1,1,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,8,9,1,,1,,4,8,,,,,7,,,,,1,2,3,4,6,,,,1,2,3,4,5,6,,,1,2,2,2,2,2,2,2,2,,1,3,2,2,1,5,6
137,2,,49,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,1,1,,,,9,7,,,,,,7,,,,,,,,,,4,1,,,,,,2,1,3,2,4,,1,3,4,4,1,3,3,4,4,4,1,1,2,4,4,2,2,2,2,3,3,3,2,1,1,1,1,1,1,1,,,,,,,,7,6,1,,1,,3,8,,,,,7,,,,,1,2,3,4,5,6,,,3,5,6,,,,,,1,2,1,2,2,2,2,2,4,,1,,1,,1,,1
138,2,,43,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,3,1,,,15,45,7,,,,,,7,,,,,,,4,6,,3,3,,,,,,3,3,3,2,1,,1,1,4,3,1,2,2,4,4,4,1,2,3,2,2,2,2,2,2,2,3,3,2,1,3,3,1,3,1,1,6,7,,,,,,2,2,1,,1,,3,8,,,,,7,,,,,4,6,,,,,,,4,6,,,,,,,1,2,2,1,2,2,2,2,3,,1,1,1,1,1,2,5
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,4,1,,,,,,1,1,3,2,4,,3,2,3,3,1,2,1,1,4,1,1,1,1,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,6,8,1,,1,,3,8,,,,,1,,,,,3,6,,,,,,,3,6,,,,,,,1,3,2,2,2,2,2,2,3,,1,,,,,,
140,2,,42,2,1,5,6,,,,,1,5,6,,,,,,,1,1,,,,,1,,2,1,1,1,2,1,,,30,50,7,,,,,,7,,,,,,,,,,5,,,,,,,1,1,5,1,,,1,3,3,3,1,2,2,1,1,1,1,1,2,4,4,,,,,,,,2,2,1,2,1,1,1,1,,,,,,,,9,8,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,,1,,,,,4,6
