年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
9,4,3,7,7,11,5,10,3,15,6,1,5,33,36,6,18,6,10,1,1,1,0,4,1,7,1,18,12,65,52,5,0,7,12,4,7,3,4,4,9,9,4,3,3,5,9,6,6,4,7,1,1,6,7,1,1,6,5,2,8,3,4,1,3,1,0,6,5,16,14,1,0,5,2,21,20,5,4,15,15,14,20,2,5,3,5,1,2,5,8,16,13,14,15,3,8,6,5,3,5,0,0,10,11,14,14,5,1,5,6,0,1,14,12,14,10,3,8,0,1,2,5,5,4,10,14,15,11,10,9,9,9,8,11,13,5,17,11,15,10,42,38,2,2,5,6,10,3,0,0,4,4,7,9,4,1,5,4,3,1,2,3,0,2,2,5,651,627,"1,278"
10,2,3,5,10,7,5,3,9,9,6,4,4,37,20,16,11,7,3,3,5,0,1,4,2,6,5,16,7,55,53,4,5,4,8,6,4,3,6,4,4,5,8,1,6,7,4,10,8,3,4,10,7,3,5,5,3,3,7,6,0,10,8,5,3,0,1,8,5,7,6,1,4,1,6,16,11,3,9,18,20,10,13,6,3,7,7,1,2,3,5,8,11,15,15,7,8,6,7,6,8,0,0,7,7,18,13,6,5,5,4,0,2,10,8,10,9,0,4,1,1,4,3,4,2,15,9,15,14,16,10,6,6,10,14,15,10,11,14,8,5,39,29,1,3,6,9,8,11,0,0,1,5,9,6,1,4,5,1,2,1,1,1,2,5,9,9,631,599,"1,230"
11,4,1,12,8,6,10,4,7,5,8,5,4,25,28,12,19,6,4,5,0,2,0,4,1,6,2,10,11,64,49,6,3,4,5,9,11,5,3,9,8,3,6,6,1,8,5,6,4,7,1,4,9,5,5,2,2,6,6,4,4,4,7,3,1,1,1,6,6,6,8,3,1,4,2,10,17,7,7,20,13,6,12,4,6,2,7,0,2,7,5,11,12,20,15,3,7,6,15,8,4,0,0,9,12,12,23,4,9,4,5,2,1,6,13,9,10,2,7,5,1,6,5,2,1,11,18,18,11,12,7,12,4,8,3,15,8,16,11,11,6,35,31,0,2,5,9,9,7,0,0,5,1,4,7,0,0,9,1,2,5,2,0,2,2,8,13,630,606,"1,236"
12,2,5,6,10,15,4,8,8,6,5,2,5,36,31,12,12,3,12,2,2,2,1,5,8,6,7,12,10,59,49,4,3,9,2,10,6,4,5,5,8,2,2,5,0,7,5,12,9,7,4,2,4,7,4,1,2,10,5,6,1,5,3,0,3,1,0,5,4,12,7,0,1,8,1,9,11,6,6,20,14,8,7,1,5,10,7,2,2,6,8,10,9,18,10,5,2,6,3,6,10,0,0,8,4,16,6,8,7,4,3,1,1,10,9,15,11,5,7,1,2,5,3,1,3,7,7,8,20,5,9,7,7,12,5,7,13,13,14,10,8,36,39,3,2,9,4,8,8,0,0,5,3,10,8,1,3,2,2,0,1,0,2,1,0,9,7,632,560,"1,192"
13,1,2,6,12,6,5,8,6,9,7,5,4,26,29,14,14,13,6,5,1,2,1,1,0,6,3,8,7,65,51,3,2,12,5,6,9,2,4,5,7,7,5,4,0,11,3,5,7,5,7,7,3,6,7,3,3,7,5,3,6,9,5,4,2,0,1,6,6,8,12,1,0,4,5,10,5,7,6,16,21,7,6,1,3,7,5,3,1,4,8,20,9,14,17,6,6,5,3,7,4,0,0,13,3,9,16,3,8,6,2,1,2,9,10,7,13,6,7,4,3,6,3,3,4,9,3,10,11,12,10,8,10,9,12,9,13,12,11,13,12,35,34,3,4,5,8,9,6,0,0,4,5,3,5,1,1,2,3,2,5,1,3,1,3,3,10,618,586,"1,204"
14,3,1,11,10,6,9,4,6,7,9,2,4,25,22,19,11,7,11,3,2,0,1,5,6,3,6,13,10,56,67,3,3,6,6,9,3,3,5,5,7,4,7,4,1,2,5,10,5,4,3,1,4,6,6,3,2,9,9,4,3,7,9,2,3,0,0,5,4,8,6,0,2,3,4,4,13,8,8,34,19,6,6,7,3,7,9,3,2,10,5,15,12,13,15,6,7,9,10,3,4,0,0,6,9,18,15,5,4,5,6,0,3,9,10,14,12,5,5,3,1,7,3,3,1,7,11,11,7,10,10,11,8,10,9,7,9,10,15,7,13,25,33,5,1,11,6,9,7,0,0,2,3,2,8,1,5,3,2,1,2,2,2,3,1,7,6,606,612,"1,218"
15,7,6,8,11,12,9,10,9,10,3,6,5,18,22,13,16,7,12,4,1,0,0,4,1,4,4,10,9,60,50,1,2,8,8,10,3,4,6,5,3,3,4,3,3,5,6,9,9,3,9,7,1,9,3,5,2,8,10,8,8,8,4,3,4,2,2,9,7,10,10,1,1,4,3,8,7,3,7,23,18,5,7,6,5,7,4,4,4,6,7,5,13,22,8,6,6,2,5,12,3,0,0,8,6,14,12,7,7,4,5,3,1,13,15,19,9,9,6,1,3,4,1,4,1,8,12,13,12,8,14,6,7,9,9,7,9,12,9,10,11,27,21,6,1,15,5,8,8,0,0,3,1,4,10,0,1,3,3,7,0,1,4,4,4,3,6,647,573,"1,220"
16,4,4,8,12,6,10,6,1,5,7,5,2,23,15,18,23,10,14,4,2,0,0,4,6,5,8,14,9,58,57,5,3,5,6,5,9,3,5,3,2,2,4,1,4,6,4,6,7,3,5,7,5,5,6,3,2,8,7,10,4,14,5,4,1,0,0,6,4,7,13,1,1,6,4,14,8,3,8,22,21,14,7,4,6,5,5,1,5,10,7,12,11,13,11,10,5,14,8,2,5,0,0,9,4,15,19,6,10,1,6,1,1,12,15,9,9,5,3,2,0,2,5,5,2,4,7,13,14,8,17,12,11,8,6,7,10,10,19,13,8,21,17,2,2,12,11,3,7,0,0,1,1,8,9,2,2,2,3,7,2,3,0,3,1,14,11,624,610,"1,234"
17,5,1,4,10,9,10,8,4,8,4,8,2,24,15,24,18,14,7,3,1,3,0,7,4,8,3,9,6,54,57,6,3,9,5,5,8,8,7,5,4,4,7,1,3,8,4,9,4,4,6,5,3,8,5,1,0,11,8,5,3,11,11,5,1,0,0,3,9,8,4,0,2,1,1,6,10,12,11,20,15,10,8,3,2,11,13,6,3,7,6,7,14,10,9,5,6,6,10,7,8,0,0,7,6,7,20,6,12,2,4,2,2,14,14,13,12,2,11,3,2,3,5,2,4,8,8,8,8,5,4,9,6,11,11,5,10,4,6,9,6,15,24,1,4,9,6,7,9,0,0,6,3,7,2,3,4,8,4,1,4,2,1,4,3,12,8,610,578,"1,188"
18,4,5,12,10,6,7,11,7,4,8,3,4,22,16,18,13,7,9,3,3,1,0,2,4,2,5,14,10,63,35,4,4,6,4,6,6,4,5,2,9,4,3,2,1,5,13,13,10,4,5,10,7,4,7,5,1,11,13,4,8,10,6,0,1,2,0,8,9,11,13,4,6,1,8,4,9,6,10,28,23,4,6,4,10,13,10,1,7,15,11,9,14,14,12,7,7,12,5,8,10,0,0,8,3,12,16,5,6,5,0,3,0,16,12,11,15,14,6,0,1,5,1,2,2,6,7,9,9,6,10,11,11,8,9,12,4,9,8,7,5,12,19,2,5,7,6,10,10,0,0,7,0,4,3,1,5,5,4,2,4,0,0,6,3,8,7,630,600,"1,230"
19,4,6,8,15,4,7,3,7,5,7,6,7,12,18,16,16,10,9,2,5,3,1,5,3,8,4,12,17,64,51,4,7,10,3,4,5,3,4,9,11,6,4,1,6,13,10,9,8,3,2,2,9,10,7,0,3,11,13,1,1,13,13,0,1,0,0,9,6,13,10,4,15,2,7,6,6,6,12,21,22,12,7,15,2,4,15,3,3,15,9,16,12,12,18,8,1,11,7,13,9,0,0,7,16,20,21,7,5,6,3,2,2,22,21,9,11,8,8,1,4,6,6,3,2,12,13,9,8,11,9,7,11,12,6,17,13,9,7,8,12,16,16,3,4,5,5,8,12,0,0,11,3,3,3,2,2,6,5,5,2,4,2,3,1,16,10,689,684,"1,373"
20,2,8,14,24,12,14,9,11,6,3,4,8,20,11,28,14,13,6,2,2,0,0,5,3,6,2,24,14,75,63,4,0,6,4,8,3,7,6,9,12,7,10,4,7,19,20,8,8,2,4,2,6,9,6,1,3,18,9,6,2,7,4,5,2,1,0,6,11,15,13,8,10,13,6,1,9,8,10,24,37,12,9,8,4,6,4,4,3,9,15,13,18,10,7,8,8,7,7,9,5,0,0,6,12,11,13,4,7,2,3,1,1,21,30,18,7,7,8,4,1,6,5,2,6,14,12,15,10,14,9,5,13,8,9,29,3,15,14,12,15,15,18,4,3,9,5,9,11,0,0,13,7,3,2,1,1,4,4,1,2,0,3,4,2,14,13,775,714,"1,489"
21,0,2,22,20,9,5,13,19,7,7,5,1,7,19,20,17,14,6,1,0,1,2,4,4,4,8,18,16,71,65,9,4,6,4,6,5,6,5,23,8,12,8,5,8,25,24,17,5,8,2,6,11,5,8,3,4,4,12,7,5,10,12,1,2,0,0,14,7,17,12,11,16,21,8,13,9,10,13,29,38,3,6,13,4,14,10,0,2,6,13,12,25,12,10,6,7,11,10,15,14,0,0,12,14,15,16,8,8,7,1,2,1,16,19,17,20,2,9,1,2,4,0,5,5,18,10,8,8,17,19,5,11,12,10,14,5,13,13,7,10,9,9,2,3,9,5,12,16,0,0,9,11,1,7,3,5,6,1,0,2,3,1,3,0,13,18,809,781,"1,590"
22,7,10,18,17,7,11,9,9,8,5,6,5,11,15,19,12,12,12,2,0,2,1,7,8,12,8,23,27,78,49,4,1,7,7,12,8,7,9,22,10,10,11,7,10,19,21,16,5,4,6,4,3,12,6,1,7,17,15,5,5,9,10,0,1,1,1,11,6,17,16,8,8,12,10,10,17,13,16,23,28,7,16,10,6,12,12,3,3,13,29,16,17,13,15,6,8,11,8,15,10,0,0,11,7,11,15,4,4,4,4,1,3,24,14,9,10,5,5,0,1,3,7,4,2,16,13,7,10,12,15,8,5,10,11,12,11,18,7,17,9,13,12,3,3,11,11,10,9,0,0,7,7,4,7,2,1,5,5,2,1,1,5,5,1,19,12,836,777,"1,613"
23,4,1,24,24,11,10,14,9,10,9,4,5,14,27,13,14,14,13,0,2,5,0,5,3,10,1,23,26,60,58,3,4,9,8,7,5,12,4,23,24,10,7,7,12,15,15,19,14,6,2,5,3,11,8,2,3,5,9,4,5,8,4,2,0,0,0,10,12,23,21,10,5,14,10,7,16,19,12,20,25,3,10,9,7,10,5,3,1,13,21,18,20,5,8,3,3,8,3,6,3,0,0,12,11,13,15,9,2,3,1,3,4,16,16,7,14,6,8,1,1,4,3,5,6,14,17,9,11,11,15,5,11,11,9,6,9,18,14,18,16,12,13,6,3,7,5,7,12,1,0,6,7,1,3,0,1,5,2,6,1,2,0,2,1,16,13,782,755,"1,537"
24,7,4,21,20,4,9,7,10,10,8,6,6,10,13,15,15,12,13,1,1,0,3,2,4,4,9,20,23,58,44,7,5,5,6,8,5,6,5,21,8,12,12,8,13,16,14,13,9,7,8,4,2,6,9,4,2,11,9,6,8,8,4,1,0,0,0,14,18,19,17,14,12,9,10,4,19,17,14,29,34,7,13,6,4,7,7,3,1,18,24,9,21,11,15,10,8,7,4,7,7,0,0,8,10,9,11,7,5,6,2,0,0,27,28,17,9,9,12,1,5,0,2,1,3,11,26,8,6,8,4,9,8,10,8,13,4,29,10,15,16,10,8,3,0,12,2,9,10,0,0,9,6,5,8,0,4,0,4,1,3,0,0,1,3,7,21,756,767,"1,523"
25,3,1,22,27,7,6,15,11,6,5,3,4,12,11,15,12,10,7,0,1,1,4,5,3,17,11,29,25,54,44,3,4,4,1,8,7,4,8,31,14,12,18,10,10,10,12,13,6,4,7,1,4,6,12,3,6,12,9,5,5,7,5,0,0,1,0,15,16,15,21,9,4,12,10,5,21,14,14,32,22,6,8,4,6,6,7,2,2,7,21,12,14,9,8,12,10,8,5,7,10,0,0,7,12,19,14,4,7,2,1,0,2,21,19,12,8,4,11,1,2,3,6,2,5,10,12,6,5,8,4,4,6,11,6,6,7,28,12,11,9,3,9,3,0,8,5,8,12,0,0,4,6,1,2,1,0,1,0,1,2,3,1,0,0,19,18,719,702,"1,421"
26,2,3,18,18,7,4,8,12,10,5,7,3,13,16,11,11,10,6,2,3,1,1,8,6,11,13,28,11,35,40,4,4,9,7,10,7,7,7,27,13,12,14,5,7,19,10,8,8,9,2,5,6,9,11,4,5,8,11,7,6,9,8,2,2,1,0,19,9,19,17,6,4,7,9,4,10,16,21,19,23,7,7,6,6,3,4,1,1,11,14,11,13,10,5,12,8,6,11,3,3,0,0,16,11,14,12,3,6,5,2,2,0,15,14,11,12,6,3,0,3,6,2,6,4,13,17,3,10,14,11,9,10,7,5,8,3,18,9,11,11,12,11,3,2,7,6,9,14,0,0,5,4,4,4,0,0,0,1,1,2,1,1,0,1,17,10,712,646,"1,358"
27,1,3,18,15,8,10,13,13,10,11,3,3,12,6,6,9,6,8,3,3,1,2,2,4,12,13,25,15,31,32,2,3,7,9,8,5,3,5,24,20,13,17,7,3,8,11,13,11,4,9,5,4,10,7,3,5,8,12,7,5,7,10,0,2,1,1,22,14,13,11,1,8,6,9,9,12,19,12,18,36,12,5,3,5,4,5,1,1,7,11,15,19,17,14,15,6,4,2,4,4,0,0,9,9,14,9,2,2,2,1,1,0,18,27,12,7,10,8,3,2,4,1,3,2,17,17,8,3,15,7,4,2,12,8,6,6,12,17,7,12,17,11,1,2,7,5,8,13,0,0,6,4,2,4,0,1,4,0,2,2,2,1,2,1,17,14,678,658,"1,336"
28,1,1,12,11,4,7,7,9,12,11,4,5,6,10,6,12,5,6,2,2,1,2,6,2,11,6,17,15,38,42,4,2,4,8,15,7,7,9,22,15,13,12,8,7,8,7,6,11,4,5,2,6,10,8,2,2,9,6,9,6,5,10,0,0,1,0,18,9,19,18,13,4,9,9,6,7,19,12,25,19,13,10,4,5,6,11,2,1,9,16,16,16,12,9,13,7,3,8,9,9,0,0,9,11,19,15,4,5,3,5,3,5,22,21,9,9,3,5,2,0,3,2,4,5,14,22,7,3,13,15,11,8,7,7,9,7,10,19,11,9,6,18,1,2,3,4,12,11,0,0,5,6,2,0,0,1,2,5,0,0,2,2,2,0,16,16,671,670,"1,341"
29,6,5,20,16,10,8,19,18,12,6,2,5,9,10,8,6,9,5,2,2,2,0,4,2,12,10,10,19,39,33,3,7,6,3,12,11,6,10,21,17,18,12,5,4,13,10,3,8,4,5,4,10,7,7,5,3,10,9,3,4,12,2,3,2,1,0,12,10,16,20,5,6,6,9,13,6,11,14,30,18,8,17,7,6,10,9,1,2,10,9,17,17,15,19,18,6,9,7,9,4,0,0,14,8,8,14,2,5,2,2,0,2,25,18,12,9,13,3,0,0,5,1,3,5,15,19,6,10,15,16,5,8,9,7,11,1,16,20,10,13,16,19,2,0,3,2,15,18,0,0,4,13,2,1,1,2,1,4,2,0,4,3,2,1,11,11,731,683,"1,414"
30,7,4,21,12,4,13,18,14,10,10,5,7,11,9,15,10,8,8,5,1,0,2,4,4,8,10,14,17,47,44,1,7,3,8,4,9,12,10,23,15,6,10,9,9,10,15,11,5,6,7,7,3,8,10,5,3,7,6,4,10,13,3,3,2,1,0,15,11,32,12,6,4,10,4,5,11,20,25,29,17,12,23,5,2,10,7,2,2,12,7,25,16,16,17,9,12,6,6,6,5,0,0,13,9,18,11,0,4,3,3,5,3,19,25,16,10,14,8,0,1,6,2,6,4,16,19,8,13,9,21,4,8,9,9,8,4,15,24,17,7,17,23,0,2,10,10,7,16,0,0,8,5,1,0,1,2,1,1,0,0,7,1,3,0,21,10,792,733,"1,525"
31,4,4,19,15,9,7,14,15,3,12,7,5,7,15,9,10,8,5,2,1,4,0,4,0,12,9,13,11,46,46,3,6,5,6,18,7,8,7,20,9,13,13,6,6,6,19,9,8,1,4,7,6,5,15,5,4,6,8,7,6,9,13,2,5,1,0,13,20,21,21,8,4,7,10,12,8,23,7,26,26,23,26,3,3,8,3,2,0,10,12,24,21,18,14,15,25,4,5,3,2,0,0,13,12,10,12,2,1,1,6,3,3,24,18,13,17,9,8,2,0,4,4,6,2,22,33,13,12,14,9,12,6,11,8,5,6,16,18,12,14,13,20,2,1,6,11,13,6,0,0,3,6,7,6,1,0,4,2,1,1,4,4,0,0,9,16,767,766,"1,533"
32,3,4,20,16,12,8,13,17,12,7,9,6,13,15,11,11,13,13,2,4,0,1,7,6,13,7,19,16,50,39,2,6,9,8,13,10,11,11,17,14,10,16,7,4,15,14,4,4,6,8,1,8,6,11,4,5,10,13,6,6,9,9,3,0,1,1,18,14,22,27,8,2,12,7,5,7,20,28,26,33,17,29,8,7,6,6,1,3,14,10,24,25,12,23,5,16,5,6,5,4,0,0,6,14,16,15,6,4,4,6,2,2,22,13,11,10,10,4,5,4,3,6,2,1,23,20,12,13,18,17,8,9,12,12,15,7,23,15,11,10,22,22,2,2,8,4,10,10,0,0,8,6,4,2,0,0,1,5,0,2,4,3,1,2,14,9,822,814,"1,636"
33,3,5,25,20,6,9,24,17,13,12,7,2,17,14,18,18,19,6,2,4,5,1,5,6,15,9,21,11,50,53,6,4,6,13,11,8,14,5,16,18,15,9,8,8,12,16,8,7,6,10,4,5,9,7,2,3,12,10,9,7,14,8,5,10,1,1,22,26,25,23,7,2,3,4,10,10,18,13,34,24,31,34,7,6,6,6,1,2,12,17,27,18,26,16,12,17,5,8,4,8,0,0,11,11,19,9,3,3,6,3,6,2,15,17,16,16,4,8,3,2,3,4,9,2,17,37,11,19,12,17,6,12,9,11,11,16,25,23,14,14,20,23,1,3,8,13,13,13,0,0,6,6,5,7,1,1,4,4,4,0,6,3,0,4,13,20,919,893,"1,812"
