 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"4,285",701,"41,253","13,452",704,701,"7,708","13,449","3,581",-,"33,545",3
,351.5%,60.5%,245.1%,180.4%,278.3%,60.5%,305.3%,180.5%,370.7%,-,234.5%,50.0%
印パ･ペルシャ･ベンガル,-,-,"23,426",870,-,-,"18,538",861,-,-,"4,888",9
,-,-,27.2%,15.5%,-,-,37.2%,15.4%,-,-,13.5%,22.5%
東南アジア,"116,254","19,436","1,018,617","175,185","32,597","19,116","287,307","172,667","83,657",320,"731,310","2,518"
,113.0%,98.8%,112.1%,99.2%,122.6%,98.2%,119.7%,99.4%,109.7%,148.8%,109.4%,90.6%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"12,317","4,900","103,973","39,987","3,621","4,744","30,045","38,871","8,696",156,"73,928","1,116"
,95.1%,106.5%,102.8%,94.7%,99.6%,105.9%,105.8%,95.2%,93.4%,126.8%,101.6%,80.9%
中国(香港含む),"81,132","52,240","690,054","425,415","13,816","52,074","131,956","423,831","67,316",166,"558,098","1,584"
,96.4%,96.2%,92.7%,106.8%,102.3%,96.2%,87.1%,106.9%,95.2%,95.4%,94.1%,77.9%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"21,382","24,207","209,173","196,156","10,302","22,699","113,209","179,762","11,080","1,508","95,964","16,394"
,84.6%,126.1%,97.1%,105.1%,74.5%,129.9%,95.1%,105.2%,96.9%,87.3%,99.7%,103.7%
内航定期計,"15,922","3,194","141,017","33,048","8,068","1,826","73,047","19,905","7,854","1,368","67,970","13,143"
,102.7%,79.0%,100.4%,103.7%,103.3%,75.7%,103.1%,110.5%,102.1%,83.8%,97.7%,94.9%
北海道,"5,906",464,"51,421","1,791","3,030",384,"26,924",871,"2,876",80,"24,497",920
,103.9%,129.2%,94.9%,65.9%,106.8%,300.0%,95.7%,120.0%,100.9%,34.6%,94.0%,46.2%
東北,"2,864",604,"30,300","9,240","1,187",502,"14,408","8,156","1,677",102,"15,892","1,084"
,87.1%,55.8%,107.2%,90.7%,72.0%,55.9%,109.8%,87.6%,102.3%,55.4%,104.9%,124.0%
関東,-,-,93,90,-,-,93,-,-,-,-,90
,-,-,-,-,-,-,-,-,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,728",385,"10,801","6,574",407,364,"1,465","6,210","1,321",21,"9,336",364
,125.9%,28.4%,85.4%,90.4%,689.8%,26.9%,122.5%,85.4%,100.6%,-,81.5%,36400.0%
近畿,439,576,"3,703","4,668",26,576,232,"4,668",413,-,"3,471",-
,68.2%,654.5%,79.8%,435.0%,17.0%,2057.1%,35.0%,832.1%,84.1%,-,87.2%,-
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,240",-,"18,587",-,"1,153",-,"9,403",-,"1,087",-,"9,184",-
,99.6%,-,96.4%,-,106.2%,-,98.9%,-,93.5%,-,93.8%,-
沖縄,"2,745","1,165","26,112","10,685","2,265",-,"20,522",-,480,"1,165","5,590","10,685"
,121.4%,100.6%,121.9%,100.9%,111.7%,-,112.5%,-,205.1%,100.6%,176.0%,102.1%
内航不定期,"5,460","21,013","68,156","163,108","2,234","20,873","40,162","159,857","3,226",140,"27,994","3,251"
,55.9%,138.6%,90.9%,105.4%,37.1%,138.6%,83.3%,104.6%,86.2%,147.4%,104.8%,165.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
