 10 輸出貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,
34,その他輸送用車両,189,78,183,216,8,49,75,-,34,その他輸送用車両,45,45,-,126,42,-,8,,,,
35,二輪自動車,28,-,124,121,630,22,6,840,35,二輪自動車,49,-,11,2,-,-,97,,,,
36,自動車部品,"49,483","113,880","296,926","199,530","29,506","21,701","266,532","40,144",36,自動車部品,"61,822","5,359",45,"1,996","103,243","1,255","4,426",,,,
37,その他輸送機械,596,180,"1,560","1,121","1,317",486,"10,802","6,585",37,その他輸送機械,-,14,14,705,153,80,753,,,,
38,産業機械,"130,740","67,322","118,941","155,192","255,279","53,684","66,191","195,475",38,産業機械,"11,734","65,485","3,284","41,718","55,566","10,792","56,504",,,,
39,電気機械,"60,096","27,710","34,709","39,675","30,669","76,191","30,171","23,651",39,電気機械,"12,026","5,460","1,298","37,815","4,965","1,299","34,631",,,,
40,測量・光学・医療用機械,"15,191","12,908","10,825","23,032","21,308","5,027","8,706","1,422",40,測量・光学・医療用機械,"3,532","1,133",210,"2,275","7,321","7,693","3,418",,,,
41,事務用機器,"2,047","6,477","1,297","2,884","2,847","3,178",21,129,41,事務用機器,369,94,49,205,312,-,"5,625",,,,
42,その他機械,172,176,621,545,134,444,-,-,42,その他機械,"2,601",8,25,47,-,8,"1,086",,,,
化学工業品,,"341,406","105,094","57,871","61,653","86,931","111,792","25,676","48,459",化学工業品,,"34,577","25,174","54,364","92,836","54,460","34,427","54,160",,,,
43,陶磁器,253,336,379,268,59,289,56,-,43,陶磁器,22,-,8,19,-,-,"1,647",,,,
44,セメント,90,-,27,20,"1,155",-,-,-,44,セメント,-,85,-,39,180,-,18,,,,
45,ガラス類,"7,917",405,"3,329","3,543","2,609","2,106","7,685",30,45,ガラス類,"1,854",15,166,"2,071",581,-,"3,664",,,,
46,窯業品,"7,669","5,233","2,674","1,165","3,498","4,279",217,"21,711",46,窯業品,858,"6,884",182,"4,662","7,225",323,551,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,
48,揮発油,-,-,-,-,-,-,-,-,48,揮発油,-,-,-,-,-,-,-,,,,
49,その他の石油,"2,499","1,471",213,279,985,228,-,15,49,その他の石油,134,481,"2,303",479,506,"1,710",236,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,50,LNG/液化天然ガス,-,-,-,-,-,-,-,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,-,-,-,-,-,-,-,,,,
52,その他石油製品,"1,244",190,198,91,-,210,11,29,52,その他石油製品,15,15,"2,625",46,293,"2,145",162,,,,
53,コークス,-,-,-,-,-,-,-,-,53,コークス,-,-,-,-,-,-,-,,,,
54,石炭製品,150,-,-,-,-,-,-,"1,035",54,石炭製品,825,-,-,-,-,-,45,,,,
55,化学薬品,"21,651","25,870","11,129","12,919","17,221","2,132","5,789","2,265",55,化学薬品,"3,091","1,254","4,860","14,145","7,080","2,237","12,451",,,,
56,化学肥料,30,-,23,-,-,30,5,-,56,化学肥料,60,-,-,16,-,-,-,,,,
57,その他化学工業品,"299,903","71,589","39,899","43,368","61,404","102,518","11,913","23,374",57,その他化学工業品,"27,718","16,440","44,220","71,359","38,595","28,012","35,386",,,,
軽工業品,,"23,515","18,385","32,246","51,775","16,398","81,205","6,648","32,330",軽工業品,,"19,586","6,564","5,397","18,482","7,318",246,"28,248",,,,
58,紙・パルプ,"9,710","11,948","14,254","17,082","10,769","3,804",331,"29,931",58,紙・パルプ,"13,432","1,528",748,690,"2,074",122,"2,587",,,,
59,糸及び紡績半製品,317,605,69,51,65,41,15,376,59,糸及び紡績半製品,-,-,-,113,7,-,57,,,,
60,その他繊維工業品,"8,933","2,793",973,"2,082","1,371","2,172",767,"1,048",60,その他繊維工業品,"1,345","1,593","2,230","2,191","2,683",109,"1,113",,,,
61,砂糖,-,-,-,2,5,50,-,-,61,砂糖,2,-,-,-,-,-,24,,,,
62,製造食品,"3,200","2,806","13,389","26,737","3,034","65,008","5,044",651,62,製造食品,"2,671","3,006","1,978","14,630","2,456",-,"21,109",,,,
63,飲料,785,233,"3,561","5,430",789,"10,075",486,324,63,飲料,410,437,441,788,98,15,"2,600",,,,
64,水,569,-,-,330,-,41,-,-,64,水,"1,726",-,-,60,-,-,732,,,,
65,たばこ,-,-,-,45,2,12,-,-,65,たばこ,-,-,-,-,-,-,-,,,,
66,その他食料工業品,1,-,-,16,363,2,5,-,66,その他食料工業品,-,-,-,10,-,-,26,,,,
雑工業品,,"92,110","50,527","52,458","59,697","71,857","54,795","29,284","5,816",雑工業品,,"28,929","16,686","27,531","20,197","12,248","2,530","26,473",,,,
67,がん具,"1,936",263,"2,118","1,197",234,"4,223",71,-,67,がん具,"1,703",45,540,461,87,-,482,,,,
68,衣服・身廻品・はきもの,"8,488","6,000","2,755","3,895","2,292","6,855",417,180,68,衣服・身廻品・はきもの,"10,882",239,356,"6,347",606,58,"1,877",,,,
69,文房具・運動娯楽用品・楽器,"15,134",779,"8,773","7,058","4,720","8,652",966,313,69,文房具・運動娯楽用品・楽器,"1,229","3,152",280,"6,989",543,"1,990","4,462",,,,
70,家具装備品,"15,335","15,338","2,896","5,067","3,184","9,953","4,120",30,70,家具装備品,"1,769",306,"1,171","1,584",763,106,"3,882",,,,
71,その他日用品,"7,968","6,012","9,399","16,708","6,644","7,255","1,210",236,71,その他日用品,"2,420","1,602",988,789,"2,266",165,"7,556",,,,
72,ゴム製品,"5,612","12,786","20,366","24,283","54,314","7,585","20,996","4,994",72,ゴム製品,"7,834","1,535",519,"2,352","2,804",156,"1,587",,,,
73,木製品,700,50,92,56,17,115,325,-,73,木製品,64,137,180,688,182,25,250,,,,
74,その他製造工業品,"36,937","9,299","6,059","1,433",452,"10,157","1,179",63,74,その他製造工業品,"3,028","9,670","23,497",987,"4,997",30,"6,377",,,,
特殊品,,"175,260","172,329","18,345","10,638","10,479","35,665","17,275","5,367",特殊品,,"97,775","144,419","210,770","58,752","12,054","180,368","8,551",,,,
75,金属くず,899,462,23,196,-,"6,691",-,-,75,金属くず,"2,895","54,918","10,215","19,590","1,680","1,025",8,,,,
76,再利用資材,"141,544","136,666",405,103,205,"15,378",-,-,76,再利用資材,"34,778","69,802","198,666","20,260","6,208","174,782",611,,,,
77,動植物性製造飼肥料,76,-,191,930,14,"1,163",90,-,77,動植物性製造飼肥料,23,717,-,"2,648",45,-,13,,,,
78,廃棄物,-,-,-,-,-,-,-,-,78,廃棄物,-,-,-,-,-,-,-,,,,
79,廃土砂,-,-,-,-,-,-,-,-,79,廃土砂,-,-,-,-,-,-,-,,,,
80,輸送用容器,"15,222","9,435","3,162","5,612","7,489","5,169","2,120",209,80,輸送用容器,"3,550","17,785",469,"12,290","2,299","4,519","3,028",,,,
81,取合せ品,"17,519","25,766","14,564","3,797","2,771","7,264","15,065","5,158",81,取合せ品,"56,529","1,197","1,420","3,964","1,822",42,"4,891",,,,
分類不能のもの,,-,-,-,-,-,-,-,-,分類不能のもの,,-,-,-,-,-,-,-,,,,
