 11 輸入貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,,,,
13,製材,"7,114",381,"5,079","1,977","6,156","421,669",-,"27,545",13,製材,430,"3,550","68,591",41,"4,370","20,599",177,,,,,,,
14,樹脂類,860,855,39,-,-,-,-,-,14,樹脂類,183,"7,215",-,-,-,"1,740",-,,,,,,,
15,木材チップ,120,60,30,-,-,930,-,25,15,木材チップ,25,705,225,13,255,-,15,,,,,,,
16,その他林産品,114,-,30,-,-,-,-,-,16,その他林産品,-,-,-,-,-,480,-,,,,,,,
17,薪炭,"6,486","2,102",255,765,30,-,-,15,17,薪炭,30,750,330,-,"1,200",330,210,,,,,,,
鉱産品,,"6,967","10,080","14,002","10,232","5,333","2,495","2,115","3,221",鉱産品,,"4,164","12,993",203,"1,827","13,477","8,629","25,694",,,,,,,
18,石炭,987,"3,900",360,480,-,"1,035",75,135,18,石炭,-,"2,833",-,-,510,"2,310","1,445",,,,,,,
19,鉄鉱石,-,-,-,-,-,-,120,-,19,鉄鉱石,-,-,-,-,-,-,10,,,,,,,
20,金属鉱,120,60,660,-,-,-,-,90,20,金属鉱,92,"1,260",81,345,-,-,"1,510",,,,,,,
21,砂利、砂,140,225,90,"2,415",930,229,-,210,21,砂利、砂,454,705,-,815,"2,865",765,972,,,,,,,
22,石材,"1,844",-,"2,904","5,573",743,31,720,615,22,石材,175,"2,175",55,-,"2,657","1,995","5,585",,,,,,,
23,原油,-,-,90,60,-,-,-,-,23,原油,"1,050",-,-,-,15,-,-,,,,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,-,-,-,-,-,,,,,,,
25,石灰石,"1,320",-,-,-,45,-,-,-,25,石灰石,-,15,-,232,-,-,-,,,,,,,
26,原塩,675,-,30,879,-,-,"1,170",45,26,原塩,443,418,-,30,-,45,15,,,,,,,
27,非金属鉱物,"1,881","5,895","9,868",825,"3,615","1,200",30,"2,126",27,非金属鉱物,"1,950","5,587",67,405,"7,430","3,514","16,157",,,,,,,
金属機械工業品,,"1,284,480","813,727","674,465","128,628","614,407","41,718","600,722","280,171",金属機械工業品,,"152,675","166,543","19,951","16,137","273,056","141,627","326,324",,,,,,,
28,鉄鋼,620,-,315,"2,145",407,30,105,638,28,鉄鋼,28,"1,650",-,-,58,255,"3,821",,,,,,,
29,鋼材,"8,086","3,733","1,144","2,685",393,157,"1,039","21,891",29,鋼材,"2,525","5,479",160,363,"2,461","16,538","10,059",,,,,,,
30,非鉄金属,"30,643","16,529","8,008","1,919","4,151","2,236","1,090","11,059",30,非鉄金属,"7,118","3,073","1,045",467,"1,667","6,323","4,728",,,,,,,
31,金属製品,"171,858","172,737","45,958","21,408","50,097","8,105","120,234","46,414",31,金属製品,"45,508","14,156","8,837","1,632","73,747","52,302","31,011",,,,,,,
32,鉄道車両,13,-,14,9,189,-,-,-,32,鉄道車両,49,-,30,-,85,-,-,,,,,,,
33,完成自動車,"1,289",387,325,39,26,"1,885",15,"2,351",33,完成自動車,"2,561","5,286",481,525,80,216,109,,,,,,,
34,その他の輸送用車両,"19,817",369,"4,028","18,400","4,499",165,"29,008","3,511",34,その他の輸送用車両,407,"1,961",270,-,"1,006",717,462,,,,,,,
35,二輪自動車,"1,029","1,982","1,054",255,503,402,"26,852",236,35,二輪自動車,"3,257","1,173",46,"3,480",-,396,926,,,,,,,
36,自動車部品,"87,754","144,670","27,833","12,848","16,483","17,647","11,396","52,421",36,自動車部品,"21,851","34,373",978,"3,204","2,841","20,134","8,966",,,,,,,
37,その他の輸送機械,"22,051",200,"4,725",285,"14,170",468,"47,772",204,37,その他の輸送機械,"1,432",547,347,205,6,"1,508","170,355",,,,,,,
38,産業機械,"268,100","117,294","111,755","18,117","148,837","6,393","86,587","63,338",38,産業機械,"29,487","44,306","5,380","2,384","72,518","17,735","53,158",,,,,,,
39,電気機械,"579,235","312,701","384,588","44,145","309,951",790,"263,236","67,831",39,電気機械,"25,506","32,558","1,926","3,410","115,661","13,306","39,494",,,,,,,
40,測量・光学・医療器械,"69,058","26,508","35,069","3,867","36,134","3,410","10,580","8,847",40,測量・光学・医療器械,"12,654","20,881",341,349,"2,566","11,861","3,235",,,,,,,
41,事務用機械,"21,679","11,968","47,957","2,236","24,324",15,"1,823",787,41,事務用機械,32,403,51,30,198,336,-,,,,,,,
42,その他の機械,"3,248","4,649","1,692",270,"4,243",15,985,643,42,その他の機械,260,697,59,88,162,-,-,,,,,,,
化学工業品,,"297,901","321,315","107,790","97,955","63,099","37,219","68,864","245,679",化学工業品,,"237,408","199,718","27,770","26,387","38,270","122,618","106,569",,,,,,,
43,陶磁器,"5,535","16,536","18,616","2,991","12,344",288,30,965,43,陶磁器,"1,845","9,398",291,341,351,"2,371","2,451",,,,,,,
44,セメント,45,600,-,-,-,-,-,270,44,セメント,135,"1,080",-,-,-,-,435,,,,,,,
45,ガラス類,"60,307","7,679","5,488","8,589","11,580","1,057","6,534","6,216",45,ガラス類,"4,342","1,893","7,489","1,123","3,583","20,421","2,667",,,,,,,
46,窯業品,"10,135","4,836","2,987","14,537","8,258","7,652","3,199","7,795",46,窯業品,"14,267","11,846","4,945","1,253","10,122","2,959","50,832",,,,,,,
47,重油,-,-,-,-,-,-,-,-,47,重油,-,-,-,-,-,-,-,,,,,,,
48,揮発油,-,1,-,-,-,-,-,-,48,揮発油,30,30,-,-,-,-,-,,,,,,,
49,その他の石油,170,765,"1,823",-,-,"1,237",-,"2,443",49,その他の石油,"2,295","2,609",75,45,-,55,-,,,,,,,
50,LNG/液化天然ガス,15,-,-,-,-,30,-,30,50,LNG/液化天然ガス,22,57,-,-,-,-,-,,,,,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,930,51,LPG/液化石油ガス,-,-,-,-,-,-,-,,,,,,,
52,その他の石油製品,"1,575",555,508,187,"2,685","1,140",-,244,52,その他の石油製品,"1,484",269,45,25,235,855,162,,,,,,,
53,コークス,-,-,-,210,-,-,-,-,53,コークス,"1,980",-,-,-,-,705,"5,069",,,,,,,
54,石炭製品,-,-,-,4,-,30,-,-,54,石炭製品,240,-,-,-,-,-,-,,,,,,,
55,化学薬品,"52,304","18,916","19,129","33,886","2,460","6,031","8,212","47,377",55,化学薬品,"47,248","28,770","3,695","5,569","5,173","18,176","23,228",,,,,,,
56,化学肥料,"2,036",15,285,"6,465",30,300,"4,945","1,529",56,化学肥料,"1,182",315,650,299,915,"1,005","3,385",,,,,,,
57,その他化学工業品,"165,779","271,412","58,954","31,086","25,742","19,454","45,944","177,880",57,その他化学工業品,"162,338","143,451","10,580","17,732","17,891","76,071","18,340",,,,,,,
軽工業品,,"148,301","415,369","122,553","216,500","29,130","119,038","89,340","359,446",軽工業品,,"157,975","277,592","354,827","185,782","91,513","107,783","71,477",,,,,,,
58,紙、パルプ,"30,365","4,043","30,863","5,701","5,451","7,647","69,471","38,484",58,紙、パルプ,"14,740","6,208","56,596",577,"10,789","30,395","22,301",,,,,,,
59,糸及び紡績半製品,"3,147","3,166",185,951,798,-,75,"7,604",59,糸及び紡績半製品,207,"3,363",30,-,-,"5,977",60,,,,,,,
60,繊維工業品,"51,654","25,844","6,408","14,560","11,758",160,"18,495","27,935",60,繊維工業品,"5,421","7,645",463,136,"4,268","23,836","11,603",,,,,,,
61,砂糖,350,135,180,255,"2,212","8,497",-,"1,031",61,砂糖,"5,204",197,"2,467","9,529",-,30,240,,,,,,,
62,製造食品,"57,749","374,588","52,291","192,395","8,258","35,031","1,224","146,381",62,製造食品,"91,683","142,129","239,527","111,591","75,805","33,667","35,649",,,,,,,
63,飲料,"3,560","7,233","25,883","2,563",487,"1,695",15,"76,728",63,飲料,"20,521","87,785","18,036","25,635",351,"8,838",491,,,,,,,
64,水,187,-,"4,423",-,-,750,-,"1,009",64,水,"19,816","20,169","36,496","38,194",150,240,-,,,,,,,
65,たばこ,96,-,672,-,166,-,-,"58,812",65,たばこ,30,683,-,-,-,-,383,,,,,,,
66,その他の食料工業品,"1,193",360,"1,648",75,-,"65,258",60,"1,462",66,その他の食料工業品,353,"9,413","1,212",120,150,"4,800",750,,,,,,,
雑工業品,,"2,032,058","291,259","721,974","830,590","887,486","73,236","304,853","135,326",雑工業品,,"83,868","294,270","42,940","8,875","263,902","162,435","145,100",,,,,,,
67,がん具,"61,433","25,436","241,454","7,042","157,229",345,"5,070","2,250",67,がん具,785,812,131,205,431,878,696,,,,,,,
68,衣服、身廻品、履物,"1,379,310","63,720","244,757","627,524","275,495","1,837","114,017","21,956",68,衣服、身廻品、履物,"23,201","168,070","1,579","1,747","90,384","24,923","60,527",,,,,,,
69,文房具、運動娯楽用品、楽器,"86,230","7,634","78,407","24,842","92,836","1,080","5,267","20,162",69,文房具、運動娯楽用品、楽器,"14,875","15,460","12,092","2,655","3,777","11,785","3,128",,,,,,,
70,家具装備品,"327,876","68,540","79,331","61,118","292,502","4,753","80,929","25,578",70,家具装備品,"15,655","28,384","3,007","2,677","72,243","53,297","54,583",,,,,,,
71,その他の日用品,"42,198","27,133","17,714","14,044","17,201","2,251","82,548","14,678",71,その他の日用品,"9,259","14,946","19,839",580,"3,054","5,983","12,956",,,,,,,
72,ゴム製品,"33,520","84,956","18,405","35,653","3,913","1,370",600,"23,422",72,ゴム製品,"4,630","31,784",86,315,"13,049","13,331","3,498",,,,,,,
73,木製品,"43,331","5,731","26,715","48,971","13,977","60,469","2,324","8,464",73,木製品,"1,443","25,769","5,804",525,"78,320","45,971","6,343",,,,,,,
74,製造工業品,"58,160","8,109","15,191","11,396","34,333","1,131","14,098","18,816",74,製造工業品,"14,020","9,045",402,171,"2,644","6,267","3,369",,,,,,,
特殊品,,"141,513","143,089","48,833","64,421","71,869","139,087","133,616","43,589",特殊品,,"292,739","41,145","403,121","44,352","29,846","62,371","13,644",,,,,,,
75,金属くず,451,"1,935","1,698",60,142,"7,172",30,"1,371",75,金属くず,"8,723","1,786","2,114","3,621",917,"6,024",267,,,,,,,
76,再利用資材,929,480,690,-,30,251,-,"1,514",76,再利用資材,"2,855",825,"21,628",150,60,"1,676",-,,,,,,,
77,動植物性製造飼肥料,"1,324","44,212","6,532","6,148",222,"125,129",75,"5,670",77,動植物性製造飼肥料,"257,568","6,958","377,769","39,335","2,322","13,724",300,,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,78,廃棄物,-,-,-,-,-,-,-,,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,79,廃土砂,-,-,-,-,-,-,-,,,,,,,
80,輸送用容器,"131,163","93,674","31,805","52,314","61,800","6,206","132,957","33,109",80,輸送用容器,"22,097","28,527","1,518","1,216","26,043","39,865","12,600",,,,,,,
81,取合せ品,"7,646","2,788","8,108","5,899","9,675",329,554,"1,925",81,取合せ品,"1,496","3,049",92,30,504,"1,082",477,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,分類不能のもの,,-,-,-,-,-,-,-,,,,,,,
