"基準日","基準地番号","基準地の所在及び地番","基準地の住居表示","本年_基準地の１平方メートル当たりの価格_円","前年_基準地の１平方メートル当たりの価格_円","変動率_パーセント","基準地の面積_M2","基準地の形状","基準地の利用の現況","基準地の周辺の土地の利用の現況","基準地の前面道路の状況","基準地についての水道_ガス供給施設及び下水道の整備状況","基準地の鉄道その他の主要な交通施設との接近の状況","基準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和3年7月1日","基11 ＊","新井2丁目48番27","新井2-8-10","661,000","648,000","2.0","170㎡","1:1.5","共同住宅　ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野 820m","１中専（60・200）防火　高度","＊地価公示の標準地（価格判定の基準日：令和３年1月1日）と同一の基準地である 　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664838966146","35.7124585687533","令和3年7月1日"
"令和3年7月1日","基5-1","鷺宮3丁目1186番4外","鷺宮3-19-5","793,000","793,000","0.0","171㎡","1:2","店舗、診療所兼住宅　ＲＣ４","小規模店舗、店舗兼住宅等が建ち並ぶ商業地域","西11m都道","水道・ガス・下水","鷺ノ宮 70ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.638209805289","35.7231392989361","令和3年7月1日"
"令和3年7月1日","基5-2","鷺宮3丁目215番32","鷺宮3-1-16","677,000","677,000","0.0","67㎡","1:2","店舗兼共同住宅　Ｓ３","中低層店舗兼共同住宅等が建ち並ぶ駅前商業地域","東5.4ｍ区道、南側道","水道・ガス・下水","都立家政 近接","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.644082305539","35.7227536337137","令和3年7月1日"
"令和3年7月1日","基5-3","野方6丁目17番10","野方6-52-5","650,000","650,000","0.0","456㎡","1:2","共同住宅　ＳＲＣ８","中高層の店舗付マンションが多い路線商業地域","北15ｍ都道、三方路","水道・ガス・下水","野方 650ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.649830243781","35.72356612314","令和3年7月1日"
"令和3年7月1日","基5-4 *","中央4丁目34番15","中央4-27-5","1,150,000","1,140,000","0.9","177㎡","1.2：1","店舗兼共同住宅　ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15ｍ都道","水道・ガス・下水","新中野 460ｍ","近商（80・400）防火","地価公示の標準地（価格判定の基準日：令和３年1月1日）と同一の基準地である  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667037519681","35.7013352609271","令和3年7月1日"
"令和3年7月1日","基5-5","南台3丁目63番37","南台3-13-12","636,000","633,000","0.5","68㎡","1:2.5","店舗兼住宅　Ｓ３","中低層の店舗兼共同住宅を主体とする商業地域","北6.3ｍ区道、東側道","水道・ガス・下水","中野富士見町 1.1km","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668183014555","35.6833989407451","令和3年7月1日"
"令和3年7月1日","基5-6","新井1丁目91番6","新井1-2-12","1,180,000","1,170,000","0.9","137㎡","1:3","店舗兼共同住宅　Ｓ４","中高層の店舗、共同住宅等が建ち並ぶ商業地域","南15ｍ都道","水道・ガス・下水","中野 680m","近商（80・400）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668700009113","35.7099929206166","令和3年7月1日"
"令和3年7月1日","基5-7","中野5丁目30番7","中野5-64-9","4,880,000","4,750,000","2.7","60㎡","1:1.5","店舗兼住宅　ＲＣ４","小売店、飲食店舗等が建ち並ぶ駅前の商業地域","東5.5ｍ区道、北側道","水道・ガス・下水","中野 70m","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665602626513","35.7067571717148","令和3年7月1日"
"令和3年7月1日","基5-8","本町3丁目63番6","本町3-30-10","1,450,000","1,440,000","0.7","264㎡","1:2","店舗兼共同住宅　ＳＲＣ１０","中高層の店舗、事務所兼共同住宅が多い商業地域","北25m都道","水道・ガス・下水","中野坂上 410m","商業（80・500）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.676500189643","35.6974339964621","令和3年7月1日"
"令和3年7月1日","基5-9*","野方6丁目734番16","野方6-31-11","730,000","730,000","0.0","119㎡","1:2","店舗、事務所兼共同住宅　Ｓ３","低層の小売店舗が建ち並ぶ駅前の商業地域","東5.5m区道、背面道","水道・ガス・下水","野方 70m","商業（80・400）防火　高度","地価公示の標準地（価格判定の基準日：令和３年1月1日）と同一の基準地である  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.652260352523","35.7203142079196","令和3年7月1日"
"令和3年7月1日","基5-10","弥生町5丁目5番７","弥生町5-11-24","821,000","821,000","0.0","178㎡","1:1.5","事務所兼共同住宅　ＲＣ４Ｆ１Ｂ","低層店舗、マンション等が混在する路線商業地域","東15m都道","水道・ガス・下水","中野富士見町 460m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668659272656","35.6884780616079","令和3年7月1日"
"令和4年7月1日","基1＊","鷺宮3丁目153番4","鷺宮3-28-5","490,000","480,000","2.1","167㎡","1:2","住宅　Ｗ２","中小規模一般住宅にアパートも見られる住宅地域","北西5.5m区道","水道・ガス・下水","鷺ノ宮 320ｍ","１低専（50・150）準防 高度","地価公示の標準地（価格判定の基準日：令和４年1月1日）と同一の基準地である  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.640263501591","35.7245766585127","令和4年7月1日"
"令和4年7月1日","基2","大和町1丁目67番15","大和町1-36-12","530,000","515,000","2.9","159㎡","1:2","住宅　ＬＳ２","中規模一般住宅、アパートが多い住宅地域","東3.5m区道","水道・ガス・下水","高円寺 750ｍ","１中専（60・200）準防 高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.651360219983","35.711347817336","令和4年7月1日"
"令和4年7月1日","基3","江原町3丁目24番8","江原町3-24-2","517,000","502,000","3.0","217㎡","1:1.5","寄宿舎　Ｗ２","中規模一般住宅に共同住宅も見られる住宅地域","南6m区道","水道・ガス・下水","新江古田 300ｍ","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.673694322853","35.7325172038143","令和4年7月1日"
"令和4年7月1日","基4","上高田4丁目34番3","上高田4-34-4","522,000","508,000","2.8","101㎡","1:1.5","住宅　Ｗ２","一般住宅のほか共同住宅等も見られる住宅地域","西5.5m区道","水道・ガス・下水","新井薬師前 620ｍ","１低専（60・150）準防　高度","","139.676840851035","35.713771505133","令和4年7月1日"
"令和4年7月1日","基5","本町6丁目58番16","本町6-22-5","626,000","603,000","3.8","215㎡","0:1.5","住宅　Ｗ１","中規模一般住宅、アパート等が建ち並ぶ住宅地域","西5.5m区道","水道・ガス・下水","新中野 450ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664470868084","35.6961773044235","令和4年7月1日"
"令和4年7月1日","基6","南台3丁目45番7","南台3-37-7","556,000","536,000","3.7","85㎡","1.5：1","住宅　Ｗ３","小規模一般住宅、アパート等が建ち並ぶ住宅地域","南3.6m区道、東側道","水道・ガス・下水","方南町 700ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664930112781","35.6826458700712","令和4年7月1日"
"令和4年7月1日","基7＊","中央2丁目42番5","中央2-45-4","600,000","―","―","80㎡","1:1.5","住宅　Ｗ３","戸建て住宅が多く見られる住宅地域","北西4.0m区道","水道・ガス・下水","中野坂上 480ｍ","１中専（60・200）準防　高度","地価公示の標準地（価格判定の基準日：令和４年1月１日）と同一の基準地である","139.67765996177","35.6991208311261","令和4年7月1日"
"令和4年7月1日","基8","中央1丁目31番28","中央1-30-23","782,000","753,000","3.9","241㎡","1:2","住宅　Ｗ２","一般住宅、マンション等が建ち並ぶ住宅地域","東5.5m区道","水道・ガス・下水","中野坂上 360m","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685243170503","35.6986690745304","令和4年7月1日"
"令和4年7月1日","基9","東中野4丁目47番19","東中野4-12-18","696,000","675,000","3.1","161㎡","1:1.5","住宅 ＬＳ２","一般住宅のほかマンション等も見られる住宅地域","南東4m私道","水道・ガス・下水","東中野 350ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685015308464","35.7083947264063","令和4年7月1日"
"令和4年7月1日","基10","沼袋2丁目200番21","沼袋2-23-11","489,000","479,000","2.1","132㎡","1:2","住宅　Ｗ２","一般住宅のほかアパートも見られる住宅地域","北東5.2m区道","水道・ガス・下水","沼袋 550m","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666268856926","35.7222647278842","令和4年7月1日"
"令和4年7月1日","基11 ＊","新井2丁目48番27","新井2-8-10","698,000","661,000","5.6","170㎡","1:1.5","共同住宅　ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野 820m","１中専（60・200）防火　高度","＊地価公示の標準地（価格判定の基準日：令和４年1月1日）と同一の基準地である 　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66483899291","35.7124213861516","令和4年7月1日"
"令和4年7月1日","基5-1","鷺宮3丁目1186番4外","鷺宮3-19-5","809,000","793,000","2.0","171㎡","1:2","店舗、診療所兼住宅　ＲＣ４","小規模店舗、店舗兼住宅等が建ち並ぶ商業地域","西11m都道","水道・ガス・下水","鷺ノ宮 70ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.638240199455","35.7231404749557","令和4年7月1日"
"令和4年7月1日","基5-2","鷺宮3丁目215番32","鷺宮3-1-16","691,000","677,000","2.1","67㎡","1:2","店舗兼共同住宅　Ｓ３","中低層店舗兼共同住宅等が建ち並ぶ駅前商業地域","東5.4ｍ区道、南側道","水道・ガス・下水","都立家政 近接","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.644114101243","35.7227570700593","令和4年7月1日"
"令和4年7月1日","基5-3","野方6丁目17番10","野方6-52-5","665,000","650,000","2.3","456㎡","1:2","共同住宅　ＳＲＣ８","中高層の店舗付マンションが多い路線商業地域","北15ｍ都道、三方路","水道・ガス・下水","野方 650ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.649868936188","35.7235639287613","令和4年7月1日"
"令和4年7月1日","基5-4 *","中央4丁目34番15","中央4-27-5","1,210,000","1,150,000","5.2","177㎡","1.2：1","店舗兼共同住宅　ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15ｍ都道","水道・ガス・下水","新中野 460ｍ","近商（80・400）防火","地価公示の標準地（価格判定の基準日：令和４年1月1日）と同一の基準地である  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66706928497","35.7013375582893","令和4年7月1日"
"令和4年7月1日","基5-5","南台3丁目63番37","南台3-13-12","649,000","636,000","2.0","68㎡","1:2.5","店舗兼住宅　Ｓ３","中低層の店舗兼共同住宅を主体とする商業地域","北6.3ｍ区道、東側道","水道・ガス・下水","中野富士見町 1.1km","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66817615852","35.6833752702903","令和4年7月1日"
"令和4年7月1日","基5-6","新井1丁目91番6","新井1-2-12","1,240,000","1,180,000","5.9","137㎡","1:3","店舗兼共同住宅　Ｓ４","中高層の店舗、共同住宅等が建ち並ぶ商業地域","南15ｍ都道","水道・ガス・下水","中野 680m","近商（80・400）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668698556819","35.7100210907782","令和4年7月1日"
"令和4年7月1日","基5-7","中野5丁目30番7","中野5-64-9","5,170,000","4,880,000","5.9","60㎡","1:1.5","店舗兼住宅　ＲＣ４","小売店、飲食店舗等が建ち並ぶ駅前の商業地域","東5.5ｍ区道、北側道","水道・ガス・下水","中野 70m","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66562610789","35.7067583311881","令和4年7月1日"
"令和4年7月1日","基5-8","本町3丁目63番6","本町3-30-10","1,520,000","1,450,000","4.8","264㎡","1:2","店舗兼共同住宅　ＳＲＣ１０","中高層の店舗、事務所兼共同住宅が多い商業地域","北25m都道","水道・ガス・下水","中野坂上 410m","商業（80・500）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.676530574654","35.6974351628149","令和4年7月1日"
"令和4年7月1日","基5-9*","野方6丁目734番16","野方6-31-11","745,000","730,000","2.1","119㎡","1:2","店舗、事務所兼共同住宅　Ｓ３","低層の小売店舗が建ち並ぶ駅前の商業地域","東5.5m区道、背面道","水道・ガス・下水","野方 70m","商業（80・400）防火　高度","＊地価公示の標準地（価格判定の基準日：令和４年1月1日）と同一の基準地である　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.652300442797","35.7203165110939","令和4年7月1日"
"令和4年7月1日","基5-10","弥生町5丁目5番７","弥生町5-11-24","851,000","821,000","3.7","178㎡","1:1.5","事務所兼共同住宅　ＲＣ４Ｆ１Ｂ","低層店舗、中高層共同住宅等が混在する商業地域","東15m都道","水道・ガス・下水","中野富士見町 460m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.66870484836","35.6884781240294","令和4年7月1日"
"令和5年7月1日","基1＊","鷺宮3丁目153番4","鷺宮3-28-5","508,000","490,000","3.7","167㎡","1:2","住宅　Ｗ２","中小規模一般住宅にアパートも見られる住宅地域","北西5.5m区道","水道・ガス・下水","鷺ノ宮 320ｍ","１低専（50・150）準防　高度","＊地価公示の標準地（価格判定の基準日：令和５年1月１日）と同一の基準地である　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.640309109133","35.7245801122755","令和5年7月1日"
"令和5年7月1日","基2","大和町1丁目67番15","大和町1-36-12","552,000","530,000","4.2","159㎡","1:2","住宅　ＬＳ２","中規模一般住宅、アパートが多い住宅地域","東3.5m区道","水道・ガス・下水","高円寺 750ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.65139751981","35.7113478737752","令和5年7月1日"
"令和5年7月1日","基3","江原町3丁目24番8","江原町3-24-2","538,000","517,000","4.1","217㎡","1:1.5","寄宿舎　Ｗ２","中規模一般住宅に共同住宅も見られる住宅地域","南6m区道","水道・ガス・下水","新江古田 300ｍ","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.673699934168","35.7324969260491","令和5年7月1日"
"令和5年7月1日","基4","上高田4丁目34番3","上高田4-34-4","543,000","522,000","4","101㎡","1:1.5","住宅　Ｗ２","一般住宅のほか共同住宅等も見られる住宅地域","西5.5m区道","水道・ガス・下水","新井薬師前 620ｍ","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.676840807466","35.713771506687","令和5年7月1日"
"令和5年7月1日","基5","本町6丁目58番16","本町6-22-5","655,000","626,000","4.6","215㎡","1:1.5","住宅　Ｗ２","中規模一般住宅、アパート等が建ち並ぶ住宅地域","西5.3m区道","水道・ガス・下水","新中野 450ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664502638404","35.6961762223284","令和5年7月1日"
"令和5年7月1日","基6","南台3丁目45番7","南台3-37-7","579,000","556,000","4.1","85㎡","1.5:1","住宅　Ｗ３","小規模一般住宅、アパート等が建ち並ぶ住宅地域","南3.6m区道、東側道","水道・ガス・下水","方南町 700ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664957748833","35.6826459104637","令和5年7月1日"
"令和5年7月1日","基7＊","中央2丁目42番5","中央2-45-4","627,000","600,000","4.5","80㎡","1:1.5","住宅　Ｗ３","戸建住宅が多く見られる住宅地域","北西4.0m区道","水道・ガス・下水","中野坂上 480ｍ","１中専（60・200）準防　高度","＊地価公示の標準地（価格判定の基準日：令和５年1月１日）と同一の基準地である　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.677659938238","35.6991208349296","令和5年7月1日"
"令和5年7月1日","基8","中央1丁目31番28","中央1-30-23","821,000","782,000","5","241㎡","1:2","住宅　Ｗ２","一般住宅、マンション等が建ち並ぶ住宅地域","東5.5m区道","水道・ガス・下水","中野坂上 360m","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685265303683","35.6986691045837","令和5年7月1日"
"令和5年7月1日","基9","東中野4丁目47番19","東中野4-12-18","736,000","696,000","5.7","161㎡","1:1.5","住宅 ＬＳ２","一般住宅のほかマンション等も見られる住宅地域","南東4m私道","水道・ガス・下水","東中野 350ｍ","１中専（60・200）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.685062289555","35.7083880240941","令和5年7月1日"
"令和5年7月1日","基10","沼袋2丁目200番21","沼袋2-23-11","507,000","489,000","3.7","132㎡","1:2","住宅　Ｗ２","一般住宅のほかアパートも見られる住宅地域","北東5.2m区道","水道・ガス・下水","沼袋 550m","１低専（60・150）準防　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666267484897","35.7222410690716","令和5年7月1日"
"令和5年7月1日","基11 ＊","新井2丁目48番27","新井2-8-10","743,000","698,000","6.4","170㎡","1:1.5","共同住宅　ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野 820m","１中専（60・200）防火　高度","＊地価公示の標準地（価格判定の基準日：令和５年1月１日）と同一の基準地である　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664840386531","35.7123988530125","令和5年7月1日"
"令和5年7月1日","基5-1","鷺宮3丁目1186番4外","鷺宮3-19-5","841,000","809,000","4","171㎡","1:2","店舗、診療所兼住宅　ＲＣ４","小規模店舗、店舗兼住宅等が建ち並ぶ商業地域","西11m都道","水道・ガス・下水","鷺ノ宮 70ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.638263730662","35.7231405152042","令和5年7月1日"
"令和5年7月1日","基5-2","鷺宮3丁目215番32","鷺宮3-1-16","719,000","691,000","4.1","67㎡","1:2","店舗兼共同住宅　Ｓ３","中低層店舗兼共同住宅等が建ち並ぶ駅前商業地域","東5.4ｍ区道、南側道","水道・ガス・下水","都立家政 近接","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.644143105676","35.7227605004701","令和5年7月1日"
"令和5年7月1日","基5-3","野方6丁目17番10","野方6-52-5","693,000","665,000","4.2","456㎡","1:2","共同住宅　ＳＲＣ８","中高層の店舗付マンションが多い路線商業地域","北15ｍ都道、三方路","水道・ガス・下水","野方 650ｍ","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.649900671276","35.7235617195381","令和5年7月1日"
"令和5年7月1日","基5-4＊","中央4丁目34番15","中央4-27-5","1,300,000","1,210,000","7.4","177㎡","1.2:1","店舗兼共同住宅　ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15ｍ都道","水道・ガス・下水","新中野 460ｍ","近商（80・400）防火","＊地価公示の標準地（価格判定の基準日：令和５年1月１日）と同一の基準地である　https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667092774557","35.701339842738","令和5年7月1日"
"令和5年7月1日","基5-5","南台3丁目63番37","南台3-13-12","676,000","649,000","4.2","68㎡","1:2.5","店舗兼住宅　Ｓ３","中低層の店舗兼共同住宅を主体とする商業地域","北6.3ｍ区道、東側道","水道・ガス・下水","方南町 1km","近商（80・300）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668174816775","35.6833561132258","令和5年7月1日"
"令和5年7月1日","基5-6","新井1丁目91番6","新井1-2-12","1,330,000","1,240,000","7.3","137㎡","1:3","店舗兼共同住宅　Ｓ４","中高層の店舗、共同住宅等が建ち並ぶ商業地域","南15ｍ都道","水道・ガス・下水","中野 680m","近商（80・400）防火　高度","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668698486989","35.7100548920272","令和5年7月1日"
"令和5年7月1日","基5-7","中野5丁目30番7","中野5-64-9","5,630,000","5,170,000","8.9","60㎡","1:1.5","店舗兼住宅　ＲＣ４","小売店、飲食店舗等が建ち並ぶ駅前の商業地域","東5.5ｍ区道","水道・ガス・下水","中野 70m","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665671733359","35.7067595264709","令和5年7月1日"
