"基準日","標準地番号","標準地の所在及び地番","標準地の住居表示","本年_標準地の１平方メートル当たりの価格_円","前年_標準地の１平方メートル当たりの価格_円","変動率_パーセント","標準地の面積_M2","標準地の形状","標準地の利用の現況","標準地の周辺の土地の利用の現況","標準地の前面道路の状況","標準地についての水道_ガス供給施設及び下水道の整備状況","標準地の鉄道その他の主要な交通施設との接近の状況","標準地に係る都市計画法_その他法令の制限で主要なもの","備考","経度","緯度","分類"
"令和4年1月1日","公15","東中野１丁目７７番２１","東中野１－１４－５","771000","750,000","2.8","317㎡","1:1.5","住宅 LS２","中規模以上の一般住宅の多い住宅地域","南5.4m区道","水道・ガス・下水","東中野 560m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.684773969105","35.7028204378781","令和4年1月1日"
"令和4年1月1日","公16","上鷺宮５丁目６３９番１９","上鷺宮５－２１－８","398000","394,000","1.0","231㎡","1.5：1","住宅 Ｗ２","中規模一般住宅が多い環境の良い住宅地域","西5m区道","水道・ガス・下水","富士見台 900m","１低専（40・80）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.62891211123","35.7296659588265","令和4年1月1日"
"令和4年1月1日","公17","江古田４丁目１６４１番１８","江古田４－３２－１４","480000","475,000","1.1","181㎡","台形  1：1","住宅 Ｗ２","一般住宅、アパート等が建ち並ぶ住宅地域","北6m区道","水道・ガス・下水","沼袋 800m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.660736894491","35.7246886800177","令和4年1月1日"
"令和4年1月1日","公18","南台３丁目１６番９","南台３－１８－５","627000","615,000","2.0","81㎡","1:1.2","住宅 Ｓ３","小規模一般住宅、共同住宅等が建ち並ぶ住宅地域","西5.5m区道","水道・ガス・下水","方南町 930m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667251513217","35.6844163340872","令和4年1月1日"
"令和4年1月1日","公19","中野２丁目９番１８","中野２－１４－６","802000","774,000","3.6","230㎡","1.2：1","住宅 ＲＣ３","中規模一般住宅が多く見られる住宅地域","南5.2m区道","水道・ガス・下水","中野 450m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.669309736713","35.7042310053529","令和4年1月1日"
"令和4年1月1日","公20","中野５丁目９番１２","中野５－３８－１４","707000","686,000","3.1","218㎡","1:1","共同住宅 Ｓ３","中規模一般住宅に共同住宅も見られる住宅地域","北4m区道","水道・ガス・下水","中野 500m","１中専（60・200）準防","","139.668295800756","35.7088107673751","令和4年1月1日"
"令和4年1月1日","公21","大和町４丁目３０１番３６","大和町４－４－８","470000","460,000","－","79㎡","1:2.5","住宅 W２","小規模一般住宅とアパート等が建ち並ぶ住宅地域","東3.8m区道","水道・ガス・下水","高円寺 1.1㎞","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.647839370953","35.7131134624202","令和4年1月1日"
"令和4年1月1日","公22","鷺宮４丁目４７８番８","鷺宮４－２５－９","456000","451,000","1.1","204㎡","1:1.5","住宅 W２F１B","中規模の一般住宅が多い住宅地域","北4.5m区道","水道・ガス・下水","鷺ノ宮 600m","１低専（50・150）準防","","139.634013034364","35.7245878968939","令和4年1月1日"
"令和4年1月1日","公23","新井４丁目４８番６","新井４－１１－１０","536000","528,000","1.5","76㎡","1:1","住宅 LＳ３","一般住宅、マンション等が建ち並ぶ既成住宅地域","北4m区道","水道・ガス・下水","沼袋 500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666345240681","35.716472568686","令和4年1月1日"
"令和4年1月1日","公24","野方４丁目５７５番７","野方４－４０－１９","447000","442,000","1.1","141㎡","1:1.2","住宅 W２","中規模一般住宅にアパートも見られる住宅地域","北3.8m区道","水道・ガス・下水","野方 700m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.657552144851","35.7213855834146","令和4年1月1日"
"令和4年1月1日","公25","東中野２丁目４７番１６外","東中野２－３３－２","677000","657,000","3.0","165㎡","1:1.2","住宅 LS２","中規模一般住宅にマンションが見られる住宅地域","南5m区道","水道・ガス・下水","東中野 500m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.679161375139","35.7053373955939","令和4年1月1日"
"令和4年1月1日","公26","上高田２丁目２２番６","上高田２－２２－８","541000","535,000","1.1","158㎡","1:1.5","住宅 W２","一般住宅、アパート等が建ち並ぶ住宅地域","西4.1m区道","水道・ガス・下水","新井薬師前 350m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670313645618","35.7135177356458","令和4年1月1日"
"令和4年1月1日","公27","弥生町４丁目２６番３","弥生町４－１０－６","575000","563,000","2.1","245㎡","1:1.2","住宅 W２","中規模一般住宅に共同住宅がが見られる住宅地域","西5.4m区道","水道・ガス・下水","中野新橋 450m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.671876044872","35.6898763077464","令和4年1月1日"
"令和4年1月1日","公28","中野４丁目６４９番１","中野４－６－８","1030000","997,000","3.3","721㎡","1:1","共同住宅 RC４F１B","住宅、マンション、事務所等が混在する住宅地域","西4.2m区道","水道・ガス・下水","中野 490m","１住居（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663780423933","35.708923159776","令和4年1月1日"
"令和4年1月1日","公29","中野３丁目１９番１０","中野３－４５－４","678000","655,000","3.5","168㎡","1:1","共同住宅 S３","小規模共同住宅、戸建住宅等が建ち並ぶ住宅地域","南3.6m区道","水道・ガス・下水","中野 460m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.662153072403","35.7045024835277","令和4年1月1日"
"令和4年1月1日","公5-1","中野３丁目１０７番１０外","中野３－３６－１５","4450000","4,260,000","4.5","192㎡","1:1","店舗 ＳＲＣ６Ｆ１Ｂ","中高層の店舗ビル等が建ち並ぶ駅前の商業地域","東20m都道、北側道","水道・ガス・下水","中野近接","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665209148628","35.7053371413815","令和4年1月1日"
"令和4年1月1日","公5-2","沼袋１丁目２５７番９外","沼袋１－３９－３","575000","569,000","1.1","109㎡","1:2","店舗兼共同住宅 ＲＣ４","中低層の店舗兼住宅が建ち並ぶ近隣商業地域","南東4.5m区道","水道・ガス・下水","沼袋 90m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663984221529","35.7198610772268","令和4年1月1日"
"令和4年1月1日","公5-3","新井１丁目１３番５","","764000","749,000","2.0","86㎡","1:3","空地","小規模な小売店舗等が多い商業地域","東5.1m区道","水道・ガス・下水","中野 600m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.666891991108","35.7106701208773","令和4年1月1日"
"令和4年1月1日","公5-4※","中央４丁目３４番１５","中央４－２７－５","1170000","1,140,000","2.6","177㎡","1.2：1","店舗兼共同住宅 ＲＣ７","中高層の店舗兼共同住宅等が建ち並ぶ商業地域","西15m都道","水道・ガス・下水","新中野 460m","近商（80・400）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.667063674551","35.7013578327402","令和4年1月1日"
"令和4年1月1日","公5-5※","野方６丁目７３４番１６","野方６－３１－１１","734000","726,000","1.1","119㎡","1:2","店舗、事務所兼共同住宅 Ｓ３","低層の小規模店舗が建ち並ぶ駅前の商業地域","東5.5m区道、背面道","水道・ガス・下水","野方 70m","商業（80・400）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.652290885293","35.7203429521983","令和4年1月1日"
"令和4年1月1日","公5-6","新井５丁目１６番２","新井５－１６－１","710000","696,000","2.0","144㎡","1:3","店舗兼住宅 Ｓ３","小規模な小売店舗等が建ち並ぶ駅前の商業地域","南東11m区道","水道・ガス・下水","新井薬師前 210m","商業（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670126933452","35.7149224097362","令和4年1月1日"
"令和4年1月1日","公5-7","東中野３丁目２番１","東中野３－８－１５","2130000","2,080,000","2.4","427㎡","不整形  1：1","店舗兼共同住宅 SRC１１F１B","中高層店舗、事務所ビル等が建ち並ぶ商業地域","東40m都道","水道・ガス・下水","東中野 130m","商業（80・500）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.682841439775","35.7071766567456","令和4年1月1日"
"令和4年1月1日","公5-8","東中野１丁目１２０番１８","東中野１－６－４","885000","865,000","2.3","141㎡","1:2","店舗兼共同住宅 ＲＣ６","中低層店舗兼共同住宅等が建ち並ぶ商業地域","南東11m都道、南西側道","水道・ガス・下水","東中野 630m","近商 （80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.68464648162","35.7015021940455","令和4年1月1日"
"令和4年1月1日","公5-9","南台２丁目９４番２２外","南台２－４９－８","841000","825,000","1.9","170㎡","1:1.5","店舗兼共同住宅 ＲＣ４","中層ビル、共同住宅等が建ち並ぶ路線商業地域","北20m都道","水道・ガス・下水","中野富士見町 840m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.670033285039","35.6860841244416","令和4年1月1日"
"令和4年1月1日","公5-10","東中野３丁目１２３番８","東中野３－１６－１４","884000","863,000","2.4","115㎡","1:1.5","倉庫、事務所兼住宅 ＲＣ５","店舗、マンション等が建ち並ぶ路線商業地域","北西15ｍ都道","水道・ガス・下水","落合 230ｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.681402127072","35.7093316405593","令和4年1月1日"
"令和4年1月1日","公5-11","本町２丁目４３２番１１","本町２－４９－１２","1750000","1,700,000","2.9","165㎡","1:3","店舗兼共同住宅 ＳＲＣ９","中高層の店舗兼住宅等が建ち並ぶ商業地域","北25ｍ都道","水道・ガス・下水","中野坂上 50ｍ","商業（80・500）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.680397141801","35.6970577339675","令和4年1月1日"
"令和4年1月1日","公5-12","中野５丁目２１番７","中野５－６７－５","2950000","2,830,000","4.2","129㎡","1:2","店舗、事務所兼住宅 ＲＣ９","中高層店舗、事務所ビル等が建ち並ぶ商業地域","西20ｍ都道","水道・ガス・下水","中野250ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665336221793","35.7082435103265","令和4年1月1日"
"令和4年1月1日","公5-13","弥生町２丁目２４番７外","弥生町２－２１－６","1240000","1,210,000","2.5","210㎡","1:2","店舗兼事務所 ＲＣ５Ｆ１Ｂ","中高層店舗兼共同住宅等が建ち並ぶ駅前商業地域","西11ｍ区道","水道・ガス・下水","中野新橋近接","商業（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674559010185","35.692393349172","令和4年1月1日"
"令和4年1月1日","公5-14","中野１丁目９５番４外","中野１－５０－３","1000000","982,000","1.8","345㎡","1:1.5","事務所 ＲＣ６Ｆ１Ｂ","中層の店舗、事務所、マンションが多い商業地域","南11ｍ都道","水道・ガス・下水","中野 1ｋｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674082127923","35.702379618283","令和4年1月1日"
"令和4年1月1日","公5-15","野方１丁目１６３６番１","野方１－２９－２","888000","860,000","3.3","108㎡","1:3","店舗、事務所兼住宅 ＲＣ６","店舗、事務所、マンション等が建ち並ぶ商業地域","南15.5m都道","水道・ガス・下水","中野 1ｋｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.658403443539","35.7099552654983","令和4年1月1日"
"令和4年1月1日","公5-16","中野３丁目１１１番５２外","中野３－３４－１３","1200000","1,150,000","4.3","152㎡","1:2","店舗兼共同住宅 Ｓ４","中層店舗、事務所ビル等が建ち並ぶ商業地域","西6.2ｍ区道","水道・ガス・下水","中野 270ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664522663098","35.7041361665581","令和4年1月1日"
"令和4年1月1日","公5-17","東中野４丁目８番４","東中野４－１０－２０","1010000","991,000","1.9","133㎡","1:1.2","店舗兼住宅 Ｓ３Ｆ１Ｂ","中低層の店舗、事務所等が建ち並ぶ商業地域","東１0.6m区道","水道・ガス・下水","東中野 190m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.686088818634","35.7076815932627","令和4年1月1日"
"令和4年1月1日","公5-18","上鷺宮３丁目２８９番８","上鷺宮３－１６－５","524000","519,000","1.0","165㎡","1:2","事務所兼倉庫 Ｓ３Ｆ１Ｂ","中低層店舗兼事務所、共同住宅等が多い商業地域","南14.5m都道","水道・ガス・下水","富士見台 400m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.632583255721","35.7353068877976","令和4年1月1日"
"令和4年1月1日","公5-19","江古田４丁目１６５８番５","江古田４－３０－３","624000","617,000","1.1","132㎡","1:3","店舗、事務所兼共同住宅 ＲＣ５","中高層の店舗兼共同住宅が建ち並ぶ路線商業地域","南15ｍ都道","水道・ガス・下水","沼袋 550ｍ","近商（80・300）防火","","139.662243891951","35.7239838697698","令和4年1月1日"
"令和4年1月1日","公5-20","新井１丁目３６番７外","新井１－２５－６","1190000","1,160,000","2.6","216㎡","1:1","事務所 ＲＣ６","中層店舗、事務所、マンションの多い商業地域","西20ｍ都道","水道・ガス・下水","中野 700ｍ","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665807085579","35.7119179730657","令和4年1月1日"
"令和4年1月1日","公5-21","中野５丁目２０番２１","中野５－５６－１０","1490000","1,470,000","1.4","79㎡","1:2","店舗兼住宅 ＲＣ４Ｆ１Ｂ","小規模な飲食店舗が建ち並ぶ商業地域","北2.7ｍ区道","水道・ガス・下水","中野 300ｍ","商業（80・600）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.665883417102","35.7084383519093","令和4年1月1日"
"令和4年1月1日","公5-22","大和町１丁目１４９７番４","大和町１－１３－９","640000","630,000","1.6","142㎡","1:1","店舗兼共同住宅 ＲＣ６Ｆ１Ｂ","中低層の店舗兼共同住宅が建ち並ぶ路線商業地域","東25ｍ都道","水道・ガス・下水","野方 740ｍ","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.653560239773","35.7133570703799","令和4年1月1日"
"令和4年1月1日","公5-23","本町４丁目９２番６","本町４－３７－２５","1030000","1,010,000","2.0","75㎡","1:3","店舗兼共同住宅 ＲＣ５","中層店舗、事務所、マンションが多い商業地域","南東15ｍ区道","水道・ガス・下水","新中野 400m","近商（80・400）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668580521719","35.6948354358697","令和4年1月1日"
"令和4年1月1日","公5-24","中野２丁目１２番１","中野２－１１－１","1200000","1,160,000","3.4","408㎡","1.2：1","店舗兼共同住宅 ＲＣ３","中層の店舗、事務所、マンションが多い商業地域","南8ｍ区道","水道・ガス・下水","中野 280m","近商（80・300）防火","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.668959228141","35.7053911682103","令和4年1月1日"
"令和5年1月1日","公1※","新井２丁目４８番２７","新井２－８－１０","720000","670,000","7.5","１70㎡","1:1.5","共同住宅 ＲＣ４","中小規模の中層共同住宅が多く建ち並ぶ住宅地域","北10m区道","水道・ガス・下水","中野 820ｍ","１中専 （60・200）防火","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。  https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.664814186688","35.712397692965","令和5年1月1日"
"令和5年1月1日","公2","白鷺３丁目９１２番２９","白鷺３－６－９","469000","453,000","3.5","183㎡","台形 1.5：1","共同住宅 Ｓ２","一般住宅のほかアパートも見られる住宅地域","西4m区道","水道・ガス・下水","鷺ノ宮 750ｍ","１低専 （50・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.631672465102","35.7217208362479","令和5年1月1日"
"令和5年1月1日","公3※","中央２丁目４２番５","中央２－４５－４","609000","582,000","4.6","80㎡","1:1.5","住宅 Ｗ３","戸建住宅が多く見られる住宅地域","北西4ｍ区道","水道・ガス・下水","中野坂上 480ｍ","１中専 （60・200）準防","代表標準地です。代表標準地とは、標準地相互の比較を容易に行いうるものとして選定された標準地を意味します。","139.677620238599","35.6991017948022","令和5年1月1日"
"令和5年1月1日","公4","若宮２丁目６６番１４外","若宮２－１０－１１","467000","452,000","3.3","99㎡","1:2","住宅 Ｗ２","中小規模住宅、アパート等が見られる住宅地域","北4m区道","水道・ガス・下水","都立家政 620m","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.645621641828","35.7176374550361","令和5年1月1日"
"令和5年1月1日","公5","江原町１丁目６５番１３","江原町１－３３－２","546000","528,000","3.4","213㎡","1.2:1","住宅 RC２F１B","一般住宅、アパート等が建ち並ぶ既成住宅地域","南8m区道","水道・ガス・下水","新江古田 610ｍ","１低専（60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.672784480923","35.7286156106433","令和5年1月1日"
"令和5年1月1日","公6","上高田５丁目３０番２２外","上高田５－３０－３","497000","479,000","3.8","114㎡","1.5:1","住宅 Ｗ２","小規模一般住宅、アパート等が建ち並ぶ住宅地域","西4m私道","水道・ガス・下水","新井薬師前 460m","１低専 （60・150）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.674931269676","35.7186280392106","令和5年1月1日"
"令和5年1月1日","公7","弥生町５丁目５６番９外","弥生町５－９－２６","640000","614,000","4.2","102㎡","1:1.2","住宅 W２","中小規模の住宅、共同住宅が建ち並ぶ住宅地域","東4.5m区道","水道・ガス・下水","中野富士見町 550m","１低専（60・150）準防","","139.666739790589","35.6875860017718","令和5年1月1日"
"令和5年1月1日","公8","東中野３丁目１２７番８","東中野３－１９－１８","682000","645,000","5.7","194㎡","1:1.5","住宅兼共同住宅 Ｗ２","一般住宅のほかにアパート等も見られる住宅地域","北東4.5m区道","水道・ガス・下水","東中野 430m","１低専（60・150）準防","","139.680800639752","35.7083379968125","令和5年1月1日"
"令和5年1月1日","公9","弥生町１丁目３９番１３","弥生町１－３５－１３","591000","565,000","4.6","178㎡","1:2","共同住宅 ＬＳ３","小規模住宅、アパート等が密集する住宅地域","北東3.8m区道","水道・ガス・下水","西新宿５丁目 500ｍ","１中専（60・200）準防","","139.679432811679","35.6892339209652","令和5年1月1日"
"令和5年1月1日","公10","本町２丁目３６番１５","本町２－１３－１３","656000","627,000","4.6","200㎡","1:1.2","住宅 Ｗ２","一般住宅、マンション等が多い住宅地域","南4.5m私道","水道・ガス・下水","中野坂上 550m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.678179073209","35.6946528128394","令和5年1月1日"
"令和5年1月1日","公11","中野３丁目２番１","中野３－２３－４６","898000","850,000","5.6","304㎡","1:1.5","共同住宅 Ｓ４Ｆ１Ｂ","中規模以上の住宅の多い閑静な住宅地域","北5.5m区道","水道・ガス・下水","中野 500m","１中専（60・200）準防","https://www.city.tokyo-nakano.lg.jp/machizukuri/toshi/tochi-torihiki/tochihyojyunkakaku.html","139.663991588057","35.7016776882383","令和5年1月1日"
