階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
3,（9）はん用・生産用・業務用機械 General-purpose， production and business oriented machinery,91.6,93.8,95.6,97.8,100.4,99.9,99.5,99,99.1,99.5,97.5
3,（10）電子部品・デバイス Electronic components and devices,106.8,100.3,104.9,98.8,98.2,92.7,96.6,92.2,86.9,85.3,84.5
3,（11）電気機械 Electrical machinery， equipment and supplies,100.9,98.3,99.6,98.9,100.1,95.8,93.5,93.3,91.5,92,88.1
3,（12）情報・通信機器 Information and communication electronics equipment,104.1,98.9,97.1,97.9,101,98.4,96.7,95.9,95.1,94.4,93.6
3,（13）輸送用機械 Transport equipment,88.6,90.3,94.1,97,99.8,96.7,96.2,94.9,93.4,94.1,94.9
3,（14）印刷業 Printing,102.4,99.5,98.4,99.7,100.1,103,103.1,102.7,103.5,107.3,107.4
3,（15）その他の製造業 Others,96.7,96.6,96.5,98.2,99.4,99.2,97.2,96,97.7,99.7,101.6
2,4．電気・ガス・水道・廃棄物処理業 Electricity， gas and water supply and waste management service,87,88.7,91.9,95.9,94.8,97.6,99.4,100.8,100.9,101.6,106.3
3,（1）電気業 Electricity supply,71.9,77.4,84.7,93.6,96.3,96.6,98.7,101.9,102.9,102.2,102.9
3,（2）ガス・水道・廃棄物処理業 Gas and water supply， and waste management service,94.7,94.4,95.5,97,94.1,98.2,99.7,100.3,99.9,101.3,107.9
2,5．建設業 Construction,95.8,95.7,96.4,99,99.9,100.8,101.6,102,104.8,105.6,108.2
2,6．卸売・小売業 Wholesale and retail trade,99.6,98.4,99.1,101.8,99.9,100.5,99.2,99.6,101.2,105.5,109.2
3,（1）卸売業 Wholesale trade,100.4,99,100.1,102.6,99.9,99.9,98,98.4,100.2,105.4,110
3,（2）小売業 Retail trade,97,96.6,96.1,99.2,99.9,102.3,102.8,103.5,104.5,106.3,107.3
2,7．運輸・郵便業 Transport and postal services,91.5,92.7,91.7,95.5,99.5,102.1,101.3,103.3,105.8,110.8,107.5
2,8．宿泊・飲食サービス業 Accommodation and food service activities,98,97.7,94.3,96.9,101.2,106.4,105.7,106.4,110.7,110.3,106.7
2,9．情報通信業 Information and communications,101.3,100.8,98.6,100.5,100,101.2,100,99.5,100.2,100.6,98.9
3,（1）通信・放送業 Communications and broadcasting,101.8,101.6,99.3,100.1,99.7,99.5,96.7,94,92.1,90.3,88.8
3,（2）情報サービス・映像音声文字情報制作業 Information services， and Image， sound and character information production and distribution,101.1,100.4,98.3,100.7,100.2,102.3,102.1,103,105.4,107.4,105.5
2,10．金融・保険業 Finance and insurance,117.6,110.2,104.7,102.9,99.9,98.6,97,98.3,99.2,94.4,90.7
2,11．不動産業 Real estate,101.6,100.6,99.7,99.9,100.2,100.5,100.9,100.6,100.7,101.4,102
3,（1）住宅賃貸業 Renting of dwellings,101.8,101.5,100.9,100.1,100,99.6,99.3,98.6,98,98.5,98.6
3,（2）その他の不動産業 Other real estate,101.2,98.6,96.7,99.4,100.5,102.9,104.8,105.7,107.4,108.2,110.4
2,12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,94,94.1,93.3,98.1,99.7,100.5,101.9,105.1,105.9,107.4,111.1
2,13．公務 Public administration,98.3,97.1,96.6,99.7,100.1,100.3,101.9,102.9,103.9,103.8,104.7
2,14．教育 Education,99.6,97.8,96.7,98.9,99.8,101.2,101.7,101.7,101.5,101.8,102.5
2,15．保健衛生・社会事業 Human health and social work activities,100.5,101,100.5,100.5,100.4,100.8,101.6,101.1,100.9,101.3,100
2,16．その他のサービス Other service activities,95.5,95.2,96.1,98.5,100.1,100.3,101.3,101.4,102.3,103.7,105.1
1,17．小計 Sub-total,99.6,98.6,97.9,99.9,99.9,100.5,100.3,100.8,101.7,102.8,103.6
1,18．輸入品に課される税・関税 Taxes and duties on imports,68.6,70.2,78.1,101.7,96.5,87.6,95.4,101.2,100.1,100.3,125.5
1,19．（控除）総資本形成に係る消費税 (less) Consumption taxes for gross capital formation,61.8,61,60.7,90.4,99.8,101.2,102.6,104.9,111.1,129.8,131.5
0,20．都内総生産 Gross prefectural domestic product ,99.6,98.7,98.1,100,99.9,100.3,100.2,100.8,101.6,102.6,103.5
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series（2015暦年＝100）  (Calendar year of 2015 = 100),,,,,,,,,,,,
(3)　経済活動別都内総生産（デフレーター：連鎖方式）  (3) Gross Prefectural Domestic Product classified by Economic Activities    (Deflators: Chain-linked),,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
