経済活動の種類 Classification of economic activities,就業者数(常住地ベース) Employed Persons (on a residence basis)／2011年度(Fiscal Year  2011),就業者数(常住地ベース) Employed Persons (on a residence basis)／2012年度(Fiscal Year  2012),就業者数(常住地ベース) Employed Persons (on a residence basis)／2013年度(Fiscal Year  2013),就業者数(常住地ベース) Employed Persons (on a residence basis)／2014年度(Fiscal Year  2014),就業者数(常住地ベース) Employed Persons (on a residence basis)／2015年度(Fiscal Year  2015),就業者数(常住地ベース) Employed Persons (on a residence basis)／2016年度(Fiscal Year  2016),就業者数(常住地ベース) Employed Persons (on a residence basis)／2017年度(Fiscal Year  2017),就業者数(常住地ベース) Employed Persons (on a residence basis)／2018年度(Fiscal Year  2018),就業者数(常住地ベース) Employed Persons (on a residence basis)／2019年度(Fiscal Year  2019),就業者数(常住地ベース) Employed Persons (on a residence basis)／2020年度(Fiscal Year  2020),就業者数(常住地ベース) Employed Persons (on a residence basis)／2021年度(Fiscal Year  2021),雇用者数(常住地ベース) Employees (on a residence basis)／2011年度(Fiscal Year  2011),雇用者数(常住地ベース) Employees (on a residence basis)／2012年度(Fiscal Year  2012),雇用者数(常住地ベース) Employees (on a residence basis)／2013年度(Fiscal Year  2013),雇用者数(常住地ベース) Employees (on a residence basis)／2014年度(Fiscal Year  2014),雇用者数(常住地ベース) Employees (on a residence basis)／2015年度(Fiscal Year  2015),雇用者数(常住地ベース) Employees (on a residence basis)／2016年度(Fiscal Year  2016),雇用者数(常住地ベース) Employees (on a residence basis)／2017年度(Fiscal Year  2017),雇用者数(常住地ベース) Employees (on a residence basis)／2018年度(Fiscal Year  2018),雇用者数(常住地ベース) Employees (on a residence basis)／2019年度(Fiscal Year  2019),雇用者数(常住地ベース) Employees (on a residence basis)／2020年度(Fiscal Year  2020),雇用者数(常住地ベース) Employees (on a residence basis)／2021年度(Fiscal Year  2021),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2011年度(Fiscal Year  2011),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2012年度(Fiscal Year  2012),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2013年度(Fiscal Year  2013),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2014年度(Fiscal Year  2014),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2015年度(Fiscal Year  2015),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2016年度(Fiscal Year  2016),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2017年度(Fiscal Year  2017),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2018年度(Fiscal Year  2018),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2019年度(Fiscal Year  2019),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2020年度(Fiscal Year  2020),就業者数(就業地ベース) Employed Persons (on a workplace basis)／2021年度(Fiscal Year  2021),雇用者数(就業地ベース) Employees (on a workplace basis)／2011年度(Fiscal Year  2011),雇用者数(就業地ベース) Employees (on a workplace basis)／2012年度(Fiscal Year  2012),雇用者数(就業地ベース) Employees (on a workplace basis)／2013年度(Fiscal Year  2013),雇用者数(就業地ベース) Employees (on a workplace basis)／2014年度(Fiscal Year  2014),雇用者数(就業地ベース) Employees (on a workplace basis)／2015年度(Fiscal Year  2015),雇用者数(就業地ベース) Employees (on a workplace basis)／2016年度(Fiscal Year  2016),雇用者数(就業地ベース) Employees (on a workplace basis)／2017年度(Fiscal Year  2017),雇用者数(就業地ベース) Employees (on a workplace basis)／2018年度(Fiscal Year  2018),雇用者数(就業地ベース) Employees (on a workplace basis)／2019年度(Fiscal Year  2019),雇用者数(就業地ベース) Employees (on a workplace basis)／2020年度(Fiscal Year  2020),雇用者数(就業地ベース) Employees (on a workplace basis)／2021年度(Fiscal Year  2021)
12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,825829,844818,882605,916292,940257,965775,1012105,1050198,1065665,1068052,1046949,690614,696731,726265,763056,791850,820787,848215,877455,903657,908327,901598,1119394,1139373,1184489,1224914,1253221,1283938,1340237,1386103,1402940,1401626,1374502,926862,935366,975858,1026133,1065758,1101135,1134152,1169711,1200899,1203116,1193986
13．公務 Public administration,246778,242977,239272,235633,232148,234293,236490,237658,239914,241516,243451,246778,242977,239272,235633,232148,234293,236490,237658,239914,241516,243451,327758,323332,319006,314717,310582,311997,313478,313756,315226,315960,317087,327758,323332,319006,314717,310582,311997,313478,313756,315226,315960,317087
14．教育 Education,240344,241921,250506,259017,265175,269040,276148,278333,276426,271719,271474,239292,240946,249341,257563,263770,267895,274836,276853,275004,270062,269810,282665,284904,295442,305913,313621,317877,325934,328162,325563,319662,319374,281216,283627,293986,304169,311996,316550,324416,326457,323935,317779,317482
15．保健衛生・社会事業 Human health and social work activities,689929,707472,725659,744258,767361,793619,808837,782113,825485,834532,842709,653695,672937,688821,705703,723475,745816,767253,744058,784029,788508,792592,766786,785519,806024,827273,853757,882414,898865,868650,916206,925504,934448,721900,744606,763695,783986,805371,829890,853360,827168,871175,875689,880223
16．その他のサービス Other service activities,509042,502538,513245,539874,541654,536857,548643,546720,550263,540954,540051,405309,404438,412391,428381,437583,439009,443473,436079,435112,428184,418825,638880,628131,639355,670041,671232,665434,679344,676695,680603,668346,666394,502833,502729,513608,534423,547233,549229,555005,546508,545507,536738,525038
（再掲）市場生産者 (regrouped)Market producer,6448498,6484345,6527604,6641173,6651104,6656293,6705708,6747572,6805437,6741249,6700153,5737720,5779311,5810528,5931786,5960895,5989540,6032577,6052814,6120698,6059645,6020514,8592969,8615936,8658561,8798143,8813912,8794456,8835714,8870560,8916722,8809731,8760680,7569561,7644679,7707841,7894476,7963540,7976594,8012068,8022764,8085681,7986146,7940361
（再掲）一般政府 (regrouped)General government,411030,406144,403503,401360,402254,408873,417039,418746,425749,427596,429806,409443,404731,401929,399776,400559,407269,415574,417267,424215,425972,428065,520153,514197,511095,508693,509759,516004,524266,525186,531679,532332,533733,517091,511927,508892,506689,507771,514140,522560,523459,529903,530470,531742
（再掲）対家計民間非営利団体 (regrouped)Private non-profit institutions serving households,325189,327700,335483,344002,354672,362107,371466,370803,378190,375753,375377,321739,324332,332206,340891,351520,359253,368815,368196,375359,372691,372475,384406,386950,396301,406744,419559,427737,438250,437547,445384,441814,441180,378344,381859,391831,402835,415852,424383,435116,434450,442016,438177,437745
総数 Total,7184717,7218189,7266590,7386535,7408030,7427273,7494213,7537121,7609376,7544598,7505336,6468902,6508374,6544663,6672453,6712974,6756062,6816966,6838277,6920272,6858308,6821054,9497528,9517083,9565957,9713580,9743230,9738197,9798230,9833293,9893785,9783877,9735593,8464996,8538465,8608564,8804000,8887163,8915117,8969744,8980673,9057600,8954793,8909848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５　付表  ５　Supporting Tables (単位: 人　Persons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(4)　経済活動別就業者数・雇用者数(常住地ベース・就業地ベース） (4) Employed Persons and Employees classified by Economic Activities(on a residence/workplace basis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注) 雇用者数には副業者を含むため、国勢調査値とは一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note1: Employee data include multiple job holders and thus do not equal the population census figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note2: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
