階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
3,（2）その他の不動産業 Other real estate,1472391,1563123,1672532,1857606,1988115,2089033,2110041,2173661,2256508,2330152,2289988
2,12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,9843181,9593948,10245237,10873657,11590370,11837115,11928852,12094059,12349109,11889340,12513228
2,13．公務 Public administration,3176813,3412827,3680280,3875237,3944946,3795744,3651911,3564081,4175645,4979722,5296660
2,14．教育 Education,1659455,1649696,1650246,1520937,1679310,1654654,1669504,1686277,1727831,1699537,1681257
2,15．保健衛生・社会事業 Human health and social work activities,3089376,3201371,3316290,3502039,3548100,3494101,3706736,3757749,3902531,3858683,4374017
2,16．その他のサービス Other service activities,3290783,3345300,3420891,3435964,3445638,3353108,3478368,3492160,3433548,2985080,3141375
1,17．小計 Sub-total,77100597,77686499,81031179,83381616,84708423,84154065,86583897,87752020,88205356,83281527,87665651
1,18．輸入品に課される税・関税 Taxes and duties on imports,0,0,0,0,0,0,0,0,0,0,0
1,19．（控除）総資本形成に係る消費税 (less) Consumption taxes for gross capital formation,0,0,0,0,0,0,0,0,0,0,0
0,20．合計 Total,77100597,77686499,81031179,83381616,84708423,84154065,86583897,87752020,88205356,83281527,87665651
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
５　付表  ５　Supporting Tables(単位: 100万円　Millions of Yen),,,,,,,,,,,,
(2)　経済活動別の中間投入  (2) Intermediate Input classified by Economic Activities,,,,,,,,,,,,
 Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
