階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
2,8．宿泊・飲食サービス業 Accommodation and food service activities,2377739,2393837,2335594,2496367,2565368,2716365,2710325,2646362,2656352,1891951,1643010
2,9．情報通信業 Information and communications,10022922,10482218,10941392,11280526,11887841,12231771,12213198,12387903,12702004,12780170,13343603
3,（1）通信・放送業 Communications and broadcasting,3070824,3381979,3684250,3862932,4259650,4562723,4587010,4674024,4598358,4765717,4756692
3,（2）情報サービス・映像音声文字情報制作業 Information services， and Image， sound and character information production and distribution,6952098,7100239,7257142,7417594,7628190,7669048,7626188,7713879,8103647,8014453,8586911
2,10．金融・保険業 Finance and insurance,8370702,8152883,8421159,8329640,8491533,8270256,8543482,8729009,8690375,8508679,8691594
2,11．不動産業 Real estate,12338012,12402304,12599996,12984799,13331168,13662570,13787651,13981574,14359735,14730442,14863707
3,（1）住宅賃貸業 Renting of dwellings,9227933,9299875,9352126,9409754,9493065,9575403,9647923,9727315,9920947,10112650,10325037
3,（2）その他の不動産業 Other real estate,3110079,3102429,3247869,3575045,3838103,4087168,4139728,4254259,4438789,4617791,4538670
2,12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,9707354,10338681,11028981,11613709,12481622,12903084,13111610,13365497,13703752,13384167,13889261
2,13．公務 Public administration,3792240,3706505,3686115,3858843,3964350,4048032,3973841,4145668,4192651,4318176,4336378
2,14．教育 Education,2902243,2835657,2820345,2963492,2826822,2864349,2888416,2892202,2887756,2913975,2883802
2,15．保健衛生・社会事業 Human health and social work activities,5496687,5787887,6045841,6179249,6576988,6818819,6880263,7043908,7244320,7150253,7581705
2,16．その他のサービス Other service activities,4655995,4646910,4648816,4645862,4639229,4610661,4699200,4641169,4601455,4069820,4303487
1,17．小計（1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16） Sub-total（1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16）,101509054,102608724,105882914,106459701,110090714,111402218,113522713,115107965,114701108,109749986,114004496
1,18．輸入品に課される税・関税 Taxes and duties on imports,953220,904380,915471,909906,919640,813334,915791,953674,980371,928420,980708
1,19．（控除）総資本形成に係る消費税 (less)  Consumption taxes for gross capital formation,539307,538871,587386,868054,989554,1011057,1041621,1092924,1153591,1258486,1299286
0,20．都内総生産（17＋18－19） Gross prefectural domestic product (17+18-19),101922967,102974233,106210999,106501553,110020800,111204495,113396884,114968715,114527888,109419920,113685917
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series(単位: 100万円　Millions of Yen),,,,,,,,,,,,
(1)　経済活動別都内総生産（名目）  (1) Gross Prefectural Domestic Product classified by Economic Activities (at current prices),,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
