階層 Hierarchy,項目 Items,2011年度(Fiscal Year 2011),2012年度(Fiscal Year 2012),2013年度(Fiscal Year 2013),2014年度(Fiscal Year 2014),2015年度(Fiscal Year 2015),2016年度(Fiscal Year 2016),2017年度(Fiscal Year 2017),2018年度(Fiscal Year 2018),2019年度(Fiscal Year 2019),2020年度(Fiscal Year 2020),2021年度(Fiscal Year 2021)
3,（1）電気業 Electricity supply,551939,537674,539124,541629,563613,523960,531077,529504,581007,567007,494555
3,（2）ガス・水道・廃棄物処理業 Gas and water supply， and waste management service,988151,1016632,1039391,1070023,1094562,1025640,1039327,1067220,1136962,1107636,1061071
2,5．建設業 Construction,3489284,3407534,3549966,3516624,3721911,4315975,4789260,4748471,4511305,4571342,4525560
2,6．卸売・小売業 Wholesale and retail trade,25107869,25471718,26536199,24097535,25146678,24397334,25508199,25984871,24483079,21467770,22467571
3,（1）卸売業 Wholesale trade,19712473,19838442,20499885,18120258,19145770,18444603,19574296,20026092,18568797,15669677,16612191
3,（2）小売業 Retail trade,5372789,5615918,6022257,5984868,6000908,5952731,5940654,5969671,5909804,5768984,5826755
2,7．運輸・郵便業 Transport and postal services,4021771,4227990,4347514,4356284,4447394,4377487,4461697,4408750,4251412,2836613,3093851
2,8．宿泊・飲食サービス業 Accommodation and food service activities,2425463,2449866,2477509,2577535,2535419,2552004,2563095,2487453,2400374,1715562,1539768
2,9．情報通信業 Information and communications,9893799,10396800,11091381,11222056,11882491,12084419,12211579,12447363,12679435,12699887,13495331
3,（1）通信・放送業 Communications and broadcasting,3017690,3328210,3711005,3857348,4271554,4587691,4745263,4971410,4995349,5280529,5359050
3,（2）情報サービス・映像音声文字情報制作業 Information services， and Image， sound and character information production and distribution,6878801,7070338,7380335,7363677,7610937,7497956,7470577,7487436,7689773,7460106,8139247
2,10．金融・保険業 Finance and insurance,7119338,7397534,8040203,8093771,8500033,8387234,8811034,8879745,8762817,9011725,9578629
2,11．不動産業 Real estate,12148869,12323925,12635884,13000147,13310285,13589493,13661983,13893195,14255743,14532874,14567967
3,（1）住宅賃貸業 Renting of dwellings,9066685,9166753,9271366,9401462,9491597,9617447,9714129,9869886,10121593,10262118,10469314
3,（2）その他の不動産業 Other real estate,3072072,3147078,3357880,3597737,3818688,3971687,3948968,4023987,4134449,4266167,4110398
2,12．専門・科学技術、業務支援サービス業 Professional， scientific and technical activities,10325991,10982138,11819281,11842861,12516350,12841374,12868844,12719588,12946221,12462078,12502025
2,13．公務 Public administration,3856893,3815699,3816324,3870509,3960401,4034496,3900782,4028145,4035224,4158355,4142329
2,14．教育 Education,2915146,2898328,2916600,2995209,2831190,2830706,2840219,2843004,2845420,2862191,2813525
2,15．保健衛生・社会事業 Human health and social work activities,5470938,5732295,6018528,6146747,6550135,6761359,6773348,6970124,7179350,7060685,7578196
2,16．その他のサービス Other service activities,4873516,4879564,4837163,4716616,4632504,4594897,4639018,4575637,4499713,3925864,4095256
1,17．小計 Sub-total,101928706,104094608,108099366,106541177,110184355,110898930,113222379,114140286,112732552,106737256,109994962
1,18．輸入品に課される税・関税 Taxes and duties on imports,1389773,1288677,1171877,894360,952995,928251,959608,942544,979062,925213,781557
1,19．（控除）総資本形成に係る消費税 (less) Consumption taxes for gross capital formation,872721,884095,968292,960404,991202,998929,1015067,1041984,1038086,969921,987904
0,20．都内総生産 Gross prefectural domestic product,102291898,104380045,108246422,106474858,110146147,110829301,113166523,114041179,112673670,106693917,109796810
1,21．開差｛20-（17+18-19）｝ Residual{20-(17+18-19)},-153861,-119145,-56529,-274,0,1049,-397,333,142,1370,8195
,,,,,,,,,,,,
都民経済計算年報 令和３年度 Annual Report on Tokyo Metropolitan Accounts for 2021,,,,,,,,,,,,
３　主要系列表  ３　Main Time Series（2015暦年＝100）  (Calendar year of 2015 = 100),,,,,,,,,,,,
(2)　経済活動別都内総生産（実質：連鎖方式）(2) Real Gross Prefectural Domestic Product classified by Economic Activities    (Chain-linked),,,,,,,,,,,,
Note: “Fiscal Year” refers to the 12 months beginning from April 1 of the year stated.,,,,,,,,,,,,
