年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち小中一貫教育校 Combined elementary / junior high schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high / senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
令和3,2021,1,私立 ,Private,短期大学,Junior colleges,36,-,-,-,9688,720,8968,2769,727,2042
令和3,2021,1,私立 ,Private,高等専門学校,Colleges of technology,1,-,-,-,801,648,153,…,52,…
令和3,2021,1,私立 ,Private,特別支援学校,Special needs schools,4,-,…,…,233,127,106,119,87,32
令和3,2021,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,8,-,…,…,8925,4919,4006,904,195,709
令和3,2021,1,私立 ,Private,専修学校,Specialized training schools,392,-,…,…,144037,67632,76405,22897,7173,15724
令和3,2021,1,私立 ,Private,各種学校,Miscellaneous schools,153,-,…,…,19919,9916,10003,3547,2054,1493
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (令和元～3年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2019-2021 ),,,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,,
資料：文部科学省 「学校基本統計（学校基本調査報告書）」，都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」 Source: Ministry of Education， Culture， Sports， Science and Technology; Bureau of General Affairs， TMG,,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,,
