地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
2,13113,13,渋谷区,Shibuya-ku,21,47,30,-,-,-,-,19,11,6,1,-,2,-,-,-,7,-,1
2,13114,14,中野区,Nakano-ku,15,178,3,1,-,-,-,1,1,2,1,-,-,-,-,151,-,-,21
2,13115,15,杉並区,Suginami-ku,18,84,23,-,-,4,2,5,12,-,15,1,1,-,-,9,29,-,6
2,13116,16,豊島区,Toshima-ku,17,174,136,-,1,3,16,1,115,1,2,17,-,-,2,8,4,-,4
2,13117,17,北区,Kita-ku,19,47,4,-,-,-,1,-,3,3,3,15,5,4,-,8,3,-,2
2,13118,18,荒川区,Arakawa-ku,13,97,49,-,-,9,-,5,35,3,4,3,1,1,4,9,15,1,7
2,13119,19,板橋区,Itabashi-ku,23,135,62,-,14,4,7,18,19,2,18,5,2,2,1,10,27,1,5
2,13120,20,練馬区,Nerima-ku,24,193,60,1,33,3,11,10,2,4,8,2,4,2,-,18,85,10,-
2,13121,21,足立区,Adachi-ku,34,96,57,-,15,5,3,1,33,11,11,3,-,-,-,3,7,-,4
2,13122,22,葛飾区,Katsushika-ku,23,130,57,-,-,-,-,17,40,2,7,-,4,-,-,44,12,-,4
2,13123,23,江戸川区,Edogawa-ku,14,26,7,-,6,1,-,-,-,7,-,2,-,-,-,6,-,-,4
1,13200,,市部,All shi,359,2763,1485,101,59,245,28,188,864,43,224,121,36,15,35,452,219,3,130
2,13201,1,八王子市,Hachioji-shi,18,406,362,23,6,124,-,1,208,6,3,-,-,-,-,8,25,-,2
2,13202,2,立川市,Tachikawa-shi,29,159,108,9,17,13,-,10,59,4,18,5,1,2,-,6,6,2,7
2,13203,3,武蔵野市,Musashino-shi,5,190,49,-,-,5,-,22,22,-,37,14,2,-,-,27,55,-,6
2,13204,4,三鷹市,Mitaka-shi,9,76,45,7,-,5,-,3,30,-,1,6,-,-,-,18,-,-,6
2,13205,5,青梅市,Ome-shi,15,112,33,-,1,3,-,11,18,1,-,-,-,-,-,65,6,-,7
2,13206,6,府中市,Fuchu-shi,31,81,28,-,6,6,-,10,6,1,-,6,-,3,-,10,28,-,5
2,13207,7,昭島市,Akishima-shi,18,28,12,2,-,2,-,1,7,1,1,-,1,-,-,11,-,-,2
2,13208,8,調布市,Chofu-shi,21,197,112,7,-,6,-,15,84,3,9,6,3,-,-,24,38,-,2
2,13209,9,町田市,Machida-shi,19,139,75,7,6,11,4,12,35,1,32,5,1,-,-,16,1,-,8
2,13210,10,小金井市,Koganei-shi,12,166,115,5,-,6,14,15,75,1,5,3,2,-,1,32,-,-,7
2,13211,11,小平市,Kodaira-shi,24,130,61,13,1,6,-,4,37,2,13,2,1,3,19,25,-,1,3
2,13212,12,日野市,Hino-shi,13,161,132,14,-,6,-,54,58,1,3,5,3,-,-,10,3,-,4
2,13213,13,東村山市,Higashimurayama-shi,13,49,6,-,-,-,-,-,6,1,7,28,1,1,-,3,-,-,2
2,13214,14,国分寺市,Kokubunji-shi,16,110,67,-,2,13,-,8,44,1,8,8,3,-,3,19,-,-,1
2,13215,15,国立市,Kunitachi-shi,11,79,41,2,3,2,7,-,27,-,2,11,8,-,2,4,3,-,8
2,13218,16,福生市,Fussa-shi,13,60,38,-,8,-,-,1,29,1,3,-,1,-,-,12,1,-,4
2,13219,17,狛江市,Komae-shi,3,27,10,-,1,2,1,3,3,-,2,2,1,1,1,4,-,-,6
2,13220,18,東大和市,Higashiyamato-shi,9,93,36,2,-,9,-,6,19,7,19,4,1,-,-,14,9,-,3
2,13221,19,清瀬市,Kiyose-shi,10,46,16,1,-,2,-,-,13,1,3,2,-,1,-,8,13,-,2
2,13222,20,東久留米市,Higashikurume-shi,6,38,14,-,-,3,-,4,7,1,5,4,3,-,-,8,-,-,3
2,13223,21,武蔵村山市,Musashimurayama-shi,6,21,3,1,-,1,-,-,1,-,1,-,-,-,-,1,8,-,8
2,13224,22,多摩市,Tama-shi,17,75,30,1,-,8,1,4,16,-,19,-,1,-,-,8,-,-,17
2,13225,23,稲城市,Inagi-shi,11,38,16,4,1,6,-,-,5,4,2,-,-,3,2,7,-,-,4
2,13227,24,羽村市,Hamura-shi,7,80,13,-,-,1,-,-,12,-,22,1,1,1,3,20,16,-,3
2,13228,25,あきる野市,Akiruno-shi,9,88,14,2,-,3,-,-,9,6,1,5,-,-,-,49,7,-,6
2,13229,26,西東京市,Nishitokyo-shi,14,114,49,1,7,2,1,4,34,-,8,4,2,-,4,43,-,-,4
1,13300,,郡部,All gun,21,49,10,-,-,-,-,-,10,-,2,10,-,2,-,5,17,-,3
2,13303,1,瑞穂町,Mizuho-machi,9,42,5,-,-,-,-,-,5,-,2,10,-,2,-,5,17,-,1
2,13305,2,日の出町,Hinode-machi,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
2,13307,3,檜原村,Hinohara-mura,2,3,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,3,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1
1,13350,,島部,All islands,29,73,37,-,18,-,-,9,10,-,18,4,-,-,-,1,2,-,11
2,13361,1,大島町,Oshima-machi,8,4,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,2
2,13362,2,利島村,Toshima-mura,1,5,1,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,1
2,13363,3,新島村,Niijima-mura,2,6,1,-,-,-,-,-,1,-,2,1,-,-,-,-,1,-,1
2,13364,4,神津島村,Kozushima-mura,3,16,-,-,-,-,-,-,-,-,10,-,-,-,-,1,1,-,4
2,13381,5,三宅村,Miyake-mura,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13382,6,御蔵島村,Mikurajima-mura,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2,13401,7,八丈町,Hachijo-machi,7,39,35,-,18,-,-,9,8,-,1,-,-,-,-,-,-,-,3
2,13402,8,青ヶ島村,Aogashima-mura,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (令和2年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2020 ),,,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，令和3年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2021. ,,,,,,,,,,,,,,,,,,,,,,,
資料：都教育庁地域教育支援部生涯学習課 「区市町村生涯学習・社会教育行政データブック」 Source: Office of Education， TMG   ,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,
（単位　学級〔学級数〕， 事業〔事業数〕）(Units: Number of classes， number of programs),,,,,,,,,,,,,,,,,,,,,,,
