男女別階層,男女区分 ,Male female classification,年齢階層,項番 Item number,年齢,Age,１０歳以上推定人口(千人) Estimated population 10 years and over(in 1，000),１次活動 Primary activities,１次活動 Primary activities／睡眠 Sleep,１次活動 Primary activities／身の回りの用事 Personal care,１次活動 Primary activities／食事 Meals,２次活動 Secondary activities,２次活動 Secondary activities／通勤・通学 Commuting to and from school or work,２次活動 Secondary activities／仕事 Work ,２次活動 Secondary activities／学業 Schoolwork,２次活動 Secondary activities／家事 Housework,２次活動 Secondary activities／介護・看護 Caring or nursing,２次活動 Secondary activities／育児 Child care,２次活動 Secondary activities／買い物 Shopping,３次活動 Tertiary activities,３次活動 Tertiary activities／移動(通勤・通学を除く) Moving (excluding commuting),３次活動 Tertiary activities／テレビ・ラジオ・新聞・雑誌 Watching TV， listening to the radio， reading newspapers or magazines ,３次活動 Tertiary activities／休養・くつろぎ Rest and relaxation  ,３次活動 Tertiary activities／学習・自己啓発・訓練(学業以外) Learning， self-education， and training ( excluding schoolwork ),３次活動 Tertiary activities／趣味・娯楽 Hobbies and amusements ,３次活動 Tertiary activities／スポーツ Sports,３次活動 Tertiary activities／ボランティア活動・社会参加活動 Volunteer and social activities,３次活動 Tertiary activities／交際・付き合い Social life,３次活動 Tertiary activities／受診・療養 Medical examination or treatment,３次活動 Tertiary activities／その他 Other activities
0,総数 ,Total,1,10,55～59歳,55-59 years old,897,614,427,90,97,485,43,306,2,102,5,1,26,341,24,115,113,14,30,8,2,5,10,18
0,総数 ,Total,1,11,60～64歳,60-64 years old,715,653,437,102,114,400,37,209,4,114,4,2,30,387,34,146,102,17,46,12,1,11,4,13
0,総数 ,Total,1,12,65～69歳,65-69 years old,660,626,434,82,111,344,23,153,1,122,7,2,36,470,28,197,119,11,72,12,4,7,5,15
0,総数 ,Total,1,13,70～74歳,70-74 years old,810,679,466,95,119,274,12,84,1,136,3,2,37,487,32,236,103,11,47,21,2,9,7,19
0,総数 ,Total,1,14,75～79歳,75-79 years old,591,688,490,76,122,217,6,33,2,133,5,1,37,535,25,262,92,17,70,25,5,15,8,16
0,総数 ,Total,1,15,80～84歳,80-84 years old,469,739,515,102,122,217,12,45,1,112,3,7,38,484,21,225,103,16,32,19,4,10,32,23
0,総数 ,Total,1,16,85歳以上,85 and over,472,749,533,97,120,151,5,1,0,115,2,0,28,540,22,275,137,15,33,20,1,13,11,13
1,男 ,Male,0,,総数 ,Total,6253,644,468,79,97,409,44,272,39,26,2,7,19,387,25,108,118,21,69,15,2,8,7,13
1,男 ,Male,1,17,10～14歳 ,10-14 years old,266,653,511,55,87,375,42,0,323,2,-,0,8,412,27,50,151,52,71,32,-,7,12,10
1,男 ,Male,1,18,15～19歳,15-19 years old,269,630,478,68,83,415,58,33,308,4,1,-,11,395,24,30,136,38,117,39,2,4,2,4
1,男 ,Male,1,19,20～24歳,20-24 years old,420,644,484,82,78,380,44,181,130,15,-,0,11,416,15,33,182,64,94,3,1,7,1,17
1,男 ,Male,1,20,25～29歳,25-29 years old,499,633,475,78,80,444,52,337,24,18,-,1,14,362,32,20,157,36,88,10,-,10,2,7
1,男 ,Male,1,21,30～34歳,30-34 years old,473,622,473,67,83,549,44,444,1,21,1,20,18,268,21,48,85,13,82,6,-,9,1,5
1,男 ,Male,1,22,35～39歳,35-39 years old,502,617,456,74,86,470,54,366,2,15,0,19,15,352,30,47,118,15,105,10,3,17,1,6
1,男 ,Male,1,23,40～44歳,40-44 years old,526,628,456,79,93,526,52,407,1,23,1,24,18,286,20,41,96,17,59,7,1,11,17,16
1,男 ,Male,1,24,45～49歳,45-49 years old,586,625,452,77,96,527,52,413,3,30,1,10,18,287,20,69,98,10,48,9,1,10,8,13
1,男 ,Male,1,25,50～54歳,50-54 years old,566,644,460,82,102,451,62,342,0,28,1,2,16,344,25,121,103,10,45,19,1,10,3,8
1,男 ,Male,1,26,55～59歳,55-59 years old,462,609,433,81,95,487,57,363,1,37,5,1,22,343,24,121,106,8,25,10,4,5,14,26
1,男 ,Male,1,27,60～64歳,60-64 years old,363,655,437,104,114,421,56,307,8,28,1,2,19,364,35,140,109,11,51,6,2,3,2,6
1,男 ,Male,1,28,65～69歳,65-69 years old,326,607,433,67,107,278,26,188,0,34,4,0,25,555,37,213,150,10,109,15,5,2,6,9
1,男 ,Male,1,29,70～74歳,70-74 years old,384,697,476,102,118,221,15,125,-,44,2,1,34,522,35,251,106,16,49,25,1,6,6,28
1,男 ,Male,1,30,75～79歳,75-79 years old,258,698,504,71,123,138,5,50,4,43,7,1,29,604,19,305,97,10,104,23,7,10,7,22
1,男 ,Male,1,31,80～84歳,80-84 years old,191,765,546,85,133,118,5,29,-,32,4,14,34,558,13,262,112,20,40,29,5,8,39,28
1,男 ,Male,1,32,85歳以上 ,85 and over,163,764,552,91,121,90,5,0,-,52,3,-,29,586,9,331,118,32,29,42,3,8,7,8
1,女 ,Female,0,,総数 ,Total,6471,659,467,91,101,426,28,173,32,136,3,22,32,355,27,104,118,16,43,10,1,15,7,16
1,女 ,Female,1,33,10～14歳 ,10-14 years old,253,698,512,90,97,400,38,1,342,2,-,-,17,342,23,47,131,48,60,22,-,6,2,2
1,女 ,Female,1,34,15～19歳,15-19 years old,261,651,463,96,92,450,67,24,342,5,-,-,13,339,21,14,138,73,38,27,-,15,1,13
1,女 ,Female,1,35,20～24歳,20-24 years old,424,694,529,90,75,356,37,257,34,13,-,-,14,390,29,29,176,23,56,5,0,51,8,13
1,女 ,Female,1,36,25～29歳,25-29 years old,492,691,511,79,101,415,41,263,12,52,-,26,20,334,26,36,141,5,62,6,3,21,6,28
1,女 ,Female,1,37,30～34歳,30-34 years old,463,655,486,76,94,497,29,259,1,78,1,98,32,287,26,42,127,9,52,3,0,16,1,11
1,女 ,Female,1,38,35～39歳,35-39 years old,483,630,455,92,83,554,43,247,3,129,1,105,25,256,27,31,119,10,42,4,0,7,4,13
1,女 ,Female,1,39,40～44歳,40-44 years old,507,624,453,81,90,537,32,282,4,142,3,38,35,279,29,57,95,6,45,5,0,6,13,22
1,女 ,Female,1,40,45～49歳,45-49 years old,572,632,444,89,99,500,23,215,3,190,9,17,43,308,29,70,130,7,36,4,1,9,4,17
1,女 ,Female,1,41,50～54歳,50-54 years old,548,627,426,102,98,517,37,256,0,182,3,1,37,296,24,108,91,10,26,5,1,11,2,19
1,女 ,Female,1,42,55～59歳,55-59 years old,436,618,421,99,99,482,28,245,3,171,4,1,30,339,23,109,120,21,36,7,1,5,6,10
1,女 ,Female,1,43,60～64歳,60-64 years old,352,651,437,101,114,379,18,109,1,203,6,1,41,410,34,152,94,24,40,18,1,19,7,20
1,女 ,Female,1,44,65～69歳,65-69 years old,334,645,435,96,114,408,20,118,1,208,10,3,47,387,18,182,90,12,36,8,4,12,5,21
1,女 ,Female,1,45,70～74歳,70-74 years old,427,663,456,89,119,321,8,48,2,218,4,3,39,455,30,222,99,7,46,17,4,11,8,11
1,女 ,Female,1,46,75～79歳,75-79 years old,333,679,479,80,121,279,7,20,0,204,3,2,43,482,30,230,88,23,44,27,3,18,8,11
1,女 ,Female,1,47,80～84歳,80-84 years old,278,722,494,114,114,285,16,55,1,166,2,3,41,434,26,199,98,13,26,12,3,12,26,20
1,女 ,Female,1,48,85歳以上 ,85 and over,310,741,522,100,119,184,4,2,0,148,1,1,27,516,29,245,146,7,35,9,-,16,14,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-19  男女，年齢階級，行動の種類別総平均時間(週全体) (令和3年) 17-19  AVERAGE TIME SPENT PER DAY ON ACTIVITIES BY GENDER， AGE GROUP， AND TYPE OF ACTIVITY ( DAILY AVERAGE OF FULL WEEK ) ( 2021 ) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 総務省統計局「社会生活基本調査」 Source: Ministry of Internal Affairs and Communications       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男女別階層（0:総数　1:男・女）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年齢階層（0:総数　1:10歳～84歳・85歳以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位　分）( In　minutes ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
