消防署名,木造建物１階,木造建物２階,木造建物３階以上,防火造建物１階,防火造建物２階,防火造建物３階以上,準耐火造建物１階,準耐火造建物２階,準耐火造建物３階以上,耐火造建物１階,耐火造建物２階,耐火造建物３階,耐火造建物４階,耐火造建物５階,耐火造建物６階,耐火造建物７階,耐火造建物８階,耐火造建物９階,耐火造建物１０階,耐火造建物１１階,耐火造建物１２階,耐火造建物１３階,耐火造建物１４階,耐火造建物１５～１９階,耐火造建物２０～２４階,耐火造建物２５～２９階,耐火造建物３０～３９階,耐火造建物４０～４９階,耐火造建物５０階以上,計
目黒消防署,818,1479,13,1024,20297,739,1395,8644,4349,1511,2631,5366,1966,883,364,331,168,103,105,64,42,28,17,9,3,3,3,2,0,52357
世田谷消防署,1652,2474,5,2142,40943,4418,1385,8355,6883,1153,1843,5925,2557,1077,331,238,157,92,97,37,34,24,23,7,2,1,2,0,0,81857
玉川消防署,1056,1486,0,1133,19643,1919,687,6038,2745,699,1458,2830,1136,599,209,150,70,36,22,13,7,4,7,4,0,3,0,1,0,41955
成城消防署,1776,1570,0,2076,26003,1322,1282,5744,2353,850,1369,2126,892,505,151,102,60,33,24,5,8,5,9,1,0,1,0,0,0,48267
渋谷消防署,274,448,3,837,13017,1003,623,2127,2941,407,1412,6228,3157,1737,841,763,673,430,325,130,95,63,88,49,18,6,5,2,1,37703
四谷消防署,66,45,0,100,2305,150,579,327,551,134,193,889,646,500,241,217,208,182,147,71,25,17,24,9,1,3,0,0,0,7630
牛込消防署,135,191,0,176,5548,182,1359,932,1635,187,423,2085,1339,824,316,227,160,108,111,56,48,37,35,18,4,2,2,1,0,16141
新宿消防署,324,492,4,362,11284,507,2014,2187,2382,344,1242,3789,2017,1193,518,386,372,302,263,123,85,64,64,41,12,13,16,7,7,30414
中野消防署,365,796,6,392,13555,1539,142,1447,1700,66,1108,2369,1268,648,223,195,131,89,70,48,26,11,11,8,2,2,2,0,0,26219
野方消防署,870,1865,4,694,19900,1451,322,3489,1730,112,1897,2308,868,347,155,98,59,33,10,14,6,2,1,1,0,1,0,0,0,36237
杉並消防署,1406,2861,0,1320,40498,2923,403,7456,3252,385,1295,2965,1558,771,307,231,160,71,54,33,26,15,12,1,1,1,0,0,0,68005
荻窪消防署,1200,2037,0,1303,29332,1639,489,6794,1989,305,1269,2180,1060,539,174,125,81,37,33,15,8,6,8,4,0,0,0,0,0,50627
小石川消防署,272,430,7,853,7940,459,964,1239,1468,416,692,2546,1152,610,293,215,152,138,125,86,61,32,42,29,6,4,1,1,0,20233
本郷消防署,154,514,4,669,6803,214,631,1251,1999,419,531,1987,1077,719,317,241,238,155,158,86,73,46,68,30,4,1,0,0,0,18389
豊島消防署,255,404,7,356,9583,563,120,2039,1853,225,943,3336,1594,988,448,385,342,215,191,109,68,44,57,23,7,3,4,1,2,24165
池袋消防署,389,698,8,341,11638,534,174,3844,2373,253,905,3605,1235,569,239,168,165,109,98,27,24,12,24,19,0,3,3,0,0,27457
王子消防署,430,276,0,619,11504,754,1483,1501,1612,280,512,2223,737,376,117,93,85,34,43,35,26,13,27,9,2,0,0,0,0,22791
赤羽消防署,569,341,2,1139,10998,847,2395,1909,2130,764,469,1947,646,421,166,117,83,49,37,35,21,13,37,17,7,0,0,0,0,25159
滝野川消防署,331,304,3,572,10339,703,1276,1180,1886,120,479,2280,941,502,170,109,72,48,49,45,24,21,14,8,1,0,0,0,0,21477
板橋消防署,964,1159,18,1954,18026,1274,1723,3427,4350,308,604,3492,1727,807,281,167,106,81,74,69,34,22,50,19,2,0,1,0,0,40739
志村消防署,1670,1688,11,4831,23878,1189,6022,6709,6041,821,1319,3523,1438,912,331,230,155,74,66,90,38,18,40,21,1,1,1,0,0,61118
練馬消防署,1449,2677,1,919,23546,1758,531,4651,1592,607,1710,3337,1155,513,242,181,110,54,65,22,17,11,31,4,1,1,1,0,0,45186
光が丘消防署,1151,2356,0,845,17067,853,483,1809,488,614,831,1249,364,251,113,68,44,15,21,17,9,7,50,1,1,3,1,0,0,28711
石神井消防署,2570,5897,0,1991,46350,1744,930,4923,851,737,2581,2634,775,507,166,103,76,27,22,11,6,2,6,3,0,3,1,0,0,72916
