"町丁目","総合支所","平成28年度調査区域面積[ha]","令和3年度調査区域面積[ha]","平成28年度緑被地面積[平方メートル]","令和3年度緑被地面積[平方メートル]","緑被地面積増減（H28→R3)[平方メートル]","平成28年度緑被率[％]","令和3年度緑被率[％]","緑被地面積増減率[％]","緑被率増減(H28→R3)[ポイント]"
"芝大門一丁目","芝地区","8.40","8.40","7692","9025","1334","9.16","10.75","1.59","1.59"
"芝大門二丁目","芝地区","6.87","6.87","1971","2516","546","2.87","3.66","0.79","0.79"
"芝公園一丁目","芝地区","6.99","6.99","13313","17322","4009","19.05","24.79","5.74","5.74"
"芝公園二丁目","芝地区","9.86","9.86","16147","17220","1073","16.37","17.46","1.09","1.09"
"芝公園三丁目","芝地区","22.02","22.02","74019","72940","-1079","33.62","33.13","-0.49","-0.49"
"芝公園四丁目","芝地区","26.47","26.47","134063","130641","-3422","50.65","49.36","-1.29","-1.29"
"虎ノ門一丁目","芝地区","13.00","13.00","10322","12861","2539","7.94","9.89","1.95","1.95"
"虎ノ門二丁目","芝地区","12.78","12.78","8553","19220","10668","6.69","15.04","8.35","8.35"
"虎ノ門三丁目","芝地区","12.66","12.66","21022","20348","-674","16.60","16.07","-0.53","-0.53"
"虎ノ門四丁目","芝地区","8.51","8.51","19611","23525","3914","23.04","27.64","4.60","4.60"
"虎ノ門五丁目","芝地区","7.86","7.86","18132","15007","-3125","23.06","19.09","-3.98","-3.98"
"愛宕一丁目","芝地区","3.65","3.65","15077","14851","-226","41.25","40.63","-0.62","-0.62"
"愛宕二丁目","芝地区","4.08","4.08","19446","19907","461","47.70","48.83","1.13","1.13"
"麻布狸穴町","麻布地区","2.00","2.00","4940","5306","366","24.73","26.56","1.83","1.83"
"麻布永坂町","麻布地区","5.05","5.05","23681","23590","-91","46.91","46.73","-0.18","-0.18"
"南麻布一丁目","麻布地区","15.89","15.89","21785","24418","2633","13.71","15.37","1.66","1.66"
"南麻布二丁目","麻布地区","14.31","14.31","13571","16009","2438","9.48","11.19","1.70","1.70"
"南麻布三丁目","麻布地区","19.25","19.25","41284","41960","676","21.45","21.80","0.35","0.35"
"南麻布四丁目","麻布地区","26.17","26.17","79828","81726","1897","30.51","31.23","0.73","0.73"
"南麻布五丁目","麻布地区","23.32","23.32","84869","85944","1076","36.40","36.86","0.46","0.46"
"元麻布一丁目","麻布地区","9.47","9.47","29335","28010","-1326","30.96","29.56","-1.40","-1.40"
"元麻布二丁目","麻布地区","14.11","14.11","27111","27851","740","19.21","19.74","0.52","0.52"
"元麻布三丁目","麻布地区","14.04","14.04","29917","32086","2170","21.32","22.86","1.55","1.55"
"西麻布一丁目","麻布地区","9.38","9.38","6157","8115","1959","6.57","8.65","2.09","2.09"
"西麻布二丁目","麻布地区","14.34","14.34","15944","17053","1109","11.12","11.90","0.77","0.77"
"西麻布三丁目","麻布地区","18.88","18.88","26203","30491","4288","13.88","16.15","2.27","2.27"
"西麻布四丁目","麻布地区","16.97","16.97","28677","28230","-447","16.90","16.63","-0.26","-0.26"
"六本木一丁目","麻布地区","15.12","15.12","53194","53378","183","35.19","35.31","0.12","0.12"
"六本木二丁目","麻布地区","7.40","7.40","24082","25226","1144","32.55","34.10","1.55","1.55"
"六本木三丁目","麻布地区","18.90","18.90","16964","24233","7269","8.98","12.82","3.85","3.85"
"六本木四丁目","麻布地区","9.48","9.48","9752","12817","3065","10.29","13.52","3.23","3.23"
"六本木五丁目","麻布地区","20.32","20.32","46549","48723","2174","22.91","23.98","1.07","1.07"
"六本木六丁目","麻布地区","20.90","20.90","46326","54545","8219","22.16","26.10","3.93","3.93"
"六本木七丁目","麻布地区","27.77","27.77","56453","55834","-619","20.33","20.10","-0.22","-0.22"
"麻布台一丁目","麻布地区","12.27","12.27","22551","10653","-11897","18.37","8.68","-9.69","-9.69"
"麻布台二丁目","麻布地区","5.78","5.78","15180","16828","1649","26.28","29.14","2.85","2.85"
"麻布台三丁目","麻布地区","3.79","3.79","4003","4849","847","10.56","12.80","2.23","2.23"
"麻布十番一丁目","麻布地区","5.67","5.67","3022","3564","542","5.33","6.29","0.96","0.96"
"麻布十番二丁目","麻布地区","6.68","6.68","3657","4378","721","5.47","6.55","1.08","1.08"
"麻布十番三丁目","麻布地区","3.34","3.34","854","1047","193","2.56","3.13","0.58","0.58"
"麻布十番四丁目","麻布地区","1.71","1.71","1171","1451","280","6.85","8.49","1.64","1.64"
"東麻布一丁目","麻布地区","9.09","9.09","6670","8015","1346","7.34","8.82","1.48","1.48"
"東麻布二丁目","麻布地区","10.07","10.07","7391","8184","793","7.34","8.13","0.79","0.79"
"東麻布三丁目","麻布地区","4.33","4.33","2834","3297","463","6.54","7.61","1.07","1.07"
"元赤坂一丁目","赤坂地区","9.30","8.78","12331","12455","124","13.26","14.19","0.14","0.93"
"元赤坂二丁目","赤坂地区","71.80","72.32","546859","546738","-121","76.16","75.60","-0.02","-0.57"
"赤坂一丁目","赤坂地区","15.33","15.33","33117","41731","8614","21.60","27.22","5.62","5.62"
"赤坂二丁目","赤坂地区","20.81","20.81","25074","25910","836","12.05","12.45","0.40","0.40"
"赤坂三丁目","赤坂地区","9.54","9.54","3135","4106","972","3.29","4.31","1.02","1.02"
"赤坂四丁目","赤坂地区","15.18","15.18","20053","25837","5784","13.21","17.02","3.81","3.81"
"赤坂五丁目","赤坂地区","10.70","10.70","23778","26976","3198","22.23","25.22","2.99","2.99"
"赤坂六丁目","赤坂地区","18.28","18.28","41882","45046","3164","22.91","24.64","1.73","1.73"
"赤坂七丁目","赤坂地区","16.33","16.33","32430","33246","816","19.85","20.35","0.50","0.50"
"赤坂八丁目","赤坂地区","17.63","17.63","37174","39836","2662","21.08","22.59","1.51","1.51"
"赤坂九丁目","赤坂地区","17.70","17.70","51358","54699","3341","29.02","30.91","1.89","1.89"
"南青山一丁目","赤坂地区","16.46","16.46","37410","41540","4130","22.73","25.24","2.51","2.51"
"南青山二丁目","赤坂地区","50.94","50.22","199564","178364","-21200","39.17","35.51","-4.22","-3.66"
"南青山三丁目","赤坂地区","12.88","12.88","11480","16112","4633","8.91","12.51","3.60","3.60"
"南青山四丁目","赤坂地区","20.72","20.72","42424","43701","1277","20.47","21.09","0.62","0.62"
"南青山五丁目","赤坂地区","16.26","16.26","15673","19724","4050","9.64","12.13","2.49","2.49"
"南青山六丁目","赤坂地区","13.40","13.40","28435","30350","1914","21.22","22.65","1.43","1.43"
"南青山七丁目","赤坂地区","9.95","9.95","14087","16067","1980","14.16","16.16","1.99","1.99"
"北青山一丁目","赤坂地区","15.04","15.04","64300","66548","2248","42.76","44.26","1.49","1.50"
"北青山二丁目","赤坂地区","20.05","20.05","38669","41694","3025","19.28","20.79","1.51","1.51"
"北青山三丁目","赤坂地区","15.12","15.12","32855","28067","-4788","21.72","18.56","-3.17","-3.17"
"三田四丁目","高輪地区","24.29","24.29","62393","60589","-1804","25.69","24.95","-0.74","-0.74"
"三田五丁目","高輪地区","11.52","11.52","10591","12024","1433","9.20","10.44","1.24","1.24"
"高輪一丁目","高輪地区","24.86","24.86","60316","61628","1312","24.26","24.79","0.53","0.53"
"高輪二丁目","高輪地区","33.02","33.02","67105","71485","4381","20.32","21.65","1.33","1.33"
"高輪三丁目","高輪地区","43.62","43.62","116676","118092","1416","26.75","27.08","0.32","0.32"
"高輪四丁目","高輪地区","31.47","31.47","75906","82031","6125","24.12","26.07","1.95","1.95"
"白金一丁目","高輪地区","13.55","13.55","13849","15518","1668","10.22","11.45","1.23","1.23"
"白金二丁目","高輪地区","15.48","15.48","50334","51184","850","32.52","33.07","0.55","0.55"
"白金三丁目","高輪地区","10.69","10.69","7521","9309","1788","7.04","8.71","1.67","1.67"
"白金四丁目","高輪地区","15.69","15.69","55123","52849","-2273","35.14","33.69","-1.45","-1.45"
"白金五丁目","高輪地区","9.70","9.70","8449","11707","3258","8.71","12.07","3.36","3.36"
"白金六丁目","高輪地区","12.00","12.00","19370","20899","1529","16.14","17.42","1.27","1.27"
"白金台一丁目","高輪地区","14.76","14.76","43023","43996","974","29.15","29.81","0.66","0.66"
"白金台二丁目","高輪地区","15.17","15.17","31014","33277","2263","20.44","21.93","1.49","1.49"
"白金台三丁目","高輪地区","15.92","15.92","35389","35806","417","22.23","22.49","0.26","0.26"
"白金台四丁目","高輪地区","16.16","16.16","42787","42572","-214","26.48","26.35","-0.13","-0.13"
"白金台五丁目","高輪地区","36.28","36.28","239137","239980","843","65.91","66.14","0.23","0.23"
"芝浦一丁目","芝浦港南地区","29.31","28.74","50803","39364","-11439","17.33","13.69","-3.98","-3.64"
"芝浦二丁目","芝浦港南地区","12.09","14.32","12908","17406","4499","10.68","12.16","3.14","1.48"
"芝浦三丁目","芝浦港南地区","25.66","26.14","31139","38911","7772","12.14","14.89","2.97","2.75"
"芝浦四丁目","芝浦港南地区","54.56","55.07","78845","80372","1527","14.45","14.60","0.28","0.15"
"海岸二丁目","芝浦港南地区","14.96","16.40","11815","12608","792","7.90","7.69","0.48","-0.21"
"海岸三丁目","芝浦港南地区","58.57","59.00","42796","47658","4861","7.31","8.08","0.82","0.77"
"港南一丁目","芝浦港南地区","41.99","41.17","89318","98677","9359","21.27","23.97","2.27","2.70"
"港南二丁目","芝浦港南地区","69.45","68.87","50941","59272","8332","7.33","8.61","1.21","1.27"
"港南三丁目","芝浦港南地区","27.61","23.00","33983","36179","2196","12.31","15.73","0.95","3.42"
"港南四丁目","芝浦港南地区","41.88","43.17","127984","138752","10768","30.56","32.14","2.49","1.58"
"港南五丁目","芝浦港南地区","44.12","44.13","31594","37315","5721","7.16","8.46","1.30","1.30"
"台場一丁目","芝浦港南地区","42.72","42.71","168360","165197","-3162","39.41","38.67","-0.74","-0.74"
"台場二丁目","芝浦港南地区","22.36","22.36","37693","38371","677","16.85","17.16","0.30","0.30"

"※調査区域面積は行政界図形面積とするため、区公表面積と異なる",,,,,,,,,,
"※「緑被地面積増減」は次式による：（令和３年度緑被地面積）－（平成28年度緑被地面積）",,,,,,,,,,
"※「緑被地面積増減率」は次式による：（緑被地面積増減）÷（調査区域面積）×100",,,,,,,,,,
"※「緑被率増減」は次式による：（令和３年度緑被率）－（平成28年度緑被率）",,,,,,,,,,
"※マイナス値：減少した数値",,,,,,,,,,
"※面積は小数第1位、率は小数第3位を四捨五入により集計値が合わない場合がある",,,,,,,,,,

"港区みどりの実態調査[第１０次]町丁目別緑被地の推移","Ver202203",,,,,,,,,
