施設名称,所在地,緯度,経度,電話番号,URL
わらべみどり保育園向島分園,墨田区向島四丁目2番14号,35.716258,139.811078,03-3625-1131,http://www.ans.co.jp/n/warabemidori-m/
本所たから保育園,墨田区東駒形四丁目4番7号,35.705695,139.805072,03-5610-3737,http://honjotakara-hoikuen.com/
すみだ中和こころ保育園,墨田区菊川一丁目18番5号,35.6901403,139.8021863,03-6666-9449,http://sumidacocoro.com/
両国・なかよし保育園,墨田区両国一丁目10番7号,35.693968,139.790818,03-5638-5835,http://yuusei.or.jp/ryougoku/ryougoku.html
小梅保育園,墨田区向島三丁目42番1号,35.71232,139.810082,03-3829-3663,http://123koume.co.jp/
すみだ川のほとりに笑顔咲くほいくえん,墨田区立川二丁目12番16号,35.691702,139.801,03-6666-9446,http://tokyojidokyokai.com/sumida-egao/
まなびの森保育園錦糸町,墨田区太平二丁目4番4号,35.699972,139.813048,03-5610-0720,
グローバルキッズ押上園,墨田区押上二丁目19番2号,35.713574,139.813301,03-5608-3334,http://www.gkids.co.jp/facilities/nursery_070.html
両国すきっぷ保育園,墨田区両国四丁目25番9号,35.693898,139.796265,03-5625-2200,http://www.skip-hoikuen.com/ryougoku/
のびのび保育園キッズ館,墨田区千歳三丁目8番13号,35.69011,139.796711,03-3634-0086,http://www.nobinobihoiku.com/
のびのび保育園ジュニア館,墨田区千歳二丁目9番8号,35.691378,139.795705,03-5600-2260,http://www.nobinobihoiku.com/
すこやか錦糸保育園,墨田区錦糸三丁目7番1号,35.698603,139.813635,03-3623-3740,http://sukoyaka-kinshi.com/
あい・あい保育園錦糸町園,墨田区亀沢四丁目5番4号,35.696687,139.808455,03-6284-1609,https://aiai.globalbridge.biz/facilities/detail/kinshicyo.shtml
うぃず東駒形保育園,墨田区東駒形二丁目9番9号,35.706269,139.80065,03-6240-4053,http://www.mom.ed.jp/
ベネッセ 菊川北保育園,墨田区立川四丁目10番9号,35.691634,139.806824,03-5625-3516,https://hoiku.benesse-style-care.co.jp/facilities/area_tokyo/sumida/h-kikukawakita/
小学館アカデミーひきふね駅前保育園,墨田区京島一丁目1番1-314号,35.71655,139.817084,03-3610-8178,https://www.shopro.co.jp/hoiku/shisetsu/hikifune/
チェリッシュあおぞらほいくえん,墨田区緑四丁目38番1号,35.695958,139.806466,03-5638-3177,https://child-stage.co.jp/cherish/authorization/aozora
アスク両国保育園,墨田区石原二丁目7番3号,35.699772,139.801453,03-5608-4382,https://www.nihonhoiku.co.jp/blog/ryogoku/
向島ひまわり保育園,墨田区向島三丁目22番8号,35.713319,139.809049,03-5610-3981,http://mukoujima-himawari.com/
じょうえん曳舟保育園,墨田区京島一丁目6番6号107・108号室,35.716446,139.818365,03-6657-5310,http://johen-hikifune.jp/
オウトピア保育園,墨田区緑二丁目5番12号 3F,35.692839,139.801249,03-6659-6233,http://e-houseikai.or.jp/outopia-hoikuen.html
そらまめ保育園すみだ横川,墨田区横川一丁目1番10号 すみだパークプレイス3F ,35.702697,139.809024,03-5637-8709,http://www.soramame-kids.jp/corner72/pg592.html
ひらがなのツリーほいくえん,墨田区業平三丁目9番2号,35.707757,139.812811,03-6658-4417,http://tokyojidokyokai.com/oshiage/index.html
キッズガーデン墨田八広,墨田区八広二丁目54番9号,35.713919,139.8279,03-6657-5451,https://www.kidsgarden.co.jp/nursery/guide/sumidayahiro/
日生曳舟駅前保育園ひびき,墨田区東向島二丁目42番5号,35.72077,139.81817,03-6657-4691,https://www.jlsri.co.jp/business/childcare/hibiki/nursery/hikifune/
石原ここわ保育園,墨田区石原三丁目5番7号,35.69976,139.804844,03-6658-5853,http://ishiwara-cocowa.com/
まなびの森保育園曳舟,墨田区京島一丁目44番17号,35.718997,139.820741,03-3618-8688,http://www.kodomonomori.co.jp/
わらべ向島保育園,墨田区向島三丁目19番5号,35.714569,139.810616,03-5610-2311,http://www.seishinfukushikai.jp/warabemukoujima/
うれしい保育園八広,墨田区八広四丁目33番9号,35.723388,139.828813,03-5655-2321,http://www.care21.co.jp/UH-yahiro/
にじいろ保育園向島,墨田区向島五丁目13番18号,35.719209,139.810659,03-6658-5851,https://www.like-kn.co.jp/academy/establishment/nijiiro/mukoujima/index.html
