 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,352",80,"8,919","3,633",247,80,"1,139","3,633","1,105",-,"7,780",-
,83.5%,21.2%,93.2%,121.0%,129.3%,21.3%,88.6%,125.2%,77.3%,-,93.9%,-
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"108,474","33,205","671,355","147,135","28,173","32,983","192,834","146,087","80,301",222,"478,521","1,048"
,90.4%,112.8%,96.5%,103.8%,77.4%,113.1%,101.0%,103.9%,96.0%,81.9%,94.8%,93.7%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,012","5,493","55,944","30,067","1,947","5,453","13,623","29,566","7,065",40,"42,321",501
,77.3%,98.7%,84.4%,97.0%,55.3%,99.4%,71.8%,96.6%,86.9%,50.0%,89.4%,125.9%
中国(香港含む),"68,556","53,938","399,861","275,530","11,685","53,889","66,949","275,104","56,871",49,"332,912",426
,86.1%,96.0%,93.4%,96.5%,76.3%,96.4%,90.3%,96.6%,88.4%,18.4%,94.0%,54.5%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"21,362","10,867","130,435","86,227","11,742","9,030","69,751","75,663","9,620","1,837","60,684","10,564"
,84.4%,63.7%,96.5%,79.3%,104.0%,58.7%,111.2%,78.3%,68.6%,110.0%,83.9%,86.7%
内航定期計,"17,743","2,625","106,420","15,313","9,007",992,"51,487","6,340","8,736","1,633","54,933","8,973"
,88.3%,77.2%,96.6%,53.5%,101.7%,55.2%,100.7%,38.4%,77.7%,101.8%,93.1%,74.2%
北海道,"7,798",316,"39,392","1,333","3,566",214,"18,899","1,195","4,232",102,"20,493",138
,104.7%,96.3%,107.3%,84.6%,94.1%,65.2%,99.5%,81.4%,115.6%,-,115.5%,127.8%
東北,"3,376",734,"22,489","4,145","1,646",657,"10,648","3,876","1,730",77,"11,841",269
,111.3%,72.5%,116.1%,87.4%,150.5%,71.3%,116.7%,88.7%,89.3%,85.6%,115.5%,71.5%
関東,-,-,192,50,-,-,192,50,-,-,-,-
,-,-,436.4%,35.7%,-,-,-,35.7%,-,-,-,-
伊豆諸島,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,736,65,"7,848",912,88,65,"1,213",676,648,-,"6,635",236
,22.4%,12.9%,54.3%,12.3%,21.9%,13.4%,47.9%,9.2%,22.4%,-,55.7%,605.1%
近畿,589,1,"3,476",203,352,1,"1,038",197,237,-,"2,438",6
,-,1.6%,54.6%,6.3%,-,1.6%,209.7%,6.4%,-,-,41.6%,5.5%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,364",130,"15,644",727,"1,124",55,"6,300",314,"1,240",75,"9,344",413
,74.0%,162.5%,102.1%,254.2%,97.7%,5500.0%,100.8%,550.9%,60.7%,94.9%,102.9%,180.3%
沖縄,"2,880","1,379","17,379","7,943","2,231",-,"13,197",32,649,"1,379","4,182","7,911"
,91.9%,97.2%,99.1%,70.5%,92.1%,-,97.6%,82.1%,91.2%,97.2%,104.1%,70.5%
内航不定期,"3,619","8,242","24,015","70,914","2,735","8,038","18,264","69,323",884,204,"5,751","1,591"
,69.3%,60.4%,96.2%,88.5%,112.6%,59.2%,157.4%,86.6%,31.7%,309.1%,43.0%,1729.3%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
