都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,不詳者の男性,不詳者の女性,世帯数,備考,KEY_CODE
131105,162,東京都,目黒区,2016-12-01,中目黒二丁目,2228,1111,1117,34,53,50,59,43,47,45,50,87,72,130,137,130,107,105,105,113,117,127,113,94,78,61,49,27,37,23,30,23,18,9,16,5,16,5,13,0,0,1291,,13110006002
131105,163,東京都,目黒区,2016-12-01,中目黒三丁目,2636,1234,1402,53,44,49,51,36,34,38,44,68,67,99,107,119,141,112,133,125,127,90,127,91,84,60,81,63,68,74,77,53,50,40,58,34,43,30,66,0,0,1538,,13110006003
131105,164,東京都,目黒区,2016-12-01,中目黒四丁目,3028,1497,1531,100,100,38,57,41,48,40,41,76,72,202,158,219,195,156,114,105,107,90,99,90,84,60,64,55,69,71,75,55,73,42,58,41,49,16,68,0,0,1626,,13110006004
131105,165,東京都,目黒区,2016-12-01,中目黒五丁目,3323,1629,1694,66,54,73,56,67,57,55,50,83,86,134,127,163,141,129,154,152,141,137,137,114,96,81,90,76,72,105,106,71,84,46,73,40,58,37,112,0,0,1809,,13110006005
131105,171,東京都,目黒区,2016-12-01,三田一丁目,2256,1020,1236,37,35,27,19,34,31,47,35,43,44,53,72,85,106,105,117,83,130,114,118,96,117,76,95,61,64,52,73,46,51,35,42,19,48,7,39,0,0,1338,,13110007001
131105,172,東京都,目黒区,2016-12-01,三田二丁目,3587,1687,1900,69,71,51,46,36,54,41,48,72,75,121,122,173,172,174,163,175,186,150,172,118,127,107,96,69,96,111,124,66,81,64,98,47,64,42,105,1,0,2078,,13110007002
131105,181,東京都,目黒区,2016-12-01,目黒一丁目,3849,1828,2021,84,72,48,57,40,43,44,39,101,92,171,139,211,209,188,181,176,159,151,171,118,119,90,114,79,92,101,131,74,112,74,103,54,83,24,105,0,0,2300,,13110008001
131105,182,東京都,目黒区,2016-12-01,目黒二丁目,2590,1184,1406,59,64,34,36,32,24,29,24,41,48,75,105,126,133,169,135,124,149,108,127,97,123,63,88,45,73,79,81,37,67,25,56,21,34,20,39,0,0,1531,,13110008002
131105,183,東京都,目黒区,2016-12-01,目黒三丁目,3084,1490,1594,80,81,57,58,53,38,61,45,66,60,96,86,131,151,176,177,132,141,121,127,103,103,73,71,59,88,95,95,57,74,63,63,33,71,34,65,0,0,1630,,13110008003
131105,184,東京都,目黒区,2016-12-01,目黒四丁目,3566,1706,1860,71,79,84,74,68,81,72,72,75,70,98,94,115,127,151,145,152,183,176,169,147,125,81,92,90,95,101,125,82,74,53,86,58,79,32,90,0,0,1763,,13110008004
