年度,Fiscal year,設置階層,設置区分,Classification,学校区分,School classification,学校数 Number of schools／総数 Total,学校数 Number of schools／総数 Total／うち分校  Branch schools,学校数 Number of schools／総数 Total／うち中高一貫教育校 Combined junior high ／ senior high schools,幼児，児童，生徒，学生数 Number of children and students／総数 Total,幼児，児童，生徒，学生数 Number of children and students／男 Male,幼児，児童，生徒，学生数 Number of children and students／女 Female,教員数 Number of  Teachers／総数 Total,教員数 Number of Teachers／本務者 Full-time,教員数 Number of Teachers／兼務者 Part-time
平成24,2012,1,私立 ,Private,特別支援学校,Special needs schools,4,-,-,232,136,96,122,103,19
平成24,2012,1,私立 ,Private,幼稚園,Kindergartens,850,-,-,159379,80386,78993,11270,9836,1434
平成24,2012,1,私立 ,Private,高等学校通信制,Senior high school correspondence course,10,-,-,12399,6833,5566,1023,256,767
平成24,2012,1,私立 ,Private,専修学校,Specialized training schools,408,-,-,140063,67155,72908,22780,7284,15496
平成24,2012,1,私立 ,Private,各種学校,Miscellaneous schools,163,-,-,22563,10510,12053,3270,1608,1662
,,,,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,
17-1  学校数，在学者数及び教員数 (平成22～24年度) 17-1  NUMBERS OF SCHOOLS， ENROLLED STUDENTS， AND TEACHERS ( Fiscal Years 2010-2012 ),,,,,,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本調査報告」 Source:  Bureau of General Affairs， TMG,,,,,,,,,,,,,,,
設置階層（0：総数　1:国立・公立・私立）,,,,,,,,,,,,,,,
