,,,,,,,,,(単位：トン）,,,
　　40年(1965),"32,106,097","4,061,040","28,045,057","6,882,517","117,005","6,765,512","25,223,580","3,944,035","21,279,545",,,
　　41年(1966),"35,308,281","4,634,404","30,673,877","8,021,623","144,957","7,876,666","27,286,658","4,489,447","22,797,211",,,
　　42年(1967),"41,578,498","5,456,333","36,122,165","8,459,318","169,228","8,290,090","33,119,180","5,287,105","27,832,075",,,
　　43年(1968),"41,916,310","6,181,256","35,735,054","8,615,620","312,389","8,303,231","33,300,690","5,868,867","27,431,823",,,
　　44年(1969),"43,198,406","6,356,988","36,841,418","8,660,336","478,151","8,182,185","34,538,070","5,878,837","28,659,233",,,
　　45年(1970),"44,233,376","6,071,140","38,162,236","9,494,937","649,785","8,845,152","34,738,439","5,421,355","29,317,084",,,
　　46年(1971),"42,004,526","5,683,699","36,320,827","8,678,752","666,321","8,012,431","33,325,774","5,017,378","28,308,396",,,
　　47年(1972),"45,534,451","6,701,529","38,832,922","10,002,068","1,483,105","8,518,963","35,532,383","5,218,424","30,313,959",,,
　　48年(1973),"55,354,139","10,772,119","44,582,020","12,926,174","2,782,966","10,143,208","42,427,965","7,989,153","34,438,812",,,
　　49年(1974),"55,573,468","12,909,850","42,663,618","13,609,249","3,702,260","9,906,989","41,964,219","9,207,590","32,756,629",,,
　　50年(1975),"49,886,395","12,705,915","37,180,480","11,499,821","3,533,145","7,966,676","38,386,574","9,172,770","29,213,804",,,
　　51年(1976),"55,238,025","15,743,920","39,494,105","14,093,810","4,874,981","9,218,829","41,144,215","10,868,939","30,275,276",,,
　　52年(1977),"58,541,053","16,924,861","41,616,192","15,291,104","5,521,454","9,769,650","43,249,949","11,403,407","31,846,542",,,
　　53年(1978),"59,660,852","17,043,531","42,617,321","16,273,842","5,653,780","10,620,062","43,387,010","11,389,751","31,997,259",,,
　　54年(1979),"61,875,080","17,667,191","44,207,889","17,408,594","5,607,281","11,801,313","44,466,486","12,059,910","32,406,576",,,
　　55年(1980),"62,006,729","18,987,794","43,018,935","17,335,180","6,588,701","10,746,479","44,671,549","12,399,093","32,272,456",,,
　　56年(1981),"60,515,052","19,425,964","41,089,088","17,133,968","7,306,749","9,827,219","43,381,084","12,119,215","31,261,869",,,
　　57年(1982),"59,091,932","19,028,695","40,063,237","17,490,749","7,238,468","10,252,281","41,601,183","11,790,227","29,810,956",,,
　　58年(1983),"57,927,926","18,903,891","39,024,035","16,937,824","6,808,019","10,129,805","40,990,102","12,095,872","28,894,230",,,
　　59年(1984),"60,756,819","19,568,560","41,188,259","17,927,720","7,745,593","10,182,127","42,829,099","11,822,967","31,006,132",,,
　　60年(1985),"59,546,034","19,597,605","39,948,429","18,463,451","8,195,371","10,268,080","41,082,583","11,402,234","29,680,349",,,
　　61年(1986),"61,782,999","19,133,184","42,649,815","19,730,217","7,979,378","11,750,839","42,052,782","11,153,806","30,898,976",,,
　　62年(1987),"66,402,827","19,913,983","46,488,844","22,715,632","8,259,239","14,456,393","43,687,195","11,654,744","32,032,451",,,
　　63年(1988),"70,430,855","20,568,705","49,862,150","23,957,253","8,084,639","15,872,614","46,473,602","12,484,066","33,989,536",,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
