都営地下鉄キロ程表,,,,,,,,
,,,,,,,,
項番,路線,駅ナンバー,出発駅名,駅ナンバー,到着駅名,キロ程,備考,情報更新日
7,三田線,I-07,内幸町,I-08,日比谷,0.9,,2015/10/1
8,三田線,I-08,日比谷,I-09,大手町,0.9,,2015/10/1
9,三田線,I-09,大手町,I-10,神保町,1.4,,2015/10/1
10,三田線,I-10,神保町,I-11,水道橋,1.0,,2015/10/1
11,三田線,I-11,水道橋,I-12,春日,0.7,,2015/10/1
12,三田線,I-12,春日,I-13,白山,1.4,,2015/10/1
13,三田線,I-13,白山,I-14,千石,1.0,,2015/10/1
14,三田線,I-14,千石,I-15,巣鴨,0.9,,2015/10/1
15,三田線,I-15,巣鴨,I-16,西巣鴨,1.4,,2015/10/1
16,三田線,I-16,西巣鴨,I-17,新板橋,1.0,,2015/10/1
17,三田線,I-17,新板橋,I-18,板橋区役所前,0.9,,2015/10/1
18,三田線,I-18,板橋区役所前,I-19,板橋本町,1.2,,2015/10/1
19,三田線,I-19,板橋本町,I-20,本蓮沼.,0.9,,2015/10/1
20,三田線,I-20,本蓮沼.,I-21,志村坂上,1.1,,2015/10/1
21,三田線,I-21,志村坂上,I-22,志村三丁目,0.9,,2015/10/1
22,三田線,I-22,志村三丁目,I-23,蓮根,1.2,,2015/10/1
23,三田線,I-23,蓮根,I-24,西台,0.8,,2015/10/1
24,三田線,I-24,西台,I-25,高島平,1.0,,2015/10/1
25,三田線,I-25,高島平,I-26,新高島平,0.7,,2015/10/1
26,三田線,I-26,新高島平,I-27,西高島平,0.8,,2015/10/1
,三田線,合計,,,,26.5,,
,,,,,,,,
項番,路線,駅ナンバー,出発駅名,駅ナンバー,到着駅名,キロ程,備考,情報更新日
1,新宿線,S-01,新宿,S-02,新宿三丁目,0.8,,2015/10/1
2,新宿線,S-02,新宿三丁目,S-03,曙橋,1.5,,2015/10/1
3,新宿線,S-03,曙橋,S-04,市ヶ谷,1.4,,2015/10/1
4,新宿線,S-04,市ヶ谷,S-05,九段下,1.3,,2015/10/1
5,新宿線,S-05,九段下,S-06,神保町,0.6,,2015/10/1
6,新宿線,S-06,神保町,S-07,小川町,0.9,,2015/10/1
7,新宿線,S-07,小川町,S-08,岩本町,0.8,,2015/10/1
8,新宿線,S-08,岩本町,S-09,馬喰横山,0.8,,2015/10/1
9,新宿線,S-09,馬喰横山,S-10,浜町,0.6,,2015/10/1
10,新宿線,S-10,浜町,S-11,森下,0.8,,2015/10/1
11,新宿線,S-11,森下,S-12,菊川,0.8,,2015/10/1
12,新宿線,S-12,菊川,S-13,住吉,0.9,,2015/10/1
13,新宿線,S-13,住吉,S-14,西大島,1.0,,2015/10/1
14,新宿線,S-14,西大島,S-15,大島,0.7,,2015/10/1
15,新宿線,S-15,大島,S-16,東大島,1.2,,2015/10/1
16,新宿線,S-16,東大島,S-17,船堀,1.7,,2015/10/1
17,新宿線,S-17,船堀,S-18,一之江,1.7,,2015/10/1
18,新宿線,S-18,一之江,S-19,瑞江,1.7,,2015/10/1
19,新宿線,S-19,瑞江,S-20,篠崎,1.5,,2015/10/1
20,新宿線,S-20,篠崎,S-21,本八幡,2.8,,2015/10/1
,新宿線,合計,,,,23.5,,
,,,,,,,,
項番,路線,駅ナンバー,出発駅名,駅ナンバー,到着駅名,キロ程,備考,情報更新日
1,大江戸線,E-28,都庁前,E-01,新宿西口,0.8,環状部,2015/10/1
2,大江戸線,E-01,新宿西口,E-02,東新宿,1.4,環状部,2015/10/1
3,大江戸線,E-02,東新宿,E-03,若松河田,1.0,環状部,2015/10/1
4,大江戸線,E-03,若松河田,E-04,牛込柳町,0.6,環状部,2015/10/1
5,大江戸線,E-04,牛込柳町,E-05,牛込神楽坂,1.0,環状部,2015/10/1
6,大江戸線,E-05,牛込神楽坂,E-06,飯田橋,1.0,環状部,2015/10/1
7,大江戸線,E-06,飯田橋,E-07,春日,1.0,環状部,2015/10/1
8,大江戸線,E-07,春日,E-08,本郷三丁目,0.8,環状部,2015/10/1
9,大江戸線,E-08,本郷三丁目,E-09,上野御徒町,1.1,環状部,2015/10/1
10,大江戸線,E-09,上野御徒町,E-10,新御徒町,0.8,環状部,2015/10/1
11,大江戸線,E-10,新御徒町,E-11,蔵前,1.0,環状部,2015/10/1
12,大江戸線,E-11,蔵前,E-12,両国,1.2,環状部,2015/10/1
13,大江戸線,E-12,両国,E-13,森下,1.0,環状部,2015/10/1
14,大江戸線,E-13,森下,E-14,清澄白河,0.6,環状部,2015/10/1
15,大江戸線,E-14,清澄白河,E-15,門前仲町,1.2,環状部,2015/10/1
16,大江戸線,E-15,門前仲町,E-16,月島,1.4,環状部,2015/10/1
17,大江戸線,E-16,月島,E-17,勝どき,0.8,環状部,2015/10/1
18,大江戸線,E-17,勝どき,E-18,築地市場,1.5,環状部,2015/10/1
19,大江戸線,E-18,築地市場,E-19,汐留,0.9,環状部,2015/10/1
20,大江戸線,E-19,汐留,E-20,大門,0.9,環状部,2015/10/1
21,大江戸線,E-20,大門,E-21,赤羽橋,1.3,環状部,2015/10/1
22,大江戸線,E-21,赤羽橋,E-22,麻布十番,0.8,環状部,2015/10/1
23,大江戸線,E-22,麻布十番,E-23,六本木,1.1,環状部,2015/10/1
24,大江戸線,E-23,六本木,E-24,青山一丁目,1.3,環状部,2015/10/1
25,大江戸線,E-24,青山一丁目,E-25,国立競技場,1.2,環状部,2015/10/1
26,大江戸線,E-25,国立競技場,E-26,代々木,1.5,環状部,2015/10/1
27,大江戸線,E-26,代々木,E-27,新宿,0.6,環状部,2015/10/1
28,大江戸線,E-27,新宿,E-28,都庁前,0.8,環状部,2015/10/1
29,大江戸線,E-28,都庁前,E-29,西新宿五丁目,0.8,放射部,2015/10/1
30,大江戸線,E-29,西新宿五丁目,E-30,中野坂上,1.2,放射部,2015/10/1
31,大江戸線,E-30,中野坂上,E-31,東中野,1.0,放射部,2015/10/1
32,大江戸線,E-31,東中野,E-32,中井,0.8,放射部,2015/10/1
33,大江戸線,E-32,中井,E-33,落合南長崎,1.3,放射部,2015/10/1
34,大江戸線,E-33,落合南長崎,E-34,新江古田,1.6,放射部,2015/10/1
35,大江戸線,E-34,新江古田,E-35,練馬,1.6,放射部,2015/10/1
36,大江戸線,E-35,練馬,E-36,豊島園,0.9,放射部,2015/10/1
37,大江戸線,E-36,豊島園,E-37,練馬春日町,1.5,放射部,2015/10/1
38,大江戸線,E-37,練馬春日町,E-38,光が丘,1.4,放射部,2015/10/1
,大江戸線,合計,,,,40.7,,
,大江戸線,環状部計,,,,28.6,環状部,
,大江戸線,放射部計,,,,12.1,放射部,
