系統番号,区間,収入（千円）,支出（千円）,損益額（千円）,乗車料収入（千円／日）,乗車人員（人／日）,営業係数
王57,赤羽駅東口～豊島五丁目団地,581561,482834,98728,1455,9332,83
上58,早稲田～上野松坂屋前,632985,513029,119956,1569,10202,81
上60,池袋駅東口～上野公園,128397,152661,-24264,307,1911,119
白61,練馬車庫前～新宿駅西口,921616,823498,98118,2281,14040,89
飯62,小滝橋車庫前～都営飯田橋駅前,30619,38491,-7872,73,474,126
草63,池袋駅東口～浅草寿町（往路）、雷門一丁目（復路）,781560,677335,104225,1944,12487,87
橋63,小滝橋車庫前～新橋駅前,237217,262338,-25121,571,3563,111
飯64,小滝橋車庫前～（九段下循環）～小滝橋車庫前,323106,273215,49890,804,5026,85
草64,池袋駅東口～浅草雷門南,418706,460499,-41794,1014,6572,110
池65,練馬車庫前～池袋駅東口,337278,295748,41530,841,5281,88
渋66,阿佐ヶ谷駅前～渋谷駅前,226194,225067,1127,549,3345,100
上69,小滝橋車庫前～（上野公園循環）～小滝橋車庫前,429081,346954,82127,1070,6763,81
梅70,青梅車庫前～花小金井駅北口,210170,413231,-203061,472,2627,197
高71,高田馬場駅前～九段下,143831,177186,-33355,339,2127,123
梅74,裏宿町～（成木循環）～裏宿町                           ,45049,87685,-42636,98,704,195
宿74,新宿駅西口～東京女子医大前,144391,165775,-21384,331,2092,115
宿75,新宿駅西口～三宅坂,116233,169367,-53134,256,1600,146
梅76,裏宿町～上成木,108821,141523,-32702,255,1929,130
梅77,裏宿町～河辺駅北口,60693,103945,-43252,135,948,171
黒77,目黒駅前～千駄ヶ谷駅前,169651,206909,-37257,406,2532,122
早77,早稲田～新宿駅西口,197831,211258,-13427,472,3008,107
王78,新宿駅西口～王子駅前,362523,390709,-28186,869,5524,108
早81,早大正門～（渋谷駅東口循環）～早大正門,112791,186577,-73786,247,1548,165
池86,池袋駅東口～（渋谷駅東口循環）～池袋駅東口,542354,490729,51625,1321,8624,90
橋86,目黒駅前～新橋駅前,132757,207203,-74446,303,1896,156
田87,渋谷駅前～田町駅前,698383,580918,117466,1717,10532,83
渋88,渋谷駅前～新橋駅前,131858,197209,-65351,290,1730,150
品91,品川駅港南口～（八潮パークタウン循環）～品川駅港南口,345754,316524,29230,858,5177,92
宿91,新代田駅前～新宿駅西口,237102,232851,4252,574,3600,98
井92,大井町駅東口～（八潮パークタウン循環）～大井町駅東口,274083,250119,23963,680,4290,91
田92,品川駅港南口～田町駅東口,90068,88768,1300,220,1278,99
品93,大井競馬場前～目黒駅前,636654,578737,57917,1581,9746,91
反94,五反田駅～赤羽橋駅前,14301,27366,-13065,31,184,191
浜95,品川車庫前～東京タワー,56964,97439,-40475,127,773,171
井96,大井町駅東口～（天王洲アイル循環）～大井町駅東口,53825,72811,-18987,126,760,135
品96,品川駅港南口～（天王洲アイル循環）～品川駅港南口,257266,206717,50549,645,3720,80
反96,五反田駅～六本木ヒルズ,243542,249402,-5860,596,3611,102
品97,品川駅高輪口～新宿駅西口,403811,413037,-9226,979,6131,102
井98,大井町駅東口～大井水産物埠頭前　　　,54745,74863,-20118,159,922,137
品98,品川駅港南口～大田市場　　　　　　　,281092,347570,-66478,672,3912,124
品99,品川駅港南口～（品川埠頭循環）～品川駅港南口,635400,371673,263727,1634,9954,58
田99,品川駅港南口～田町駅東口,11440,28179,-16739,23,142,246
