平成19年12月1日現在,,,
年  齢,計,男,女
5～9,7160,3659,3501
5,1435,736,699
6,1387,712,675
7,1418,729,689
8,1438,729,709
9,1482,753,729
10～14,7031,3588,3443
10,1394,707,687
11,1445,726,719
12,1398,712,686
13,1445,752,693
14,1349,691,658
15～19,7255,3731,3524
15,1342,673,669
16,1311,670,641
17,1300,663,637
18,1505,790,715
19,1797,935,862
20～24,11912,5910,6002
20,1895,955,940
21,2098,1035,1063
22,2345,1166,1179
23,2712,1332,1380
24,2862,1422,1440
25～29,14777,7569,7208
25,2841,1438,1403
26,2824,1429,1395
27,2979,1523,1456
28,3061,1602,1459
29,3072,1577,1495
30～34,15633,8104,7529
30,2959,1516,1443
31,3046,1588,1458
32,3009,1591,1418
33,3261,1683,1578
34,3358,1726,1632
35～39,16037,8225,7812
35,3347,1688,1659
36,3257,1664,1593
37,3207,1628,1579
38,3171,1683,1488
39,3055,1562,1493
40～44,13527,7077,6450
40,2995,1583,1412
41,2365,1206,1159
42,2975,1561,1414
43,2677,1427,1250
44,2515,1300,1215
45～49,11163,5769,5394
45,2459,1244,1215
46,2267,1190,1077
47,2180,1111,1069
48,2207,1173,1034
49,2050,1051,999
50～54,9631,4907,4724
50,1947,975,972
51,1864,940,924
52,1848,928,920
53,1985,1046,939
54,1987,1018,969
55～59,11856,6034,5822
55,2001,1045,956
56,2165,1135,1030
57,2344,1180,1164
58,2637,1327,1310
59,2709,1347,1362
60～64,9966,4880,5086
60,2584,1260,1324
61,1647,813,834
62,1693,828,865
63,2070,1028,1042
64,1972,951,1021
65～69,8972,4193,4779
65,2026,969,1057
66,1982,943,1039
67,1790,841,949
68,1528,659,869
69,1646,781,865
70～74,7885,3510,4375
70,1659,763,896
71,1674,694,980
72,1615,742,873
73,1509,669,840
74,1428,642,786
75～79,6568,2820,3748
75,1510,661,849
76,1421,597,824
77,1304,584,720
78,1169,513,656
79,1164,465,699
80～84,4382,1694,2688
80,1036,447,589
81,990,400,590
82,888,348,540
83,784,269,515
84,684,230,454
85～89,2358,714,1644
85,624,215,409
86,553,148,405
87,503,142,361
88,360,116,244
89,318,93,225
90～94,1052,295,757
90,322,87,235
91,226,54,172
92,201,62,139
93,185,61,124
94,118,31,87
95～103,318,67,251
95,102,17,85
96,75,22,53
97,55,9,46
98,29,9,20
99,25,3,22
100,11,2,9
101,11,2,9
102,5,2,3
103,5,1,4
104以上,5,2,3
不詳者,0,0,0
平成19年10月1日現在,,,
年  齢,計,男,女
総  数,174293,86194,88099
0～4,7031,3541,3490
0,1416,750,666
1,1461,710,751
2,1373,702,671
3,1382,680,702
4,1399,699,700
5～9,7152,3656,3496
5,1423,738,685
6,1389,716,673
7,1410,713,697
8,1423,732,691
9,1507,757,750
10～14,7006,3583,3423
10,1391,714,677
11,1439,712,727
12,1391,706,685
13,1441,751,690
14,1344,700,644
15～19,7289,3741,3548
15,1335,659,676
16,1300,665,635
17,1318,684,634
18,1548,814,734
19,1788,919,869
20～24,11936,5925,6011
20,1915,964,951
21,2090,1027,1063
22,2389,1192,1197
23,2698,1332,1366
24,2844,1410,1434
25～29,14786,7576,7210
25,2861,1446,1415
26,2816,1425,1391
27,3003,1541,1462
28,3037,1597,1440
29,3069,1567,1502
30～34,15661,8123,7538
30,2972,1539,1433
31,3044,1564,1480
32,3009,1610,1399
33,3270,1679,1591
34,3366,1731,1635
35～39,15949,8194,7755
35,3335,1704,1631
36,3212,1637,1575
37,3197,1617,1580
38,3193,1698,1495
39,3012,1538,1474
40～44,13503,7039,6464
40,2974,1553,1421
41,2438,1246,1192
42,2898,1530,1368
43,2678,1418,1260
44,2515,1292,1223
45～49,11058,5728,5330
45,2410,1237,1173
46,2256,1187,1069
47,2191,1121,1070
48,2196,1158,1038
49,2005,1025,980
50～54,9674,4944,4730
50,1953,987,966
51,1886,950,936
52,1853,930,923
53,2006,1056,950
54,1976,1021,955
55～59,11921,6057,5864
55,1977,1036,941
56,2202,1149,1053
57,2372,1198,1174
58,2656,1326,1330
59,2714,1348,1366
60～64,9884,4827,5057
60,2535,1230,1305
61,1572,778,794
62,1732,851,881
63,2104,1036,1068
64,1941,932,1009
65～69,8975,4198,4777
65,2019,976,1043
66,1990,941,1049
67,1765,832,933
68,1516,660,856
69,1685,789,896
70～74,7829,3484,4345
70,1611,732,879
71,1702,712,990
72,1599,735,864
73,1492,672,820
74,1425,633,792
75～79,6565,2823,3742
75,1524,667,857
76,1413,588,825
77,1286,586,700
78,1181,506,675
79,1161,476,685
80～84,4360,1684,2676
80,1028,439,589
81,976,396,580
82,904,345,559
83,780,274,506
84,672,230,442
85～89,2349,708,1641
85,617,208,409
86,549,148,401
87,497,140,357
88,368,120,248
89,318,92,226
90～94,1048,295,753
90,308,82,226
91,227,57,170
92,213,62,151
93,181,62,119
94,119,32,87
95～103,314,67,247
95,98,15,83
96,78,21,57
97,49,10,39
98,32,10,22
99,22,3,19
100,13,2,11
101,13,4,9
102,4,1,3
103,5,1,4
104以上,3,1,2
不詳者,0,0,0
平成19年9月1日現在,,,
年  齢,計,男,女
総  数,174238,86166,88072
0～4,7050,3545,3505
0,1425,747,678
1,1466,717,749
2,1361,693,668
3,1395,688,707
4,1403,700,703
5～9,7125,3643,3482
5,1415,739,676
6,1400,715,685
7,1385,704,681
8,1441,739,702
9,1484,746,738
10～14,7012,3584,3428
10,1412,719,693
11,1425,704,721
12,1398,710,688
13,1455,761,694
14,1322,690,632
15～19,7308,3745,3563
15,1346,672,674
16,1287,652,635
17,1329,678,651
18,1557,818,739
19,1789,925,864
20～24,12022,5949,6073
20,1928,961,967
21,2093,1044,1049
22,2442,1195,1247
23,2705,1337,1368
24,2854,1412,1442
25～29,14795,7603,7192
25,2842,1458,1384
26,2790,1394,1396
27,3037,1578,1459
28,3027,1580,1447
29,3099,1593,1506
30～34,15737,8165,7572
30,2982,1536,1446
31,3066,1593,1473
32,3022,1608,1414
33,3279,1667,1612
34,3388,1761,1627
35～39,15871,8161,7710
35,3317,1693,1624
36,3203,1635,1568
37,3186,1615,1571
38,3184,1698,1486
39,2981,1520,1461
40～44,13475,7029,6446
40,2918,1530,1388
41,2535,1302,1233
42,2878,1522,1356
43,2635,1382,1253
44,2509,1293,1216
45～49,11008,5709,5299
45,2402,1240,1162
46,2251,1178,1073
47,2169,1126,1043
48,2180,1133,1047
49,2006,1032,974
50～54,9692,4950,4742
50,1940,974,966
51,1885,959,926
52,1876,939,937
53,2011,1049,962
54,1980,1029,951
55～59,11979,6075,5904
55,1955,1016,939
56,2235,1156,1079
57,2418,1225,1193
58,2650,1315,1335
59,2721,1363,1358
60～64,9790,4787,5003
60,2468,1209,1259
61,1542,755,787
62,1763,868,895
63,2111,1034,1077
64,1906,921,985
65～69,8966,4193,4773
65,2060,987,1073
66,1950,934,1016
67,1747,811,936
68,1518,668,850
69,1691,793,898
70～74,7839,3478,4361
70,1626,727,899
71,1716,725,991
72,1565,720,845
73,1485,673,812
74,1447,633,814
75～79,6531,2809,3722
75,1509,657,852
76,1416,601,815
77,1269,580,689
78,1169,494,675
79,1168,477,691
80～84,4343,1677,2666
80,1021,437,584
81,993,401,592
82,904,347,557
83,769,265,504
84,656,227,429
85～89,2334,702,1632
85,625,208,417
86,552,153,399
87,467,131,336
88,375,120,255
89,315,90,225
90～94,1046,292,754
90,309,80,229
91,226,59,167
92,212,62,150
93,181,61,120
94,118,30,88
95～103,313,69,244
95,97,17,80
96,82,22,60
97,48,9,39
98,28,9,19
99,21,3,18
100,16,2,14
101,10,4,6
102,5,1,4
103,6,2,4
104以上,2,1,1
不詳者,0,0,0
平成19年8月1日現在,,,
年  齢,計,男,女
総  数,174177,86164,88013
0～4,7016,3530,3486
0,1438,743,695
1,1459,711,748
2,1359,690,669
3,1374,692,682
4,1386,694,692
5～9,7132,3643,3489
5,1413,732,681
6,1398,711,687
7,1412,729,683
8,1446,725,721
9,1463,746,717
10～14,6987,3565,3422
10,1437,732,705
11,1409,690,719
12,1390,701,689
13,1466,770,696
14,1285,672,613
15～19,7350,3772,3578
15,1334,656,678
16,1309,661,648
17,1325,686,639
18,1601,844,757
19,1781,925,856
20～24,12112,5987,6125
20,1936,958,978
21,2125,1068,1057
22,2463,1189,1274
23,2728,1363,1365
24,2860,1409,1451
25～29,14831,7635,7196
25,2833,1455,1378
26,2806,1405,1401
27,3048,1589,1459
28,3083,1610,1473
29,3061,1576,1485
30～34,15794,8187,7607
30,3023,1555,1468
31,3020,1576,1444
32,3053,1622,1431
33,3302,1673,1629
34,3396,1761,1635
35～39,15856,8180,7676
35,3305,1701,1604
36,3188,1615,1573
37,3196,1637,1559
38,3179,1699,1480
39,2988,1528,1460
40～44,13387,6975,6412
40,2824,1461,1363
41,2602,1361,1241
42,2835,1489,1346
43,2598,1354,1244
44,2528,1310,1218
45～49,10966,5686,5280
45,2389,1229,1160
46,2218,1164,1054
47,2200,1141,1059
48,2144,1120,1024
49,2015,1032,983
50～54,9692,4947,4745
50,1941,967,974
51,1844,947,897
52,1910,956,954
53,1998,1041,957
54,1999,1036,963
55～59,12020,6104,5916
55,1959,1021,938
56,2276,1164,1112
57,2416,1233,1183
58,2648,1314,1334
59,2721,1372,1349
60～64,9730,4770,4960
60,2429,1177,1252
61,1527,750,777
62,1765,863,902
63,2135,1053,1082
64,1874,927,947
65～69,8950,4172,4778
65,2058,972,1086
66,1955,937,1018
67,1736,798,938
68,1506,660,846
69,1695,805,890
70～74,7832,3467,4365
70,1634,730,904
71,1709,722,987
72,1567,720,847
73,1495,675,820
74,1427,620,807
75～79,6519,2808,3711
75,1524,666,858
76,1396,595,801
77,1262,574,688
78,1174,501,673
79,1163,472,691
80～84,4323,1667,2656
80,1019,446,573
81,1003,404,599
82,885,335,550
83,757,254,503
84,659,228,431
85～89,2321,704,1617
85,622,204,418
86,547,157,390
87,462,127,335
88,381,126,255
89,309,90,219
90～94,1037,290,747
90,301,78,223
91,226,59,167
92,218,62,156
93,183,63,120
94,109,28,81
95～103,320,74,246
95,103,18,85
96,79,22,57
97,49,10,39
98,28,9,19
99,22,4,18
100,17,4,13
101,9,3,6
102,5,1,4
103,8,3,5
104以上,2,1,1
不詳者,0,0,0
平成19年7月1日現在,,,
年  齢,計,男,女
総  数,174040,86079,87961
0～4,7020,3532,3488
0,1461,757,704
1,1423,685,738
2,1365,696,669
3,1386,693,693
4,1385,701,684
5～9,7125,3640,3485
5,1398,719,679
6,1402,719,683
7,1420,740,680
8,1432,714,718
9,1473,748,725
10～14,6978,3564,3414
10,1448,740,708
11,1414,695,719
12,1380,698,682
13,1447,761,686
14,1289,670,619
15～19,7396,3811,3585
15,1333,654,679
16,1294,670,624
17,1343,689,654
18,1651,880,771
19,1775,918,857
20～24,12105,5947,6158
20,1930,946,984
21,2109,1045,1064
22,2552,1220,1332
23,2712,1355,1357
24,2802,1381,1421
25～29,14865,7655,7210
25,2881,1470,1411
26,2806,1415,1391
27,3057,1598,1459
28,3079,1615,1464
29,3042,1557,1485
30～34,15808,8183,7625
30,2987,1535,1452
31,3052,1602,1450
32,3047,1626,1421
33,3317,1683,1634
34,3405,1737,1668
35～39,15803,8176,7627
35,3266,1685,1581
36,3212,1630,1582
37,3194,1671,1523
38,3143,1656,1487
39,2988,1534,1454
40～44,13318,6932,6386
40,2751,1422,1329
41,2662,1396,1266
42,2809,1466,1343
43,2580,1362,1218
44,2516,1286,1230
45～49,10917,5663,5254
45,2393,1246,1147
46,2199,1147,1052
47,2185,1119,1066
48,2149,1131,1018
49,1991,1020,971
50～54,9686,4944,4742
50,1962,980,982
51,1819,933,886
52,1933,969,964
53,1980,1035,945
54,1992,1027,965
55～59,12094,6156,5938
55,2000,1047,953
56,2277,1172,1105
57,2453,1243,1210
58,2650,1310,1340
59,2714,1384,1330
60～64,9671,4729,4942
60,2357,1138,1219
61,1537,752,785
62,1772,864,908
63,2143,1041,1102
64,1862,934,928
65～69,8942,4164,4778
65,2084,979,1105
66,1926,932,994
67,1734,793,941
68,1472,632,840
69,1726,828,898
70～74,7810,3458,4352
70,1648,734,914
71,1676,716,960
72,1571,718,853
73,1462,664,798
74,1453,626,827
75～79,6505,2799,3706
75,1528,661,867
76,1382,600,782
77,1256,567,689
78,1200,509,691
79,1139,462,677
80～84,4314,1662,2652
80,1024,450,574
81,995,393,602
82,891,343,548
83,756,251,505
84,648,225,423
85～89,2315,698,1617
85,613,201,412
86,550,156,394
87,462,123,339
88,371,123,248
89,319,95,224
90～94,1041,292,749
90,299,79,220
91,231,62,169
92,217,59,158
93,180,64,116
94,114,28,86
95～103,325,73,252
95,102,18,84
96,78,22,56
97,52,10,42
98,29,8,21
99,24,4,20
100,17,4,13
101,9,3,6
102,5,1,4
103,9,3,6
104以上,2,1,1
不詳者,0,0,0
平成19年6月1日現在,,,
年  齢,計,男,女
総  数,173899,85991,87908
0～4,7033,3534,3499
0,1449,746,703
1,1428,693,735
2,1378,695,683
3,1386,690,696
4,1392,710,682
5～9,7102,3628,3474
5,1363,700,663
6,1418,730,688
7,1438,747,691
8,1415,697,718
9,1468,754,714
10～14,6969,3562,3407
10,1444,740,704
11,1409,691,718
12,1396,721,675
13,1435,750,685
14,1285,660,625
15～19,7428,3816,3612
15,1349,663,686
16,1284,665,619
17,1339,687,652
18,1667,884,783
19,1789,917,872
20～24,12118,5962,6156
20,1960,973,987
21,2089,1019,1070
22,2590,1239,1351
23,2689,1340,1349
24,2790,1391,1399
25～29,14878,7645,7233
25,2883,1459,1424
26,2817,1406,1411
27,3063,1598,1465
28,3090,1619,1471
29,3025,1563,1462
30～34,15831,8192,7639
30,3001,1556,1445
31,3041,1583,1458
32,3055,1630,1425
33,3304,1672,1632
34,3430,1751,1679
35～39,15724,8142,7582
35,3249,1682,1567
36,3170,1609,1561
37,3184,1668,1516
38,3145,1652,1493
39,2976,1531,1445
40～44,13288,6922,6366
40,2706,1399,1307
41,2681,1397,1284
42,2804,1481,1323
43,2562,1355,1207
44,2535,1290,1245
45～49,10852,5624,5228
45,2362,1226,1136
46,2198,1143,1055
47,2184,1109,1075
48,2128,1127,1001
49,1980,1019,961
50～54,9687,4954,4733
50,1951,977,974
51,1797,922,875
52,1974,990,984
53,1982,1038,944
54,1983,1027,956
55～59,12186,6190,5996
55,2063,1087,976
56,2257,1142,1115
57,2492,1266,1226
58,2658,1325,1333
59,2716,1370,1346
60～64,9610,4705,4905
60,2310,1126,1184
61,1501,731,770
62,1810,878,932
63,2125,1045,1080
64,1864,925,939
65～69,8921,4148,4773
65,2096,979,1117
66,1890,919,971
67,1712,772,940
68,1491,647,844
69,1732,831,901
70～74,7817,3469,4348
70,1666,735,931
71,1647,717,930
72,1595,725,870
73,1443,655,788
74,1466,637,829
75～79,6483,2781,3702
75,1521,658,863
76,1370,596,774
77,1265,565,700
78,1194,506,688
79,1133,456,677
80～84,4294,1659,2635
80,1024,448,576
81,989,394,595
82,874,337,537
83,771,255,516
84,636,225,411
85～89,2317,694,1623
85,618,197,421
86,554,159,395
87,461,121,340
88,361,118,243
89,323,99,224
90～94,1035,289,746
90,292,77,215
91,235,63,172
92,219,61,158
93,179,61,118
94,110,27,83
95～103,324,74,250
95,102,18,84
96,73,22,51
97,54,10,44
98,30,10,20
99,25,4,21
100,16,3,13
101,10,4,6
102,6,1,5
103,8,2,6
104以上,2,1,1
不詳者,0,0,0
平成19年5月1日現在,,,
年  齢,計,男,女
総  数,173735,85931,87804
0～4,6985,3514,3471
0,1410,716,694
1,1421,703,718
2,1379,694,685
3,1392,695,697
4,1383,706,677
5～9,7106,3629,3477
5,1374,697,677
6,1425,741,684
7,1425,738,687
8,1412,699,713
9,1470,754,716
10～14,6965,3558,3407
10,1460,744,716
11,1392,688,704
12,1396,724,672
13,1421,740,681
14,1296,662,634
15～19,7439,3823,3616
15,1333,664,669
16,1285,663,622
17,1351,685,666
18,1679,892,787
19,1791,919,872
20～24,12152,5969,6183
20,1958,971,987
21,2075,1002,1073
22,2613,1248,1365
23,2679,1340,1339
24,2827,1408,1419
25～29,14844,7635,7209
25,2787,1417,1370
26,2888,1444,1444
27,3065,1607,1458
28,3057,1587,1470
29,3047,1580,1467
30～34,15840,8181,7659
30,2993,1554,1439
31,3038,1584,1454
32,3062,1627,1435
33,3337,1707,1630
34,3410,1709,1701
35～39,15706,8175,7531
35,3240,1701,1539
36,3155,1615,1540
37,3209,1675,1534
38,3106,1640,1466
39,2996,1544,1452
40～44,13195,6864,6331
40,2607,1338,1269
41,2738,1424,1314
42,2797,1475,1322
43,2519,1345,1174
44,2534,1282,1252
45～49,10826,5610,5216
45,2362,1220,1142
46,2189,1134,1055
47,2186,1137,1049
48,2132,1109,1023
49,1957,1010,947
50～54,9698,4966,4732
50,1954,977,977
51,1798,918,880
52,1964,999,965
53,1999,1047,952
54,1983,1025,958
55～59,12288,6223,6065
55,2096,1102,994
56,2280,1170,1110
57,2483,1238,1245
58,2657,1321,1336
59,2772,1392,1380
60～64,9543,4665,4878
60,2188,1064,1124
61,1512,747,765
62,1854,886,968
63,2100,1050,1050
64,1889,918,971
65～69,8891,4151,4740
65,2076,979,1097
66,1905,925,980
67,1685,765,920
68,1499,652,847
69,1726,830,896
70～74,7851,3496,4355
70,1688,734,954
71,1622,717,905
72,1603,739,864
73,1445,649,796
74,1493,657,836
75～79,6454,2758,3696
75,1514,643,871
76,1367,600,767
77,1248,554,694
78,1208,501,707
79,1117,460,657
80～84,4281,1651,2630
80,1013,446,567
81,992,396,596
82,857,327,530
83,768,255,513
84,651,227,424
85～89,2324,699,1625
85,603,198,405
86,568,161,407
87,451,121,330
88,363,117,246
89,339,102,237
90～94,1022,287,735
90,285,76,209
91,221,62,159
92,230,66,164
93,172,56,116
94,114,27,87
95～103,323,76,247
95,106,21,85
96,72,22,50
97,53,11,42
98,28,8,20
99,25,4,21
100,15,3,12
101,10,4,6
102,6,1,5
103,8,2,6
104以上,2,1,1
不詳者,0,0,0
平成19年4月1日現在,,,
年  齢,計,男,女
総  数,172940,85517,87423
0～4,6960,3493,3467
0,1407,702,705
1,1411,699,712
2,1374,683,691
3,1383,696,687
4,1385,713,672
5～9,7092,3608,3484
5,1352,681,671
6,1451,750,701
7,1436,746,690
8,1418,704,714
9,1435,727,708
10～14,6932,3551,3381
10,1456,749,707
11,1385,684,701
12,1386,725,661
13,1400,731,669
14,1305,662,643
15～19,7165,3669,3496
15,1335,680,655
16,1279,656,623
17,1367,693,674
18,1460,765,695
19,1724,875,849
20～24,12035,5931,6104
20,1938,954,984
21,2104,1033,1071
22,2547,1229,1318
23,2646,1322,1324
24,2800,1393,1407
25～29,14816,7645,7171
25,2817,1430,1387
26,2838,1446,1392
27,3089,1626,1463
28,3035,1556,1479
29,3037,1587,1450
30～34,15825,8171,7654
30,2962,1525,1437
31,3057,1605,1452
32,3064,1607,1457
33,3365,1730,1635
34,3377,1704,1673
35～39,15633,8137,7496
35,3216,1670,1546
36,3175,1628,1547
37,3189,1678,1511
38,3095,1643,1452
39,2958,1518,1440
40～44,13109,6799,6310
40,2520,1295,1225
41,2822,1441,1381
42,2733,1463,1270
43,2536,1334,1202
44,2498,1266,1232
45～49,10796,5591,5205
45,2364,1243,1121
46,2188,1113,1075
47,2152,1125,1027
48,2140,1123,1017
49,1952,987,965
50～54,9690,4964,4726
50,1924,977,947
51,1808,910,898
52,1969,1018,951
53,1999,1027,972
54,1990,1032,958
55～59,12319,6231,6088
55,2082,1098,984
56,2308,1183,1125
57,2514,1252,1262
58,2667,1328,1339
59,2748,1370,1378
60～64,9509,4647,4862
60,2083,1008,1075
61,1563,785,778
62,1896,908,988
63,2049,1021,1028
64,1918,925,993
65～69,8852,4133,4719
65,2068,982,1086
66,1874,898,976
67,1671,759,912
68,1542,684,858
69,1697,810,887
70～74,7860,3504,4356
70,1696,740,956
71,1613,712,901
72,1604,737,867
73,1441,647,794
74,1506,668,838
75～79,6427,2751,3676
75,1485,622,863
76,1370,603,767
77,1244,560,684
78,1234,515,719
79,1094,451,643
80～84,4274,1644,2630
80,1023,438,585
81,965,395,570
82,861,317,544
83,765,265,500
84,660,229,431
85～89,2310,686,1624
85,603,186,417
86,555,160,395
87,444,119,325
88,367,122,245
89,341,99,242
90～94,1016,286,730
90,278,74,204
91,227,67,160
92,225,65,160
93,173,54,119
94,113,26,87
95～103,318,75,243
95,107,22,85
96,69,21,48
97,52,10,42
98,29,10,19
99,23,2,21
100,14,3,11
101,11,4,7
102,5,1,4
103,8,2,6
104以上,2,1,1
不詳者,0,0,0
平成19年3月1日現在,,,
年  齢,計,男,女
総  数,172274,85237,87037
0～4,6904,3456,3448
0,1360,679,681
1,1410,704,706
2,1377,672,705
3,1363,696,667
4,1394,705,689
5～9,6999,3574,3425
5,1301,669,632
6,1440,728,712
7,1433,742,691
8,1426,709,717
9,1399,726,673
10～14,6866,3503,3363
10,1419,714,705
11,1404,691,713
12,1368,736,632
13,1369,696,673
14,1306,666,640
15～19,7172,3669,3503
15,1337,687,650
16,1267,658,609
17,1360,680,680
18,1456,756,700
19,1752,888,864
20～24,11887,5915,5972
20,1944,967,977
21,2099,1044,1055
22,2480,1204,1276
23,2609,1307,1302
24,2755,1393,1362
25～29,14869,7674,7195
25,2835,1432,1403
26,2872,1447,1425
27,3076,1636,1440
28,3072,1572,1500
29,3014,1587,1427
30～34,15771,8149,7622
30,2973,1521,1452
31,3059,1613,1446
32,3069,1602,1467
33,3351,1730,1621
34,3319,1683,1636
35～39,15556,8119,7437
35,3246,1694,1552
36,3142,1612,1530
37,3150,1678,1472
38,3036,1586,1450
39,2982,1549,1433
40～44,13006,6732,6274
40,2414,1224,1190
41,2881,1482,1399
42,2689,1439,1250
43,2529,1327,1202
44,2493,1260,1233
45～49,10717,5553,5164
45,2323,1231,1092
46,2185,1112,1073
47,2158,1126,1032
48,2096,1094,1002
49,1955,990,965
50～54,9717,4979,4738
50,1924,972,952
51,1809,915,894
52,1999,1034,965
53,1988,1030,958
54,1997,1028,969
55～59,12357,6247,6110
55,2082,1107,975
56,2330,1180,1150
57,2510,1260,1250
58,2708,1347,1361
59,2727,1353,1374
60～64,9503,4635,4868
60,1967,950,1017
61,1606,804,802
62,1953,949,1004
63,2044,1018,1026
64,1933,914,1019
65～69,8815,4124,4691
65,2061,977,1084
66,1847,886,961
67,1661,753,908
68,1544,696,848
69,1702,812,890
70～74,7892,3520,4372
70,1694,727,967
71,1618,728,890
72,1611,734,877
73,1429,642,787
74,1540,689,851
75～79,6383,2725,3658
75,1447,594,853
76,1378,622,756
77,1222,537,685
78,1235,515,720
79,1101,457,644
80～84,4256,1630,2626
80,1005,425,580
81,973,393,580
82,871,322,549
83,735,255,480
84,672,235,437
85～89,2291,676,1615
85,574,171,403
86,573,162,411
87,418,117,301
88,370,126,244
89,356,100,256
90～94,995,280,715
90,275,78,197
91,226,62,164
92,218,65,153
93,159,52,107
94,117,23,94
95～103,315,76,239
95,113,29,84
96,63,15,48
97,49,9,40
98,33,11,22
99,19,3,16
100,16,2,14
101,9,4,5
102,5,1,4
103,8,2,6
104以上,3,1,2
不詳者,0,0,0
平成19年2月1日現在,,,
年  齢,計,男,女
総  数,172056,85131,86925
0～4,6868,3436,3432
0,1348,669,679
1,1408,712,696
2,1373,667,706
3,1344,677,667
4,1395,711,684
5～9,7000,3576,3424
5,1321,680,641
6,1422,714,708
7,1421,739,682
8,1436,727,709
9,1400,716,684
10～14,6848,3493,3355
10,1399,701,698
11,1386,684,702
12,1382,732,650
13,1371,717,654
14,1310,659,651
15～19,7183,3668,3515
15,1341,692,649
16,1253,646,607
17,1351,679,672
18,1476,752,724
19,1762,899,863
20～24,11949,5960,5989
20,1961,986,975
21,2146,1068,1078
22,2457,1195,1262
23,2654,1320,1334
24,2731,1391,1340
25～29,14855,7653,7202
25,2857,1431,1426
26,2850,1439,1411
27,3069,1628,1441
28,3099,1591,1508
29,2980,1564,1416
30～34,15807,8174,7633
30,3008,1545,1463
31,3037,1598,1439
32,3089,1620,1469
33,3355,1743,1612
34,3318,1668,1650
35～39,15500,8095,7405
35,3206,1673,1533
36,3146,1614,1532
37,3138,1673,1465
38,3004,1569,1435
39,3006,1566,1440
40～44,12937,6703,6234
40,2322,1174,1148
41,2953,1528,1425
42,2648,1416,1232
43,2507,1311,1196
44,2507,1274,1233
45～49,10656,5512,5144
45,2317,1216,1101
46,2170,1103,1067
47,2135,1116,1019
48,2083,1091,992
49,1951,986,965
50～54,9755,5009,4746
50,1933,976,957
51,1797,894,903
52,2008,1053,955
53,1978,1024,954
54,2039,1062,977
55～59,12337,6222,6115
55,2090,1107,983
56,2331,1178,1153
57,2538,1261,1277
58,2710,1353,1357
59,2668,1323,1345
60～64,9520,4644,4876
60,1904,921,983
61,1642,810,832
62,2001,988,1013
63,2031,1019,1012
64,1942,906,1036
65～69,8790,4118,4672
65,2033,969,1064
66,1865,892,973
67,1625,734,891
68,1557,708,849
69,1710,815,895
70～74,7898,3516,4382
70,1684,716,968
71,1639,738,901
72,1568,732,836
73,1426,634,792
