平成20年12月1日現在,,,
年  齢,計,男,女
8,1399,713,686
9,1449,740,709
10～14,7257,3684,3573
10,1490,751,739
11,1435,723,712
12,1448,717,731
13,1407,717,690
14,1477,776,701
15～19,7283,3774,3509
15,1334,693,641
16,1368,694,674
17,1294,654,640
18,1524,795,729
19,1763,938,825
20～24,11545,5769,5776
20,1951,1001,950
21,2032,993,1039
22,2263,1102,1161
23,2539,1262,1277
24,2760,1411,1349
25～29,14621,7463,7158
25,2956,1472,1484
26,2874,1464,1410
27,2749,1392,1357
28,3045,1576,1469
29,2997,1559,1438
30～34,15419,7964,7455
30,3076,1573,1503
31,2988,1537,1451
32,3056,1582,1474
33,3025,1603,1422
34,3274,1669,1605
35～39,16263,8375,7888
35,3409,1763,1646
36,3316,1695,1621
37,3200,1621,1579
38,3176,1615,1561
39,3162,1681,1481
40～44,13953,7251,6702
40,2986,1514,1472
41,2923,1535,1388
42,2536,1298,1238
43,2869,1513,1356
44,2639,1391,1248
45～49,11569,5998,5571
45,2506,1281,1225
46,2427,1248,1179
47,2267,1190,1077
48,2195,1145,1050
49,2174,1134,1040
50～54,9675,4920,4755
50,1985,1008,977
51,1928,967,961
52,1884,960,924
53,1880,942,938
54,1998,1043,955
55～59,11165,5687,5478
55,1979,1018,961
56,1939,1013,926
57,2223,1152,1071
58,2396,1213,1183
59,2628,1291,1337
60～64,10499,5171,5328
60,2704,1350,1354
61,2425,1179,1246
62,1529,749,780
63,1758,867,891
64,2083,1026,1057
65～69,9086,4244,4842
65,1879,902,977
66,2050,975,1075
67,1934,917,1017
68,1712,791,921
69,1511,659,852
70～74,7970,3567,4403
70,1671,775,896
71,1602,712,890
72,1700,719,981
73,1536,702,834
74,1461,659,802
75～79,6650,2866,3784
75,1414,610,804
76,1474,640,834
77,1387,583,804
78,1237,559,678
79,1138,474,664
80～84,4666,1823,2843
80,1125,448,677
81,986,417,569
82,955,379,576
83,868,332,536
84,732,247,485
85～89,2478,752,1726
85,616,207,409
86,583,185,398
87,511,138,373
88,425,114,311
89,343,108,235
90～94,1109,297,812
90,295,80,215
91,276,72,204
92,197,48,149
93,182,48,134
94,159,49,110
95～103,329,68,261
95,99,26,73
96,85,14,71
97,65,14,51
98,32,5,27
99,17,4,13
100,14,2,12
101,7,0,7
102,5,2,3
103,5,1,4
104以上,5,0,5
不詳者,0,0,0
平成20年8月1日現在,,,
年  齢,計,男,女
総  数,175637,86775,88862
0～4,7096,3570,3526
0,1433,723,710
1,1439,748,691
2,1457,711,746
3,1357,682,675
4,1410,706,704
5～9,7106,3602,3504
5,1380,691,689
6,1430,737,693
7,1416,711,705
8,1418,736,682
9,1462,727,735
10～14,7250,3684,3566
10,1472,754,718
11,1457,735,722
12,1430,701,729
13,1400,710,690
14,1491,784,707
15～19,7311,3790,3521
15,1297,675,622
16,1351,676,675
17,1313,663,650
18,1537,818,719
19,1813,958,855
20～24,11604,5806,5798
20,1917,984,933
21,2038,991,1047
22,2287,1121,1166
23,2577,1274,1303
24,2785,1436,1349
25～29,14645,7462,7183
25,2932,1447,1485
26,2837,1447,1390
27,2791,1414,1377
28,3044,1574,1470
29,3041,1580,1461
30～34,15410,7954,7456
30,3036,1552,1484
31,3029,1566,1463
32,3018,1567,1451
33,3035,1595,1440
34,3292,1674,1618
35～39,16222,8367,7855
35,3415,1756,1659
36,3284,1679,1605
37,3173,1609,1564
38,3177,1627,1550
39,3173,1696,1477
40～44,13891,7201,6690
40,3007,1524,1483
41,2839,1470,1369
42,2607,1360,1247
43,2831,1482,1349
44,2607,1365,1242
45～49,11526,5988,5538
45,2524,1303,1221
46,2412,1232,1180
47,2222,1173,1049
48,2223,1154,1069
49,2145,1126,1019
50～54,9665,4908,4757
50,1995,1013,982
51,1930,957,973
52,1839,943,896
53,1916,961,955
54,1985,1034,951
55～59,11239,5718,5521
55,2003,1031,972
56,1942,1019,923
57,2267,1156,1111
58,2391,1216,1175
59,2636,1296,1340
60～64,10480,5155,5325
60,2706,1356,1350
61,2389,1149,1240
62,1517,750,767
63,1761,859,902
64,2107,1041,1066
65～69,9034,4221,4813
65,1852,910,942
66,2041,955,1086
67,1937,921,1016
68,1706,782,924
69,1498,653,845
70～74,7998,3577,4421
70,1680,788,892
71,1613,712,901
72,1695,718,977
73,1534,701,833
74,1476,658,818
75～79,6628,2857,3771
75,1397,601,796
76,1499,653,846
77,1364,571,793
78,1226,552,674
79,1142,480,662
80～84,4640,1810,2830
80,1130,450,680
81,982,425,557
82,961,378,583
83,842,316,526
84,725,241,484
85～89,2469,743,1726
85,619,203,416
86,581,183,398
87,506,138,368
88,420,110,310
89,343,109,234
90～94,1096,295,801
90,285,80,205
91,273,69,204
92,195,47,148
93,183,48,135
94,160,51,109
95～103,322,67,255
95,91,23,68
96,88,15,73
97,59,13,46
98,35,6,29
99,17,5,12
100,14,2,12
101,8,0,8
102,5,2,3
103,5,1,4
104以上,5,0,5
不詳者,0,0,0
平成20年7月1日現在,,,
年  齢,計,男,女
総  数,175623,86761,88862
0～4,7085,3574,3511
0,1429,733,696
1,1448,745,703
2,1425,692,733
3,1357,688,669
4,1426,716,710
5～9,7110,3609,3501
5,1392,702,690
6,1413,724,689
7,1425,719,706
8,1427,748,679
9,1453,716,737
10～14,7253,3687,3566
10,1480,752,728
11,1462,741,721
12,1438,709,729
13,1397,711,686
14,1476,774,702
15～19,7376,3832,3544
15,1298,673,625
16,1348,666,682
17,1298,670,628
18,1580,834,746
19,1852,989,863
20～24,11688,5831,5857
20,1897,969,928
21,2051,986,1065
22,2295,1133,1162
23,2656,1298,1358
24,2789,1445,1344
25～29,14604,7430,7174
25,2857,1415,1442
26,2865,1436,1429
27,2801,1419,1382
28,3039,1582,1457
29,3042,1578,1464
30～34,15463,8001,7462
30,3037,1543,1494
31,3003,1553,1450
32,3068,1604,1464
33,3027,1599,1428
34,3328,1702,1626
35～39,16188,8330,7858
35,3408,1731,1677
36,3252,1658,1594
37,3201,1630,1571
38,3186,1658,1528
39,3141,1653,1488
40～44,13823,7188,6635
40,2996,1526,1470
41,2772,1436,1336
42,2675,1403,1272
43,2810,1460,1350
44,2570,1363,1207
45～49,11506,5952,5554
45,2524,1283,1241
46,2407,1240,1167
47,2207,1156,1051
48,2214,1133,1081
49,2154,1140,1014
50～54,9651,4914,4737
50,1965,999,966
51,1954,974,980
52,1817,931,886
53,1945,978,967
54,1970,1032,938
55～59,11308,5733,5575
55,1992,1020,972
56,1984,1041,943
57,2267,1161,1106
58,2425,1225,1200
59,2640,1286,1354
60～64,10428,5122,5306
60,2694,1366,1328
61,2327,1116,1211
62,1531,756,775
63,1766,857,909
64,2110,1027,1083
65～69,8983,4195,4788
65,1843,917,926
66,2063,961,1102
67,1903,913,990
68,1709,779,930
69,1465,625,840
70～74,7986,3597,4389
70,1710,813,897
71,1634,724,910
72,1669,714,955
73,1538,700,838
74,1435,646,789
75～79,6672,2871,3801
75,1426,607,819
76,1505,649,856
77,1353,576,777
78,1224,550,674
79,1164,489,675
80～84,4624,1795,2829
80,1113,442,671
81,986,427,559
82,959,370,589
83,841,320,521
84,725,236,489
85～89,2444,730,1714
85,607,199,408
86,577,182,395
87,505,136,369
88,421,110,311
89,334,103,231
90～94,1102,301,801
90,292,84,208
91,269,69,200
92,196,49,147
93,184,46,138
94,161,53,108
95～103,324,69,255
95,95,23,72
96,83,14,69
97,61,16,45
98,36,7,29
99,16,4,12
100,15,2,13
101,9,0,9
102,4,2,2
103,5,1,4
104以上,5,0,5
不詳者,0,0,0
平成20年6月1日現在,,,
年  齢,計,男,女
総  数,175628,86757,88871
0～4,7077,3564,3513
0,1407,728,679
1,1440,738,702
2,1444,700,744
3,1368,691,677
4,1418,707,711
5～9,7104,3603,3501
5,1406,711,695
6,1380,704,676
7,1439,733,706
8,1448,757,691
9,1431,698,733
10～14,7250,3701,3549
10,1474,756,718
11,1469,750,719
12,1441,709,732
13,1410,728,682
14,1456,758,698
15～19,7398,3835,3563
15,1301,667,634
16,1355,670,685
17,1292,666,626
18,1587,835,752
19,1863,997,866
20～24,11770,5841,5929
20,1910,967,943
21,2077,1009,1068
22,2291,1110,1181
23,2691,1314,1377
24,2801,1441,1360
25～29,14660,7464,7196
25,2851,1428,1423
26,2878,1439,1439
27,2834,1420,1414
28,3053,1601,1452
29,3044,1576,1468
30～34,15473,8002,7471
30,3030,1541,1489
31,3035,1581,1454
32,3048,1580,1468
33,3033,1611,1422
34,3327,1689,1638
35～39,16205,8345,7860
35,3443,1751,1692
36,3241,1656,1585
37,3184,1617,1567
38,3188,1666,1522
39,3149,1655,1494
40～44,13752,7168,6584
40,2982,1515,1467
41,2732,1417,1315
42,2678,1400,1278
43,2819,1487,1332
44,2541,1349,1192
45～49,11469,5912,5557
45,2548,1289,1259
46,2383,1225,1158
47,2197,1144,1053
48,2213,1122,1091
49,2128,1132,996
50～54,9648,4929,4719
50,1975,1013,962
51,1942,970,972
52,1798,927,871
53,1962,985,977
54,1971,1034,937
55～59,11380,5771,5609
55,1980,1018,962
56,2043,1080,963
57,2247,1125,1122
58,2463,1246,1217
59,2647,1302,1345
60～64,10365,5095,5270
60,2695,1353,1342
61,2283,1110,1173
62,1487,729,758
63,1803,870,933
64,2097,1033,1064
65～69,8957,4170,4787
65,1845,910,935
66,2079,961,1118
67,1869,905,964
68,1685,758,927
69,1479,636,843
70～74,7988,3606,4382
70,1713,814,899
71,1653,724,929
72,1635,713,922
73,1571,714,857
74,1416,641,775
75～79,6669,2870,3799
75,1439,614,825
76,1505,652,853
77,1340,571,769
78,1222,545,677
79,1163,488,675
80～84,4607,1781,2826
80,1104,436,668
81,987,422,565
82,951,368,583
83,831,317,514
84,734,238,496
85～89,2424,726,1698
85,595,198,397
86,574,178,396
87,510,141,369
88,421,108,313
89,324,101,223
90～94,1103,306,797
90,299,91,208
91,259,67,192
92,199,50,149
93,188,47,141
94,158,51,107
95～103,324,68,256
95,90,21,69
96,87,14,73
97,60,17,43
98,38,7,31
99,15,4,11
100,17,2,15
101,8,0,8
102,5,3,2
103,4,0,4
104以上,5,0,5
不詳者,0,0,0
平成20年5月1日現在,,,
年  齢,計,男,女
総  数,175574,86734,88840
0～4,7072,3561,3511
0,1409,722,687
1,1446,732,714
2,1426,702,724
3,1379,701,678
4,1412,704,708
5～9,7104,3607,3497
5,1399,708,691
6,1392,703,689
7,1448,745,703
8,1437,746,691
9,1428,705,723
10～14,7243,3695,3548
10,1480,753,727
11,1485,754,731
12,1430,710,720
13,1407,731,676
14,1441,747,694
15～19,7437,3852,3585
15,1314,673,641
16,1338,669,669
17,1290,662,628
18,1616,843,773
19,1879,1005,874
20～24,11811,5861,5950
20,1908,968,940
21,2086,1025,1061
22,2282,1112,1170
23,2708,1310,1398
24,2827,1446,1381
25～29,14678,7458,7220
25,2885,1439,1446
26,2808,1415,1393
27,2892,1450,1442
28,3064,1596,1468
29,3029,1558,1471
30～34,15496,8034,7462
30,3043,1557,1486
31,3020,1567,1453
32,3032,1579,1453
33,3023,1594,1429
34,3378,1737,1641
35～39,16150,8309,7841
35,3423,1700,1723
36,3225,1671,1554
37,3179,1625,1554
38,3198,1662,1536
39,3125,1651,1474
40～44,13699,7135,6564
40,3006,1530,1476
41,2636,1357,1279
42,2743,1433,1310
43,2801,1472,1329
44,2513,1343,1170
45～49,11468,5899,5569
45,2553,1291,1262
46,2388,1221,1167
47,2187,1131,1056
48,2204,1140,1064
49,2136,1116,1020
50～54,9652,4946,4706
50,1962,1011,951
51,1943,970,973
52,1797,919,878
53,1956,1002,954
54,1994,1044,950
55～59,11417,5787,5630
55,1978,1014,964
56,2072,1094,978
57,2261,1150,1111
58,2456,1219,1237
59,2650,1310,1340
60～64,10331,5086,5245
60,2746,1373,1373
61,2168,1056,1112
62,1495,739,756
63,1842,880,962
64,2080,1038,1042
65～69,8956,4170,4786
65,1869,903,966
66,2054,957,1097
67,1887,916,971
68,1658,751,907
69,1488,643,845
70～74,7984,3604,4380
70,1714,815,899
71,1671,724,947
72,1611,708,903
73,1571,723,848
74,1417,634,783
75～79,6669,2863,3806
75,1461,631,830
76,1491,634,857
77,1339,581,758
78,1198,530,668
79,1180,487,693
80～84,4554,1767,2787
80,1092,442,650
81,973,418,555
82,948,365,583
83,816,309,507
84,725,233,492
85～89,2427,728,1699
85,617,206,411
86,553,174,379
87,520,143,377
88,408,104,304
89,329,101,228
90～94,1096,305,791
90,309,90,219
91,253,67,186
92,189,48,141
93,194,50,144
94,151,50,101
95～103,324,66,258
95,95,19,76
96,84,16,68
97,62,16,46
98,36,7,29
99,13,3,10
100,16,2,14
101,9,0,9
102,5,3,2
103,4,0,4
104以上,6,1,5
不詳者,0,0,0
平成20年4月1日現在,,,
年  齢,計,男,女
総  数,175009,86473,88536
0～4,7085,3574,3511
0,1440,751,689
1,1438,713,725
2,1412,702,710
3,1388,699,689
4,1407,709,698
5～9,7120,3615,3505
5,1404,717,687
6,1366,680,686
7,1475,759,716
8,1454,756,698
9,1421,703,718
10～14,7165,3664,3501
10,1449,728,721
11,1481,762,719
12,1414,703,711
13,1404,735,669
14,1417,736,681
15～19,7188,3706,3482
15,1325,674,651
16,1340,679,661
17,1286,658,628
18,1434,734,700
19,1803,961,842
20～24,11773,5831,5942
20,1869,936,933
21,2098,1034,1064
22,2275,1107,1168
23,2706,1309,1397
24,2825,1445,1380
25～29,14655,7467,7188
25,2854,1427,1427
26,2849,1437,1412
27,2852,1450,1402
28,3088,1616,1472
29,3012,1537,1475
30～34,15511,8051,7460
30,3052,1571,1481
31,2990,1541,1449
32,3039,1604,1435
33,3022,1586,1436
34,3408,1749,1659
35～39,16150,8324,7826
35,3400,1697,1703
36,3229,1667,1562
37,3227,1641,1586
38,3168,1661,1507
39,3126,1658,1468
40～44,13633,7079,6554
40,2977,1506,1471
41,2537,1313,1224
42,2848,1469,1379
43,2738,1456,1282
44,2533,1335,1198
45～49,11396,5881,5515
45,2510,1273,1237
46,2385,1242,1143
47,2196,1116,1080
48,2167,1130,1037
49,2138,1120,1018
50～54,9627,4919,4708
50,1951,987,964
51,1923,977,946
52,1802,913,889
53,1959,1019,940
54,1992,1023,969
55～59,11479,5823,5656
55,1990,1026,964
56,2061,1090,971
57,2275,1155,1120
58,2496,1241,1255
59,2657,1311,1346
60～64,10263,5057,5206
60,2729,1358,1371
61,2076,1006,1070
62,1549,781,768
63,1881,907,974
64,2028,1005,1023
65～69,8991,4187,4804
65,1894,911,983
66,2056,966,1090
67,1863,892,971
68,1638,739,899
69,1540,679,861
70～74,7942,3574,4368
70,1683,799,884
71,1675,724,951
72,1602,704,898
73,1568,715,853
74,1414,632,782
75～79,6682,2878,3804
75,1477,649,828
76,1466,613,853
77,1344,584,760
78,1191,534,657
79,1204,498,706
80～84,4518,1755,2763
80,1062,430,632
81,981,411,570
82,921,364,557
83,828,307,521
84,726,243,483
85～89,2412,720,1692
85,626,211,415
86,549,162,387
87,505,139,366
88,403,104,299
89,329,104,225
90～94,1087,300,787
90,315,88,227
91,243,64,179
92,193,52,141
93,187,48,139
94,149,48,101
95～103,326,67,259
95,100,19,81
96,83,16,67
97,58,17,41
98,36,6,30
99,15,5,10
100,17,1,16
101,8,0,8
102,5,3,2
103,4,0,4
104以上,6,1,5
不詳者,0,0,0
平成20年3月1日現在,,,
年  齢,計,男,女
総  数,174842,86407,88435
0～4,7081,3576,3505
0,1452,760,692
1,1428,706,722
2,1417,711,706
3,1378,683,695
4,1406,716,690
5～9,7137,3620,3517
5,1430,718,712
6,1326,679,647
7,1477,749,728
8,1471,763,708
9,1433,711,722
10～14,7106,3637,3469
10,1427,738,689
11,1458,735,723
12,1427,704,723
13,1405,755,650
14,1389,705,684
15～19,7118,3653,3465
15,1312,665,647
16,1349,686,663
17,1278,664,614
18,1385,694,691
19,1794,944,850
20～24,11666,5781,5885
20,1866,945,921
21,2079,1036,1043
22,2199,1076,1123
23,2704,1311,1393
24,2818,1413,1405
25～29,14710,7519,7191
25,2831,1434,1397
26,2839,1432,1407
27,2921,1479,1442
28,3075,1621,1454
29,3044,1553,1491
30～34,15623,8094,7529
30,3079,1586,1493
31,3005,1536,1469
32,3059,1619,1440
33,3066,1601,1465
34,3414,1752,1662
35～39,16115,8317,7798
35,3351,1687,1664
36,3281,1689,1592
37,3232,1641,1591
38,3153,1663,1490
39,3098,1637,1461
40～44,13637,7091,6546
40,3028,1549,1479
41,2437,1239,1198
42,2934,1517,1417
43,2714,1454,1260
44,2524,1332,1192
45～49,11335,5844,5491
45,2503,1262,1241
46,2354,1236,1118
47,2191,1111,1080
48,2187,1143,1044
49,2100,1092,1008
50～54,9646,4934,4712
50,1950,985,965
51,1925,974,951
52,1801,911,890
53,1988,1034,954
54,1982,1030,952
55～59,11581,5876,5705
55,1998,1023,975
56,2077,1107,970
57,2295,1152,1143
58,2501,1249,1252
59,2710,1345,1365
60～64,10212,5035,5177
60,2716,1345,1371
61,1953,946,1007
62,1589,797,792
63,1935,945,990
64,2019,1002,1017
65～69,8962,4164,4798
65,1909,903,1006
66,2051,965,1086
67,1838,880,958
68,1626,730,896
69,1538,686,852
70～74,7961,3577,4384
70,1695,803,892
71,1677,715,962
72,1609,723,886
73,1577,707,870
74,1403,629,774
75～79,6665,2865,3800
75,1507,670,837
76,1431,584,847
77,1339,596,743
78,1180,517,663
79,1208,498,710
80～84,4492,1739,2753
80,1067,432,635
81,953,393,560
82,937,370,567
83,834,306,528
84,701,238,463
85～89,2386,717,1669
85,637,217,420
86,518,146,372
87,522,142,380
88,384,104,280
89,325,108,217
90～94,1076,297,779
90,325,88,237
91,238,65,173
92,192,50,142
93,189,50,139
94,132,44,88
95～103,327,70,257
95,105,18,87
96,88,23,65
97,49,12,37
98,35,6,29
99,18,5,13
100,13,1,12
101,10,0,10
102,4,4,0
103,5,1,4
104以上,6,1,5
不詳者,0,0,0
平成20年2月1日現在,,,
年  齢,計,男,女
総  数,174860,86456,88404
0～4,7083,3576,3507
0,1444,756,688
1,1425,697,728
2,1440,733,707
3,1388,685,703
4,1386,705,681
5～9,7159,3651,3508
5,1431,725,706
6,1353,696,657
7,1469,742,727
8,1460,758,702
9,1446,730,716
10～14,7086,3624,3462
10,1427,729,698
11,1441,723,718
12,1410,697,713
13,1419,750,669
14,1389,725,664
15～19,7146,3653,3493
15,1312,656,656
16,1358,696,662
17,1268,654,614
18,1397,704,693
19,1811,943,868
20～24,11724,5830,5894
20,1875,957,918
21,2083,1038,1045
22,2242,1112,1130
23,2686,1308,1378
24,2838,1415,1423
25～29,14754,7541,7213
25,2833,1440,1393
26,2865,1437,1428
27,2905,1475,1430
28,3089,1623,1466
29,3062,1566,1496
30～34,15659,8119,7540
30,3057,1576,1481
31,3026,1546,1480
32,3043,1603,1440
33,3115,1636,1479
34,3418,1758,1660
35～39,16073,8282,7791
35,3346,1674,1672
36,3262,1690,1572
37,3236,1638,1598
38,3140,1657,1483
39,3089,1623,1466
40～44,13609,7085,6524
40,3038,1559,1479
41,2371,1209,1162
42,3003,1558,1445
43,2683,1439,1244
44,2514,1320,1194
45～49,11304,5837,5467
45,2526,1286,1240
46,2332,1217,1115
47,2191,1109,1082
48,2171,1134,1037
49,2084,1091,993
50～54,9641,4923,4718
50,1959,988,971
51,1928,973,955
52,1792,895,897
53,1987,1043,944
54,1975,1024,951
55～59,11672,5925,5747
55,2037,1054,983
56,2086,1105,981
57,2289,1148,1141
58,2539,1258,1281
59,2721,1360,1361
60～64,10173,5030,5143
60,2670,1326,1344
61,1883,913,970
62,1625,804,821
63,1980,980,1000
64,2015,1007,1008
65～69,8930,4143,4787
65,1923,900,1023
66,2017,952,1065
67,1847,881,966
68,1594,715,879
69,1549,695,854
70～74,7935,3567,4368
70,1708,808,900
71,1663,701,962
72,1626,731,895
