平成21年12月１日現在,,,
年齢,計,男,女
66,1912,906,1006
67,1987,954,1033
68,1934,901,1033
69,1709,792,917
７０～７４,7899,3475,4424
70,1496,645,851
71,1638,751,887
72,1559,692,867
73,1668,694,974
74,1538,693,845
７５～７９,6846,2943,3903
75,1447,639,808
76,1366,588,778
77,1461,624,837
78,1353,549,804
79,1219,543,676
８０～８４,4851,1945,2906
80,1107,467,640
81,1080,430,650
82,953,395,558
83,891,349,542
84,820,304,516
８５～８９,2685,810,1875
85,688,226,462
86,591,192,399
87,537,163,374
88,461,122,339
89,408,107,301
９０～９４,1134,296,838
90,300,93,207
91,274,73,201
92,237,61,176
93,169,32,137
94,154,37,117
９５～１０３,383,86,297
95,130,40,90
96,77,20,57
97,73,10,63
98,49,8,41
99,25,6,19
100,15,1,14
101,10,0,10
102,1,0,1
103,3,1,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年９月１日現在,,,
年齢,計,男,女
総計　　　,176822,87363,89459
　０～４　,7154,3681,3473
0,1468,769,699
1,1447,742,705
2,1404,737,667
3,1460,722,738
4,1375,711,664
　５～９　,7109,3586,3523
5,1429,712,717
6,1402,698,704
7,1425,737,688
8,1437,718,719
9,1416,721,695
１０～１４,7331,3695,3636
10,1476,750,726
11,1506,763,743
12,1456,731,725
13,1465,725,740
14,1428,726,702
１５～１９,7422,3823,3599
15,1496,786,710
16,1342,698,644
17,1384,705,679
18,1453,734,719
19,1747,900,847
２０～２４,11102,5554,5548
20,1879,976,903
21,1995,981,1014
22,2191,1086,1105
23,2415,1192,1223
24,2622,1319,1303
２５～２９,14355,7359,6996
25,2806,1453,1353
26,2937,1473,1464
27,2850,1482,1368
28,2758,1409,1349
29,3004,1542,1462
３０～３４,14998,7768,7230
30,2961,1543,1418
31,3030,1546,1484
32,2990,1553,1437
33,3023,1540,1483
34,2994,1586,1408
３５～３９,16230,8255,7975
35,3262,1655,1607
36,3363,1727,1636
37,3274,1676,1598
38,3191,1604,1587
39,3140,1593,1547
４０～４４,14565,7541,7024
40,3188,1682,1506
41,3009,1517,1492
42,2918,1517,1401
43,2543,1296,1247
44,2907,1529,1378
４５～４９,11991,6230,5761
45,2633,1387,1246
46,2497,1286,1211
47,2414,1240,1174
48,2256,1190,1066
49,2191,1127,1064
５０～５４,9840,5008,4832
50,2184,1141,1043
51,1997,1015,982
52,1924,968,956
53,1866,946,920
54,1869,938,931
５５～５９,10499,5415,5084
55,1974,1029,945
56,1972,1009,963
57,1940,1014,926
58,2227,1158,1069
59,2386,1205,1181
６０～６４,10912,5371,5541
60,2596,1268,1328
61,2683,1338,1345
62,2390,1165,1225
63,1512,739,773
64,1731,861,870
６５～６９,9556,4539,5017
65,2058,1007,1051
66,1878,897,981
67,2031,966,1065
68,1903,896,1007
69,1686,773,913
７０～７４,7904,3483,4421
70,1492,646,846
71,1649,758,891
72,1582,694,888
73,1677,704,973
74,1504,681,823
７５～７９,6817,2941,3876
75,1443,645,798
76,1384,586,798
77,1442,614,828
78,1354,560,794
79,1194,536,658
８０～８４,4849,1935,2914
80,1106,457,649
81,1083,431,652
82,939,388,551
83,908,356,552
84,813,303,510
８５～８９,2658,797,1861
85,687,222,465
86,574,187,387
87,546,165,381
88,467,125,342
89,384,98,286
９０～９４,1141,299,842
90,311,95,216
91,273,74,199
92,235,58,177
93,166,32,134
94,156,40,116
９５～１０３,381,83,298
95,130,38,92
96,77,19,58
97,70,9,61
98,55,10,45
99,23,5,18
100,12,1,11
101,10,0,10
102,1,0,1
103,3,1,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年８月１日現在,,,
年齢,計,男,女
総計　　　,176798,87364,89434
　０～４　,7154,3659,3495
0,1468,775,693
1,1451,731,720
2,1405,731,674
3,1456,718,738
4,1374,704,670
　５～９　,7098,3596,3502
5,1419,717,702
6,1385,691,694
7,1423,726,697
8,1436,721,715
9,1435,741,694
１０～１４,7320,3673,3647
10,1485,737,748
11,1490,767,723
12,1476,739,737
13,1451,712,739
14,1418,718,700
１５～１９,7435,3842,3593
15,1512,794,718
16,1309,682,627
17,1363,689,674
18,1494,756,738
19,1757,921,836
２０～２４,11209,5621,5588
20,1913,983,930
21,1991,982,1009
22,2203,1093,1110
23,2451,1226,1225
24,2651,1337,1314
２５～２９,14365,7358,7007
25,2825,1458,1367
26,2906,1460,1446
27,2855,1475,1380
28,2759,1413,1346
29,3020,1552,1468
３０～３４,15031,7788,7243
30,3023,1576,1447
31,2991,1532,1459
32,3037,1570,1467
33,2977,1531,1446
34,3003,1579,1424
３５～３９,16242,8281,7961
35,3303,1676,1627
36,3359,1723,1636
37,3261,1666,1595
38,3161,1595,1566
39,3158,1621,1537
４０～４４,14517,7510,7007
40,3181,1678,1503
41,3018,1517,1501
42,2832,1456,1376
43,2618,1357,1261
44,2868,1502,1366
４５～４９,11956,6214,5742
45,2595,1358,1237
46,2512,1300,1212
47,2396,1225,1171
48,2223,1180,1043
49,2230,1151,1079
５０～５４,9829,5000,4829
50,2157,1129,1028
51,2005,1021,984
52,1929,958,971
53,1826,930,896
54,1912,962,950
５５～５９,10545,5434,5111
55,1957,1022,935
56,1997,1016,981
57,1934,1017,917
58,2277,1165,1112
59,2380,1214,1166
６０～６４,10859,5341,5518
60,2598,1269,1329
61,2674,1341,1333
62,2356,1137,1219
63,1504,745,759
64,1727,849,878
６５～６９,9536,4534,5002
65,2091,1027,1064
66,1843,901,942
67,2021,946,1075
68,1906,900,1006
69,1675,760,915
７０～７４,7897,3485,4412
70,1475,638,837
71,1660,771,889
72,1593,699,894
73,1659,694,965
74,1510,683,827
７５～７９,6789,2926,3863
75,1456,643,813
76,1362,579,783
77,1456,625,831
78,1328,547,781
79,1187,532,655
８０～８４,4841,1934,2907
80,1109,459,650
81,1087,433,654
82,940,396,544
83,909,356,553
84,796,290,506
８５～８９,2650,788,1862
85,679,218,461
86,579,186,393
87,541,161,380
88,469,128,341
89,382,95,287
９０～９４,1136,298,838
90,317,96,221
91,264,72,192
92,231,57,174
93,167,31,136
94,157,42,115
９５～１０３,381,82,299
95,133,38,95
96,77,18,59
97,74,10,64
98,49,9,40
99,24,5,19
100,9,1,8
101,11,0,11
102,1,0,1
103,3,1,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年７月１日現在,,,
年齢,計,男,女
総計　　　,176785,87386,89399
　０～４　,7136,3645,3491
0,1467,772,695
1,1445,739,706
2,1422,732,690
3,1423,698,725
4,1379,704,675
　５～９　,7118,3617,3501
5,1428,721,707
6,1385,696,689
7,1420,721,699
8,1447,726,721
9,1438,753,685
１０～１４,7318,3663,3655
10,1469,718,751
11,1496,762,734
12,1482,749,733
13,1459,717,742
14,1412,717,695
１５～１９,7446,3856,3590
15,1491,782,709
16,1311,682,629
17,1361,679,682
18,1495,778,717
19,1788,935,853
２０～２４,11340,5684,5656
20,1939,1005,934
21,1994,983,1011
22,2216,1088,1128
23,2469,1235,1234
24,2722,1373,1349
２５～２９,14359,7374,6985
25,2866,1480,1386
26,2816,1421,1395
27,2915,1489,1426
28,2761,1411,1350
29,3001,1573,1428
３０～３４,15089,7826,7263
30,3033,1572,1461
31,3008,1541,1467
32,3012,1550,1462
33,3017,1571,1446
34,3019,1592,1427
３５～３９,16261,8301,7960
35,3325,1691,1634
36,3356,1701,1655
37,3214,1646,1568
38,3184,1602,1582
39,3182,1661,1521
４０～４４,14461,7469,6992
40,3147,1638,1509
41,3002,1517,1485
42,2777,1434,1343
43,2681,1399,1282
44,2854,1481,1373
４５～４９,11885,6164,5721
45,2556,1355,1201
46,2505,1282,1223
47,2398,1240,1158
48,2201,1155,1046
49,2225,1132,1093
５０～５４,9809,5000,4809
50,2160,1137,1023
51,1966,998,968
52,1954,976,978
53,1800,917,883
54,1929,972,957
５５～５９,10603,5465,5138
55,1951,1024,927
56,1981,1006,975
57,1981,1043,938
58,2273,1167,1106
59,2417,1225,1192
６０～６４,10809,5319,5490
60,2597,1260,1337
61,2666,1355,1311
62,2293,1105,1188
63,1516,751,765
64,1737,848,889
６５～６９,9525,4522,5003
65,2094,1012,1082
66,1820,901,919
67,2053,955,1098
68,1880,896,984
69,1678,758,920
７０～７４,7888,3481,4407
70,1440,611,829
71,1692,793,899
72,1605,704,901
73,1633,687,946
74,1518,686,832
７５～７９,6757,2918,3839
75,1414,626,788
76,1389,586,803
77,1463,623,840
78,1307,552,755
79,1184,531,653
８０～８４,4833,1929,2904
80,1128,467,661
81,1065,421,644
82,937,397,540
83,909,351,558
84,794,293,501
８５～８９,2636,775,1861
85,681,213,468
86,568,183,385
87,533,158,375
88,467,126,341
89,387,95,292
９０～９４,1127,297,830
90,307,92,215
91,270,75,195
92,222,54,168
93,169,33,136
94,159,43,116
９５～１０３,376,80,296
95,133,39,94
96,78,17,61
97,71,9,62
98,46,9,37
99,23,4,19
100,9,1,8
101,11,0,11
102,2,0,2
103,3,1,2
１０４以上,9,1,8
不詳者　　,0,0,0
平成21年６月１日現在,,,
年齢,計,男,女
総計　　　,176643,87266,89377
　０～４　,7123,3626,3497
0,1434,742,692
1,1453,750,703
2,1403,721,682
3,1436,702,734
4,1397,711,686
　５～９　,7125,3626,3499
5,1412,712,700
6,1404,711,693
7,1388,699,689
8,1464,743,721
9,1457,761,696
１０～１４,7320,3676,3644
10,1448,702,746
11,1498,766,732
12,1493,762,731
13,1459,713,746
14,1422,733,689
１５～１９,7430,3835,3595
15,1473,767,706
16,1310,676,634
17,1368,686,682
18,1523,782,741
19,1756,924,832
２０～２４,11391,5688,5703
20,1951,1005,946
21,1997,979,1018
22,2248,1113,1135
23,2459,1215,1244
24,2736,1376,1360
２５～２９,14326,7375,6951
25,2847,1473,1374
26,2812,1435,1377
27,2921,1492,1429
28,2768,1405,1363
29,2978,1570,1408
３０～３４,15130,7829,7301
30,3031,1551,1480
31,3025,1557,1468
32,3016,1553,1463
33,3008,1551,1457
34,3050,1617,1433
３５～３９,16244,8284,7960
35,3329,1684,1645
36,3388,1723,1665
37,3184,1623,1561
38,3162,1586,1576
39,3181,1668,1513
４０～４４,14399,7452,6947
40,3140,1627,1513
41,2984,1504,1480
42,2750,1424,1326
43,2676,1392,1284
44,2849,1505,1344
４５～４９,11860,6117,5743
45,2535,1341,1194
46,2527,1283,1244
47,2375,1227,1148
48,2200,1153,1047
49,2223,1113,1110
５０～５４,9756,4995,4761
50,2130,1131,999
51,1961,1000,961
52,1942,971,971
53,1772,908,864
54,1951,985,966
５５～５９,10667,5480,5187
55,1952,1019,933
56,1968,1005,963
57,2041,1080,961
58,2246,1128,1118
59,2460,1248,1212
６０～６４,10772,5306,5466
60,2613,1284,1329
61,2659,1336,1323
62,2251,1097,1154
63,1482,729,753
64,1767,860,907
６５～６９,9484,4488,4996
65,2083,1012,1071
66,1821,892,929
67,2071,956,1115
68,1857,892,965
69,1652,736,916
７０～７４,7924,3509,4415
70,1456,625,831
71,1699,795,904
72,1616,702,914
73,1608,691,917
74,1545,696,849
７５～７９,6736,2907,3829
75,1392,618,774
76,1409,596,813
77,1457,623,834
78,1299,551,748
79,1179,519,660
８０～８４,4803,1915,2888
80,1127,467,660
81,1058,417,641
82,936,394,542
83,903,348,555
84,779,289,490
８５～８９,2644,776,1868
85,697,217,480
86,559,184,375
87,533,155,378
88,473,128,345
89,382,92,290
９０～９４,1128,300,828
90,298,87,211
91,275,80,195
92,217,54,163
93,171,33,138
94,167,46,121
９５～１０３,373,82,291
95,129,39,90
96,76,16,60
97,74,9,65
98,44,11,33
99,24,4,20
100,9,1,8
101,11,0,11
102,2,0,2
103,4,2,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年５月１日現在,,,
年齢,計,男,女
総計　　　,176577,87246,89331
　０～４　,7138,3633,3505
0,1465,758,707
1,1445,745,700
2,1414,714,700
3,1409,699,710
4,1405,717,688
　５～９　,7105,3609,3496
5,1401,703,698
6,1397,709,688
7,1400,697,703
8,1467,751,716
9,1440,749,691
１０～１４,7310,3679,3631
10,1442,706,736
11,1500,763,737
12,1511,767,744
13,1447,713,734
14,1410,730,680
１５～１９,7449,3840,3609
15,1463,759,704
16,1326,681,645
17,1354,687,667
18,1529,781,748
19,1777,932,845
２０～２４,11413,5700,5713
20,1974,1013,961
21,1992,972,1020
22,2263,1138,1125
23,2427,1195,1232
24,2757,1382,1375
２５～２９,14415,7411,7004
25,2864,1476,1388
26,2860,1451,1409
27,2853,1459,1394
28,2816,1444,1372
29,3022,1581,1441
３０～３４,15085,7800,7285
30,3015,1547,1468
31,3011,1548,1463
32,3001,1539,1462
33,3017,1573,1444
34,3041,1593,1448
３５～３９,16285,8315,7970
35,3360,1725,1635
36,3400,1687,1713
37,3168,1642,1526
38,3161,1593,1568
39,3196,1668,1528
４０～４４,14324,7420,6904
40,3107,1621,1486
41,3008,1527,1481
42,2648,1361,1287
43,2740,1423,1317
44,2821,1488,1333
４５～４９,11830,6126,5704
45,2505,1339,1166
46,2532,1278,1254
47,2395,1236,1159
48,2174,1127,1047
49,2224,1146,1078
５０～５４,9718,4964,4754
50,2121,1103,1018
51,1940,996,944
52,1940,966,974
53,1765,900,865
54,1952,999,953
５５～５９,10714,5495,5219
55,1973,1027,946
56,1972,1009,963
57,2067,1091,976
58,2255,1152,1103
59,2447,1216,1231
６０～６４,10752,5290,5462
60,2610,1285,1325
61,2708,1357,1351
62,2132,1038,1094
63,1490,741,749
64,1812,869,943
６５～６９,9444,4481,4963
65,2059,1018,1041
66,1844,887,957
67,2043,950,1093
68,1871,898,973
69,1627,728,899
７０～７４,7911,3512,4399
70,1457,625,832
71,1693,793,900
72,1634,701,933
73,1585,689,896
74,1542,704,838
７５～７９,6733,2902,3831
75,1392,611,781
76,1436,612,824
77,1446,609,837
78,1292,559,733
79,1167,511,656
８０～８４,4787,1904,2883
80,1148,463,685
81,1045,417,628
82,922,391,531
83,907,350,557
84,765,283,482
８５～８９,2644,776,1868
85,688,212,476
86,584,191,393
87,516,155,361
88,485,129,356
89,371,89,282
９０～９４,1139,307,832
90,306,89,217
91,284,80,204
92,214,55,159
93,166,36,130
94,169,47,122
９５～１０３,373,82,291
95,125,37,88
96,81,15,66
97,71,11,60
98,47,10,37
99,20,3,17
100,10,2,8
101,11,1,10
102,3,0,3
103,5,3,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年４月１日現在,,,
年齢,計,男,女
総計　　　,176210,87059,89151
　０～４　,7156,3616,3540
0,1470,744,726
1,1468,765,703
2,1404,700,704
3,1405,695,710
4,1409,712,697
　５～９　,7111,3620,3491
5,1384,705,679
6,1416,721,695
7,1369,676,693
8,1487,760,727
9,1455,758,697
１０～１４,7267,3662,3605
10,1441,710,731
11,1465,733,732
12,1513,777,736
13,1431,703,728
14,1417,739,678
１５～１９,7232,3718,3514
15,1434,747,687
16,1339,683,656
17,1357,696,661
18,1362,703,659
19,1740,889,851
２０～２４,11369,5693,5676
20,1949,1022,927
21,1972,956,1016
22,2272,1139,1133
23,2436,1208,1228
24,2740,1368,1372
２５～２９,14425,7426,6999
25,2885,1499,1386
26,2844,1427,1417
27,2861,1459,1402
28,2788,1436,1352
29,3047,1605,1442
３０～３４,15090,7806,7284
30,3003,1526,1477
31,3019,1562,1457
32,3001,1539,1462
33,3046,1594,1452
34,3021,1585,1436
３５～３９,16351,8351,8000
35,3394,1742,1652
36,3368,1683,1685
37,3203,1647,1556
38,3210,1618,1592
39,3176,1661,1515
４０～４４,14234,7374,6860
40,3099,1627,1472
41,2974,1489,1485
42,2561,1326,1235
43,2850,1464,1386
44,2750,1468,1282
４５～４９,11791,6102,5689
45,2524,1332,1192
46,2499,1265,1234
47,2392,1255,1137
48,2187,1111,1076
49,2189,1139,1050
５０～５４,9711,4976,4735
50,2133,1115,1018
51,1927,969,958
52,1909,973,936
53,1792,907,885
54,1950,1012,938
５５～５９,10765,5508,5257
55,1984,1017,967
56,1970,1011,959
57,2058,1092,966
58,2273,1158,1115
59,2480,1230,1250
６０～６４,10751,5296,5455
60,2625,1293,1332
61,2688,1339,1349
62,2045,993,1052
63,1535,775,760
64,1858,896,962
６５～６９,9372,4431,4941
65,2007,987,1020
66,1869,896,973
67,2048,956,1092
68,1835,871,964
69,1613,721,892
７０～７４,7925,3516,4409
70,1498,650,848
71,1666,778,888
72,1640,704,936
73,1575,683,892
74,1546,701,845
７５～７９,6720,2901,3819
75,1382,607,775
76,1452,629,823
77,1422,588,834
78,1302,562,740
79,1162,515,647
８０～８４,4786,1893,2893
80,1166,471,695
81,1020,409,611
82,936,383,553
83,886,350,536
84,778,280,498
８５～８９,2630,780,1850
85,685,223,462
86,595,197,398
87,515,143,372
88,472,125,347
89,363,92,271
９０～９４,1132,307,825
90,306,92,214
91,287,76,211
92,206,51,155
93,173,44,129
94,160,44,116
９５～１０３,384,83,301
95,131,38,93
96,87,15,72
97,71,11,60
98,44,11,33
99,23,2,21
100,10,3,7
101,11,0,11
102,2,0,2
103,5,3,2
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年３月１日現在,,,
年齢,計,男,女
総計　　　,175761,86818,88943
　０～４　,7154,3606,3548
0,1465,747,718
1,1465,754,711
2,1408,702,706
3,1403,697,706
4,1413,706,707
　５～９　,7104,3608,3496
5,1389,707,682
6,1431,720,711
7,1335,676,659
8,1480,744,736
9,1469,761,708
１０～１４,7227,3657,3570
10,1445,713,732
11,1446,742,704
12,1471,736,735
13,1447,711,736
14,1418,755,663
１５～１９,7121,3654,3467
15,1405,716,689
16,1331,682,649
17,1367,702,665
18,1319,686,633
19,1699,868,831
２０～２４,11199,5605,5594
20,1939,1013,926
21,1972,974,998
22,2165,1082,1083
23,2390,1177,1213
24,2733,1359,1374
２５～２９,14423,7409,7014
25,2847,1467,1380
26,2843,1426,1417
27,2837,1444,1393
28,2852,1461,1391
29,3044,1611,1433
３０～３４,15178,7848,7330
30,3032,1547,1485
31,3027,1572,1455
32,2977,1514,1463
33,3093,1625,1468
34,3049,1590,1459
３５～３９,16375,8386,7989
35,3407,1742,1665
36,3326,1677,1649
37,3258,1676,1582
38,3226,1633,1593
39,3158,1658,1500
４０～４４,14161,7337,6824
40,3069,1609,1460
41,3004,1521,1483
42,2444,1246,1198
43,2920,1507,1413
44,2724,1454,1270
４５～４９,11761,6090,5671
45,2501,1315,1186
46,2500,1263,1237
47,2359,1250,1109
48,2202,1116,1086
49,2199,1146,1053
５０～５４,9691,4943,4748
50,2092,1083,1009
51,1927,967,960
52,1911,971,940
53,1796,904,892
54,1965,1018,947
５５～５９,10779,5518,5261
55,1975,1026,949
56,1976,1007,969
57,2064,1100,964
58,2290,1152,1138
59,2474,1233,1241
６０～６４,10745,5292,5453
60,2671,1323,1348
61,2668,1321,1347
62,1927,934,993
63,1565,784,781
64,1914,930,984
６５～６９,9334,4403,4931
65,1998,987,1011
66,1888,891,997
67,2036,949,1087
68,1812,864,948
69,1600,712,888
７０～７４,7949,3525,4424
70,1505,660,845
71,1670,781,889
72,1637,690,947
73,1574,698,876
74,1563,696,867
７５～７９,6695,2898,3797
75,1374,611,763
76,1484,648,836
77,1393,566,827
78,1295,574,721
79,1149,499,650
８０～８４,4784,1886,2898
80,1167,471,696
81,1025,411,614
82,914,375,539
83,899,350,549
84,779,279,500
８５～８９,2573,762,1811
85,662,217,445
86,595,198,397
87,491,130,361
88,485,130,355
89,340,87,253
９０～９４,1133,311,822
90,312,99,213
91,293,76,217
92,202,52,150
93,166,40,126
94,160,44,116
９５～１０３,367,80,287
95,113,34,79
96,92,14,78
97,75,17,58
98,36,7,29
99,22,2,20
100,12,3,9
101,8,0,8
102,6,0,6
103,3,3,0
１０４以上,8,0,8
不詳者　　,0,0,0
平成21年２月１日現在,,,
年齢,計,男,女
総計　　　,175806,86846,88960
　０～４　,7168,3599,3569
0,1464,740,724
1,1459,747,712
2,1405,695,710
3,1420,712,708
4,1420,705,715
　５～９　,7092,3606,3486
5,1369,697,672
6,1429,725,704
7,1357,687,670
8,1476,739,737
9,1461,758,703
１０～１４,7219,3646,3573
10,1454,732,722
11,1444,731,713
12,1459,726,733
13,1428,704,724
14,1434,753,681
１５～１９,7141,3678,3463
15,1404,736,668
16,1335,674,661
17,1371,709,662
18,1335,690,645
19,1696,869,827
２０～２４,11257,5644,5613
20,1963,1026,937
21,1992,988,1004
22,2163,1080,1083
23,2422,1200,1222
24,2717,1350,1367
２５～２９,14447,7402,7045
25,2857,1466,1391
26,2854,1432,1422
27,2842,1445,1397
28,2869,1483,1386
29,3025,1576,1449
３０～３４,15259,7902,7357
30,3068,1571,1497
31,3019,1566,1453
32,3014,1536,1478
33,3073,1610,1463
