平成18年12月1日現在,,,
年  齢,計,男,女
28,3069,1598,1471
29,3008,1544,1464
30～34,16025,8357,7668
30,3101,1603,1498
31,3028,1632,1396
32,3253,1674,1579
33,3354,1727,1627
34,3289,1721,1568
35～39,15222,7918,7304
35,3149,1612,1537
36,3141,1604,1537
37,3152,1693,1459
38,2923,1505,1418
39,2857,1504,1353
40～44,12825,6648,6177
40,2487,1273,1214
41,2847,1500,1347
42,2596,1350,1246
43,2498,1283,1215
44,2397,1242,1155
45～49,10488,5417,5071
45,2241,1174,1067
46,2138,1118,1020
47,2168,1118,1050
48,2012,1039,973
49,1929,968,961
50～54,9772,5029,4743
50,1898,969,929
51,1893,953,940
52,2020,1052,968
53,1989,1027,962
54,1972,1028,944
55～59,12553,6306,6247
55,2247,1168,1079
56,2442,1238,1204
57,2675,1328,1347
58,2722,1358,1364
59,2467,1214,1253
60～64,9481,4628,4853
60,1563,772,791
61,1786,884,902
62,2121,1045,1076
63,1932,926,1006
64,2079,1001,1078
65～69,8622,4021,4601
65,1971,949,1022
66,1763,823,940
67,1534,690,844
68,1702,808,894
69,1652,751,901
70～74,7838,3488,4350
70,1737,741,996
71,1584,729,855
72,1513,697,816
73,1472,649,823
74,1532,672,860
75～79,6204,2684,3520
75,1448,618,830
76,1295,595,700
77,1206,515,691
78,1187,494,693
79,1068,462,606
80～84,4130,1535,2595
80,1031,423,608
81,951,369,582
82,802,281,521
83,694,244,450
84,652,218,434
85～89,2229,663,1566
85,603,176,427
86,517,151,366
87,413,140,273
88,357,102,255
89,339,94,245
90～94,990,285,705
90,264,77,187
91,248,71,177
92,213,72,141
93,147,43,104
94,118,22,96
95～103,298,71,227
95,101,27,74
96,63,12,51
97,42,12,30
98,29,5,24
99,28,6,22
100,14,4,10
101,7,1,6
102,7,2,5
103,7,2,5
104以上,0,0,0
不詳者,0,0,0
平成18年8月1日現在,,,
年  齢,計,男,女
総  数,171690,85031,86659
0～4,6811,3427,3384
0,1385,679,706
1,1345,685,660
2,1334,661,673
3,1362,683,679
4,1385,719,666
5～9,7053,3604,3449
5,1357,692,665
6,1393,716,677
7,1442,728,714
8,1456,749,707
9,1405,719,686
10～14,6813,3481,3332
10,1391,688,703
11,1361,690,671
12,1440,760,680
13,1282,677,605
14,1339,666,673
15～19,7428,3797,3631
15,1285,647,638
16,1316,681,635
17,1393,725,668
18,1599,823,776
19,1835,921,914
20～24,12200,6054,6146
20,1959,998,961
21,2258,1084,1174
22,2539,1269,1270
23,2702,1303,1399
24,2742,1400,1342
25～29,14953,7706,7247
25,2774,1403,1371
26,3033,1580,1453
27,3067,1596,1471
28,3043,1575,1468
29,3036,1552,1484
30～34,15978,8355,7623
30,3038,1587,1451
31,3049,1641,1408
32,3306,1709,1597
33,3315,1712,1603
34,3270,1706,1564
35～39,15142,7869,7273
35,3134,1598,1536
36,3150,1618,1532
37,3142,1691,1451
38,2941,1516,1425
39,2775,1446,1329
40～44,12821,6654,6167
40,2571,1341,1230
41,2793,1464,1329
42,2577,1330,1247
43,2510,1296,1214
44,2370,1223,1147
45～49,10465,5406,5059
45,2213,1169,1044
46,2163,1124,1039
47,2139,1117,1022
48,2025,1039,986
49,1925,957,968
50～54,9780,5037,4743
50,1857,953,904
51,1937,971,966
52,1998,1046,952
53,2017,1038,979
54,1971,1029,942
55～59,12551,6298,6253
55,2288,1176,1112
56,2447,1252,1195
57,2666,1321,1345
58,2722,1367,1355
59,2428,1182,1246
60～64,9463,4630,4833
60,1546,771,775
61,1787,877,910
62,2143,1056,1087
63,1910,939,971
64,2077,987,1090
65～69,8606,4012,4594
65,1970,948,1022
66,1751,813,938
67,1523,682,841
68,1704,816,888
69,1658,753,905
70～74,7842,3485,4357
70,1730,739,991
71,1588,729,859
72,1522,697,825
73,1451,636,815
74,1551,684,867
75～79,6182,2684,3498
75,1429,611,818
76,1292,591,701
77,1212,523,689
78,1186,489,697
79,1063,470,593
80～84,4109,1511,2598
80,1043,428,615
81,921,353,568
82,794,272,522
83,699,245,454
84,652,213,439
85～89,2206,664,1542
85,598,182,416
86,508,147,361
87,419,143,276
88,350,103,247
89,331,89,242
90～94,995,287,708
90,268,79,189
91,254,70,184
92,218,74,144
93,131,40,91
94,124,24,100
95～103,292,70,222
95,97,26,71
96,63,12,51
97,42,12,30
98,30,6,24
99,26,6,20
100,13,3,10
101,7,1,6
102,9,3,6
103,5,1,4
104以上,0,0,0
不詳者,0,0,0
平成18年7月1日現在,,,
年  齢,計,男,女
総  数,171661,85014,86647
0～4,6779,3414,3365
0,1362,661,701
1,1339,691,648
2,1346,662,684
3,1361,693,668
4,1371,707,664
5～9,7071,3616,3455
5,1367,694,673
6,1394,727,667
7,1433,721,712
8,1467,749,718
9,1410,725,685
10～14,6796,3470,3326
10,1405,697,708
11,1351,689,662
12,1425,752,673
13,1284,672,612
14,1331,660,671
15～19,7477,3837,3640
15,1280,659,621
16,1332,682,650
17,1422,752,670
18,1614,827,787
19,1829,917,912
20～24,12276,6062,6214
20,1960,988,972
21,2322,1107,1215
22,2577,1281,1296
23,2647,1288,1359
24,2770,1398,1372
25～29,15003,7742,7261
25,2811,1418,1393
26,3037,1609,1428
27,3084,1600,1484
28,3056,1575,1481
29,3015,1540,1475
30～34,16001,8360,7641
30,3081,1618,1463
31,3045,1645,1400
32,3340,1725,1615
33,3308,1689,1619
34,3227,1683,1544
35～39,15067,7857,7210
35,3157,1607,1550
36,3158,1659,1499
37,3096,1641,1455
38,2946,1533,1413
39,2710,1417,1293
40～44,12845,6663,6182
40,2634,1366,1268
41,2777,1451,1326
42,2556,1338,1218
43,2501,1271,1230
44,2377,1237,1140
45～49,10421,5368,5053
45,2193,1153,1040
46,2143,1098,1045
47,2146,1124,1022
48,1996,1022,974
49,1943,971,972
50～54,9785,5042,4743
50,1832,939,893
51,1952,981,971
52,1990,1048,942
53,1997,1020,977
54,2014,1054,960
55～59,12497,6271,6226
55,2286,1180,1106
56,2476,1257,1219
57,2661,1312,1349
58,2716,1380,1336
59,2358,1142,1216
60～64,9500,4643,4857
60,1559,777,782
61,1793,876,917
62,2145,1045,1100
63,1897,945,952
64,2106,1000,1106
65～69,8590,3999,4591
65,1936,939,997
66,1748,806,942
67,1487,653,834
68,1745,847,898
69,1674,754,920
70～74,7814,3466,4348
70,1699,732,967
71,1596,727,869
72,1491,687,804
73,1480,644,836
74,1548,676,872
75～79,6164,2687,3477
75,1418,618,800
76,1282,584,698
77,1237,533,704
78,1164,478,686
79,1063,474,589
80～84,4094,1498,2596
80,1042,418,624
81,924,361,563
82,794,266,528
83,690,242,448
84,644,211,433
85～89,2197,661,1536
85,606,183,423
86,498,142,356
87,411,140,271
88,355,105,250
89,327,91,236
90～94,997,288,709
90,268,80,188
91,255,68,187
92,217,77,140
93,137,40,97
94,120,23,97
95～103,287,70,217
95,93,26,67
96,61,12,49
97,42,11,31
98,30,6,24
99,27,6,21
100,14,4,10
101,6,1,5
102,9,3,6
103,5,1,4
104以上,0,0,0
不詳者,0,0,0
平成18年6月1日現在,,,
年  齢,計,男,女
総  数,171718,85083,86635
0～4,6766,3401,3365
0,1356,657,699
1,1348,691,657
2,1347,660,687
3,1374,706,668
4,1341,687,654
5～9,7093,3637,3456
5,1389,711,678
6,1420,741,679
7,1413,704,709
8,1455,750,705
9,1416,731,685
10～14,6791,3474,3317
10,1400,694,706
11,1368,712,656
12,1409,740,669
13,1278,663,615
14,1336,665,671
15～19,7502,3856,3646
15,1274,656,618
16,1326,677,649
17,1422,744,678
18,1637,837,800
19,1843,942,901
20～24,12326,6085,6241
20,1972,987,985
21,2345,1116,1229
22,2572,1277,1295
23,2649,1295,1354
24,2788,1410,1378
25～29,15026,7771,7255
25,2824,1411,1413
26,3025,1595,1430
27,3130,1636,1494
28,3024,1567,1457
29,3023,1562,1461
30～34,16069,8375,7694
30,3062,1599,1463
31,3076,1658,1418
32,3341,1717,1624
33,3343,1704,1639
34,3247,1697,1550
35～39,15008,7833,7175
35,3123,1594,1529
36,3151,1653,1498
37,3111,1652,1459
38,2943,1537,1406
39,2680,1397,1283
40～44,12836,6678,6158
40,2657,1376,1281
41,2770,1466,1304
42,2528,1329,1199
43,2526,1282,1244
44,2355,1225,1130
45～49,10371,5337,5034
45,2174,1131,1043
46,2139,1089,1050
47,2132,1126,1006
48,1988,1020,968
49,1938,971,967
50～54,9848,5095,4753
50,1813,933,880
51,1988,1000,988
52,1993,1050,943
53,1991,1028,963
54,2063,1084,979
55～59,12497,6267,6230
55,2266,1145,1121
56,2518,1284,1234
57,2668,1327,1341
58,2729,1380,1349
59,2316,1131,1185
60～64,9495,4630,4865
60,1521,756,765
61,1823,886,937
62,2132,1050,1082
63,1901,937,964
64,2118,1001,1117
65～69,8561,3976,4585
65,1901,926,975
66,1720,785,935
67,1504,664,840
68,1748,848,900
69,1688,753,935
70～74,7811,3482,4329
70,1679,737,942
71,1621,736,885
72,1473,678,795
73,1491,657,834
74,1547,674,873
75～79,6159,2673,3486
75,1404,613,791
76,1290,581,709
77,1235,533,702
78,1164,476,688
79,1066,470,596
80～84,4085,1496,2589
80,1037,418,619
81,908,356,552
82,813,272,541
83,679,242,437
84,648,208,440
85～89,2193,659,1534
85,607,186,421
86,502,139,363
87,405,136,269
88,358,109,249
89,321,89,232
90～94,995,288,707
90,274,83,191
91,253,68,185
92,217,76,141
93,132,38,94
94,119,23,96
95～103,285,70,215
95,91,27,64
96,63,12,51
97,39,11,28
98,32,6,26
99,26,6,20
100,14,4,10
101,7,1,6
102,9,2,7
103,4,1,3
104以上,1,0,1
不詳者,0,0,0
平成18年5月1日現在,,,
年  齢,計,男,女
総  数,171707,85118,86589
0～4,6782,3418,3364
0,1347,662,685
1,1363,698,665
2,1347,658,689
3,1368,706,662
4,1357,694,663
5～9,7107,3636,3471
5,1386,708,678
6,1417,741,676
7,1412,707,705
8,1461,750,711
9,1431,730,701
10～14,6746,3467,3279
10,1384,694,690
11,1364,714,650
12,1394,733,661
13,1290,663,627
14,1314,663,651
15～19,7535,3879,3656
15,1279,658,621
16,1338,675,663
17,1427,749,678
18,1629,846,783
19,1862,951,911
20～24,12329,6091,6238
20,1983,984,999
21,2347,1119,1228
22,2569,1265,1304
23,2697,1324,1373
24,2733,1399,1334
25～29,15092,7803,7289
25,2889,1438,1451
26,3032,1615,1417
27,3106,1606,1500
28,3046,1588,1458
29,3019,1556,1463
30～34,16095,8399,7696
30,3081,1619,1462
31,3062,1648,1414
32,3356,1728,1628
33,3350,1688,1662
34,3246,1716,1530
35～39,14904,7775,7129
35,3103,1596,1507
36,3171,1657,1514
37,3079,1636,1443
38,2955,1541,1414
39,2596,1345,1251
40～44,12863,6697,6166
40,2724,1415,1309
41,2758,1455,1303
42,2494,1325,1169
43,2529,1279,1250
44,2358,1223,1135
45～49,10339,5319,5020
45,2156,1118,1038
46,2143,1110,1033
47,2126,1102,1024
48,1973,1017,956
49,1941,972,969
50～54,9875,5116,4759
50,1805,926,879
51,1981,1011,970
52,2006,1057,949
53,1997,1028,969
54,2086,1094,992
55～59,12433,6227,6206
55,2292,1177,1115
56,2500,1256,1244
57,2667,1327,1340
58,2773,1394,1379
59,2201,1073,1128
60～64,9535,4653,4882
60,1526,767,759
61,1876,900,976
62,2110,1054,1056
63,1922,931,991
64,2101,1001,1100
65～69,8575,3976,4599
65,1915,930,985
66,1696,780,916
67,1513,667,846
68,1742,845,897
69,1709,754,955
70～74,7814,3492,4322
70,1652,735,917
71,1631,756,875
72,1472,668,804
73,1518,671,847
74,1541,662,879
75～79,6136,2667,3469
75,1398,617,781
76,1282,576,706
77,1243,524,719
78,1159,483,676
79,1054,467,587
80～84,4060,1483,2577
80,1032,412,620
81,890,347,543
82,814,272,542
83,691,244,447
84,633,208,425
85～89,2208,658,1550
85,622,188,434
86,487,138,349
87,409,133,276
88,375,111,264
89,315,88,227
90～94,1000,291,709
90,262,81,181
91,266,76,190
92,213,73,140
93,139,36,103
94,120,25,95
95～103,278,71,207
95,89,27,62
96,61,15,46
97,36,9,27
98,33,6,27
99,25,6,19
100,14,4,10
101,7,1,6
102,9,2,7
103,4,1,3
104以上,1,0,1
不詳者,0,0,0
平成18年4月1日現在,,,
年  齢,計,男,女
総  数,171261,84898,86363
0～4,6760,3409,3351
0,1344,664,680
1,1367,694,673
2,1344,662,682
3,1373,715,658
4,1332,674,658
5～9,7128,3641,3487
5,1421,723,698
6,1434,754,680
7,1415,707,708
8,1425,723,702
9,1433,734,699
10～14,6732,3469,3263
10,1379,693,686
11,1362,718,644
12,1377,723,654
13,1296,660,636
14,1318,675,643
15～19,7306,3738,3568
15,1269,650,619
16,1350,682,668
17,1421,751,670
18,1415,722,693
19,1851,933,918
20～24,12291,6060,6231
20,1979,993,986
21,2347,1113,1234
22,2525,1240,1285
23,2681,1324,1357
24,2759,1390,1369
25～29,15042,7791,7251
25,2848,1447,1401
26,3062,1623,1439
27,3088,1575,1513
28,3050,1611,1439
29,2994,1535,1459
30～34,16130,8435,7695
30,3099,1650,1449
31,3071,1635,1436
32,3383,1753,1630
33,3346,1700,1646
34,3231,1697,1534
35～39,14835,7753,7082
35,3153,1638,1515
36,3157,1645,1512
37,3082,1634,1448
38,2927,1520,1407
39,2516,1316,1200
40～44,12895,6722,6173
40,2825,1442,1383
41,2699,1447,1252
42,2518,1319,1199
43,2499,1273,1226
44,2354,1241,1113
45～49,10284,5288,4996
45,2162,1102,1060
46,2107,1098,1009
47,2138,1116,1022
48,1958,989,969
49,1919,983,936
50～54,9876,5112,4764
50,1807,918,889
51,1988,1031,957
52,2014,1042,972
53,1996,1031,965
54,2071,1090,981
55～59,12383,6187,6196
55,2312,1182,1130
56,2531,1277,1254
57,2678,1324,1354
58,2749,1374,1375
59,2113,1030,1083
60～64,9597,4697,4900
60,1586,809,777
61,1908,923,985
62,2055,1022,1033
63,1944,936,1008
64,2104,1007,1097
65～69,8569,3961,4608
65,1896,907,989
66,1681,771,910
67,1553,698,855
68,1721,828,893
69,1718,757,961
70～74,7793,3475,4318
70,1642,731,911
71,1634,753,881
72,1463,664,799
73,1540,689,851
74,1514,638,876
75～79,6136,2670,3466
75,1402,624,778
76,1278,582,696
77,1267,535,732
78,1130,473,657
79,1059,456,603
80～84,4038,1474,2564
80,1006,412,594
81,895,337,558
82,804,280,524
83,704,252,452
84,629,193,436
85～89,2182,654,1528
85,612,187,425
86,480,137,343
87,404,135,269
88,382,110,272
89,304,85,219
90～94,1013,295,718
90,269,85,184
91,260,76,184
92,219,70,149
93,139,37,102
94,126,27,99
95～103,270,67,203
95,80,24,56
96,61,14,47
97,40,11,29
98,31,4,27
99,24,6,18
100,15,4,11
101,6,1,5
102,9,2,7
103,4,1,3
104以上,1,0,1
不詳者,0,0,0
平成18年3月1日現在,,,
年  齢,計,男,女
総  数,171181,84912,86269
0～4,6794,3428,3366
0,1367,678,689
1,1378,695,683
2,1352,677,675
3,1402,716,686
4,1295,662,633
5～9,7145,3638,3507
5,1443,726,717
6,1447,760,687
7,1429,707,722
8,1404,730,674
9,1422,715,707
10～14,6726,3472,3254
10,1404,699,705
11,1359,738,621
12,1339,690,649
13,1298,665,633
14,1326,680,646
15～19,7244,3693,3551
15,1248,647,601
16,1337,662,675
17,1430,752,678
18,1395,703,692
19,1834,929,905
20～24,12153,6011,6142
20,1978,999,979
21,2332,1123,1209
22,2413,1183,1230
23,2689,1337,1352
24,2741,1369,1372
25～29,15110,7826,7284
25,2869,1446,1423
26,3046,1630,1416
27,3107,1587,1520
28,3045,1603,1442
29,3043,1560,1483
30～34,16214,8493,7721
30,3130,1670,1460
31,3089,1622,1467
32,3403,1771,1632
33,3334,1713,1621
34,3258,1717,1541
35～39,14818,7750,7068
35,3176,1650,1526
36,3146,1664,1482
37,3069,1614,1455
38,2984,1566,1418
39,2443,1256,1187
40～44,12878,6736,6142
40,2896,1490,1406
41,2662,1427,1235
42,2513,1322,1191
43,2487,1267,1220
44,2320,1230,1090
45～49,10261,5271,4990
45,2157,1095,1062
46,2143,1128,1015
47,2100,1086,1014
48,1959,988,971
49,1902,974,928
50～54,9901,5137,4764
50,1813,921,892
51,2008,1040,968
52,2003,1045,958
53,2002,1030,972
54,2075,1101,974
55～59,12338,6162,6176
55,2346,1192,1154
56,2524,1272,1252
57,2730,1354,1376
58,2744,1371,1373
59,1994,973,1021
60～64,9708,4743,4965
60,1635,831,804
61,1962,954,1008
62,2060,1031,1029
63,1958,933,1025
64,2093,994,1099
65～69,8545,3943,4602
65,1875,900,975
66,1666,759,907
67,1557,707,850
68,1733,837,896
69,1714,740,974
70～74,7799,3480,4319
70,1653,750,903
71,1639,750,889
72,1456,658,798
73,1570,711,859
74,1481,611,870
75～79,6112,2666,3446
75,1411,649,762
76,1259,558,701
77,1271,538,733
78,1131,478,653
79,1040,443,597
80～84,4007,1457,2550
80,1005,406,599
81,912,344,568
82,766,270,496
83,720,256,464
84,604,181,423
85～89,2173,658,1515
85,625,186,439
86,451,139,312
87,406,134,272
88,390,110,280
89,301,89,212
90～94,989,288,701
90,264,76,188
91,254,75,179
92,199,67,132
93,141,35,106
94,131,35,96
95～103,265,60,205
95,71,18,53
96,60,11,49
97,38,12,26
98,33,6,27
99,25,5,20
100,16,4,12
101,7,1,6
102,10,2,8
103,5,1,4
104以上,1,0,1
不詳者,0,0,0
平成18年2月1日現在,,,
年  齢,計,男,女
総  数,171290,84953,86337
0～4,6789,3426,3363
0,1344,668,676
1,1390,698,692
2,1334,670,664
3,1401,713,688
4,1320,677,643
5～9,7117,3624,3493
5,1428,718,710
6,1439,758,681
7,1437,724,713
8,1407,722,685
9,1406,702,704
10～14,6747,3490,3257
10,1384,693,691
11,1383,738,645
12,1342,710,632
13,1300,659,641
14,1338,690,648
15～19,7260,3706,3554
15,1238,640,598
16,1333,663,670
17,1430,737,693
18,1430,727,703
19,1829,939,890
20～24,12249,6065,6184
20,2039,1030,1009
21,2324,1131,1193
22,2445,1188,1257
23,2681,1340,1341
24,2760,1376,1384
25～29,15189,7845,7344
25,2885,1465,1420
26,3053,1608,1445
27,3141,1606,1535
28,3043,1594,1449
29,3067,1572,1495
30～34,16239,8511,7728
30,3126,1665,1461
31,3128,1653,1475
32,3413,1783,1630
33,3338,1709,1629
34,3234,1701,1533
35～39,14767,7728,7039
35,3175,1649,1526
36,3158,1678,1480
37,3054,1603,1451
38,3020,1584,1436
39,2360,1214,1146
40～44,12914,6741,6173
40,2976,1530,1446
41,2630,1409,1221
42,2491,1300,1191
43,2503,1281,1222
44,2314,1221,1093
45～49,10227,5257,4970
45,2140,1089,1051
46,2130,1116,1014
47,2092,1088,1004
48,1948,984,964
49,1917,980,937
50～54,9928,5149,4779
50,1797,896,901
51,2025,1059,966
52,1993,1042,951
53,2037,1056,981
54,2076,1096,980
55～59,12264,6112,6152
55,2355,1193,1162
56,2545,1270,1275
57,2732,1360,1372
58,2707,1349,1358
59,1925,940,985
60～64,9766,4767,4999
60,1664,833,831
61,2013,990,1023
62,2053,1032,1021
63,1971,928,1043
64,2065,984,1081
65～69,8548,3941,4607
65,1889,906,983
66,1629,738,891
67,1578,722,856
68,1747,846,901
69,1705,729,976
70～74,7802,3482,4320
70,1668,755,913
71,1599,747,852
72,1454,651,803
73,1619,724,895
74,1462,605,857
