平成22年12月１日現在,,,
年齢,計,男,女
　０～４　,7248,3693,3555
0,1500,746,754
1,1485,775,710
2,1410,718,692
3,1397,736,661
4,1456,718,738
　５～９　,7047,3588,3459
5,1375,715,660
6,1425,712,713
7,1386,695,691
8,1428,748,680
9,1433,718,715
１０～１４,7312,3696,3616
10,1417,718,699
11,1476,750,726
12,1506,767,739
13,1453,735,718
14,1460,726,734
１５～１９,7491,3841,3650
15,1436,727,709
16,1488,785,703
17,1347,696,651
18,1545,784,761
19,1675,849,826
２０～２４,10526,5219,5307
20,1837,926,911
21,1921,969,952
22,2079,1003,1076
23,2227,1095,1132
24,2462,1226,1236
２５～２９,13792,7093,6699
25,2656,1337,1319
26,2764,1439,1325
27,2837,1460,1377
28,2800,1460,1340
29,2735,1397,1338
３０～３４,14700,7552,7148
30,2933,1497,1436
31,2888,1491,1397
32,3000,1529,1471
33,2955,1539,1416
34,2924,1496,1428
３５～３９,15920,8107,7813
35,2926,1531,1395
36,3251,1633,1618
37,3344,1729,1615
38,3261,1657,1604
39,3138,1557,1581
４０～４４,14745,7569,7176
40,3115,1587,1528
41,3181,1665,1516
42,2996,1515,1481
43,2907,1503,1404
44,2546,1299,1247
４５～４９,12660,6590,6070
45,2898,1532,1366
46,2616,1378,1238
47,2487,1277,1210
48,2390,1216,1174
49,2269,1187,1082
５０～５４,10087,5176,4911
50,2172,1116,1056
51,2183,1145,1038
52,1990,1017,973
53,1899,960,939
54,1843,938,905
５５～５９,9891,5094,4797
55,1841,924,917
56,1946,1014,932
57,1963,1000,963
58,1930,1006,924
59,2211,1150,1061
６０～６４,11418,5612,5806
60,2342,1176,1166
61,2578,1259,1319
62,2649,1309,1340
63,2361,1141,1220
64,1488,727,761
６５～６９,9459,4525,4934
65,1696,843,853
66,2028,987,1041
67,1873,884,989
68,1996,935,1061
69,1866,876,990
７０～７４,7985,3523,4462
70,1664,767,897
71,1486,641,845
72,1627,746,881
73,1559,683,876
74,1649,686,963
７５～７９,6954,2987,3967
75,1473,656,817
76,1407,621,786
77,1365,576,789
78,1397,597,800
79,1312,537,775
８０～８４,5019,2038,2981
80,1151,505,646
81,1060,431,629
82,1037,397,640
83,905,374,531
84,866,331,535
８５～８９,2854,891,1963
85,767,275,492
86,639,202,437
87,528,162,366
88,488,141,347
89,432,111,321
９０～９４,1199,296,903
90,343,84,259
91,270,76,194
92,237,58,179
93,208,53,155
94,141,25,116
９５～１０３,432,93,339
95,131,32,99
96,108,33,75
97,58,14,44
98,55,6,49
99,44,6,38
100,16,2,14
101,10,0,10
102,10,0,10
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年８月１日現在,,,
年齢,計,男,女
総計　　　,176698,87195,89503
　０～４　,7223,3682,3541
0,1488,745,743
1,1470,769,701
2,1408,711,697
3,1406,738,668
4,1451,719,732
　５～９　,7036,3584,3452
5,1379,710,669
6,1410,720,690
7,1378,690,688
8,1429,739,690
9,1440,725,715
１０～１４,7338,3705,3633
10,1443,738,705
11,1482,737,745
12,1496,775,721
13,1469,739,730
14,1448,716,732
１５～１９,7496,3842,3654
15,1431,723,708
16,1505,795,710
17,1306,677,629
18,1554,782,772
19,1700,865,835
２０～２４,10576,5266,5310
20,1838,932,906
21,1948,988,960
22,2055,990,1065
23,2238,1105,1133
24,2497,1251,1246
２５～２９,13795,7096,6699
25,2686,1342,1344
26,2801,1462,1339
27,2800,1446,1354
28,2784,1440,1344
29,2724,1406,1318
３０～３４,14721,7577,7144
30,2962,1511,1451
31,2913,1502,1411
32,2965,1514,1451
33,2994,1570,1424
34,2887,1480,1407
３５～３９,15938,8101,7837
35,2954,1530,1424
36,3293,1661,1632
37,3327,1717,1610
38,3251,1648,1603
39,3113,1545,1568
４０～４４,14765,7602,7163
40,3133,1613,1520
41,3194,1675,1519
42,3006,1514,1492
43,2818,1441,1377
44,2614,1359,1255
４５～４９,12552,6521,6031
45,2875,1507,1368
46,2568,1344,1224
47,2509,1296,1213
48,2378,1202,1176
49,2222,1172,1050
５０～５４,10059,5160,4899
50,2214,1137,1077
51,2149,1131,1018
52,1998,1023,975
53,1900,953,947
54,1798,916,882
５５～５９,9988,5125,4863
55,1884,948,936
56,1928,1002,926
57,1996,1014,982
58,1924,1007,917
59,2256,1154,1102
６０～６４,11369,5602,5767
60,2344,1186,1158
61,2576,1255,1321
62,2641,1316,1325
63,2324,1108,1216
64,1484,737,747
６５～６９,9454,4526,4928
65,1694,831,863
66,2064,1008,1056
67,1840,891,949
68,1991,920,1071
69,1865,876,989
７０～７４,7963,3510,4453
70,1658,755,903
71,1466,631,835
72,1640,760,880
73,1567,687,880
74,1632,677,955
７５～７９,6953,2980,3973
75,1482,660,822
76,1416,614,802
77,1343,570,773
78,1416,609,807
79,1296,527,769
８０～８４,5015,2051,2964
80,1144,504,640
81,1057,433,624
82,1046,403,643
83,906,382,524
84,862,329,533
８５～８９,2825,874,1951
85,752,264,488
86,632,196,436
87,534,165,369
88,484,138,346
89,423,111,312
９０～９４,1193,296,897
90,341,82,259
91,273,78,195
92,230,59,171
93,208,53,155
94,141,24,117
９５～１０３,430,94,336
95,133,35,98
96,110,32,78
97,55,13,42
98,58,7,51
99,40,5,35
100,16,2,14
101,8,0,8
102,10,0,10
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年７月１日現在,,,
年齢,計,男,女
総計　　　,176809,87259,89550
　０～４　,7207,3675,3532
0,1504,762,742
1,1458,755,703
2,1417,730,687
3,1410,730,680
4,1418,698,720
　５～９　,7073,3594,3479
5,1394,716,678
6,1422,728,694
7,1384,696,688
8,1424,728,696
9,1449,726,723
１０～１４,7351,3712,3639
10,1444,748,696
11,1470,724,746
12,1499,767,732
13,1480,753,727
14,1458,720,738
１５～１９,7477,3841,3636
15,1424,721,703
16,1488,784,704
17,1318,685,633
18,1566,779,787
19,1681,872,809
２０～２４,10670,5309,5361
20,1866,934,932
21,1970,999,971
22,2063,999,1064
23,2250,1106,1144
24,2521,1271,1250
２５～２９,13846,7110,6736
25,2726,1364,1362
26,2815,1473,1342
27,2744,1418,1326
28,2818,1441,1377
29,2743,1414,1329
３０～３４,14794,7635,7159
30,2986,1539,1447
31,2929,1513,1416
32,2970,1511,1459
33,2984,1556,1428
34,2925,1516,1409
３５～３９,15958,8107,7851
35,2986,1561,1425
36,3305,1675,1630
37,3330,1687,1643
38,3192,1617,1575
39,3145,1567,1578
４０～４４,14730,7610,7120
40,3150,1646,1504
41,3161,1636,1525
42,2988,1512,1476
43,2755,1411,1344
44,2676,1405,1271
４５～４９,12504,6488,6016
45,2851,1483,1368
46,2547,1351,1196
47,2514,1284,1230
48,2377,1213,1164
49,2215,1157,1058
５０～５４,10022,5133,4889
50,2203,1115,1088
51,2157,1142,1015
52,1954,1001,953
53,1932,973,959
54,1776,902,874
５５～５９,10045,5165,4880
55,1912,964,948
56,1929,1007,922
57,1980,1001,979
58,1969,1033,936
59,2255,1160,1095
６０～６４,11352,5594,5758
60,2389,1202,1187
61,2570,1241,1329
62,2629,1327,1302
63,2269,1084,1185
64,1495,740,755
６５～６９,9457,4519,4938
65,1709,833,876
66,2077,994,1083
67,1821,896,925
68,2016,928,1088
69,1834,868,966
７０～７４,7936,3493,4443
70,1657,749,908
71,1433,608,825
72,1669,780,889
73,1578,690,888
74,1599,666,933
７５～７９,6939,2975,3964
75,1487,661,826
76,1385,603,782
77,1371,578,793
78,1417,603,814
79,1279,530,749
８０～８４,5005,2040,2965
80,1139,499,640
81,1073,442,631
82,1026,392,634
83,908,385,523
84,859,322,537
８５～８９,2815,866,1949
85,748,263,485
86,637,194,443
87,523,162,361
88,478,137,341
89,429,110,319
９０～９４,1188,296,892
90,338,80,258
91,266,77,189
92,235,61,174
93,203,52,151
94,146,26,120
９５～１０３,431,96,335
95,133,36,97
96,109,33,76
97,59,13,46
98,58,7,51
99,37,4,33
100,17,3,14
101,8,0,8
102,10,0,10
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年６月１日現在,,,
年齢,計,男,女
総計　　　,176910,87328,89582
　０～４　,7208,3680,3528
0,1505,757,748
1,1442,745,697
2,1432,746,686
3,1397,723,674
4,1432,709,723
　５～９　,7068,3589,3479
5,1406,717,689
6,1402,717,685
7,1399,710,689
8,1401,707,694
9,1460,738,722
１０～１４,7360,3721,3639
10,1465,761,704
11,1450,707,743
12,1497,771,726
13,1490,767,723
14,1458,715,743
１５～１９,7496,3851,3645
15,1425,733,692
16,1472,767,705
17,1316,680,636
18,1574,787,787
19,1709,884,825
２０～２４,10693,5316,5377
20,1837,923,914
21,1981,997,984
22,2076,1007,1069
23,2311,1143,1168
24,2488,1246,1242
２５～２９,13930,7150,6780
25,2774,1375,1399
26,2811,1474,1337
27,2760,1440,1320
28,2827,1452,1375
29,2758,1409,1349
３０～３４,14863,7658,7205
30,2980,1547,1433
31,2974,1519,1455
32,2978,1528,1450
33,2995,1564,1431
34,2936,1500,1436
３５～３９,15976,8137,7839
35,2995,1574,1421
36,3314,1690,1624
37,3372,1708,1664
38,3175,1604,1571
39,3120,1561,1559
４０～４４,14698,7588,7110
40,3164,1656,1508
41,3147,1628,1519
42,2981,1504,1477
43,2722,1393,1329
44,2684,1407,1277
４５～４９,12479,6491,5988
45,2853,1508,1345
46,2529,1338,1191
47,2538,1293,1245
48,2357,1202,1155
49,2202,1150,1052
５０～５４,9958,5102,4856
50,2205,1101,1104
51,2127,1131,996
52,1954,1006,948
53,1920,965,955
54,1752,899,853
５５～５９,10096,5175,4921
55,1939,979,960
56,1934,1003,931
57,1973,1005,968
58,2017,1063,954
59,2233,1125,1108
６０～６４,11330,5596,5734
60,2433,1224,1209
61,2583,1263,1320
62,2625,1311,1314
63,2231,1079,1152
64,1458,719,739
６５～６９,9467,4522,4945
65,1745,850,895
66,2060,992,1068
67,1819,888,931
68,2028,926,1102
69,1815,866,949
７０～７４,7921,3484,4437
70,1633,725,908
71,1443,617,826
72,1678,784,894
73,1593,690,903
74,1574,668,906
７５～７９,6946,2982,3964
75,1516,671,845
76,1359,594,765
77,1386,585,801
78,1412,602,810
79,1273,530,743
８０～８４,4999,2027,2972
80,1139,496,643
81,1068,437,631
82,1022,391,631
83,910,382,528
84,860,321,539
８５～８９,2806,869,1937
85,732,261,471
86,651,196,455
87,515,164,351
88,480,135,345
89,428,113,315
９０～９４,1179,293,886
90,337,78,259
91,259,74,185
92,238,64,174
93,196,51,145
94,149,26,123
９５～１０３,428,96,332
95,137,38,99
96,104,32,72
97,59,12,47
98,60,7,53
99,33,4,29
100,18,3,15
101,7,0,7
102,10,0,10
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年５月１日現在,,,
年齢,計,男,女
総計　　　,176994,87405,89589
　０～４　,7214,3692,3522
0,1503,755,748
1,1465,762,703
2,1425,739,686
3,1414,726,688
4,1407,710,697
　５～９　,7095,3599,3496
5,1421,724,697
6,1393,713,680
7,1398,709,689
8,1422,709,713
9,1461,744,717
１０～１４,7362,3722,3640
10,1453,754,699
11,1444,709,735
12,1504,769,735
13,1506,777,729
14,1455,713,742
１５～１９,7495,3854,3641
15,1416,734,682
16,1463,759,704
17,1331,686,645
18,1576,794,782
19,1709,881,828
２０～２４,10765,5359,5406
20,1838,911,927
21,2013,1015,998
22,2076,1018,1058
23,2345,1173,1172
24,2493,1242,1251
２５～２９,13994,7192,6802
25,2764,1376,1388
26,2821,1468,1353
27,2811,1473,1338
28,2783,1420,1363
29,2815,1455,1360
３０～３４,14872,7667,7205
30,2996,1539,1457
31,2955,1518,1437
32,3000,1541,1459
33,2981,1553,1428
34,2940,1516,1424
３５～３９,16016,8153,7863
35,3009,1564,1445
36,3358,1732,1626
37,3381,1678,1703
38,3151,1618,1533
39,3117,1561,1556
４０～４４,14713,7593,7120
40,3193,1664,1529
41,3118,1622,1496
42,3009,1515,1494
43,2631,1338,1293
44,2762,1454,1308
４５～４９,12416,6441,5975
45,2826,1486,1340
46,2496,1331,1165
47,2537,1287,1250
48,2375,1212,1163
49,2182,1125,1057
５０～５４,9925,5084,4841
50,2205,1129,1076
51,2120,1102,1018
52,1933,1001,932
53,1916,957,959
54,1751,895,856
５５～５９,10155,5233,4922
55,1940,992,948
56,1961,1020,941
57,1962,996,966
58,2052,1077,975
59,2240,1148,1092
６０～６４,11258,5544,5714
60,2427,1200,1227
61,2573,1262,1311
62,2677,1331,1346
63,2109,1018,1091
64,1472,733,739
６５～６９,9495,4533,4962
65,1787,859,928
66,2036,997,1039
67,1838,881,957
68,2004,924,1080
69,1830,872,958
７０～７４,7905,3476,4429
70,1615,720,895
71,1444,616,828
72,1667,778,889
73,1615,691,924
74,1564,671,893
７５～７９,6945,2992,3953
75,1511,677,834
76,1364,594,770
77,1405,597,808
78,1405,591,814
79,1260,533,727
８０～８４,4975,2019,2956
80,1122,487,635
81,1084,432,652
82,1009,395,614
83,894,377,517
84,866,328,538
８５～８９,2791,861,1930
85,712,249,463
86,640,191,449
87,530,168,362
88,467,139,328
89,442,114,328
９０～９４,1164,291,873
90,324,75,249
91,263,75,188
92,250,66,184
93,188,50,138
94,139,25,114
９５～１０３,430,99,331
95,143,41,102
96,102,32,70
97,63,11,52
98,57,8,49
99,35,5,30
100,15,2,13
101,6,0,6
102,9,0,9
103,0,0,0
１０４以上,9,1,8
不詳者　　,0,0,0
平成22年４月１日現在,,,
年齢,計,男,女
総計　　　,176820,87348,89472
　０～４　,7243,3713,3530
0,1520,779,741
1,1483,761,722
2,1443,763,680
3,1389,694,695
4,1408,716,692
　５～９　,7117,3610,3507
5,1428,723,705
6,1384,716,668
7,1426,728,698
8,1393,682,711
9,1486,761,725
１０～１４,7343,3712,3631
10,1462,763,699
11,1455,714,741
12,1467,739,728
13,1509,783,726
14,1450,713,737
１５～１９,7272,3745,3527
15,1420,742,678
16,1443,749,694
17,1342,687,655
18,1439,732,707
19,1628,835,793
２０～２４,10761,5369,5392
20,1837,909,928
21,1986,1005,981
22,2065,1009,1056
23,2366,1181,1185
24,2507,1265,1242
２５～２９,14019,7213,6806
25,2773,1378,1395
26,2821,1485,1336
27,2812,1457,1355
28,2802,1427,1375
29,2811,1466,1345
３０～３４,14923,7704,7219
30,3014,1564,1450
31,2940,1494,1446
32,3021,1553,1468
33,2980,1554,1426
34,2968,1539,1429
３５～３９,16092,8182,7910
35,3006,1555,1451
36,3385,1748,1637
37,3366,1678,1688
38,3153,1613,1540
39,3182,1588,1594
４０～４４,14714,7584,7130
40,3169,1650,1519
41,3123,1636,1487
42,2991,1491,1500
43,2553,1313,1240
44,2878,1494,1384
４５～４９,12313,6383,5930
45,2749,1468,1281
46,2513,1323,1190
47,2481,1247,1234
48,2388,1243,1145
49,2182,1102,1080
５０～５４,9925,5097,4828
50,2185,1131,1054
51,2134,1116,1018
52,1923,972,951
53,1895,968,927
54,1788,910,878
５５～５９,10189,5247,4942
55,1940,1007,933
56,1969,1003,966
57,1975,1004,971
58,2047,1086,961
59,2258,1147,1111
６０～６４,11244,5550,5694
60,2461,1223,1238
61,2583,1267,1316
62,2658,1318,1340
63,2029,978,1051
64,1513,764,749
６５～６９,9488,4519,4969
65,1835,887,948
66,1989,968,1021
67,1852,882,970
68,2017,934,1083
69,1795,848,947
７０～７４,7893,3471,4422
70,1604,713,891
71,1482,642,840
72,1633,759,874
73,1621,691,930
74,1553,666,887
７５～７９,6931,2979,3952
75,1508,672,836
76,1357,592,765
77,1423,612,811
78,1381,569,812
79,1262,534,728
８０～８４,4949,2019,2930
80,1123,494,629
81,1109,446,663
82,981,388,593
83,907,370,537
84,829,321,508
８５～８９,2801,855,1946
85,722,247,475
86,636,197,439
87,542,174,368
88,471,129,342
89,430,108,322
９０～９４,1160,299,861
90,314,78,236
91,272,80,192
92,250,64,186
93,182,47,135
94,142,30,112
９５～１０３,433,96,337
95,139,39,100
96,106,31,75
97,69,12,57
98,57,7,50
99,33,6,27
100,16,1,15
101,4,0,4
102,9,0,9
103,0,0,0
１０４以上,10,1,9
不詳者　　,0,0,0
平成22年３月１日現在,,,
年齢,計,男,女
総計　　　,176777,87329,89448
　０～４　,7229,3699,3530
0,1499,775,724
1,1476,751,725
2,1454,763,691
3,1389,697,692
4,1411,713,698
　５～９　,7123,3613,3510
5,1428,721,707
6,1392,717,675
7,1434,727,707
8,1362,683,679
9,1507,765,742
１０～１４,7356,3703,3653
10,1476,764,712
11,1466,718,748
12,1454,748,706
13,1499,755,744
14,1461,718,743
１５～１９,7192,3713,3479
15,1428,762,666
16,1423,722,701
17,1339,686,653
18,1406,721,685
19,1596,822,774
２０～２４,10666,5346,5320
20,1832,923,909
21,1981,1004,977
22,2027,1000,1027
23,2365,1184,1181
24,2461,1235,1226
２５～２９,14101,7218,6883
25,2821,1407,1414
26,2821,1472,1349
27,2807,1455,1352
28,2798,1429,1369
29,2854,1455,1399
３０～３４,15043,7780,7263
30,3020,1582,1438
31,2979,1509,1470
32,3073,1595,1478
33,2956,1516,1440
34,3015,1578,1437
３５～３９,16137,8207,7930
35,3039,1561,1478
36,3371,1741,1630
37,3330,1668,1662
38,3201,1641,1560
39,3196,1596,1600
４０～４４,14683,7569,7114
40,3155,1655,1500
41,3081,1608,1473
42,3047,1535,1512
43,2445,1238,1207
44,2955,1533,1422
４５～４９,12260,6361,5899
45,2734,1459,1275
46,2488,1305,1183
47,2486,1246,1240
48,2360,1246,1114
49,2192,1105,1087
５０～５４,9937,5094,4843
50,2210,1149,1061
51,2101,1089,1012
52,1917,968,949
53,1915,981,934
54,1794,907,887
５５～５９,10235,5270,4965
55,1957,1016,941
56,1965,1013,952
57,1972,998,974
58,2068,1103,965
59,2273,1140,1133
６０～６４,11196,5534,5662
60,2454,1223,1231
61,2637,1302,1335
62,2646,1309,1337
63,1910,922,988
64,1549,778,771
６５～６９,9515,4532,4983
65,1891,922,969
66,1982,970,1012
67,1864,873,991
68,2010,929,1081
69,1768,838,930
７０～７４,7889,3480,4409
70,1592,704,888
71,1487,652,835
72,1642,763,879
73,1622,683,939
74,1546,678,868
７５～７９,6932,2984,3948
75,1518,664,854
76,1350,593,757
77,1452,629,823
78,1354,545,809
79,1258,553,705
８０～８４,4935,1992,2943
80,1110,473,637
81,1112,447,665
82,991,394,597
83,879,355,524
84,843,323,520
８５～８９,2773,842,1931
85,721,246,475
86,610,188,422
87,545,177,368
88,454,118,336
89,443,113,330
９０～９４,1144,298,846
90,294,75,219
91,278,85,193
92,257,66,191
93,175,45,130
94,140,27,113
９５～１０３,423,93,330
95,140,39,101
96,92,28,64
97,77,11,66
98,57,9,48
99,27,5,22
100,15,1,14
101,7,0,7
102,6,0,6
103,2,0,2
１０４以上,8,1,7
不詳者　　,0,0,0
平成22年２月１日現在,,,
年齢,計,男,女
総計　　　,176915,87407,89508
　０～４　,7245,3710,3535
0,1508,782,726
1,1469,749,720
2,1445,753,692
3,1388,688,700
4,1435,738,697
　５～９　,7130,3613,3517
5,1432,718,714
6,1371,707,664
7,1436,731,705
8,1384,692,692
9,1507,765,742
１０～１４,7325,3689,3636
10,1466,760,706
11,1474,738,736
12,1460,739,721
13,1481,742,739
14,1444,710,734
１５～１９,7234,3739,3495
15,1443,760,683
16,1423,741,682
17,1345,678,667
18,1428,733,695
19,1595,827,768
２０～２４,10811,5425,5386
20,1838,941,897
21,2012,1007,1005
22,2060,1017,1043
23,2376,1184,1192
24,2525,1276,1249
２５～２９,14133,7246,6887
25,2808,1401,1407
26,2863,1500,1363
27,2798,1444,1354
28,2800,1431,1369
29,2864,1470,1394
３０～３４,15031,7757,7274
30,3014,1579,1435
31,2988,1513,1475
32,3044,1580,1464
33,2966,1516,1450
