平成20年12月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
小計,12821,12573,12679,25252
井口１丁目,1587,1734,1589,3323
井口２丁目,1047,1175,1194,2369
井口３丁目,876,923,993,1916
井口４丁目,1353,1437,1407,2844
井口５丁目,475,502,542,1044
小計,5338,5771,5725,11496
深大寺１丁目,757,812,778,1590
深大寺２丁目,1903,2100,1950,4050
深大寺３丁目,1008,1030,927,1957
小計,3668,3942,3655,7597
野崎１丁目,533,516,541,1057
野崎２丁目,1136,1256,1135,2391
野崎３丁目,875,949,943,1892
野崎４丁目,274,328,261,589
小計,2818,3049,2880,5929
大沢１丁目,1194,1387,1286,2673
大沢２丁目,894,971,932,1903
大沢３丁目,796,734,768,1502
大沢４丁目,1243,1330,1445,2775
大沢５丁目,816,998,1021,2019
大沢６丁目,704,736,745,1481
小計,5647,6156,6197,12353
合計,86865,86887,88916,175803
平成20年10月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1557,1491,1584,3075
下連雀２丁目,1696,1587,1735,3322
下連雀３丁目,5192,3992,4619,8611
下連雀４丁目,3153,2796,2999,5795
下連雀５丁目,1566,1699,1978,3677
下連雀６丁目,1824,1887,1867,3754
下連雀７丁目,2475,2534,2698,5232
下連雀８丁目,1410,1585,1707,3292
下連雀９丁目,1767,2045,2182,4227
小計,20640,19616,21369,40985
牟礼１丁目,1062,1004,1043,2047
牟礼２丁目,1716,1606,1659,3265
牟礼３丁目,861,846,738,1584
牟礼４丁目,1452,1556,1634,3190
牟礼５丁目,1320,1327,1281,2608
牟礼６丁目,2334,2435,2431,4866
牟礼７丁目,791,864,831,1695
小計,9536,9638,9617,19255
井の頭１丁目,2582,2159,2369,4528
井の頭２丁目,2014,1595,1809,3404
井の頭３丁目,1170,1113,1154,2267
井の頭４丁目,1089,1046,1020,2066
井の頭５丁目,1674,1598,1633,3231
小計,8529,7511,7985,15496
中原１丁目,1965,1929,1989,3918
中原２丁目,1264,1357,1331,2688
中原３丁目,1394,1452,1510,2962
中原４丁目,1849,2042,2147,4189
小計,6472,6780,6977,13757
北野１丁目,715,780,859,1639
北野２丁目,925,990,1002,1992
北野３丁目,991,1183,1143,2326
北野４丁目,995,1057,1037,2094
小計,3626,4010,4041,8051
新川１丁目,902,900,912,1812
新川２丁目,644,719,707,1426
新川３丁目,888,925,905,1830
新川４丁目,1540,1620,1681,3301
新川５丁目,1278,1260,1323,2583
新川６丁目,2571,2471,2262,4733
小計,7823,7895,7790,15685
上連雀１丁目,1657,1519,1422,2941
上連雀２丁目,1318,1096,1150,2246
上連雀３丁目,876,822,763,1585
上連雀４丁目,1703,1579,1566,3145
上連雀５丁目,1472,1470,1376,2846
上連雀６丁目,1490,1434,1598,3032
上連雀７丁目,1376,1420,1513,2933
上連雀８丁目,1431,1591,1633,3224
上連雀９丁目,1510,1641,1673,3314
小計,12833,12572,12694,25266
井口１丁目,1586,1729,1587,3316
井口２丁目,1048,1171,1191,2362
井口３丁目,876,921,992,1913
井口４丁目,1359,1441,1407,2848
井口５丁目,475,502,543,1045
小計,5344,5764,5720,11484
深大寺１丁目,757,811,777,1588
深大寺２丁目,1900,2102,1943,4045
深大寺３丁目,1010,1035,925,1960
小計,3667,3948,3645,7593
野崎１丁目,527,510,536,1046
野崎２丁目,1136,1254,1139,2393
野崎３丁目,877,946,943,1889
野崎４丁目,272,324,263,587
小計,2812,3034,2881,5915
大沢１丁目,1193,1387,1285,2672
大沢２丁目,895,971,931,1902
大沢３丁目,793,728,761,1489
大沢４丁目,1242,1334,1445,2779
大沢５丁目,809,989,1012,2001
大沢６丁目,700,733,741,1474
小計,5632,6142,6175,12317
合計,86914,86910,88894,175804
平成20年9月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1565,1493,1597,3090
下連雀２丁目,1688,1578,1728,3306
下連雀３丁目,5190,3986,4629,8615
下連雀４丁目,3131,2775,2977,5752
下連雀５丁目,1562,1691,1974,3665
下連雀６丁目,1838,1894,1871,3765
下連雀７丁目,2480,2536,2706,5242
下連雀８丁目,1421,1588,1720,3308
下連雀９丁目,1768,2043,2179,4222
小計,20643,19584,21381,40965
牟礼１丁目,1063,1005,1041,2046
牟礼２丁目,1712,1600,1658,3258
牟礼３丁目,861,849,737,1586
牟礼４丁目,1448,1553,1625,3178
牟礼５丁目,1324,1336,1284,2620
牟礼６丁目,2323,2429,2432,4861
牟礼７丁目,789,859,829,1688
小計,9520,9631,9606,19237
井の頭１丁目,2582,2160,2366,4526
井の頭２丁目,2020,1599,1811,3410
井の頭３丁目,1166,1110,1152,2262
井の頭４丁目,1089,1041,1018,2059
井の頭５丁目,1681,1598,1646,3244
小計,8538,7508,7993,15501
中原１丁目,1970,1937,1996,3933
中原２丁目,1261,1359,1329,2688
中原３丁目,1394,1447,1514,2961
中原４丁目,1850,2040,2147,4187
小計,6475,6783,6986,13769
北野１丁目,710,773,855,1628
北野２丁目,930,996,1007,2003
北野３丁目,980,1176,1132,2308
北野４丁目,995,1061,1035,2096
小計,3615,4006,4029,8035
新川１丁目,902,895,912,1807
新川２丁目,646,722,705,1427
新川３丁目,885,926,898,1824
新川４丁目,1544,1623,1679,3302
新川５丁目,1277,1262,1324,2586
新川６丁目,2586,2473,2271,4744
小計,7840,7901,7789,15690
上連雀１丁目,1655,1520,1422,2942
上連雀２丁目,1321,1098,1151,2249
上連雀３丁目,869,815,756,1571
上連雀４丁目,1704,1577,1564,3141
上連雀５丁目,1467,1474,1372,2846
上連雀６丁目,1484,1430,1596,3026
上連雀７丁目,1375,1418,1513,2931
上連雀８丁目,1429,1590,1632,3222
上連雀９丁目,1511,1638,1673,3311
小計,12815,12560,12679,25239
井口１丁目,1582,1719,1590,3309
井口２丁目,1047,1171,1197,2368
井口３丁目,872,924,988,1912
井口４丁目,1362,1446,1411,2857
井口５丁目,472,501,539,1040
小計,5335,5761,5725,11486
深大寺１丁目,752,805,775,1580
深大寺２丁目,1890,2099,1941,4040
深大寺３丁目,1013,1036,930,1966
小計,3655,3940,3646,7586
野崎１丁目,527,512,535,1047
野崎２丁目,1124,1242,1134,2376
野崎３丁目,885,956,946,1902
野崎４丁目,272,324,262,586
小計,2808,3034,2877,5911
大沢１丁目,1193,1382,1279,2661
大沢２丁目,890,969,929,1898
大沢３丁目,789,723,756,1479
大沢４丁目,1239,1334,1443,2777
大沢５丁目,808,989,1007,1996
大沢６丁目,702,735,747,1482
小計,5621,6132,6161,12293
合計,86865,86840,88872,175712
平成20年8月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1557,1490,1594,3084
下連雀２丁目,1688,1576,1730,3306
下連雀３丁目,5193,3989,4628,8617
下連雀４丁目,3121,2759,2979,5738
下連雀５丁目,1562,1691,1968,3659
下連雀６丁目,1870,1915,1903,3818
下連雀７丁目,2481,2536,2702,5238
下連雀８丁目,1416,1581,1721,3302
下連雀９丁目,1759,2025,2159,4184
小計,20647,19562,21384,40946
牟礼１丁目,1057,1005,1034,2039
牟礼２丁目,1709,1594,1655,3249
牟礼３丁目,859,849,731,1580
牟礼４丁目,1436,1545,1621,3166
牟礼５丁目,1322,1333,1283,2616
牟礼６丁目,2328,2431,2438,4869
牟礼７丁目,790,855,828,1683
小計,9501,9612,9590,19202
井の頭１丁目,2579,2155,2362,4517
井の頭２丁目,2017,1599,1816,3415
井の頭３丁目,1160,1111,1144,2255
井の頭４丁目,1093,1041,1019,2060
井の頭５丁目,1684,1601,1653,3254
小計,8533,7507,7994,15501
中原１丁目,1971,1942,2000,3942
中原２丁目,1259,1358,1332,2690
中原３丁目,1394,1447,1516,2963
中原４丁目,1850,2043,2144,4187
小計,6474,6790,6992,13782
北野１丁目,708,773,854,1627
北野２丁目,924,993,999,1992
北野３丁目,985,1181,1136,2317
北野４丁目,1002,1065,1042,2107
小計,3619,4012,4031,8043
新川１丁目,903,897,916,1813
新川２丁目,649,724,706,1430
新川３丁目,885,928,900,1828
新川４丁目,1530,1618,1666,3284
新川５丁目,1271,1257,1322,2579
新川６丁目,2583,2469,2267,4736
小計,7821,7893,7777,15670
上連雀１丁目,1662,1521,1432,2953
上連雀２丁目,1326,1098,1156,2254
上連雀３丁目,871,820,753,1573
上連雀４丁目,1707,1580,1561,3141
上連雀５丁目,1470,1480,1374,2854
上連雀６丁目,1481,1426,1587,3013
上連雀７丁目,1375,1418,1518,2936
上連雀８丁目,1430,1593,1618,3211
上連雀９丁目,1512,1630,1684,3314
小計,12834,12566,12683,25249
井口１丁目,1580,1715,1589,3304
井口２丁目,1050,1169,1199,2368
井口３丁目,878,927,995,1922
井口４丁目,1352,1435,1416,2851
井口５丁目,472,501,538,1039
小計,5332,5747,5737,11484
深大寺１丁目,754,813,777,1590
深大寺２丁目,1884,2085,1938,4023
深大寺３丁目,1005,1031,928,1959
小計,3643,3929,3643,7572
野崎１丁目,521,506,534,1040
野崎２丁目,1121,1238,1131,2369
野崎３丁目,885,955,951,1906
野崎４丁目,273,326,262,588
小計,2800,3025,2878,5903
大沢１丁目,1189,1377,1277,2654
大沢２丁目,896,976,933,1909
大沢３丁目,790,723,752,1475
大沢４丁目,1241,1335,1445,2780
大沢５丁目,803,986,1000,1986
大沢６丁目,702,735,746,1481
小計,5621,6132,6153,12285
合計,86825,86775,88862,175637
平成20年7月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1556,1488,1595,3083
下連雀２丁目,1684,1572,1733,3305
下連雀３丁目,5189,3993,4627,8620
下連雀４丁目,3126,2762,2983,5745
下連雀５丁目,1561,1693,1964,3657
下連雀６丁目,1874,1913,1913,3826
下連雀７丁目,2483,2549,2706,5255
下連雀８丁目,1418,1584,1721,3305
下連雀９丁目,1755,2028,2164,4192
小計,20646,19582,21406,40988
牟礼１丁目,1060,1004,1034,2038
牟礼２丁目,1704,1592,1639,3231
牟礼３丁目,860,851,729,1580
牟礼４丁目,1435,1547,1620,3167
牟礼５丁目,1320,1326,1280,2606
牟礼６丁目,2325,2441,2437,4878
牟礼７丁目,788,853,831,1684
小計,9492,9614,9570,19184
井の頭１丁目,2579,2159,2361,4520
井の頭２丁目,2016,1600,1819,3419
井の頭３丁目,1162,1120,1147,2267
井の頭４丁目,1096,1041,1022,2063
井の頭５丁目,1684,1601,1646,3247
小計,8537,7521,7995,15516
中原１丁目,1973,1937,2003,3940
中原２丁目,1259,1362,1324,2686
中原３丁目,1393,1442,1511,2953
中原４丁目,1850,2045,2144,4189
小計,6475,6786,6982,13768
北野１丁目,710,777,854,1631
北野２丁目,924,994,998,1992
北野３丁目,994,1188,1145,2333
北野４丁目,1000,1061,1043,2104
小計,3628,4020,4040,8060
新川１丁目,897,890,912,1802
新川２丁目,649,724,706,1430
新川３丁目,891,925,905,1830
新川４丁目,1523,1606,1659,3265
新川５丁目,1275,1262,1329,2591
新川６丁目,2592,2475,2275,4750
小計,7827,7882,7786,15668
上連雀１丁目,1651,1506,1434,2940
上連雀２丁目,1322,1096,1156,2252
上連雀３丁目,867,814,749,1563
上連雀４丁目,1720,1588,1575,3163
上連雀５丁目,1470,1482,1370,2852
上連雀６丁目,1480,1420,1591,3011
上連雀７丁目,1377,1418,1516,2934
上連雀８丁目,1441,1599,1626,3225
上連雀９丁目,1515,1631,1686,3317
小計,12843,12554,12703,25257
井口１丁目,1583,1713,1595,3308
井口２丁目,1052,1168,1202,2370
井口３丁目,877,927,993,1920
井口４丁目,1344,1429,1410,2839
井口５丁目,474,506,541,1047
小計,5330,5743,5741,11484
深大寺１丁目,747,804,770,1574
深大寺２丁目,1890,2085,1943,4028
深大寺３丁目,1001,1030,923,1953
小計,3638,3919,3636,7555
野崎１丁目,525,510,534,1044
野崎２丁目,1113,1237,1122,2359
野崎３丁目,881,951,948,1899
野崎４丁目,271,324,262,586
小計,2790,3022,2866,5888
大沢１丁目,1189,1382,1279,2661
大沢２丁目,897,976,937,1913
大沢３丁目,788,715,739,1454
大沢４丁目,1243,1332,1451,2783
大沢５丁目,794,980,987,1967
大沢６丁目,700,733,744,1477
小計,5611,6118,6137,12255
合計,86817,86761,88862,175623
平成20年6月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1559,1493,1597,3090
下連雀２丁目,1688,1575,1732,3307
下連雀３丁目,5190,3993,4609,8602
下連雀４丁目,3134,2759,2984,5743
下連雀５丁目,1559,1690,1959,3649
下連雀６丁目,1866,1904,1912,3816
下連雀７丁目,2475,2549,2694,5243
下連雀８丁目,1424,1584,1721,3305
下連雀９丁目,1760,2026,2165,4191
小計,20655,19573,21373,40946
牟礼１丁目,1057,1003,1036,2039
牟礼２丁目,1711,1591,1648,3239
牟礼３丁目,862,852,730,1582
牟礼４丁目,1434,1547,1623,3170
牟礼５丁目,1324,1330,1283,2613
牟礼６丁目,2323,2446,2430,4876
牟礼７丁目,792,860,835,1695
小計,9503,9629,9585,19214
井の頭１丁目,2577,2147,2365,4512
井の頭２丁目,2023,1601,1830,3431
井の頭３丁目,1162,1114,1144,2258
井の頭４丁目,1092,1039,1021,2060
井の頭５丁目,1682,1601,1646,3247
小計,8536,7502,8006,15508
中原１丁目,1989,1946,2014,3960
中原２丁目,1256,1357,1326,2683
中原３丁目,1391,1442,1510,2952
中原４丁目,1853,2050,2149,4199
小計,6489,6795,6999,13794
北野１丁目,711,780,860,1640
北野２丁目,921,988,994,1982
北野３丁目,994,1185,1145,2330
北野４丁目,1000,1059,1042,2101
小計,3626,4012,4041,8053
新川１丁目,900,887,916,1803
新川２丁目,647,723,702,1425
新川３丁目,890,924,900,1824
新川４丁目,1524,1611,1662,3273
新川５丁目,1264,1258,1327,2585
新川６丁目,2596,2474,2283,4757
小計,7821,7877,7790,15667
上連雀１丁目,1649,1501,1437,2938
上連雀２丁目,1326,1099,1156,2255
上連雀３丁目,863,805,752,1557
上連雀４丁目,1730,1594,1581,3175
上連雀５丁目,1465,1481,1361,2842
上連雀６丁目,1480,1424,1583,3007
上連雀７丁目,1374,1418,1514,2932
上連雀８丁目,1437,1591,1629,3220
上連雀９丁目,1520,1640,1680,3320
小計,12844,12553,12693,25246
井口１丁目,1582,1715,1594,3309
井口２丁目,1048,1166,1200,2366
井口３丁目,881,927,995,1922
井口４丁目,1344,1432,1410,2842
井口５丁目,472,506,539,1045
小計,5327,5746,5738,11484
深大寺１丁目,750,807,779,1586
深大寺２丁目,1892,2087,1940,4027
深大寺３丁目,1004,1026,928,1954
小計,3646,3920,3647,7567
野崎１丁目,525,512,535,1047
野崎２丁目,1117,1237,1121,2358
野崎３丁目,880,954,945,1899
野崎４丁目,271,325,265,590
小計,2793,3028,2866,5894
大沢１丁目,1188,1381,1285,2666
大沢２丁目,895,974,939,1913
大沢３丁目,786,711,734,1445
大沢４丁目,1244,1334,1449,2783
大沢５丁目,791,983,982,1965
大沢６丁目,702,739,744,1483
小計,5606,6122,6133,12255
合計,86846,86757,88871,175628
平成20年5月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1550,1499,1593,3092
下連雀２丁目,1684,1571,1730,3301
下連雀３丁目,5175,3999,4585,8584
下連雀４丁目,3130,2748,2985,5733
下連雀５丁目,1551,1691,1958,3649
下連雀６丁目,1868,1908,1912,3820
下連雀７丁目,2471,2550,2692,5242
下連雀８丁目,1418,1575,1719,3294
下連雀９丁目,1770,2036,2176,4212
小計,20617,19577,21350,40927
牟礼１丁目,1059,1004,1035,2039
牟礼２丁目,1710,1588,1644,3232
牟礼３丁目,850,840,730,1570
牟礼４丁目,1434,1543,1625,3168
牟礼５丁目,1323,1328,1288,2616
牟礼６丁目,2330,2445,2430,4875
牟礼７丁目,792,857,839,1696
小計,9498,9605,9591,19196
井の頭１丁目,2575,2139,2370,4509
井の頭２丁目,2021,1603,1829,3432
井の頭３丁目,1163,1118,1148,2266
井の頭４丁目,1089,1040,1024,2064
井の頭５丁目,1682,1600,1645,3245
小計,8530,7500,8016,15516
中原１丁目,1996,1961,2013,3974
中原２丁目,1253,1350,1324,2674
中原３丁目,1394,1443,1512,2955
中原４丁目,1848,2057,2150,4207
小計,6491,6811,6999,13810
北野１丁目,713,783,862,1645
北野２丁目,911,985,987,1972
北野３丁目,984,1177,1141,2318
北野４丁目,995,1051,1042,2093
小計,3603,3996,4032,8028
新川１丁目,906,888,925,1813
新川２丁目,639,717,698,1415
新川３丁目,882,916,893,1809
新川４丁目,1529,1614,1671,3285
新川５丁目,1263,1258,1326,2584
新川６丁目,2599,2476,2276,4752
小計,7818,7869,7789,15658
上連雀１丁目,1642,1494,1440,2934
上連雀２丁目,1329,1099,1154,2253
上連雀３丁目,859,804,751,1555
上連雀４丁目,1728,1596,1579,3175
上連雀５丁目,1467,1483,1363,2846
上連雀６丁目,1483,1426,1578,3004
上連雀７丁目,1370,1411,1508,2919
上連雀８丁目,1444,1598,1631,3229
上連雀９丁目,1518,1645,1678,3323
小計,12840,12556,12682,25238
井口１丁目,1584,1717,1593,3310
井口２丁目,1055,1169,1204,2373
井口３丁目,879,928,995,1923
井口４丁目,1346,1434,1410,2844
井口５丁目,474,506,542,1048
小計,5338,5754,5744,11498
深大寺１丁目,746,802,781,1583
深大寺２丁目,1890,2089,1937,4026
深大寺３丁目,1012,1037,931,1968
小計,3648,3928,3649,7577
野崎１丁目,527,512,532,1044
野崎２丁目,1108,1228,1114,2342
野崎３丁目,873,949,941,1890
野崎４丁目,271,325,265,590
小計,2779,3014,2852,5866
大沢１丁目,1193,1384,1285,2669
大沢２丁目,887,963,932,1895
大沢３丁目,785,709,738,1447
大沢４丁目,1244,1340,1451,2791
大沢５丁目,793,987,988,1975
大沢６丁目,704,741,742,1483
小計,5606,6124,6136,12260
合計,86768,86734,88840,175574
平成20年4月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1550,1504,1590,3094
下連雀２丁目,1672,1562,1728,3290
下連雀３丁目,5150,3986,4578,8564
下連雀４丁目,3134,2756,2979,5735
下連雀５丁目,1536,1683,1943,3626
下連雀６丁目,1863,1899,1910,3809
下連雀７丁目,2469,2553,2685,5238
下連雀８丁目,1414,1578,1711,3289
下連雀９丁目,1765,2033,2185,4218
小計,20553,19554,21309,40863
牟礼１丁目,1041,991,1022,2013
牟礼２丁目,1695,1573,1633,3206
牟礼３丁目,841,834,733,1567
牟礼４丁目,1435,1532,1621,3153
牟礼５丁目,1316,1321,1276,2597
牟礼６丁目,2332,2460,2434,4894
牟礼７丁目,797,865,838,1703
小計,9457,9576,9557,19133
井の頭１丁目,2553,2127,2340,4467
井の頭２丁目,1981,1587,1807,3394
井の頭３丁目,1163,1119,1156,2275
井の頭４丁目,1084,1039,1022,2061
井の頭５丁目,1669,1602,1627,3229
小計,8450,7474,7952,15426
中原１丁目,1980,1941,2002,3943
中原２丁目,1256,1350,1324,2674
中原３丁目,1392,1446,1517,2963
中原４丁目,1852,2062,2164,4226
小計,6480,6799,7007,13806
北野１丁目,710,784,859,1643
北野２丁目,902,976,970,1946
北野３丁目,979,1175,1130,2305
北野４丁目,991,1048,1040,2088
小計,3582,3983,3999,7982
新川１丁目,900,881,926,1807
新川２丁目,643,722,703,1425
新川３丁目,883,918,889,1807
新川４丁目,1526,1612,1666,3278
新川５丁目,1268,1264,1326,2590
新川６丁目,2492,2406,2244,4650
小計,7712,7803,7754,15557
上連雀１丁目,1643,1494,1435,2929
上連雀２丁目,1328,1094,1155,2249
上連雀３丁目,850,796,734,1530
上連雀４丁目,1718,1593,1571,3164
上連雀５丁目,1453,1471,1360,2831
上連雀６丁目,1471,1421,1579,3000
上連雀７丁目,1369,1413,1507,2920
上連雀８丁目,1442,1604,1627,3231
上連雀９丁目,1515,1646,1682,3328
小計,12789,12532,12650,25182
井口１丁目,1563,1700,1581,3281
井口２丁目,1057,1168,1209,2377
井口３丁目,871,921,990,1911
井口４丁目,1333,1422,1397,2819
井口５丁目,471,501,543,1044
小計,5295,5712,5720,11432
深大寺１丁目,744,801,780,1581
深大寺２丁目,1873,2090,1932,4022
深大寺３丁目,1011,1045,930,1975
小計,3628,3936,3642,7578
野崎１丁目,531,519,525,1044
野崎２丁目,1108,1222,1114,2336
野崎３丁目,871,948,943,1891
野崎４丁目,270,325,265,590
小計,2780,3014,2847,5861
大沢１丁目,1188,1383,1278,2661
大沢２丁目,879,955,932,1887
大沢３丁目,738,687,709,1396
大沢４丁目,1235,1330,1445,2775
大沢５丁目,793,996,991,1987
大沢６丁目,700,739,744,1483
小計,5533,6090,6099,12189
合計,86259,86473,88536,175009
平成20年3月1日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1567,1511,1592,3103
下連雀２丁目,1675,1569,1722,3291
下連雀３丁目,5100,3990,4525,8515
下連雀４丁目,3144,2761,2983,5744
下連雀５丁目,1535,1680,1949,3629
下連雀６丁目,1859,1903,1919,3822
下連雀７丁目,2448,2546,2681,5227
下連雀８丁目,1402,1573,1710,3283
下連雀９丁目,1765,2044,2184,4228
小計,20495,19577,21265,40842
牟礼１丁目,1033,983,1009,1992
牟礼２丁目,1695,1581,1640,3221
牟礼３丁目,827,826,728,1554
牟礼４丁目,1434,1512,1620,3132
牟礼５丁目,1331,1320,1294,2614
牟礼６丁目,2304,2435,2444,4879
牟礼７丁目,791,854,828,1682
小計,9415,9511,9563,19074
井の頭１丁目,2553,2124,2341,4465
井の頭２丁目,2000,1599,1815,3414
井の頭３丁目,1161,1109,1159,2268
井の頭４丁目,1083,1037,1023,2060
井の頭５丁目,1670,1603,1626,3229
小計,8467,7472,7964,15436
中原１丁目,1974,1942,1993,3935
中原２丁目,1262,1362,1333,2695
中原３丁目,1381,1446,1522,2968
中原４丁目,1848,2067,2160,4227
小計,6465,6817,7008,13825
北野１丁目,706,783,854,1637
北野２丁目,904,981,971,1952
北野３丁目,993,1187,1142,2329
北野４丁目,983,1044,1028,2072
小計,3586,3995,3995,7990
新川１丁目,889,876,928,1804
新川２丁目,632,721,699,1420
新川３丁目,905,929,899,1828
新川４丁目,1507,1587,1652,3239
新川５丁目,1260,1265,1328,2593
新川６丁目,2492,2442,2219,4661
小計,7685,7820,7725,15545
上連雀１丁目,1632,1491,1429,2920
上連雀２丁目,1320,1093,1151,2244
上連雀３丁目,857,800,734,1534
上連雀４丁目,1714,1586,1566,3152
上連雀５丁目,1452,1476,1365,2841
上連雀６丁目,1452,1397,1574,2971
上連雀７丁目,1366,1411,1509,2920
上連雀８丁目,1444,1603,1637,3240
上連雀９丁目,1507,1645,1676,3321
小計,12744,12502,12641,25143
井口１丁目,1563,1710,1576,3286
井口２丁目,1048,1154,1201,2355
井口３丁目,873,927,990,1917
井口４丁目,1333,1410,1382,2792
井口５丁目,471,501,541,1042
小計,5288,5702,5690,11392
深大寺１丁目,749,806,785,1591
