平成17年12月1日現在,,,
年  齢,計,男,女
102,11,3,8
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年9月1日現在,,,
年  齢,計,男,女
総  数,171483,85103,86380
0～4,6838,3469,3369
0,1333,690,643
1,1367,677,690
2,1369,674,695
3,1405,732,673
4,1364,696,668
5～9,7062,3588,3474
5,1367,698,669
6,1410,729,681
7,1489,753,736
8,1386,705,681
9,1410,703,707
10～14,6673,3453,3220
10,1365,698,667
11,1416,755,661
12,1288,682,606
13,1351,681,670
14,1253,637,616
15～19,7516,3839,3677
15,1308,669,639
16,1365,706,659
17,1402,710,692
18,1596,796,800
19,1845,958,887
20～24,12496,6226,6270
20,2152,1071,1081
21,2362,1177,1185
22,2544,1243,1301
23,2689,1365,1324
24,2749,1370,1379
25～29,15497,7996,7501
25,3021,1543,1478
26,3089,1606,1483
27,3177,1649,1528
28,3044,1556,1488
29,3166,1642,1524
30～34,16320,8549,7771
30,3082,1629,1453
31,3325,1718,1607
32,3334,1761,1573
33,3342,1755,1587
34,3237,1686,1551
35～39,14723,7704,7019
35,3171,1623,1548
36,3206,1726,1480
37,2964,1534,1430
38,2877,1520,1357
39,2505,1301,1204
40～44,12607,6584,6023
40,2875,1501,1374
41,2614,1367,1247
42,2496,1291,1205
43,2393,1240,1153
44,2229,1185,1044
45～49,10139,5228,4911
45,2119,1109,1010
46,2181,1135,1046
47,2009,1038,971
48,1927,970,957
49,1903,976,927
50～54,10170,5249,4921
50,1912,960,952
51,2022,1051,971
52,2005,1033,972
53,1980,1034,946
54,2251,1171,1080
55～59,12014,5991,6023
55,2452,1235,1217
56,2687,1340,1347
57,2760,1374,1386
58,2519,1244,1275
59,1596,798,798
60～64,10011,4883,5128
60,1796,891,905
61,2146,1061,1085
62,1962,950,1012
63,2109,1019,1090
64,1998,962,1036
65～69,8521,3901,4620
65,1781,839,942
66,1566,702,864
67,1726,826,900
68,1671,768,903
69,1777,766,1011
70～74,7697,3451,4246
70,1610,744,866
71,1541,710,831
72,1505,666,839
73,1566,694,872
74,1475,637,838
75～79,5969,2608,3361
75,1330,615,715
76,1225,530,695
77,1230,521,709
78,1103,488,615
79,1081,454,627
80～84,3921,1398,2523
80,990,390,600
81,831,296,535
82,744,271,473
83,708,243,465
84,648,198,450
85～89,2089,639,1450
85,560,172,388
86,448,153,295
87,391,112,279
88,389,112,277
89,301,90,211
90～94,962,290,672
90,284,81,203
91,249,88,161
92,170,53,117
93,142,36,106
94,117,32,85
95～103,257,57,200
95,75,15,60
96,51,15,36
97,41,8,33
98,40,9,31
99,19,5,14
100,11,1,10
101,11,2,9
102,8,2,6
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年8月1日現在,,,
年  齢,計,男,女
総  数,171454,85119,86335
0～4,6834,3473,3361
0,1351,693,658
1,1342,676,666
2,1363,683,680
3,1405,727,678
4,1373,694,679
5～9,7054,3588,3466
5,1388,725,663
6,1425,722,703
7,1449,738,711
8,1403,715,688
9,1389,688,701
10～14,6652,3426,3226
10,1361,689,672
11,1428,766,662
12,1255,662,593
13,1334,666,668
14,1274,643,631
15～19,7569,3897,3672
15,1307,678,629
16,1389,722,667
17,1382,701,681
18,1631,825,806
19,1860,971,889
20～24,12561,6252,6309
20,2156,1064,1092
21,2370,1189,1181
22,2563,1241,1322
23,2705,1375,1330
24,2767,1383,1384
25～29,15567,8036,7531
25,3063,1579,1484
26,3116,1606,1510
27,3146,1625,1521
28,3104,1586,1518
29,3138,1640,1498
30～34,16319,8524,7795
30,3083,1626,1457
31,3351,1720,1631
32,3320,1757,1563
33,3344,1753,1591
34,3221,1668,1553
35～39,14722,7736,6986
35,3171,1638,1533
36,3204,1728,1476
37,2963,1537,1426
38,2809,1473,1336
39,2575,1360,1215
40～44,12490,6525,5965
40,2818,1470,1348
41,2599,1352,1247
42,2496,1304,1192
43,2361,1216,1145
44,2216,1183,1033
45～49,10099,5210,4889
45,2150,1122,1028
46,2147,1130,1017
47,2022,1035,987
48,1908,956,952
49,1872,967,905
50～54,10258,5274,4984
50,1938,964,974
51,2015,1053,962
52,2026,1045,981
53,1982,1036,946
54,2297,1176,1121
55～59,11951,5971,5980
55,2458,1254,1204
56,2673,1331,1342
57,2765,1381,1384
58,2477,1209,1268
59,1578,796,782
60～64,10018,4890,5128
60,1797,881,916
61,2170,1076,1094
62,1945,964,981
63,2104,1005,1099
64,2002,964,1038
65～69,8511,3899,4612
65,1767,826,941
66,1562,696,866
67,1730,837,893
68,1680,771,909
69,1772,769,1003
70～74,7693,3445,4248
70,1618,743,875
71,1548,710,838
72,1483,653,830
73,1589,709,880
74,1455,630,825
75～79,5971,2614,3357
75,1320,605,715
76,1234,538,696
77,1229,517,712
78,1100,498,602
79,1088,456,632
80～84,3885,1375,2510
80,962,375,587
81,826,290,536
82,750,272,478
83,704,237,467
84,643,201,442
85～89,2078,634,1444
85,552,169,383
86,455,154,301
87,384,110,274
88,381,108,273
89,306,93,213
90～94,964,293,671
90,284,82,202
91,260,92,168
92,155,49,106
93,150,36,114
94,115,34,81
95～103,257,57,200
95,75,16,59
96,50,13,37
97,44,10,34
98,37,9,28
99,19,4,15
100,11,1,10
101,14,3,11
102,6,1,5
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年7月1日現在,,,
年  齢,計,男,女
総  数,171441,85142,86299
0～4,6851,3484,3367
0,1354,701,653
1,1374,688,686
2,1363,692,671
3,1386,712,674
4,1374,691,683
5～9,7074,3601,3473
5,1381,729,652
6,1419,714,705
7,1461,740,721
8,1416,724,692
9,1397,694,703
10～14,6625,3417,3208
10,1355,686,669
11,1406,752,654
12,1267,664,603
13,1325,657,668
14,1272,658,614
15～19,7634,3921,3713
15,1323,679,644
16,1420,749,671
17,1357,681,676
18,1661,849,812
19,1873,963,910
20～24,12612,6273,6339
20,2194,1080,1114
21,2382,1191,1191
22,2528,1241,1287
23,2705,1371,1334
24,2803,1390,1413
25～29,15574,8064,7510
25,3066,1606,1460
26,3120,1605,1515
27,3133,1622,1511
28,3082,1575,1507
29,3173,1656,1517
30～34,16327,8536,7791
30,3063,1629,1434
31,3388,1749,1639
32,3314,1736,1578
33,3323,1746,1577
34,3239,1676,1563
35～39,14697,7732,6965
35,3178,1671,1507
36,3162,1687,1475
37,2975,1545,1430
38,2750,1453,1297
39,2632,1376,1256
40～44,12423,6492,5931
40,2806,1460,1346
41,2563,1356,1207
42,2490,1276,1214
43,2364,1235,1129
44,2200,1165,1035
45～49,10077,5192,4885
45,2136,1101,1035
46,2170,1149,1021
47,1995,1014,981
48,1924,974,950
49,1852,954,898
50～54,10306,5298,5008
50,1956,973,983
51,2012,1058,954
52,2023,1035,988
53,2014,1057,957
54,2301,1175,1126
55～59,11925,5962,5963
55,2489,1266,1223
56,2673,1325,1348
57,2767,1401,1366
58,2407,1171,1236
59,1589,799,790
60～64,10013,4884,5129
60,1818,888,930
61,2170,1062,1108
62,1929,965,964
63,2130,1018,1112
64,1966,951,1015
65～69,8499,3897,4602
65,1767,820,947
66,1526,672,854
67,1781,875,906
68,1702,776,926
69,1723,754,969
70～74,7688,3440,4248
70,1635,746,889
71,1508,693,815
72,1514,663,851
73,1591,702,889
74,1440,636,804
75～79,5954,2594,3360
75,1310,596,714
76,1261,548,713
77,1199,506,693
78,1100,501,599
79,1084,443,641
80～84,3877,1370,2507
80,965,382,583
81,823,285,538
82,737,266,471
83,702,236,466
84,650,201,449
85～89,2059,632,1427
85,538,162,376
86,449,152,297
87,391,113,278
88,374,110,264
89,307,95,212
90～94,968,295,673
90,287,80,207
91,262,97,165
92,159,48,111
93,145,35,110
94,115,35,80
95～103,257,58,199
95,74,17,57
96,52,13,39
97,45,11,34
98,37,8,29
99,18,4,14
100,10,1,9
101,14,3,11
102,6,1,5
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年6月1日現在,,,
年  齢,計,男,女
総  数,171353,85103,86250
0～4,6861,3491,3370
0,1371,708,663
1,1362,675,687
2,1387,715,672
3,1357,691,666
4,1384,702,682
5～9,7068,3597,3471
5,1392,738,654
6,1412,702,710
7,1456,742,714
8,1410,722,688
9,1398,693,705
10～14,6614,3413,3201
10,1366,708,658
11,1392,738,654
12,1266,655,611
13,1326,658,668
14,1264,654,610
15～19,7676,3938,3738
15,1325,680,645
16,1415,740,675
17,1363,679,684
18,1698,882,816
19,1875,957,918
20～24,12633,6267,6366
20,2210,1072,1138
21,2360,1180,1180
22,2538,1249,1289
23,2742,1389,1353
24,2783,1377,1406
25～29,15559,8064,7495
25,3067,1602,1465
26,3149,1618,1531
27,3104,1608,1496
28,3092,1602,1490
29,3147,1634,1513
30～34,16342,8549,7793
30,3087,1650,1437
31,3353,1728,1625
32,3372,1755,1617
33,3339,1770,1569
34,3191,1646,1545
35～39,14674,7722,6952
35,3188,1676,1512
36,3157,1686,1471
37,2947,1542,1405
38,2713,1431,1282
39,2669,1387,1282
40～44,12380,6478,5902
40,2795,1475,1320
41,2544,1351,1193
42,2510,1283,1227
43,2344,1224,1120
44,2187,1145,1042
45～49,10014,5171,4843
45,2128,1089,1039
46,2146,1140,1006
47,1989,1015,974
48,1924,978,946
49,1827,949,878
50～54,10364,5314,5050
50,1993,989,1004
51,2011,1057,954
52,2007,1034,973
53,2064,1085,979
54,2289,1149,1140
55～59,11873,5947,5926
55,2525,1285,1240
56,2682,1343,1339
57,2770,1394,1376
58,2350,1152,1198
59,1546,773,773
60～64,10021,4877,5144
60,1854,896,958
61,2155,1067,1088
62,1935,960,975
63,2144,1017,1127
64,1933,937,996
65～69,8481,3889,4592
65,1745,801,944
66,1536,682,854
67,1780,874,906
68,1715,771,944
69,1705,761,944
70～74,7692,3446,4246
70,1661,759,902
71,1487,684,803
72,1533,675,858
73,1582,695,887
74,1429,633,796
75～79,5954,2581,3373
75,1315,589,726
76,1266,552,714
77,1191,500,691
78,1103,500,603
79,1079,440,639
80～84,3871,1372,2499
80,943,374,569
81,839,290,549
82,732,266,466
83,711,239,472
84,646,203,443
85～89,2070,638,1432
85,546,161,385
86,433,147,286
87,402,123,279
88,369,110,259
89,320,97,223
90～94,950,292,658
90,285,80,205
91,257,96,161
92,158,46,112
93,140,35,105
94,110,35,75
95～103,255,57,198
95,79,19,60
96,46,12,34
97,46,10,36
98,35,8,27
99,18,4,14
100,12,1,11
101,13,2,11
102,5,1,4
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年5月1日現在,,,
年  齢,計,男,女
総  数,171212,85015,86197
0～4,6835,3477,3358
0,1357,707,650
1,1360,674,686
2,1368,698,670
3,1359,688,671
4,1391,710,681
5～9,7066,3600,3466
5,1390,739,651
6,1410,702,708
7,1457,743,714
8,1432,727,705
9,1377,689,688
10～14,6598,3403,3195
10,1362,709,653
11,1378,726,652
12,1283,658,625
13,1307,661,646
14,1268,649,619
15～19,7702,3936,3766
15,1336,677,659
16,1430,747,683
17,1355,686,669
18,1696,876,820
19,1885,950,935
20～24,12700,6299,6401
20,2211,1082,1129
21,2347,1158,1189
22,2597,1273,1324
23,2698,1383,1315
24,2847,1403,1444
25～29,15537,8067,7470
25,3085,1626,1459
26,3120,1604,1516
27,3094,1596,1498
28,3077,1586,1491
29,3161,1655,1506
30～34,16283,8530,7753
30,3074,1636,1438
31,3364,1745,1619
32,3380,1747,1633
33,3319,1765,1554
34,3146,1637,1509
35～39,14664,7699,6965
35,3227,1693,1534
36,3116,1664,1452
37,2962,1551,1411
38,2626,1372,1254
39,2733,1419,1314
40～44,12309,6435,5874
40,2775,1460,1315
41,2508,1344,1164
42,2510,1284,1226
43,2351,1222,1129
44,2165,1125,1040
45～49,10003,5164,4839
45,2146,1119,1027
46,2137,1119,1018
47,1975,1010,965
48,1930,980,950
49,1815,936,879
50～54,10418,5374,5044
50,1987,1004,983
51,2024,1065,959
52,2011,1032,979
53,2098,1097,1001
54,2298,1176,1122
55～59,11776,5881,5895
55,2510,1257,1253
56,2677,1341,1336
57,2816,1413,1403
58,2225,1087,1138
59,1548,783,765
60～64,10057,4885,5172
60,1901,906,995
61,2130,1070,1060
62,1956,955,1001
63,2130,1017,1113
64,1940,937,1003
65～69,8469,3890,4579
65,1727,801,926
66,1545,686,859
67,1779,874,905
68,1735,770,965
69,1683,759,924
70～74,7710,3463,4247
70,1667,778,889
71,1485,672,813
72,1560,695,865
73,1574,681,893
74,1424,637,787
75～79,5937,2564,3373
75,1304,581,723
76,1270,542,728
77,1191,509,682
78,1090,497,593
79,1082,435,647
80～84,3874,1367,2507
80,925,364,561
81,844,291,553
82,748,271,477
83,700,236,464
84,657,205,452
85～89,2050,631,1419
85,530,157,373
86,442,146,296
87,414,128,286
88,362,106,256
89,302,94,208
90～94,966,294,672
90,299,86,213
91,252,90,162
92,166,46,120
93,142,37,105
94,107,35,72
95～103,257,56,201
95,77,20,57
96,47,10,37
97,49,11,38
98,33,7,26
99,21,4,17
100,11,1,10
101,13,2,11
102,5,1,4
103,1,0,1
104以上,1,0,1
不詳者,0,0,0
平成17年4月1日現在,,,
年  齢,計,男,女
総  数,170646,84747,85899
0～4,6840,3474,3366
0,1365,705,660
1,1354,680,674
2,1377,700,677
3,1331,669,662
4,1413,720,693
5～9,7037,3581,3456
5,1410,751,659
6,1407,700,707
7,1411,706,705
8,1435,737,698
9,1374,687,687
10～14,6583,3402,3181
10,1363,717,646
11,1364,717,647
12,1285,658,627
13,1306,669,637
14,1265,641,624
15～19,7435,3787,3648
15,1349,684,665
16,1426,746,680
17,1339,677,662
18,1487,750,737
19,1834,930,904
20～24,12622,6280,6342
20,2170,1052,1118
21,2332,1159,1173
22,2553,1261,1292
23,2746,1387,1359
24,2821,1421,1400
25～29,15543,8096,7447
25,3093,1651,1442
26,3117,1582,1535
27,3097,1612,1485
28,3073,1582,1491
29,3163,1669,1494
30～34,16316,8553,7763
30,3085,1618,1467
31,3400,1786,1614
32,3353,1737,1616
33,3327,1762,1565
34,3151,1650,1501
35～39,14637,7661,6976
35,3181,1655,1526
36,3134,1681,1453
37,2934,1530,1404
38,2540,1335,1205
39,2848,1460,1388
40～44,12224,6387,5837
40,2696,1440,1256
41,2530,1336,1194
42,2475,1271,1204
43,2348,1240,1108
44,2175,1100,1075
45～49,9957,5155,4802
45,2121,1126,995
46,2153,1135,1018
47,1959,985,974
48,1910,986,924
49,1814,923,891
50～54,10426,5370,5056
50,1993,1022,971
51,2023,1044,979
52,2013,1034,979
53,2083,1089,994
54,2314,1181,1133
55～59,11763,5878,5885
55,2550,1285,1265
56,2691,1338,1353
57,2789,1398,1391
58,2131,1035,1096
59,1602,822,780
60～64,10038,4869,5169
60,1944,936,1008
61,2083,1040,1043
62,1974,960,1014
63,2122,1015,1107
64,1915,918,997
65～69,8470,3896,4574
65,1708,791,917
66,1590,718,872
67,1757,860,897
68,1741,771,970
69,1674,756,918
70～74,7696,3450,4246
70,1667,772,895
71,1478,671,807
72,1573,707,866
73,1548,658,890
74,1430,642,788
75～79,5907,2558,3349
75,1302,592,710
76,1292,552,740
77,1162,498,664
78,1090,483,607
79,1061,433,628
80～84,3880,1367,2513
80,932,359,573
81,838,303,535
82,765,279,486
83,695,221,474
84,650,205,445
85～89,2048,634,1414
85,527,156,371
86,438,147,291
87,428,131,297
88,350,102,248
89,305,98,207
90～94,967,293,674
90,297,89,208
91,253,86,167
92,169,50,119
93,145,36,109
94,103,32,71
95～103,256,56,200
95,75,19,56
96,53,13,40
97,46,9,37
98,31,7,24
99,22,4,18
100,10,1,9
101,13,2,11
102,6,1,5
103,0,0,0
104以上,1,0,1
不詳者,0,0,0
平成17年3月1日現在,,,
年  齢,計,男,女
総  数,170627,84821,85806
0～4,6862,3486,3376
0,1356,700,656
1,1373,687,686
2,1400,706,694
3,1308,676,632
4,1425,717,708
5～9,7079,3584,3495
5,1431,756,675
6,1417,696,721
7,1398,718,680
8,1425,722,703
9,1408,692,716
10～14,6547,3402,3145
10,1355,732,623
11,1339,685,654
12,1275,662,613
13,1326,679,647
14,1252,644,608
15～19,7380,3757,3623
15,1324,661,663
16,1431,744,687
17,1354,687,667
18,1437,728,709
19,1834,937,897
20～24,12641,6317,6324
20,2160,1076,1084
21,2314,1158,1156
22,2586,1278,1308
23,2744,1389,1355
24,2837,1416,1421
25～29,15606,8159,7447
25,3090,1669,1421
26,3146,1603,1543
27,3092,1602,1490
28,3105,1609,1496
29,3173,1676,1497
30～34,16404,8600,7804
30,3125,1628,1497
31,3406,1798,1608
32,3362,1752,1610
33,3350,1773,1577
34,3161,1649,1512
35～39,14621,7663,6958
35,3167,1676,1491
36,3108,1657,1451
37,2985,1566,1419
38,2454,1279,1175
39,2907,1485,1422
40～44,12160,6380,5780
40,2673,1434,1239
41,2520,1329,1191
42,2479,1271,1208
43,2316,1234,1082
44,2172,1112,1060
45～49,9938,5130,4808
45,2146,1138,1008
46,2118,1106,1012
47,1952,990,962
48,1903,975,928
49,1819,921,898
50～54,10469,5402,5067
50,2012,1033,979
51,2019,1058,961
52,2008,1026,982
53,2086,1099,987
54,2344,1186,1158
55～59,11708,5847,5861
55,2536,1281,1255
56,2737,1367,1370
57,2775,1385,1390
58,2006,976,1030
59,1654,838,816
60～64,10065,4887,5178
60,1987,965,1022
61,2085,1046,1039
62,1988,957,1031
63,2105,999,1106
64,1900,920,980
65～69,8463,3896,4567
65,1697,783,914
66,1584,722,862
67,1760,862,898
68,1737,758,979
69,1685,771,914
70～74,7691,3452,4239
70,1662,760,902
71,1481,672,809
72,1603,730,873
73,1513,627,886
74,1432,663,769
75～79,5886,2531,3355
75,1283,571,712
76,1300,554,746
77,1158,501,657
78,1084,477,607
79,1061,428,633
80～84,3870,1354,2516
80,951,366,585
81,806,293,513
82,775,280,495
83,662,206,456
84,676,209,467
85～89,2036,633,1403
85,492,153,339
86,447,151,296
87,441,132,309
88,354,109,245
89,302,88,214
90～94,951,290,661
90,289,88,201
91,245,85,160
92,169,47,122
93,150,44,106
94,98,26,72
95～103,249,51,198
95,79,16,63
96,51,14,37
97,44,9,35
98,26,4,22
99,21,4,17
100,9,1,8
101,13,2,11
102,6,1,5
103,0,0,0
104以上,1,0,1
不詳者,0,0,0
平成17年2月1日現在,,,
年  齢,計,男,女
総  数,170433,84710,85723
0～4,6832,3467,3365
0,1370,701,669
1,1341,675,666
2,1392,702,690
3,1316,679,637
4,1413,710,703
5～9,7036,3561,3475
5,1420,745,675
6,1424,713,711
7,1399,710,689
8,1404,706,698
9,1389,687,702
10～14,6564,3410,3154
10,1376,729,647
11,1336,704,632
12,1284,656,628
13,1334,688,646
14,1234,633,601
15～19,7417,3778,3639
15,1324,661,663
16,1420,726,694
17,1356,696,660
18,1461,736,725
19,1856,959,897
20～24,12722,6344,6378
20,2153,1085,1068
21,2358,1156,1202
22,2568,1267,1301
23,2789,1415,1374
24,2854,1421,1433
25～29,15630,8167,7463
25,3080,1655,1425
26,3191,1633,1558
27,3054,1581,1473
28,3143,1625,1518
29,3162,1673,1489
30～34,16356,8593,7763
30,3170,1672,1498
31,3380,1790,1590
32,3354,1733,1621
33,3297,1740,1557
34,3155,1658,1497
35～39,14535,7613,6922
35,3158,1677,1481
36,3061,1623,1438
37,3004,1571,1433
38,2364,1230,1134
39,2948,1512,1436
40～44,12121,6353,5768
40,2647,1416,1231
41,2511,1320,1191
42,2489,1278,1211
43,2315,1231,1084
44,2159,1108,1051
45～49,9896,5097,4799
45,2137,1129,1008
46,2101,1105,996
47,1940,986,954
48,1915,980,935
49,1803,897,906
50～54,10504,5434,5070
50,2029,1059,970
51,1993,1043,950
52,2047,1057,990
53,2086,1092,994
54,2349,1183,1166
55～59,11645,5801,5844
55,2563,1284,1279
56,2737,1370,1367
57,2734,1367,1367
58,1930,943,987
59,1681,837,844
60～64,10106,4916,5190
60,2041,1002,1039
61,2078,1050,1028
62,2002,951,1051
63,2078,990,1088
64,1907,923,984
65～69,8460,3886,4574
65,1666,767,899
66,1594,727,867
67,1780,875,905
68,1724,745,979
69,1696,772,924
70～74,7672,3450,4222
70,1625,759,866
71,1483,667,816
72,1655,744,911
73,1489,623,866
74,1420,657,763
75～79,5855,2519,3336
