平成28年12月１日現在,,,
年齢,計,男,女
58,1969,993,976
59,1872,935,937
６０～６４,9121,4576,4545
60,1815,911,904
61,1779,881,898
62,1820,926,894
63,1871,926,945
64,1836,932,904
６５～６９,11345,5482,5863
65,2025,1042,983
66,2135,1046,1089
67,2395,1160,1235
68,2451,1155,1296
69,2339,1079,1260
７０～７４,8465,3932,4533
70,1482,717,765
71,1529,720,809
72,1857,873,984
73,1793,816,977
74,1804,806,998
７５～７９,7483,3199,4284
75,1745,771,974
76,1570,690,880
77,1348,521,827
78,1423,625,798
79,1397,592,805
８０～８４,6106,2418,3688
80,1424,559,865
81,1292,531,761
82,1182,463,719
83,1100,449,651
84,1108,416,692
８５～８９,4007,1461,2546
85,1043,389,654
86,884,343,541
87,757,274,483
88,717,242,475
89,606,213,393
９０～９４,1780,506,1274
90,525,171,354
91,436,134,302
92,345,86,259
93,267,67,200
94,207,48,159
９５～１０３,541,89,452
95,162,30,132
96,121,21,100
97,66,13,53
98,60,6,54
99,49,6,43
100,27,3,24
101,30,4,26
102,21,4,17
103,5,2,3
１０４以上,13,2,11
不詳者　　,0,0,0
平成28年10月１日現在,,,
年齢,計,男,女
総計　　　,185323,90757,94566
　０～４　,8071,4131,3940
0,1577,823,754
1,1648,832,816
2,1658,851,807
3,1609,823,786
4,1579,802,777
　５～９　,7866,4103,3763
5,1656,880,776
6,1611,793,818
7,1577,841,736
8,1531,803,728
9,1491,786,705
１０～１４,7378,3789,3589
10,1508,759,749
11,1433,756,677
12,1480,761,719
13,1421,716,705
14,1536,797,739
１５～１９,8117,4104,4013
15,1499,748,751
16,1509,773,736
17,1535,784,751
18,1745,872,873
19,1829,927,902
２０～２４,10888,5383,5505
20,1996,975,1021
21,2086,995,1091
22,2209,1102,1107
23,2263,1157,1106
24,2334,1154,1180
２５～２９,11574,5846,5728
25,2273,1121,1152
26,2321,1208,1113
27,2306,1160,1146
28,2383,1210,1173
29,2291,1147,1144
３０～３４,13250,6640,6610
30,2440,1246,1194
31,2539,1270,1269
32,2679,1323,1356
33,2842,1398,1444
34,2750,1403,1347
３５～３９,14506,7284,7222
35,2730,1393,1337
36,2912,1463,1449
37,2967,1481,1486
38,2914,1442,1472
39,2983,1505,1478
４０～４４,15794,8011,7783
40,2996,1502,1494
41,3001,1550,1451
42,3210,1610,1600
43,3300,1694,1606
44,3287,1655,1632
４５～４９,15618,7821,7797
45,3234,1593,1641
46,3168,1568,1600
47,3209,1645,1564
48,3033,1518,1515
49,2974,1497,1477
５０～５４,13058,6730,6328
50,2464,1256,1208
51,2948,1527,1421
52,2706,1438,1268
53,2517,1279,1238
54,2423,1230,1193
５５～５９,10388,5279,5109
55,2221,1151,1070
56,2178,1078,1100
57,2169,1123,1046
58,1943,979,964
59,1877,948,929
６０～６４,9131,4589,4542
60,1825,906,919
61,1776,885,891
62,1836,930,906
63,1861,925,936
64,1833,943,890
６５～６９,11356,5476,5880
65,2046,1046,1000
66,2159,1058,1101
67,2407,1153,1254
68,2476,1177,1299
69,2268,1042,1226
７０～７４,8449,3927,4522
70,1425,688,737
71,1573,746,827
72,1882,880,1002
73,1770,792,978
74,1799,821,978
７５～７９,7465,3174,4291
75,1761,775,986
76,1544,677,867
77,1335,521,814
78,1462,635,827
79,1363,566,797
８０～８４,6109,2426,3683
80,1447,572,875
81,1282,525,757
82,1167,468,699
83,1080,434,646
84,1133,427,706
８５～８９,3987,1450,2537
85,1036,377,659
86,867,346,521
87,777,278,499
88,708,241,467
89,599,208,391
９０～９４,1763,503,1260
90,517,170,347
91,438,129,309
92,345,91,254
93,258,65,193
94,205,48,157
９５～１０３,543,90,453
95,157,31,126
96,121,20,101
97,68,12,56
98,64,6,58
99,48,7,41
100,32,3,29
101,30,4,26
102,16,4,12
103,7,3,4
１０４以上,12,1,11
不詳者　　,0,0,0
平成28年９月１日現在,,,
年齢,計,男,女
総計　　　,185155,90674,94481
　０～４　,8084,4128,3956
0,1596,820,776
1,1634,826,808
2,1671,862,809
3,1584,800,784
4,1599,820,779
　５～９　,7842,4086,3756
5,1650,879,771
6,1605,781,824
7,1573,839,734
8,1528,801,727
9,1486,786,700
１０～１４,7388,3793,3595
10,1525,770,755
11,1415,742,673
12,1485,765,720
13,1438,721,717
14,1525,795,730
１５～１９,8129,4124,4005
15,1527,767,760
16,1457,751,706
17,1562,788,774
18,1735,878,857
19,1848,940,908
２０～２４,10805,5347,5458
20,1962,946,1016
21,2053,991,1062
22,2231,1130,1101
23,2226,1136,1090
24,2333,1144,1189
２５～２９,11541,5818,5723
25,2264,1121,1143
26,2295,1172,1123
27,2322,1175,1147
28,2369,1202,1167
29,2291,1148,1143
３０～３４,13326,6673,6653
30,2513,1294,1219
31,2512,1241,1271
32,2686,1346,1340
33,2849,1384,1465
34,2766,1408,1358
３５～３９,14515,7286,7229
35,2693,1379,1314
36,2943,1461,1482
37,2943,1479,1464
38,2967,1477,1490
39,2969,1490,1479
４０～４４,15805,8032,7773
40,2990,1510,1480
41,3035,1564,1471
42,3185,1589,1596
43,3301,1703,1598
44,3294,1666,1628
４５～４９,15524,7768,7756
45,3231,1568,1663
46,3163,1580,1583
47,3207,1654,1553
48,3004,1491,1513
49,2919,1475,1444
５０～５４,13089,6746,6343
50,2568,1312,1256
51,2927,1522,1405
52,2658,1398,1260
53,2526,1294,1232
54,2410,1220,1190
５５～５９,10342,5254,5088
55,2211,1143,1068
56,2174,1090,1084
57,2129,1094,1035
58,1947,991,956
59,1881,936,945
６０～６４,9123,4586,4537
60,1810,916,894
61,1781,879,902
62,1850,935,915
63,1865,929,936
64,1817,927,890
６５～６９,11385,5501,5884
65,2095,1063,1032
66,2187,1081,1106
67,2406,1136,1270
68,2491,1198,1293
69,2206,1023,1183
７０～７４,8461,3916,4545
70,1393,662,731
71,1610,770,840
72,1882,874,1008
73,1751,792,959
74,1825,818,1007
７５～７９,7449,3166,4283
75,1736,772,964
76,1524,666,858
77,1328,520,808
78,1468,641,827
79,1393,567,826
８０～８４,6083,2425,3658
80,1439,571,868
81,1266,523,743
82,1152,465,687
83,1099,435,664
84,1127,431,696
８５～８９,3964,1442,2522
85,1034,379,655
86,852,341,511
87,778,276,502
88,707,237,470
89,593,209,384
９０～９４,1762,496,1266
90,532,174,358
91,430,122,308
92,333,86,247
93,261,67,194
94,206,47,159
９５～１０３,525,86,439
95,151,29,122
96,109,19,90
97,74,12,62
98,62,6,56
99,46,6,40
100,31,4,27
101,30,3,27
102,15,4,11
103,7,3,4
１０４以上,13,1,12
不詳者　　,0,0,0
平成28年８月１日現在,,,
年齢,計,男,女
総計　　　,184965,90577,94388
　０～４　,8080,4127,3953
0,1585,803,782
1,1625,825,800
2,1671,871,800
3,1581,794,787
4,1618,834,784
　５～９　,7811,4071,3740
5,1612,856,756
6,1613,799,814
7,1584,840,744
8,1508,783,725
9,1494,793,701
１０～１４,7365,3775,3590
10,1507,762,745
11,1407,731,676
12,1488,776,712
13,1431,718,713
14,1532,788,744
１５～１９,8138,4132,4006
15,1527,770,757
16,1475,770,705
17,1570,774,796
18,1712,875,837
19,1854,943,911
２０～２４,10758,5304,5454
20,1944,930,1014
21,2057,994,1063
22,2258,1141,1117
23,2216,1127,1089
24,2283,1112,1171
２５～２９,11582,5873,5709
25,2315,1152,1163
26,2289,1181,1108
27,2346,1191,1155
28,2342,1194,1148
29,2290,1155,1135
３０～３４,13355,6674,6681
30,2527,1292,1235
31,2519,1229,1290
32,2716,1372,1344
33,2824,1375,1449
34,2769,1406,1363
３５～３９,14498,7284,7214
35,2658,1362,1296
36,2967,1486,1481
37,2927,1464,1463
38,2983,1479,1504
39,2963,1493,1470
４０～４４,15810,8026,7784
40,2959,1503,1456
41,3084,1579,1505
42,3209,1611,1598
43,3278,1686,1592
44,3280,1647,1633
４５～４９,15468,7743,7725
45,3220,1567,1653
46,3162,1598,1564
47,3208,1656,1552
48,3006,1487,1519
49,2872,1435,1437
５０～５４,13062,6728,6334
50,2621,1360,1261
51,2897,1502,1395
52,2624,1365,1259
53,2536,1299,1237
54,2384,1202,1182
５５～５９,10337,5258,5079
55,2182,1132,1050
56,2213,1110,1103
57,2100,1083,1017
58,1965,1000,965
59,1877,933,944
６０～６４,9118,4588,4530
60,1760,892,868
61,1815,889,926
62,1850,937,913
63,1880,942,938
64,1813,928,885
６５～６９,11400,5497,5903
65,2124,1060,1064
66,2202,1101,1101
67,2415,1137,1278
68,2488,1199,1289
69,2171,1000,1171
７０～７４,8446,3911,4535
70,1384,665,719
71,1609,758,851
72,1900,888,1012
73,1726,796,930
74,1827,804,1023
７５～７９,7442,3167,4275
75,1736,771,965
76,1508,649,859
77,1312,515,797
78,1482,654,828
79,1404,578,826
８０～８４,6062,2414,3648
80,1415,560,855
81,1285,524,761
82,1154,469,685
83,1077,423,654
84,1131,438,693
８５～８９,3956,1437,2519
85,1015,365,650
86,854,340,514
87,774,276,498
88,718,244,474
89,595,212,383
９０～９４,1747,484,1263
90,527,172,355
91,420,116,304
92,333,81,252
93,256,67,189
94,211,48,163
９５～１０３,516,83,433
95,148,28,120
96,104,17,87
97,75,11,64
98,62,9,53
99,43,4,39
100,33,5,28
101,28,2,26
102,17,5,12
103,6,2,4
１０４以上,14,1,13
不詳者　　,0,0,0
平成28年７月１日現在,,,
年齢,計,男,女
総計　　　,184841,90531,94310
　０～４　,8075,4123,3952
0,1563,786,777
1,1652,842,810
2,1663,868,795
3,1565,796,769
4,1632,831,801
　５～９　,7792,4056,3736
5,1601,849,752
6,1606,797,809
7,1589,842,747
8,1513,797,716
9,1483,771,712
１０～１４,7357,3771,3586
10,1486,754,732
11,1406,731,675
12,1498,781,717
13,1450,735,715
14,1517,770,747
１５～１９,8166,4158,4008
15,1528,775,753
16,1473,771,702
17,1564,769,795
18,1725,870,855
19,1876,973,903
２０～２４,10824,5321,5503
20,1971,938,1033
21,2058,1004,1054
22,2261,1122,1139
23,2240,1146,1094
24,2294,1111,1183
２５～２９,11595,5890,5705
25,2284,1154,1130
26,2262,1156,1106
27,2411,1227,1184
28,2304,1183,1121
29,2334,1170,1164
３０～３４,13331,6662,6669
30,2525,1282,1243
31,2509,1229,1280
32,2729,1385,1344
33,2797,1362,1435
34,2771,1404,1367
３５～３９,14484,7279,7205
35,2634,1352,1282
36,2976,1481,1495
37,2936,1479,1457
38,2976,1480,1496
39,2962,1487,1475
４０～４４,15852,8030,7822
40,2985,1520,1465
41,3083,1581,1502
42,3242,1625,1617
43,3293,1669,1624
44,3249,1635,1614
４５～４９,15360,7712,7648
45,3219,1587,1632
46,3180,1624,1556
47,3155,1618,1537
48,3000,1491,1509
49,2806,1392,1414
５０～５４,13043,6733,6310
50,2679,1403,1276
51,2870,1474,1396
52,2597,1363,1234
53,2532,1285,1247
54,2365,1208,1157
５５～５９,10305,5220,5085
55,2176,1111,1065
56,2194,1092,1102
57,2121,1101,1020
58,1930,977,953
59,1884,939,945
６０～６４,9148,4610,4538
60,1750,885,865
61,1820,898,922
62,1863,948,915
63,1856,926,930
64,1859,953,906
６５～６９,11346,5468,5878
65,2125,1062,1063
66,2227,1105,1122
67,2413,1123,1290
68,2463,1207,1256
69,2118,971,1147
７０～７４,8476,3918,4558
70,1393,669,724
71,1619,762,857
72,1915,882,1033
73,1704,796,908
74,1845,809,1036
７５～７９,7433,3173,4260
75,1716,772,944
76,1501,637,864
77,1291,502,789
78,1516,677,839
79,1409,585,824
８０～８４,6049,2402,3647
80,1394,557,837
81,1286,522,764
82,1137,457,680
83,1084,423,661
84,1148,443,705
８５～８９,3941,1443,2498
85,1002,372,630
86,858,340,518
87,777,275,502
88,707,241,466
89,597,215,382
９０～９４,1729,478,1251
90,534,172,362
91,417,116,301
92,325,79,246
93,253,64,189
94,200,47,153
９５～１０３,522,84,438
95,154,27,127
96,101,17,84
97,77,11,66
98,60,9,51
99,49,6,43
100,29,4,25
101,28,2,26
102,18,6,12
103,6,2,4
１０４以上,13,0,13
不詳者　　,0,0,0
平成28年６月１日現在,,,
年齢,計,男,女
総計　　　,184789,90529,94260
　０～４　,8059,4117,3942
0,1558,785,773
1,1690,861,829
2,1634,861,773
3,1543,775,768
4,1634,835,799
　５～９　,7744,4034,3710
5,1595,840,755
6,1602,797,805
7,1557,825,732
8,1528,809,719
9,1462,763,699
１０～１４,7351,3764,3587
10,1498,761,737
11,1417,733,684
12,1485,773,712
13,1474,752,722
14,1477,745,732
１５～１９,8212,4193,4019
15,1543,790,753
16,1498,781,717
17,1546,755,791
18,1741,880,861
19,1884,987,897
２０～２４,10890,5330,5560
20,2003,953,1050
21,2075,1014,1061
22,2272,1123,1149
23,2248,1131,1117
24,2292,1109,1183
２５～２９,11643,5935,5708
25,2302,1169,1133
26,2265,1158,1107
27,2419,1236,1183
28,2267,1176,1091
29,2390,1196,1194
３０～３４,13344,6675,6669
30,2524,1272,1252
31,2515,1230,1285
32,2750,1391,1359
33,2800,1383,1417
34,2755,1399,1356
３５～３９,14505,7293,7212
35,2657,1352,1305
36,2972,1489,1483
37,2953,1469,1484
38,2968,1495,1473
39,2955,1488,1467
４０～４４,15872,8028,7844
40,2986,1503,1483
41,3073,1589,1484
42,3254,1622,1632
43,3309,1678,1631
44,3250,1636,1614
４５～４９,15273,7664,7609
45,3203,1580,1623
46,3172,1626,1546
47,3138,1605,1533
48,2999,1483,1516
49,2761,1370,1391
５０～５４,13027,6737,6290
50,2693,1404,1289
51,2871,1508,1363
52,2572,1345,1227
53,2554,1294,1260
54,2337,1186,1151
５５～５９,10243,5181,5062
55,2145,1093,1052
56,2207,1089,1118
57,2082,1087,995
58,1934,974,960
59,1875,938,937
６０～６４,9182,4646,4536
60,1728,881,847
61,1847,912,935
62,1859,942,917
63,1853,936,917
64,1895,975,920
６５～６９,11325,5457,5868
65,2111,1034,1077
66,2271,1135,1136
67,2412,1131,1281
68,2469,1201,1268
69,2062,956,1106
７０～７４,8486,3906,4580
70,1368,649,719
71,1655,784,871
72,1897,877,1020
73,1707,787,920
74,1859,809,1050
７５～７９,7420,3164,4256
75,1688,766,922
76,1485,624,861
77,1300,512,788
78,1524,678,846
79,1423,584,839
８０～８４,6036,2413,3623
80,1371,562,809
81,1310,523,787
82,1110,455,655
83,1100,430,670
84,1145,443,702
８５～８９,3918,1427,2491
85,993,373,620
86,867,334,533
87,759,270,489
88,712,237,475
89,587,213,374
９０～９４,1723,480,1243
90,538,178,360
91,394,109,285
92,338,81,257
93,250,65,185
94,203,47,156
９５～１０３,524,85,439
95,153,27,126
96,104,19,85
97,74,9,65
98,60,9,51
99,51,7,44
100,27,4,23
101,28,2,26
102,19,6,13
103,8,2,6
１０４以上,12,0,12
不詳者　　,0,0,0
平成28年５月１日現在,,,
年齢,計,男,女
総計　　　,184675,90492,94183
　０～４　,8052,4127,3925
0,1570,791,779
1,1672,846,826
2,1638,866,772
3,1552,784,768
4,1620,840,780
　５～９　,7755,4023,3732
5,1581,817,764
6,1597,799,798
7,1577,836,741
8,1522,803,719
9,1478,768,710
１０～１４,7332,3746,3586
10,1465,745,720
11,1437,752,685
12,1461,754,707
13,1479,756,723
14,1490,739,751
１５～１９,8237,4218,4019
15,1540,800,740
16,1491,778,713
17,1542,750,792
18,1758,893,865
19,1906,997,909
２０～２４,10916,5363,5553
20,2018,964,1054
21,2066,1019,1047
22,2259,1109,1150
23,2271,1150,1121
24,2302,1121,1181
２５～２９,11618,5905,5713
25,2279,1160,1119
26,2255,1147,1108
27,2442,1242,1200
28,2273,1173,1100
29,2369,1183,1186
３０～３４,13341,6657,6684
30,2526,1263,1263
31,2507,1226,1281
32,2770,1401,1369
33,2818,1396,1422
34,2720,1371,1349
３５～３９,14575,7349,7226
35,2704,1379,1325
36,2998,1499,1499
37,2924,1464,1460
38,2992,1514,1478
39,2957,1493,1464
４０～４４,15852,8018,7834
40,2965,1501,1464
41,3071,1574,1497
42,3281,1655,1626
43,3298,1654,1644
44,3237,1634,1603
４５～４９,15154,7601,7553
45,3182,1570,1612
46,3198,1639,1559
47,3107,1595,1512
48,3022,1490,1532
49,2645,1307,1338
５０～５４,13055,6760,6295
50,2772,1446,1326
51,2855,1495,1360
52,2544,1349,1195
53,2535,1277,1258
54,2349,1193,1156
５５～５９,10211,5157,5054
55,2149,1074,1075
56,2191,1108,1083
57,2080,1064,1016
58,1926,981,945
59,1865,930,935
６０～６４,9203,4663,4540
60,1724,875,849
61,1848,927,921
62,1872,953,919
63,1829,919,910
64,1930,989,941
６５～６９,11249,5413,5836
65,2114,1057,1057
66,2277,1113,1164
67,2391,1120,1271
68,2525,1221,1304
69,1942,902,1040
７０～７４,8514,3927,4587
70,1384,663,721
71,1688,787,901
72,1872,880,992
73,1726,786,940
74,1844,811,1033
７５～７９,7413,3156,4257
75,1692,767,925
76,1464,617,847
77,1307,520,787
78,1514,665,849
79,1436,587,849
８０～８４,6044,2428,3616
80,1363,566,797
81,1301,531,770
82,1121,454,667
83,1118,444,674
84,1141,433,708
８５～８９,3898,1427,2471
85,978,376,602
86,860,326,534
87,758,269,489
88,717,244,473
89,585,212,373
９０～９４,1710,471,1239
90,530,175,355
91,390,105,285
92,332,77,255
93,261,65,196
94,197,49,148
９５～１０３,534,83,451
95,154,26,128
96,100,16,84
97,76,10,66
98,63,9,54
99,53,7,46
100,29,4,25
101,30,3,27
102,18,6,12
103,11,2,9
１０４以上,12,0,12
不詳者　　,0,0,0
平成28年４月１日現在,,,
年齢,計,男,女
総計　　　,183951,90108,93843
　０～４　,7982,4088,3894
0,1543,767,776
1,1667,845,822
2,1620,845,775
3,1532,774,758
4,1620,857,763
　５～９　,7695,3988,3707
5,1552,795,757
6,1617,828,789
7,1550,811,739
8,1524,814,710
9,1452,740,712
１０～１４,7299,3739,3560
10,1448,741,707
11,1448,751,697
12,1446,755,691
13,1500,770,730
14,1457,722,735
１５～１９,8140,4164,3976
15,1563,810,753
16,1504,787,717
17,1547,758,789
18,1657,833,824
19,1869,976,893
２０～２４,10748,5289,5459
20,1972,946,1026
21,2049,1015,1034
22,2240,1102,1138
23,2247,1140,1107
24,2240,1086,1154
２５～２９,11648,5898,5750
25,2283,1158,1125
26,2284,1156,1128
27,2422,1227,1195
28,2271,1173,1098
29,2388,1184,1204
３０～３４,13285,6641,6644
30,2483,1243,1240
31,2507,1231,1276
32,2817,1425,1392
33,2766,1371,1395
34,2712,1371,1341
３５～３９,14518,7317,7201
35,2717,1372,1345
36,2993,1508,1485
37,2881,1439,1442
38,2999,1518,1481
39,2928,1480,1448
４０～４４,15830,8000,7830
40,2987,1510,1477
41,3036,1545,1491
42,3331,1701,1630
43,3250,1633,1617
44,3226,1611,1615
４５～４９,15045,7548,7497
45,3192,1575,1617
46,3184,1614,1570
47,3110,1612,1498
48,3005,1471,1534
49,2554,1276,1278
５０～５４,13066,6763,6303
50,2879,1477,1402
51,2785,1474,1311
52,2549,1345,1204
53,2524,1267,1257
54,2329,1200,1129
５５～５９,10141,5120,5021
55,2142,1055,1087
56,2181,1112,1069
57,2066,1063,1003
58,1928,968,960
59,1824,922,902
６０～６４,9226,4679,4547
60,1748,875,873
61,1832,937,895
62,1892,948,944
63,1833,917,916
64,1921,1002,919
６５～６９,11222,5384,5838
65,2124,1050,1074
66,2325,1142,1183
67,2395,1115,1280
68,2501,1206,1295
69,1877,871,1006
７０～７４,8553,3950,4603
70,1418,693,725
71,1702,794,908
72,1858,870,988
73,1727,782,945
74,1848,811,1037
７５～７９,7381,3143,4238
75,1664,752,912
76,1465,620,845
77,1329,527,802
78,1481,652,829
79,1442,592,850
８０～８４,6029,2416,3613
80,1356,559,797
81,1294,524,770
82,1112,457,655
83,1130,449,681
84,1137,427,710
８５～８９,3896,1424,2472
85,972,372,600
86,859,332,527
87,775,277,498
88,691,236,455
89,599,207,392
９０～９４,1701,472,1229
90,515,175,340
91,401,105,296
92,324,79,245
93,265,68,197
94,196,45,151
９５～１０３,536,85,451
95,154,25,129
96,95,16,79
97,81,11,70
98,64,11,53
99,50,7,43
100,32,5,27
101,29,3,26
102,17,5,12
103,14,2,12
１０４以上,10,0,10
不詳者　　,0,0,0
平成28年３月１日現在,,,
年齢,計,男,女
総計　　　,182950,89629,93321
　０～４　,7914,4060,3854
0,1560,778,782
1,1598,819,779
2,1613,832,781
3,1525,779,746
4,1618,852,766
　５～９　,7582,3912,3670
5,1545,776,769
6,1567,808,759
7,1522,801,721
8,1518,808,710
9,1430,719,711
１０～１４,7251,3727,3524
10,1450,742,708
11,1451,749,702
12,1411,749,662
13,1514,772,742
14,1425,715,710
１５～１９,7996,4085,3911
15,1565,802,763
16,1526,802,724
17,1545,755,790
18,1553,796,757
19,1807,930,877
２０～２４,10436,5149,5287
20,1898,912,986
21,2028,1041,987
22,2081,1005,1076
23,2234,1125,1109
24,2195,1066,1129
２５～２９,11615,5871,5744
25,2218,1123,1095
26,2326,1167,1159
27,2384,1210,1174
28,2314,1183,1131
29,2373,1188,1185
３０～３４,13242,6617,6625
30,2454,1235,1219
31,2552,1250,1302
32,2805,1415,1390
33,2761,1386,1375
34,2670,1331,1339
３５～３９,14473,7299,7174
35,2735,1386,1349
36,2936,1489,1447
37,2904,1449,1455
38,2995,1524,1471
39,2903,1451,1452
４０～４４,15831,8032,7799
40,2985,1523,1462
41,3022,1529,1493
42,3324,1699,1625
43,3251,1645,1606
44,3249,1636,1613
４５～４９,14914,7473,7441
45,3177,1561,1616
46,3165,1617,1548
47,3071,1584,1487
48,3057,1508,1549
49,2444,1203,1241
５０～５４,13066,6775,6291
50,2959,1525,1434
51,2753,1463,1290
52,2537,1323,1214
53,2524,1275,1249
54,2293,1189,1104
５５～５９,10132,5096,5036
55,2157,1058,1099
56,2173,1108,1065
57,2032,1039,993
58,1930,963,967
59,1840,928,912
６０～６４,9250,4697,4553
60,1747,869,878
61,1840,940,900
62,1889,960,929
63,1827,913,914
64,1947,1015,932
６５～６９,11155,5348,5807
65,2124,1049,1075
66,2312,1129,1183
67,2461,1155,1306
68,2472,1187,1285
69,1786,828,958
７０～７４,8619,3975,4644
70,1430,696,734
71,1761,827,934
72,1842,862,980
73,1740,778,962
74,1846,812,1034
７５～７９,7367,3131,4236
75,1648,743,905
76,1441,605,836
77,1346,545,801
78,1489,656,833
79,1443,582,861
８０～８４,6016,2411,3605
80,1343,565,778
81,1295,516,779
82,1119,464,655
83,1163,467,696
84,1096,399,697
８５～８９,3870,1422,2448
85,974,384,590
86,849,324,525
87,788,276,512
88,685,240,445
89,574,198,376
９０～９４,1677,462,1215
90,510,172,338
91,407,104,303
92,311,78,233
93,254,66,188
94,195,42,153
９５～１０３,535,87,448
95,164,26,138
96,81,14,67
97,83,12,71
98,65,13,52
99,48,7,41
100,35,6,29
101,32,3,29
102,10,4,6
103,17,2,15
１０４以上,9,0,9
不詳者　　,0,0,0
平成28年２月１日現在,,,
年齢,計,男,女
総計　　　,182896,89619,93277
　０～４　,7903,4061,3842
0,1557,784,773
1,1595,817,778
2,1577,811,766
3,1545,787,758
4,1629,862,767
　５～９　,7562,3893,3669
5,1534,768,766
6,1582,820,762
7,1518,806,712
8,1492,780,712
9,1436,719,717
１０～１４,7276,3745,3531
10,1471,766,705
11,1452,749,703
12,1391,729,662
13,1510,781,729
14,1452,720,732
１５～１９,7975,4074,3901
15,1556,798,758
16,1520,795,725
17,1547,770,777
18,1570,803,767
19,1782,908,874
２０～２４,10475,5180,5295
20,1911,927,984
21,2044,1048,996
22,2067,1011,1056
23,2283,1128,1155
