平成24年12月１日現在,,,
年齢,計,男,女
35,2912,1503,1409
36,2926,1466,1460
37,2956,1530,1426
38,3196,1587,1609
39,3290,1703,1587
４０～４４,15860,8037,7823
40,3329,1689,1640
41,3179,1560,1619
42,3149,1604,1545
43,3206,1670,1536
44,2997,1514,1483
４５～４９,13707,7092,6615
45,2943,1511,1432
46,2608,1321,1287
47,2969,1563,1406
48,2667,1406,1261
49,2520,1291,1229
５０～５４,11036,5671,5365
50,2402,1212,1190
51,2268,1191,1077
52,2212,1130,1082
53,2169,1119,1050
54,1985,1019,966
５５～５９,9510,4837,4673
55,1933,967,966
56,1858,948,910
57,1862,941,921
58,1924,990,934
59,1933,991,942
６０～６４,11536,5775,5761
60,1905,1003,902
61,2172,1112,1060
62,2301,1149,1152
63,2531,1222,1309
64,2627,1289,1338
６５～６９,9288,4451,4837
65,2315,1107,1208
66,1464,704,760
67,1681,815,866
68,1979,955,1024
69,1849,870,979
７０～７４,8429,3799,4630
70,1941,890,1051
71,1830,844,986
72,1626,743,883
73,1444,606,838
74,1588,716,872
７５～７９,7167,3043,4124
75,1515,650,865
76,1597,653,944
77,1425,622,803
78,1330,576,754
79,1300,542,758
８０～８４,5550,2217,3333
80,1309,536,773
81,1244,487,757
82,1074,453,621
83,984,391,593
84,939,350,589
８５～８９,3188,1082,2106
85,811,319,492
86,743,266,477
87,662,222,440
88,523,145,378
89,449,130,319
９０～９４,1313,313,1000
90,397,110,287
91,307,72,235
92,253,52,201
93,192,46,146
94,164,33,131
９５～１０３,487,98,389
95,140,26,114
96,101,17,84
97,87,17,70
98,61,17,44
99,32,10,22
100,31,5,26
101,24,5,19
102,8,1,7
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年８月１日現在,,,
年齢,計,男,女
総計　　　,180107,88540,91567
　０～４　,7407,3805,3602
0,1440,742,698
1,1564,827,737
2,1504,740,764
3,1464,773,691
4,1435,723,712
　５～９　,7123,3644,3479
5,1428,742,686
6,1469,736,733
7,1405,725,680
8,1422,728,694
9,1399,713,686
１０～１４,7415,3768,3647
10,1450,745,705
11,1454,733,721
12,1460,754,706
13,1524,753,771
14,1527,783,744
１５～１９,7942,4014,3928
15,1490,759,731
16,1456,720,736
17,1468,729,739
18,1738,892,846
19,1790,914,876
２０～２４,10450,5130,5320
20,1951,977,974
21,1899,913,986
22,2039,1003,1036
23,2234,1084,1150
24,2327,1153,1174
２５～２９,13319,6738,6581
25,2432,1243,1189
26,2549,1275,1274
27,2681,1340,1341
28,2832,1453,1379
29,2825,1427,1398
３０～３４,14205,7295,6910
30,2793,1474,1319
31,2717,1385,1332
32,2920,1501,1419
33,2856,1453,1403
34,2919,1482,1437
３５～３９,15342,7814,7528
35,2940,1527,1413
36,2883,1444,1439
37,2986,1538,1448
38,3235,1612,1623
39,3298,1693,1605
４０～４４,15838,8035,7803
40,3311,1678,1633
41,3143,1541,1602
42,3175,1634,1541
43,3211,1673,1538
44,2998,1509,1489
４５～４９,13648,7057,6591
45,2888,1476,1412
46,2663,1373,1290
47,2935,1533,1402
48,2622,1365,1257
49,2540,1310,1230
５０～５４,11013,5659,5354
50,2403,1212,1191
51,2219,1164,1055
52,2252,1154,1098
53,2134,1106,1028
54,2005,1023,982
５５～５９,9517,4846,4671
55,1927,962,965
56,1816,934,882
57,1903,955,948
58,1907,988,919
59,1964,1007,957
６０～６４,11560,5785,5775
60,1888,992,896
61,2222,1124,1098
62,2300,1156,1144
63,2537,1221,1316
64,2613,1292,1321
６５～６９,9240,4438,4802
65,2279,1077,1202
66,1460,714,746
67,1677,802,875
68,2012,972,1040
69,1812,873,939
７０～７４,8405,3774,4631
70,1939,874,1065
71,1824,843,981
72,1616,729,887
73,1424,596,828
74,1602,732,870
７５～７９,7162,3036,4126
75,1519,654,865
76,1586,646,940
77,1437,627,810
78,1337,576,761
79,1283,533,750
８０～８４,5550,2220,3330
80,1323,549,774
81,1221,467,754
82,1064,455,609
83,992,393,599
84,950,356,594
８５～８９,3160,1067,2093
85,805,323,482
86,741,264,477
87,642,210,432
88,520,139,381
89,452,131,321
９０～９４,1311,312,999
90,396,108,288
91,305,71,234
92,253,51,202
93,199,49,150
94,158,33,125
９５～１０３,489,103,386
95,138,29,109
96,104,18,86
97,86,18,68
98,65,18,47
99,32,9,23
100,32,5,27
101,22,5,17
102,7,1,6
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年７月１日現在,,,
年齢,計,男,女
総計　　　,177326,87192,90134
　０～４　,7371,3785,3586
0,1445,734,711
1,1546,811,735
2,1499,743,756
3,1450,762,688
4,1431,735,696
　５～９　,7071,3620,3451
5,1414,728,686
6,1440,721,719
7,1398,721,677
8,1423,730,693
9,1396,720,676
１０～１４,7341,3716,3625
10,1431,726,705
11,1446,731,715
12,1450,753,697
13,1506,741,765
14,1508,765,743
１５～１９,7852,3986,3866
15,1481,760,721
16,1471,726,745
17,1432,719,713
18,1729,880,849
19,1739,901,838
２０～２４,10027,4930,5097
20,1843,916,927
21,1809,882,927
22,1957,945,1012
23,2188,1067,1121
24,2230,1120,1110
２５～２９,12978,6576,6402
25,2359,1200,1159
26,2508,1275,1233
27,2645,1304,1341
28,2736,1411,1325
29,2730,1386,1344
３０～３４,13876,7125,6751
30,2710,1428,1282
31,2658,1352,1306
32,2849,1475,1374
33,2796,1418,1378
34,2863,1452,1411
３５～３９,15128,7712,7416
35,2875,1493,1382
36,2855,1440,1415
37,2937,1511,1426
38,3196,1601,1595
39,3265,1667,1598
４０～４４,15519,7909,7610
40,3219,1633,1586
41,3100,1541,1559
42,3158,1642,1516
43,3114,1616,1498
44,2928,1477,1451
４５～４９,13355,6907,6448
45,2785,1426,1359
46,2676,1388,1288
47,2859,1482,1377
48,2550,1348,1202
49,2485,1263,1222
５０～５４,10784,5541,5243
50,2344,1195,1149
51,2187,1133,1054
52,2194,1116,1078
53,2131,1113,1018
54,1928,984,944
５５～５９,9386,4790,4596
55,1922,969,953
56,1757,899,858
57,1893,956,937
58,1898,991,907
59,1916,975,941
６０～６４,11541,5774,5767
60,1926,1011,915
61,2203,1118,1085
62,2325,1163,1162
63,2509,1195,1314
64,2578,1287,1291
６５～６９,9142,4383,4759
65,2208,1041,1167
66,1450,706,744
67,1676,807,869
68,2025,961,1064
69,1783,868,915
７０～７４,8361,3742,4619
70,1963,882,1081
71,1785,831,954
72,1609,716,893
73,1383,568,815
74,1621,745,876
７５～７９,7117,3012,4105
75,1526,656,870
76,1550,633,917
77,1435,624,811
78,1308,564,744
79,1298,535,763
８０～８４,5525,2217,3308
80,1333,551,782
81,1202,471,731
82,1061,454,607
83,1000,393,607
84,929,348,581
８５～８９,3149,1059,2090
85,807,326,481
86,743,260,483
87,634,207,427
88,521,138,383
89,444,128,316
９０～９４,1301,305,996
90,385,105,280
91,314,70,244
92,251,49,202
93,189,47,142
94,162,34,128
９５～１０３,491,103,388
95,136,28,108
96,105,19,86
97,86,17,69
98,67,21,46
99,36,9,27
100,31,4,27
101,20,4,16
102,7,1,6
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年６月１日現在,,,
年齢,計,男,女
総計　　　,177280,87185,90095
　０～４　,7354,3774,3580
0,1452,734,718
1,1532,806,726
2,1511,742,769
3,1412,738,674
4,1447,754,693
　５～９　,7076,3624,3452
5,1390,714,676
6,1459,732,727
7,1414,721,693
8,1403,726,677
9,1410,731,679
１０～１４,7326,3704,3622
10,1406,705,701
11,1455,739,716
12,1476,768,708
13,1485,723,762
14,1504,769,735
１５～１９,7865,3999,3866
15,1496,777,719
16,1476,727,749
17,1433,729,704
18,1739,879,860
19,1721,887,834
２０～２４,10041,4925,5116
20,1849,914,935
21,1826,886,940
22,1943,939,1004
23,2201,1068,1133
24,2222,1118,1104
２５～２９,13035,6621,6414
25,2414,1229,1185
26,2493,1263,1230
27,2669,1304,1365
28,2708,1403,1305
29,2751,1422,1329
３０～３４,13880,7123,6757
30,2687,1412,1275
31,2677,1354,1323
32,2834,1473,1361
33,2823,1421,1402
34,2859,1463,1396
３５～３９,15184,7737,7447
35,2864,1490,1374
36,2867,1428,1439
37,2948,1537,1411
38,3211,1603,1608
39,3294,1679,1615
４０～４４,15473,7891,7582
40,3192,1615,1577
41,3091,1544,1547
42,3162,1651,1511
43,3076,1591,1485
44,2952,1490,1462
４５～４９,13322,6906,6416
45,2744,1404,1340
46,2680,1384,1296
47,2862,1511,1351
48,2525,1334,1191
49,2511,1273,1238
５０～５４,10713,5497,5216
50,2321,1180,1141
51,2165,1119,1046
52,2203,1111,1092
53,2108,1114,994
54,1916,973,943
５５～５９,9386,4806,4580
55,1913,965,948
56,1737,901,836
57,1924,972,952
58,1895,985,910
59,1917,983,934
６０～６４,11624,5799,5825
60,1969,1033,936
61,2183,1088,1095
62,2372,1189,1183
63,2521,1216,1305
64,2579,1273,1306
６５～６９,9078,4353,4725
65,2158,1026,1132
66,1424,691,733
67,1707,822,885
68,2010,960,1050
69,1779,854,925
７０～７４,8343,3732,4611
70,1978,882,1096
71,1759,828,931
72,1586,695,891
73,1386,574,812
74,1634,753,881
７５～７９,7119,3017,4102
75,1536,651,885
76,1524,639,885
77,1462,630,832
78,1283,557,726
79,1314,540,774
８０～８４,5500,2202,3298
80,1331,557,774
81,1193,466,727
82,1059,448,611
83,988,387,601
84,929,344,585
８５～８９,3158,1070,2088
85,806,324,482
86,753,267,486
87,618,202,416
88,541,146,395
89,440,131,309
９０～９４,1304,301,1003
90,386,102,284
91,313,70,243
92,260,50,210
93,178,43,135
94,167,36,131
９５～１０３,488,104,384
95,136,30,106
96,104,18,86
97,89,18,71
98,63,21,42
99,36,8,28
100,34,5,29
101,16,3,13
102,7,1,6
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年５月１日現在,,,
年齢,計,男,女
総計　　　,177156,87106,90050
　０～４　,7325,3762,3563
0,1446,750,696
1,1521,785,736
2,1500,741,759
3,1431,752,679
4,1427,734,693
　５～９　,7069,3627,3442
5,1416,725,691
6,1430,725,705
7,1426,730,696
8,1390,721,669
9,1407,726,681
１０～１４,7334,3705,3629
10,1428,708,720
11,1453,746,707
12,1470,762,708
13,1482,721,761
14,1501,768,733
１５～１９,7882,4003,3879
15,1512,784,728
16,1466,722,744
17,1422,729,693
18,1733,861,872
19,1749,907,842
２０～２４,10079,4938,5141
20,1834,910,924
21,1830,879,951
22,1956,942,1014
23,2213,1075,1138
24,2246,1132,1114
２５～２９,13057,6653,6404
25,2403,1228,1175
26,2493,1254,1239
27,2685,1320,1365
28,2704,1395,1309
29,2772,1456,1316
３０～３４,13868,7106,6762
30,2652,1379,1273
31,2701,1385,1316
32,2828,1459,1369
33,2796,1408,1388
34,2891,1475,1416
３５～３９,15208,7725,7483
35,2876,1486,1390
36,2851,1427,1424
37,2953,1536,1417
38,3234,1630,1604
39,3294,1646,1648
４０～４４,15448,7898,7550
40,3166,1617,1549
41,3089,1541,1548
42,3173,1654,1519
43,3045,1579,1466
44,2975,1507,1468
４５～４９,13204,6843,6361
45,2624,1331,1293
46,2753,1430,1323
47,2845,1496,1349
48,2485,1325,1160
49,2497,1261,1236
５０～５４,10696,5480,5216
50,2349,1194,1155
51,2149,1086,1063
52,2202,1139,1063
53,2093,1084,1009
54,1903,977,926
５５～５９,9387,4805,4582
55,1908,954,954
56,1737,898,839
57,1920,981,939
58,1914,997,917
59,1908,975,933
６０～６４,11717,5834,5883
60,2006,1048,958
61,2197,1115,1082
62,2369,1163,1206
63,2518,1217,1301
64,2627,1291,1336
６５～６９,9013,4320,4693
65,2044,967,1077
66,1438,705,733
67,1752,837,915
68,1982,964,1018
69,1797,847,950
７０～７４,8314,3727,4587
70,1954,878,1076
71,1772,836,936
72,1566,687,879
73,1393,580,813
74,1629,746,883
７５～７９,7128,3027,4101
75,1548,648,900
76,1508,640,868
77,1454,637,817
78,1286,552,734
79,1332,550,782
８０～８４,5471,2183,3288
80,1326,544,782
81,1177,470,707
82,1046,438,608
83,1004,384,620
84,918,347,571
８５～８９,3150,1063,2087
85,795,321,474
86,755,270,485
87,606,192,414
88,534,144,390
89,460,136,324
９０～９４,1303,301,1002
90,373,105,268
91,324,72,252
92,251,47,204
93,184,43,141
94,171,34,137
９５～１０３,492,106,386
95,139,31,108
96,101,19,82
97,94,19,75
98,61,20,41
99,40,8,32
100,34,6,28
101,15,2,13
102,5,1,4
103,3,0,3
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年４月１日現在,,,
年齢,計,男,女
総計　　　,176760,86916,89844
　０～４　,7330,3777,3553
0,1446,758,688
1,1515,767,748
2,1512,761,751
3,1423,739,684
4,1434,752,682
　５～９　,7048,3607,3441
5,1390,697,693
6,1421,721,700
7,1420,719,701
8,1383,727,656
9,1434,743,691
１０～１４,7315,3679,3636
10,1387,683,704
11,1495,764,731
12,1474,765,709
13,1488,724,764
14,1471,743,728
１５～１９,7597,3871,3726
15,1511,787,724
16,1455,713,742
17,1422,735,687
18,1509,772,737
19,1700,864,836
２０～２４,10045,4949,5096
20,1814,912,902
21,1820,878,942
22,1980,945,1035
23,2210,1090,1120
24,2221,1124,1097
２５～２９,13129,6702,6427
25,2423,1218,1205
26,2511,1271,1240
27,2708,1344,1364
28,2724,1409,1315
29,2763,1460,1303
３０～３４,13918,7108,6810
30,2661,1366,1295
31,2698,1386,1312
32,2854,1470,1384
33,2796,1406,1390
34,2909,1480,1429
３５～３９,15197,7738,7459
35,2846,1466,1380
36,2875,1446,1429
37,2941,1513,1428
38,3264,1666,1598
39,3271,1647,1624
４０～４４,15468,7891,7577
40,3174,1610,1564
41,3141,1568,1573
42,3157,1635,1522
43,3033,1591,1442
44,2963,1487,1476
４５～４９,13132,6789,6343
45,2533,1291,1242
46,2868,1476,1392
47,2771,1476,1295
48,2492,1311,1181
49,2468,1235,1233
５０～５４,10663,5467,5196
50,2345,1217,1128
51,2157,1077,1080
52,2170,1126,1044
53,2097,1091,1006
54,1894,956,938
５５～５９,9387,4811,4576
55,1875,956,919
56,1762,901,861
57,1902,986,916
58,1931,985,946
59,1917,983,934
６０～６４,11757,5846,5911
60,1994,1048,946
61,2218,1118,1100
62,2404,1181,1223
63,2527,1220,1307
64,2614,1279,1335
６５～６９,8980,4310,4670
65,1969,929,1040
66,1475,739,736
67,1780,852,928
68,1943,939,1004
69,1813,851,962
７０～７４,8276,3712,4564
70,1961,886,1075
71,1729,810,919
72,1558,680,878
73,1428,599,829
74,1600,737,863
７５～７９,7135,3029,4106
75,1561,650,911
76,1502,636,866
77,1448,629,819
78,1277,549,728
79,1347,565,782
８０～８４,5442,2171,3271
80,1306,526,780
81,1177,469,708
82,1041,445,596
83,1022,391,631
84,896,340,556
８５～８９,3149,1062,2087
85,805,312,493
86,732,274,458
87,614,187,427
88,533,151,382
89,465,138,327
９０～９４,1296,291,1005
90,369,93,276
91,314,70,244
92,244,50,194
93,197,46,151
94,172,32,140
９５～１０３,485,106,379
95,133,31,102
96,103,22,81
97,90,18,72
98,61,20,41
99,45,8,37
100,31,5,26
101,14,1,13
102,6,1,5
103,2,0,2
１０４以上,11,0,11
不詳者　　,0,0,0
平成24年３月１日現在,,,
年齢,計,男,女
総計　　　,176522,86846,89676
　０～４　,7329,3780,3549
0,1473,774,699
1,1491,748,743
2,1500,764,736
3,1435,746,689
4,1430,748,682
　５～９　,7009,3582,3427
5,1379,691,688
6,1397,712,685
7,1420,719,701
8,1372,722,650
9,1441,738,703
１０～１４,7294,3687,3607
10,1355,683,672
11,1507,755,752
12,1484,765,719
13,1487,727,760
14,1461,757,704
１５～１９,7531,3832,3699
15,1476,752,724
16,1477,723,754
17,1423,756,667
18,1463,735,728
19,1692,866,826
２０～２４,9894,4873,5021
20,1835,929,906
21,1792,866,926
22,1887,901,986
23,2177,1081,1096
24,2203,1096,1107
２５～２９,13188,6741,6447
25,2451,1223,1228
26,2489,1276,1213
27,2762,1357,1405
28,2711,1410,1301
29,2775,1475,1300
３０～３４,13981,7154,6827
30,2683,1374,1309
31,2706,1386,1320
32,2837,1477,1360
33,2818,1418,1400
34,2937,1499,1438
３５～３９,15247,7777,7470
35,2842,1445,1397
36,2907,1484,1423
37,2959,1507,1452
38,3258,1680,1578
39,3281,1661,1620
４０～４４,15463,7904,7559
40,3189,1617,1572
41,3145,1570,1575
42,3124,1635,1489
43,3005,1562,1443
44,3000,1520,1480
４５～４９,13068,6740,6328
45,2434,1220,1214
46,2950,1524,1426
47,2744,1467,1277
48,2466,1289,1177
49,2474,1240,1234
５０～５４,10629,5451,5178
50,2308,1209,1099
51,2176,1086,1090
52,2187,1136,1051
53,2069,1068,1001
54,1889,952,937
５５～５９,9415,4826,4589
55,1893,966,927
56,1756,891,865
57,1915,990,925
58,1935,1002,933
59,1916,977,939
６０～６４,11814,5867,5947
60,2018,1067,951
61,2222,1105,1117
62,2399,1181,1218
63,2587,1251,1336
64,2588,1263,1325
６５～６９,8949,4282,4667
65,1856,873,983
66,1493,745,748
67,1835,884,951
68,1941,939,1002
69,1824,841,983
７０～７４,8262,3720,4542
70,1950,882,1068
71,1719,806,913
72,1541,670,871
73,1443,621,822
74,1609,741,868
７５～７９,7165,3048,4117
75,1553,641,912
76,1500,646,854
77,1456,623,833
78,1273,555,718
79,1383,583,800
８０～８４,5396,2146,3250
80,1272,500,772
81,1168,480,688
82,1038,434,604
83,1021,390,631
84,897,342,555
８５～８９,3108,1042,2066
85,784,303,481
86,736,269,467
87,606,182,424
88,527,152,375
89,455,136,319
９０～９４,1297,293,1004
90,361,88,273
91,330,74,256
92,225,47,178
93,202,48,154
94,179,36,143
９５～１０３,474,101,373
95,125,29,96
96,107,20,87
97,88,19,69
98,52,19,33
99,47,7,40
100,32,5,27
101,12,1,11
102,7,1,6
103,4,0,4
１０４以上,9,0,9
不詳者　　,0,0,0
平成24年２月１日現在,,,
年齢,計,男,女
総計　　　,176697,86962,89735
　０～４　,7298,3756,3542
0,1459,773,686
1,1494,741,753
2,1498,769,729
3,1432,742,690
4,1415,731,684
　５～９　,7018,3586,3432
5,1389,688,701
6,1419,736,683
7,1416,714,702
8,1358,712,646
9,1436,736,700
１０～１４,7324,3703,3621
10,1385,693,692
11,1503,754,749
12,1475,761,714
13,1496,746,750
14,1465,749,716
１５～１９,7527,3831,3696
15,1452,735,717
16,1467,721,746
17,1432,751,681
18,1480,764,716
19,1696,860,836
２０～２４,9953,4905,5048
20,1841,941,900
21,1797,870,927
22,1912,904,1008
23,2193,1085,1108
24,2210,1105,1105
２５～２９,13269,6800,6469
25,2481,1238,1243
26,2536,1311,1225
27,2774,1363,1411
28,2751,1440,1311
29,2727,1448,1279
３０～３４,14037,7177,6860
30,2690,1378,1312
