平成23年12月１日現在,,,,
年齢,計,男,女,
４５～４９,12935,6679,6256,
45,2358,1193,1165,
46,2991,1563,1428,
47,2673,1431,1242,
48,2455,1259,1196,
49,2458,1233,1225,
５０～５４,10508,5416,5092,
50,2234,1168,1066,
51,2167,1091,1076,
52,2221,1183,1038,
53,1998,1020,978,
54,1888,954,934,
５５～５９,9431,4837,4594,
55,1849,942,907,
56,1810,913,897,
57,1910,1003,907,
58,1938,978,960,
59,1924,1001,923,
６０～６４,11972,5907,6065,
60,2119,1110,1009,
61,2255,1114,1141,
62,2523,1246,1277,
63,2615,1273,1342,
64,2460,1164,1296,
６５～６９,8945,4293,4652,
65,1567,766,801,
66,1599,785,814,
67,1954,951,1003,
68,1904,899,1005,
69,1921,892,1029,
７０～７４,8129,3655,4474,
70,1870,862,1008,
71,1691,777,914,
72,1467,614,853,
73,1544,707,837,
74,1557,695,862,
７５～７９,7108,3007,4101,
75,1570,635,935,
76,1484,655,829,
77,1400,597,803,
78,1304,562,742,
79,1350,558,792,
８０～８４,5302,2142,3160,
80,1286,521,765,
81,1139,476,663,
82,1011,420,591,
83,991,365,626,
84,875,360,515,
８５～８９,3051,1001,2050,
85,792,293,499,
86,723,252,471,
87,587,176,411,
88,506,151,355,
89,443,129,314,
９０～９４,1300,299,1001,
90,372,89,283,
91,322,75,247,
92,216,54,162,
93,210,41,169,
94,180,40,140,
９５～１０３,452,91,361,
95,117,20,97,
96,102,23,79,
97,86,23,63,
98,43,14,29,
99,49,5,44,
100,26,4,22,
101,15,2,13,
102,5,0,5,
103,9,0,9,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年10月１日現在,,,,
年齢,計,男,女,
総計　　　,176826,87071,89755,
　０～４　,7277,3763,3514,
0,1529,811,718,
1,1478,735,743,
2,1462,768,694,
3,1405,720,685,
4,1403,729,674,
　５～９　,7035,3586,3449,
5,1441,712,729,
6,1392,733,659,
7,1397,702,695,
8,1378,697,681,
9,1427,742,685,
１０～１４,7321,3704,3617,
10,1423,712,711,
11,1451,729,722,
12,1472,752,720,
13,1542,774,768,
14,1433,737,696,
１５～１９,7664,3890,3774,
15,1465,727,738,
16,1428,719,709,
17,1472,769,703,
18,1565,804,761,
19,1734,871,863,
２０～２４,10140,5017,5123,
20,1800,901,899,
21,1857,925,932,
22,1989,962,1027,
23,2218,1089,1129,
24,2276,1140,1136,
２５～２９,13340,6848,6492,
25,2484,1241,1243,
26,2638,1342,1296,
27,2731,1396,1335,
28,2785,1434,1351,
29,2702,1435,1267,
３０～３４,14172,7226,6946,
30,2706,1390,1316,
31,2855,1469,1386,
32,2829,1410,1419,
33,2866,1458,1408,
34,2916,1499,1417,
３５～３９,15482,7911,7571,
35,2881,1459,1422,
36,2900,1504,1396,
37,3170,1587,1583,
38,3268,1693,1575,
39,3263,1668,1595,
４０～４４,15324,7803,7521,
40,3159,1570,1589,
41,3090,1562,1528,
42,3165,1659,1506,
43,2963,1494,1469,
44,2947,1518,1429,
４５～４９,12928,6694,6234,
45,2440,1244,1196,
46,2942,1549,1393,
47,2665,1413,1252,
48,2469,1266,1203,
49,2412,1222,1190,
５０～５４,10493,5419,5074,
50,2241,1172,1069,
51,2177,1101,1076,
52,2213,1171,1042,
53,1965,1000,965,
54,1897,975,922,
５５～５９,9440,4849,4591,
55,1859,942,917,
56,1816,919,897,
57,1916,1001,915,
58,1932,978,954,
59,1917,1009,908,
６０～６４,12014,5919,6095,
60,2147,1114,1033,
61,2282,1134,1148,
62,2538,1241,1297,
63,2640,1287,1353,
64,2407,1143,1264,
６５～６９,8916,4280,4636,
65,1499,733,766,
66,1641,808,833,
67,1981,961,1020,
68,1877,876,1001,
69,1918,902,1016,
７０～７４,8099,3631,4468,
70,1889,869,1020,
71,1664,767,897,
72,1456,617,839,
73,1580,714,866,
74,1510,664,846,
７５～７９,7117,3023,4094,
75,1603,655,948,
76,1476,650,826,
77,1375,596,779,
78,1302,554,748,
79,1361,568,793,
８０～８４,5272,2121,3151,
80,1277,508,769,
81,1126,480,646,
82,1024,416,608,
83,980,370,610,
84,865,347,518,
８５～８９,3039,997,2042,
85,790,296,494,
86,723,248,475,
87,586,178,408,
88,498,150,348,
89,442,125,317,
９０～９４,1293,300,993,
90,374,94,280,
91,320,69,251,
92,224,56,168,
93,203,42,161,
94,172,39,133,
９５～１０３,455,90,365,
95,124,22,102,
96,107,21,86,
97,79,24,55,
98,46,13,33,
99,45,5,40,
100,27,3,24,
101,12,2,10,
102,8,0,8,
103,7,0,7,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年９月１日現在,,,,
年齢,計,男,女,
総計　　　,176740,87051,89689,
　０～４　,7236,3734,3502,
0,1504,792,712,
1,1495,737,758,
2,1440,755,685,
3,1396,719,677,
4,1401,731,670,
　５～９　,7038,3586,3452,
5,1460,726,734,
6,1366,711,655,
7,1402,704,698,
8,1386,700,686,
9,1424,745,679,
１０～１４,7328,3708,3620,
10,1441,721,720,
11,1418,719,699,
12,1494,756,738,
13,1521,772,749,
14,1454,740,714,
１５～１９,7679,3906,3773,
15,1453,720,733,
16,1438,723,715,
17,1486,781,705,
18,1556,794,762,
19,1746,888,858,
２０～２４,10171,5029,5142,
20,1781,886,895,
21,1870,916,954,
22,2004,979,1025,
23,2201,1081,1120,
24,2315,1167,1148,
２５～２９,13423,6902,6521,
25,2524,1268,1256,
26,2649,1334,1315,
27,2727,1408,1319,
28,2798,1441,1357,
29,2725,1451,1274,
３０～３４,14159,7220,6939,
30,2680,1374,1306,
31,2858,1466,1392,
32,2795,1398,1397,
33,2926,1497,1429,
34,2900,1485,1415,
３５～３９,15498,7932,7566,
35,2879,1469,1410,
36,2906,1509,1397,
37,3168,1575,1593,
38,3270,1705,1565,
39,3275,1674,1601,
４０～４４,15218,7743,7475,
40,3137,1553,1584,
41,3082,1562,1520,
42,3152,1647,1505,
43,2945,1482,1463,
44,2902,1499,1403,
４５～４９,12940,6692,6248,
45,2550,1298,1252,
46,2914,1534,1380,
47,2611,1374,1237,
48,2484,1282,1202,
49,2381,1204,1177,
５０～５４,10447,5398,5049,
50,2252,1180,1072,
51,2160,1109,1051,
52,2172,1138,1034,
53,1969,1010,959,
54,1894,961,933,
５５～５９,9444,4847,4597,
55,1832,940,892,
56,1849,935,914,
57,1918,989,929,
58,1942,992,950,
59,1903,991,912,
６０～６４,12028,5946,6082,
60,2181,1128,1053,
61,2321,1159,1162,
62,2543,1232,1311,
63,2640,1302,1338,
64,2343,1125,1218,
６５～６９,8936,4274,4662,
65,1471,711,760,
66,1675,823,852,
67,1982,959,1023,
68,1849,870,979,
69,1959,911,1048,
７０～７４,8070,3620,4450,
70,1849,862,987,
71,1648,756,892,
72,1454,619,835,
73,1596,723,873,
74,1523,660,863,
７５～７９,7094,3021,4073,
75,1613,667,946,
76,1443,636,807,
77,1368,599,769,
78,1326,554,772,
79,1344,565,779,
８０～８４,5236,2104,3132,
80,1274,509,765,
81,1112,477,635,
82,1015,407,608,
83,981,367,614,
84,854,344,510,
８５～８９,3057,1000,2057,
85,815,304,511,
86,711,242,469,
87,588,177,411,
88,492,150,342,
89,451,127,324,
９０～９４,1284,302,982,
90,371,97,274,
91,305,66,239,
92,233,58,175,
93,204,43,161,
94,171,38,133,
９５～１０３,449,87,362,
95,122,20,102,
96,107,22,85,
97,81,24,57,
98,42,11,31,
99,42,5,37,
100,31,4,27,
101,10,1,9,
102,7,0,7,
103,7,0,7,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年８月１日現在,,,,
年齢,計,男,女,
総計　　　,176659,87004,89655,
　０～４　,7245,3728,3517,
0,1500,781,719,
1,1494,748,746,
2,1444,757,687,
3,1392,707,685,
4,1415,735,680,
　５～９　,7013,3582,3431,
5,1449,726,723,
6,1365,704,661,
7,1397,713,684,
8,1374,701,673,
9,1428,738,690,
１０～１４,7366,3731,3635,
10,1447,728,719,
11,1444,741,703,
12,1502,744,758,
13,1507,775,732,
14,1466,743,723,
１５～１９,7653,3880,3773,
15,1448,713,735,
16,1433,718,715,
17,1501,788,713,
18,1523,779,744,
19,1748,882,866,
２０～２４,10229,5063,5166,
20,1787,889,898,
21,1881,920,961,
22,2055,1009,1046,
23,2177,1076,1101,
24,2329,1169,1160,
２５～２９,13422,6898,6524,
25,2534,1285,1249,
26,2679,1334,1345,
27,2746,1425,1321,
28,2738,1422,1316,
29,2725,1432,1293,
３０～３４,14207,7253,6954,
30,2676,1373,1303,
31,2892,1489,1403,
32,2814,1412,1402,
33,2903,1477,1426,
34,2922,1502,1420,
３５～３９,15481,7904,7577,
35,2834,1437,1397,
36,2927,1512,1415,
37,3211,1604,1607,
38,3268,1695,1573,
39,3241,1656,1585,
４０～４４,15159,7708,7451,
40,3113,1538,1575,
41,3098,1580,1518,
42,3155,1650,1505,
43,2962,1486,1476,
44,2831,1454,1377,
４５～４９,12932,6691,6241,
45,2612,1355,1257,
46,2884,1505,1379,
47,2572,1347,1225,
48,2490,1294,1196,
49,2374,1190,1184,
５０～５４,10420,5390,5030,
50,2208,1162,1046,
51,2205,1138,1067,
52,2139,1123,1016,
53,1975,1013,962,
54,1893,954,939,
５５～５９,9449,4850,4599,
55,1788,924,864,
56,1890,949,941,
57,1896,980,916,
58,1973,1004,969,
59,1902,993,909,
６０～６４,12030,5935,6095,
60,2233,1139,1094,
61,2320,1170,1150,
62,2546,1228,1318,
63,2627,1304,1323,
64,2304,1094,1210,
６５～６９,8930,4284,4646,
65,1462,719,743,
66,1673,810,863,
67,2020,980,1040,
68,1819,878,941,
69,1956,897,1059,
７０～７４,8062,3622,4440,
70,1840,858,982,
71,1639,744,895,
72,1433,609,824,
73,1611,739,872,
74,1539,672,867,
７５～７９,7092,3013,4079,
75,1597,657,940,
76,1453,639,814,
77,1371,591,780,
78,1309,550,759,
79,1362,576,786,
８０～８４,5213,2102,3111,
80,1252,495,757,
81,1103,477,626,
82,1016,409,607,
83,994,375,619,
84,848,346,502,
８５～８９,3035,981,2054,
85,807,297,510,
86,701,238,463,
87,586,173,413,
88,491,149,342,
89,450,124,326,
９０～９４,1267,301,966,
90,367,97,270,
91,298,64,234,
92,236,58,178,
93,195,43,152,
94,171,39,132,
９５～１０３,449,88,361,
95,125,21,104,
96,105,23,82,
97,83,24,59,
98,41,10,31,
99,45,6,39,
100,27,3,24,
101,10,1,9,
102,6,0,6,
103,7,0,7,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年７月１日現在,,,,
年齢,計,男,女,
総計　　　,176777,87061,89716,
　０～４　,7275,3750,3525,
0,1501,782,719,
1,1515,766,749,
2,1442,749,693,
3,1396,720,676,
4,1421,733,688,
　５～９　,7013,3579,3434,
5,1424,709,715,
6,1370,706,664,
7,1411,725,686,
8,1385,713,672,
9,1423,726,697,
１０～１４,7372,3735,3637,
10,1452,731,721,
11,1447,746,701,
12,1495,740,755,
13,1507,767,740,
14,1471,751,720,
１５～１９,7681,3895,3786,
15,1468,723,745,
16,1423,718,705,
17,1483,777,706,
18,1559,799,760,
19,1748,878,870,
２０～２４,10253,5072,5181,
20,1762,882,880,
21,1891,918,973,
22,2099,1039,1060,
23,2162,1063,1099,
24,2339,1170,1169,
２５～２９,13450,6891,6559,
25,2532,1280,1252,
26,2712,1342,1370,
27,2768,1440,1328,
28,2686,1395,1291,
29,2752,1434,1318,
３０～３４,14258,7292,6966,
30,2698,1377,1321,
31,2908,1515,1393,
32,2827,1418,1409,
33,2911,1477,1434,
34,2914,1505,1409,
３５～３９,15539,7928,7611,
35,2866,1463,1403,
36,2955,1531,1424,
37,3247,1630,1617,
38,3281,1681,1600,
39,3190,1623,1567,
４０～４４,15100,7693,7407,
40,3128,1561,1567,
41,3137,1619,1518,
42,3120,1613,1507,
43,2948,1483,1465,
44,2767,1417,1350,
４５～４９,12936,6695,6241,
45,2678,1402,1276,
46,2862,1485,1377,
47,2544,1344,1200,
48,2486,1270,1216,
49,2366,1194,1172,
５０～５４,10406,5375,5031,
50,2202,1148,1054,
51,2190,1115,1075,
52,2152,1137,1015,
53,1935,995,940,
54,1927,980,947,
５５～５９,9478,4864,4614,
55,1754,901,853,
56,1909,960,949,
57,1903,989,914,
58,1953,993,960,
59,1959,1021,938,
６０～６４,11988,5913,6075,
60,2231,1141,1090,
61,2363,1184,1179,
62,2535,1210,1325,
63,2621,1319,1302,
64,2238,1059,1179,
６５～６９,8975,4294,4681,
65,1467,722,745,
66,1686,814,872,
67,2038,972,1066,
68,1803,882,921,
69,1981,904,1077,
７０～７４,8048,3618,4430,
70,1812,852,960,
71,1638,741,897,
72,1406,587,819,
73,1645,763,882,
74,1547,675,872,
７５～７９,7070,3004,4066,
75,1568,651,917,
76,1455,638,817,
77,1345,584,761,
78,1335,557,778,
79,1367,574,793,
８０～８４,5193,2104,3089,
80,1236,498,738,
81,1102,477,625,
82,1025,408,617,
83,976,369,607,
84,854,352,502,
８５～８９,3019,969,2050,
85,808,293,515,
86,694,236,458,
87,589,172,417,
88,489,146,343,
89,439,122,317,
９０～９４,1269,302,967,
90,377,97,280,
91,295,64,231,
92,228,58,170,
93,200,45,155,
94,169,38,131,
９５～１０３,449,88,361,
95,126,22,104,
96,104,23,81,
97,83,25,58,
98,42,10,32,
99,43,5,38,
100,26,2,24,
101,10,1,9,
102,6,0,6,
103,9,0,9,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年６月１日現在,,,,
年齢,計,男,女,
総計　　　,176748,87051,89697,
　０～４　,7225,3727,3498,
0,1490,779,711,
1,1515,758,757,
2,1417,734,683,
3,1410,739,671,
4,1393,717,676,
　５～９　,7021,3574,3447,
5,1438,715,723,
6,1387,709,678,
7,1396,718,678,
8,1398,726,672,
9,1402,706,696,
１０～１４,7394,3759,3635,
10,1463,742,721,
11,1469,759,710,
12,1476,723,753,
13,1504,768,736,
14,1482,767,715,
１５～１９,7694,3898,3796,
15,1470,719,751,
16,1422,726,696,
17,1470,761,709,
18,1570,803,767,
19,1762,889,873,
２０～２４,10317,5085,5232,
20,1778,880,898,
21,1864,909,955,
22,2123,1038,1085,
23,2172,1063,1109,
24,2380,1195,1185,
２５～２９,13465,6909,6556,
25,2531,1275,1256,
26,2724,1348,1376,
27,2755,1445,1310,
28,2703,1419,1284,
29,2752,1422,1330,
３０～３４,14291,7328,6963,
30,2731,1391,1340,
31,2872,1500,1372,
32,2861,1433,1428,
33,2908,1486,1422,
34,2919,1518,1401,
３５～３９,15590,7932,7658,
35,2878,1454,1424,
36,2962,1546,1416,
37,3264,1638,1626,
38,3324,1690,1634,
39,3162,1604,1558,
４０～４４,15035,7661,7374,
40,3107,1548,1559,
41,3152,1633,1519,
42,3087,1593,1494,
43,2954,1486,1468,
44,2735,1401,1334,
４５～４９,12929,6711,6218,
45,2681,1397,1284,
46,2870,1515,1355,
47,2514,1330,1184,
48,2515,1280,1235,
49,2349,1189,1160,
５０～５４,10347,5337,5010,
50,2182,1133,1049,
51,2197,1101,1096,
52,2125,1137,988,
53,1931,993,938,
54,1912,973,939,
５５～５９,9538,4910,4628,
55,1737,900,837,
56,1934,976,958,
57,1911,988,923,
58,1948,994,954,
59,2008,1052,956,
６０～６４,11963,5896,6067,
60,2212,1107,1105,
61,2399,1206,1193,
62,2552,1239,1313,
63,2607,1293,1314,
64,2193,1051,1142,
６５～６９,8969,4277,4692,
65,1435,702,733,
66,1710,826,884,
67,2027,973,1054,
68,1807,876,931,
69,1990,900,1090,
７０～７４,8026,3602,4424,
70,1781,847,934,
71,1615,719,896,
72,1408,590,818,
73,1659,772,887,
74,1563,674,889,
７５～７９,7055,3015,4040,
75,1542,651,891,
76,1481,649,832,
77,1320,575,745,
78,1351,566,785,
79,1361,574,787,
８０～８４,5165,2082,3083,
80,1229,495,734,
81,1095,469,626,
82,1018,403,615,
83,973,367,606,
84,850,348,502,
８５～８９,3002,961,2041,
85,807,293,514,
86,678,232,446,
87,601,172,429,
88,475,145,330,
89,441,119,322,
９０～９４,1264,299,965,
90,376,96,280,
91,301,63,238,
92,219,55,164,
93,204,47,157,
94,164,38,126,
９５～１０３,453,88,365,
95,129,21,108,
96,107,24,83,
97,79,25,54,
98,43,9,34,
99,46,6,40,
100,24,2,22,
101,10,1,9,
102,6,0,6,
103,9,0,9,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年５月１日現在,,,,
年齢,計,男,女,
総計　　　,176791,87086,89705,
　０～４　,7266,3730,3536,
0,1501,771,730,
1,1518,762,756,
2,1432,750,682,
3,1408,723,685,
4,1407,724,683,
　５～９　,7011,3570,3441,
5,1409,710,699,
6,1401,719,682,
7,1387,715,672,
8,1399,722,677,
9,1415,704,711,
１０～１４,7396,3766,3630,
10,1468,749,719,
11,1460,753,707,
12,1470,722,748,
13,1502,767,735,
14,1496,775,721,
１５～１９,7672,3892,3780,
15,1461,712,749,
16,1407,725,682,
17,1460,750,710,
18,1587,807,780,
19,1757,898,859,
２０～２４,10357,5117,5240,
20,1773,872,901,
21,1864,900,964,
22,2143,1048,1095,
23,2175,1083,1092,
24,2402,1214,1188,
２５～２９,13490,6905,6585,
25,2516,1266,1250,
26,2740,1357,1383,
27,2764,1442,1322,
28,2746,1449,1297,
29,2724,1391,1333,
３０～３４,14362,7371,6991,
30,2779,1430,1349,
31,2897,1506,1391,
32,2857,1442,1415,
33,2925,1488,1437,
34,2904,1505,1399,
３５～３９,15602,7947,7655,
35,2869,1464,1405,
36,2965,1541,1424,
37,3288,1668,1620,
38,3326,1654,1672,
39,3154,1620,1534,
４０～４４,14945,7614,7331,
40,3095,1542,1553,
41,3175,1643,1532,
42,3066,1596,1470,
43,2986,1502,1484,
44,2623,1331,1292,
４５～４９,12956,6746,6210,
45,2756,1445,1311,
46,2844,1496,1348,
47,2477,1325,1152,
48,2508,1272,1236,
49,2371,1208,1163,
５０～５４,10302,5305,4997,
50,2166,1103,1063,
51,2205,1138,1067,
52,2106,1099,1007,
53,1913,997,916,
54,1912,968,944,
５５～５９,9581,4932,4649,
55,1739,894,845,
56,1924,983,941,
57,1937,1004,933,
58,1937,982,955,
59,2044,1069,975,
６０～６４,11891,5851,6040,
60,2218,1130,1088,
61,2394,1181,1213,
62,2548,1239,1309,
63,2655,1310,1345,
64,2076,991,1085,
６５～６９,9008,4302,4706,
65,1450,717,733,
66,1760,841,919,
67,2000,978,1022,
68,1826,867,959,
69,1972,899,1073,
７０～７４,8035,3601,4434,
70,1794,854,940,
71,1597,709,888,
72,1412,594,818,
73,1652,768,884,
74,1580,676,904,
７５～７９,7057,3021,4036,
75,1527,651,876,
76,1477,657,820,
77,1321,569,752,
78,1373,580,793,
79,1359,564,795,
８０～８４,5134,2070,3064,
80,1213,496,717,
81,1081,460,621,
82,1036,400,636,
83,966,369,597,
84,838,345,493,
８５～８９,2992,958,2034,
85,813,298,515,
86,660,219,441,
87,597,169,428,
88,498,150,348,
89,424,122,302,
９０～９４,1271,299,972,
90,381,95,286,
91,294,59,235,
92,222,56,166,
93,211,49,162,
94,163,40,123,
９５～１０３,458,89,369,
95,126,21,105,
96,115,27,88,
97,74,23,51,
98,51,9,42,
99,47,7,40,
100,22,1,21,
101,9,1,8,
102,5,0,5,
103,9,0,9,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年４月１日現在,,,,
年齢,計,男,女,
総計　　　,176462,86974,89488,
　０～４　,7246,3723,3523,
0,1470,755,715,
1,1531,787,744,
2,1443,748,695,
3,1427,741,686,
4,1375,692,683,
　５～９　,7013,3569,3444,
5,1406,707,699,
6,1415,722,693,
7,1369,713,656,
8,1434,741,693,
9,1389,686,703,
１０～１４,7387,3753,3634,
10,1495,759,736,
11,1466,759,707,
12,1462,717,745,
13,1468,739,729,
14,1496,779,717,
１５～１９,7422,3785,3637,
15,1456,711,745,
16,1410,733,677,
17,1445,749,696,
18,1412,725,687,
19,1699,867,832,
２０～２４,10350,5121,5229,
20,1760,874,886,
21,1886,910,976,
22,2129,1059,1070,
23,2160,1069,1091,
24,2415,1209,1206,
２５～２９,13541,6949,6592,
25,2549,1294,1255,
26,2748,1371,1377,
27,2776,1456,1320,
28,2722,1443,1279,
29,2746,1385,1361,
３０～３４,14392,7401,6991,
30,2775,1433,1342,
31,2892,1508,1384,
32,2852,1433,1419,
33,2972,1526,1446,
34,2901,1501,1400,
３５～３９,15609,7951,7658,
35,2880,1477,1403,
36,2962,1528,1434,
37,3309,1689,1620,
38,3304,1656,1648,
39,3154,1601,1553,
４０～４４,14868,7583,7285,
40,3152,1577,1575,
41,3146,1623,1523,
42,3062,1606,1456,
43,2971,1483,1488,
44,2537,1294,1243,
４５～４９,12962,6751,6211,
45,2868,1487,1381,
46,2761,1470,1291,
47,2492,1315,1177,
48,2470,1245,1225,
49,2371,1234,1137,
５０～５４,10270,5279,4991,
50,2171,1092,1079,
51,2181,1127,1054,
52,2116,1113,1003,
53,1918,979,939,
54,1884,968,916,
５５～５９,9608,4943,4665,
55,1758,892,866,
56,1927,998,929,
57,1946,991,955,
58,1945,988,957,
59,2032,1074,958,
６０～６４,11842,5814,6028,
60,2226,1125,1101,
61,2428,1200,1228,
62,2554,1239,1315,
63,2635,1298,1337,
64,1999,952,1047,
６５～６９,9067,4345,4722,
65,1483,746,737,
66,1803,866,937,
67,1959,954,1005,
68,1842,872,970,
69,1980,907,1073,
７０～７４,8006,3583,4423,
70,1750,823,927,
71,1596,709,887,
72,1455,620,835,
73,1617,754,863,
74,1588,677,911,
７５～７９,7044,3008,4036,
75,1525,649,876,
76,1474,650,824,
77,1314,566,748,
78,1390,595,795,
79,1341,548,793,
８０～８４,5139,2073,3066,
80,1224,500,724,
81,1075,465,610,
82,1054,408,646,
83,938,361,577,
84,848,339,509,
８５～８９,2977,953,2024,
85,783,298,485,
86,671,214,457,
87,593,177,416,
88,501,153,348,
89,429,111,318,
９０～９４,1257,300,957,
90,369,91,278,
91,284,63,221,
92,235,61,174,
93,213,47,166,
94,156,38,118,
９５～１０３,457,90,367,
95,127,25,102,
96,109,25,84,
97,77,23,54,
98,58,9,49,
99,45,6,39,
100,19,1,18,
101,10,1,9,
102,3,0,3,
103,9,0,9,
１０４以上,5,0,5,
不詳者　　,0,0,0,
平成23年３月１日現在,,,,
年齢,計,男,女,
総計　　　,176293,86897,89396,
　０～４　,7241,3725,3516,
0,1460,751,709,
1,1527,796,731,
2,1449,744,705,
3,1420,734,686,
4,1385,700,685,
　５～９　,6993,3564,3429,
5,1403,710,693,
6,1416,717,699,
7,1373,716,657,
8,1447,739,708,
9,1354,682,672,
１０～１４,7359,3729,3630,
10,1505,756,749,
11,1466,756,710,
12,1454,711,743,
13,1459,757,702,
14,1475,749,726,
１５～１９,7395,3782,3613,
15,1467,717,750,
16,1421,755,666,
17,1427,723,704,
18,1366,703,663,
19,1714,884,830,
２０～２４,10251,5066,5185,
20,1735,872,863,
21,1882,908,974,
22,2069,1041,1028,
23,2156,1054,1102,
24,2409,1191,1218,
２５～２９,13523,6938,6585,
25,2492,1276,1216,
26,2797,1400,1397,
27,2742,1429,1313,
28,2736,1438,1298,
29,2756,1395,1361,
３０～３４,14455,7415,7040,
30,2796,1435,1361,
31,2882,1510,1372,
32,2889,1454,1435,
33,3001,1547,1454,
34,2887,1469,1418,
３５～３９,15697,8005,7692,
35,2922,1507,1415,
36,2988,1528,1460,
37,3299,1697,1602,
38,3303,1661,1642,
39,3185,1612,1573,
４０～４４,14760,7532,7228,
40,3156,1570,1586,
41,3130,1639,1491,
42,3038,1585,1453,
