平成28年12月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀４丁目,3245,2907,3150,6057
下連雀５丁目,1790,1787,2198,3985
下連雀６丁目,2084,2005,2136,4141
下連雀７丁目,2316,2322,2578,4900
下連雀８丁目,1545,1766,1911,3677
下連雀９丁目,1989,2404,2574,4978
小計,22200,20890,23074,43964
牟礼１丁目,1091,985,1067,2052
牟礼２丁目,1980,1833,1998,3831
牟礼３丁目,973,1016,912,1928
牟礼４丁目,1533,1624,1729,3353
牟礼５丁目,1350,1314,1352,2666
牟礼６丁目,2838,3160,3254,6414
牟礼７丁目,870,944,893,1837
小計,10635,10876,11205,22081
井の頭１丁目,2499,2122,2384,4506
井の頭２丁目,2118,1604,1846,3450
井の頭３丁目,1254,1107,1228,2335
井の頭４丁目,1095,1033,1018,2051
井の頭５丁目,1716,1695,1652,3347
小計,8682,7561,8128,15689
中原１丁目,2115,2020,2186,4206
中原２丁目,1421,1482,1517,2999
中原３丁目,1476,1535,1617,3152
中原４丁目,1915,2026,2136,4162
小計,6927,7063,7456,14519
北野１丁目,634,703,740,1443
北野２丁目,922,996,1010,2006
北野３丁目,922,1068,1028,2096
北野４丁目,1005,972,989,1961
小計,3483,3739,3767,7506
新川１丁目,1039,1070,1094,2164
新川２丁目,675,740,761,1501
新川３丁目,996,1054,1008,2062
新川４丁目,1611,1606,1769,3375
新川５丁目,1359,1230,1349,2579
新川６丁目,2478,2275,2093,4368
小計,8158,7975,8074,16049
上連雀１丁目,1788,1595,1502,3097
上連雀２丁目,1361,1141,1210,2351
上連雀３丁目,922,789,810,1599
上連雀４丁目,1691,1622,1566,3188
上連雀５丁目,1462,1378,1362,2740
上連雀６丁目,1515,1459,1625,3084
上連雀７丁目,1396,1408,1519,2927
上連雀８丁目,1561,1685,1833,3518
上連雀９丁目,1525,1629,1664,3293
小計,13221,12706,13091,25797
井口１丁目,1723,1888,1819,3707
井口２丁目,1062,1179,1276,2455
井口３丁目,975,988,1100,2088
井口４丁目,1403,1506,1491,2997
井口５丁目,477,476,513,989
小計,5640,6037,6199,12236
深大寺１丁目,805,846,846,1692
深大寺２丁目,2044,2173,1946,4119
深大寺３丁目,1084,1100,1003,2103
小計,3933,4119,3795,7914
野崎１丁目,551,522,555,1077
野崎２丁目,1200,1272,1242,2514
野崎３丁目,943,1050,1031,2081
野崎４丁目,296,348,262,610
小計,2990,3192,3090,6282
大沢１丁目,1307,1466,1417,2883
大沢２丁目,927,1001,974,1975
大沢３丁目,948,850,931,1781
大沢４丁目,1343,1430,1511,2941
大沢５丁目,844,1004,1011,2015
大沢６丁目,740,765,758,1523
小計,6109,6516,6602,13118
合計,91978,90674,94481,185155
平成28年８月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1561,1466,1513,2979
下連雀２丁目,1785,1716,1758,3474
下連雀３丁目,5902,4525,5263,9788
下連雀４丁目,3255,2908,3155,6063
下連雀５丁目,1788,1782,2197,3979
下連雀６丁目,2071,1990,2131,4121
下連雀７丁目,2323,2327,2581,4908
下連雀８丁目,1551,1770,1916,3686
下連雀９丁目,1986,2405,2571,4976
小計,22222,20889,23085,43974
牟礼１丁目,1083,977,1057,2034
牟礼２丁目,1979,1831,1998,3829
牟礼３丁目,959,998,895,1893
牟礼４丁目,1535,1624,1728,3352
牟礼５丁目,1352,1318,1349,2667
牟礼６丁目,2824,3140,3245,6385
牟礼７丁目,866,935,887,1822
小計,10598,10823,11159,21982
井の頭１丁目,2508,2130,2382,4512
井の頭２丁目,2120,1612,1845,3457
井の頭３丁目,1249,1104,1224,2328
井の頭４丁目,1090,1028,1004,2032
井の頭５丁目,1728,1704,1665,3369
小計,8695,7578,8120,15698
中原１丁目,2115,2017,2184,4201
中原２丁目,1418,1476,1519,2995
中原３丁目,1486,1541,1623,3164
中原４丁目,1915,2028,2142,4170
小計,6934,7062,7468,14530
北野１丁目,636,705,743,1448
北野２丁目,929,1001,1017,2018
北野３丁目,922,1069,1028,2097
北野４丁目,1005,970,997,1967
小計,3492,3745,3785,7530
新川１丁目,1037,1064,1093,2157
新川２丁目,673,738,764,1502
新川３丁目,998,1052,1007,2059
新川４丁目,1614,1606,1775,3381
新川５丁目,1360,1222,1355,2577
新川６丁目,2520,2300,2112,4412
小計,8202,7982,8106,16088
上連雀１丁目,1792,1594,1508,3102
上連雀２丁目,1358,1144,1204,2348
上連雀３丁目,927,794,812,1606
上連雀４丁目,1699,1621,1562,3183
上連雀５丁目,1454,1373,1364,2737
上連雀６丁目,1516,1459,1625,3084
上連雀７丁目,1396,1401,1513,2914
上連雀８丁目,1563,1688,1835,3523
上連雀９丁目,1528,1628,1668,3296
小計,13233,12702,13091,25793
井口１丁目,1728,1884,1810,3694
井口２丁目,1058,1176,1271,2447
井口３丁目,964,985,1086,2071
井口４丁目,1405,1514,1491,3005
井口５丁目,474,474,506,980
小計,5629,6033,6164,12197
深大寺１丁目,800,843,844,1687
深大寺２丁目,2028,2158,1926,4084
深大寺３丁目,1079,1090,999,2089
小計,3907,4091,3769,7860
野崎１丁目,552,517,555,1072
野崎２丁目,1199,1275,1243,2518
野崎３丁目,939,1043,1028,2071
野崎４丁目,293,344,255,599
小計,2983,3179,3081,6260
大沢１丁目,1312,1474,1410,2884
大沢２丁目,926,1003,980,1983
大沢３丁目,859,819,888,1707
大沢４丁目,1339,1431,1509,2940
大沢５丁目,848,1004,1016,2020
大沢６丁目,738,762,757,1519
小計,6022,6493,6560,13053
合計,91917,90577,94388,184965
平成28年７月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1559,1463,1506,2969
下連雀２丁目,1777,1708,1756,3464
下連雀３丁目,5881,4507,5240,9747
下連雀４丁目,3258,2913,3153,6066
下連雀５丁目,1793,1785,2203,3988
下連雀６丁目,2046,1969,2112,4081
下連雀７丁目,2318,2322,2580,4902
下連雀８丁目,1546,1766,1910,3676
下連雀９丁目,1988,2407,2580,4987
小計,22166,20840,23040,43880
牟礼１丁目,1080,975,1047,2022
牟礼２丁目,1970,1827,1984,3811
牟礼３丁目,942,977,880,1857
牟礼４丁目,1541,1635,1732,3367
牟礼５丁目,1355,1321,1348,2669
牟礼６丁目,2827,3138,3235,6373
牟礼７丁目,860,922,878,1800
小計,10575,10795,11104,21899
井の頭１丁目,2495,2121,2384,4505
井の頭２丁目,2111,1599,1847,3446
井の頭３丁目,1252,1105,1224,2329
井の頭４丁目,1095,1029,1005,2034
井の頭５丁目,1730,1706,1664,3370
小計,8683,7560,8124,15684
中原１丁目,2117,2026,2180,4206
中原２丁目,1414,1475,1519,2994
中原３丁目,1492,1547,1631,3178
中原４丁目,1914,2030,2142,4172
小計,6937,7078,7472,14550
北野１丁目,634,705,740,1445
北野２丁目,932,1002,1016,2018
北野３丁目,923,1074,1024,2098
北野４丁目,1003,970,994,1964
小計,3492,3751,3774,7525
新川１丁目,1029,1058,1080,2138
新川２丁目,675,735,767,1502
新川３丁目,1002,1054,1007,2061
新川４丁目,1609,1608,1766,3374
新川５丁目,1357,1219,1352,2571
新川６丁目,2531,2311,2107,4418
小計,8203,7985,8079,16064
上連雀１丁目,1787,1585,1505,3090
上連雀２丁目,1363,1148,1203,2351
上連雀３丁目,929,799,810,1609
上連雀４丁目,1714,1622,1577,3199
上連雀５丁目,1453,1367,1361,2728
上連雀６丁目,1519,1462,1627,3089
上連雀７丁目,1394,1398,1512,2910
上連雀８丁目,1566,1691,1834,3525
上連雀９丁目,1523,1629,1669,3298
小計,13248,12701,13098,25799
井口１丁目,1736,1886,1818,3704
井口２丁目,1060,1176,1274,2450
井口３丁目,965,982,1088,2070
井口４丁目,1417,1523,1503,3026
井口５丁目,473,472,504,976
小計,5651,6039,6187,12226
深大寺１丁目,803,845,841,1686
深大寺２丁目,2024,2151,1921,4072
深大寺３丁目,1087,1092,1008,2100
小計,3914,4088,3770,7858
野崎１丁目,552,516,553,1069
野崎２丁目,1206,1282,1251,2533
野崎３丁目,935,1032,1023,2055
野崎４丁目,291,341,257,598
小計,2984,3171,3084,6255
大沢１丁目,1314,1481,1412,2893
大沢２丁目,930,1010,985,1995
大沢３丁目,886,838,897,1735
大沢４丁目,1336,1432,1510,2942
大沢５丁目,848,1002,1014,2016
大沢６丁目,738,760,760,1520
小計,6052,6523,6578,13101
合計,91905,90531,94310,184841
平成28年６月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1563,1466,1508,2974
下連雀２丁目,1770,1697,1750,3447
下連雀３丁目,5880,4503,5230,9733
下連雀４丁目,3257,2908,3136,6044
下連雀５丁目,1787,1784,2201,3985
下連雀６丁目,2050,1973,2118,4091
下連雀７丁目,2312,2311,2573,4884
下連雀８丁目,1546,1767,1918,3685
下連雀９丁目,1989,2408,2575,4983
小計,22154,20817,23009,43826
牟礼１丁目,1072,971,1028,1999
牟礼２丁目,1968,1825,1990,3815
牟礼３丁目,936,965,874,1839
牟礼４丁目,1540,1629,1738,3367
牟礼５丁目,1363,1335,1353,2688
牟礼６丁目,2818,3125,3223,6348
牟礼７丁目,855,915,876,1791
小計,10552,10765,11082,21847
井の頭１丁目,2505,2130,2380,4510
井の頭２丁目,2104,1597,1849,3446
井の頭３丁目,1246,1100,1217,2317
井の頭４丁目,1090,1026,1003,2029
井の頭５丁目,1725,1706,1652,3358
小計,8670,7559,8101,15660
中原１丁目,2117,2019,2173,4192
中原２丁目,1415,1472,1513,2985
中原３丁目,1486,1538,1619,3157
中原４丁目,1912,2029,2143,4172
小計,6930,7058,7448,14506
北野１丁目,633,708,740,1448
北野２丁目,928,1004,1012,2016
北野３丁目,924,1080,1027,2107
北野４丁目,1001,965,993,1958
小計,3486,3757,3772,7529
新川１丁目,1023,1053,1080,2133
新川２丁目,677,738,766,1504
新川３丁目,996,1049,1004,2053
新川４丁目,1609,1607,1756,3363
新川５丁目,1361,1227,1349,2576
新川６丁目,2538,2326,2106,4432
小計,8204,8000,8061,16061
上連雀１丁目,1775,1570,1489,3059
上連雀２丁目,1369,1151,1210,2361
上連雀３丁目,937,810,814,1624
上連雀４丁目,1725,1629,1584,3213
上連雀５丁目,1453,1373,1360,2733
上連雀６丁目,1522,1468,1632,3100
上連雀７丁目,1397,1400,1523,2923
上連雀８丁目,1570,1699,1834,3533
上連雀９丁目,1526,1630,1670,3300
小計,13274,12730,13116,25846
井口１丁目,1744,1892,1820,3712
井口２丁目,1057,1174,1272,2446
井口３丁目,960,982,1088,2070
井口４丁目,1419,1529,1506,3035
井口５丁目,471,469,508,977
小計,5651,6046,6194,12240
深大寺１丁目,799,842,835,1677
深大寺２丁目,2045,2160,1932,4092
深大寺３丁目,1091,1101,1013,2114
小計,3935,4103,3780,7883
野崎１丁目,552,516,554,1070
野崎２丁目,1201,1278,1248,2526
野崎３丁目,931,1029,1021,2050
野崎４丁目,289,341,258,599
小計,2973,3164,3081,6245
大沢１丁目,1317,1482,1414,2896
大沢２丁目,931,1009,985,1994
大沢３丁目,936,855,931,1786
大沢４丁目,1331,1425,1507,2932
大沢５丁目,854,1002,1019,2021
大沢６丁目,735,757,760,1517
小計,6104,6530,6616,13146
合計,91933,90529,94260,184789
平成28年５月１日現在,,,,
地域別（町丁目）,世帯数,人口（男）,人口（女）,総計
下連雀１丁目,1559,1458,1512,2970
下連雀２丁目,1779,1703,1751,3454
下連雀３丁目,5878,4507,5223,9730
下連雀４丁目,3265,2921,3138,6059
下連雀５丁目,1787,1784,2202,3986
下連雀６丁目,2049,1973,2110,4083
下連雀７丁目,2307,2305,2570,4875
下連雀８丁目,1550,1772,1922,3694
下連雀９丁目,1988,2408,2575,4983
小計,22162,20831,23003,43834
牟礼１丁目,1075,975,1033,2008
牟礼２丁目,1967,1825,1995,3820
牟礼３丁目,911,938,848,1786
牟礼４丁目,1532,1623,1731,3354
牟礼５丁目,1366,1339,1356,2695
牟礼６丁目,2783,3085,3167,6252
牟礼７丁目,856,912,878,1790
小計,10490,10697,11008,21705
井の頭１丁目,2517,2136,2384,4520
井の頭２丁目,2103,1595,1851,3446
井の頭３丁目,1246,1097,1220,2317
井の頭４丁目,1083,1014,998,2012
