施設名,施設名カナ,カテゴリ１,カテゴリ２,トイレ,授乳スペース,おむつ替え,住所,URL,電話番号,経度,緯度
文花児童館,ブンカジドウカン,赤ちゃん休けいスポット,公共施設,,授乳,おむつ,墨田区文花一丁目32番11号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/bunka.html,03-3619-5753,139.824397,35.708691
本所地域プラザ「BIGSHIP」,ホンジョチイキプラザ「ビッグシップ」,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区本所一丁目13番4号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/honjyo_chiikiplaza/index.html,03-6658-4601,139.7987991,35.7031212
みどりコミュニティセンター,ミドリコミュニティセンター,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区緑三丁目7番3号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/midori_communityc.html,03-5600-5811,139.803278,35.693598
緑図書館,ミドリトショカン,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区緑二丁目24番5号,http://www.library.sumida.tokyo.jp/libguide?10&pid=29,03-3631-4621,139.800613,35.69574
向島保健センター,ムコウジマホケンセンター,赤ちゃん休けいスポット,公共施設,,授乳,おむつ,墨田区東向島五丁目16番2号,http://www.city.sumida.lg.jp/sisetu_info/hoken_iryousisetu/mukouzima_hoken.html,03-3611-6135,139.821203,35.72591
八広児童館,ヤヒロジドウカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区八広二丁目38番14号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/yahiro.html,03-3611-2227,139.827933,35.715877
八広地域プラザ「吾嬬の里」,ヤヒロチイキプラザ「アヅマノサト」,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区八広四丁目35番17号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/yahiro_chiikiplaza/index.html,03-6657-0471,139.829377,35.723165
八広図書館,ヤヒロトショカン,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区八広五丁目10番1号104号室,http://www.library.sumida.tokyo.jp/libguide?11&pid=30,03-3616-0846,139.825801,35.724809
八広はなみずき児童館,ヤヒロハナミズキジドウカン,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区八広四丁目27番8号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/zidoukan/yahiro_hanamizuki.html,03-3617-7060,139.82942,35.724575
横川コミュニティ会館,ヨコカワコミュニティカイカン,赤ちゃん休けいスポット,公共施設,トイレ,,おむつ,墨田区横川五丁目9番1号,http://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/yokokawa/index.html,03-5608-4500,139.817461,35.705206
両国屋内プール,リョウゴクオクナイプール,赤ちゃん休けいスポット,公共施設,,授乳,おむつ,墨田区横網一丁目8番1号　両国中学校内,http://www.city.sumida.lg.jp/sisetu_info/sports/ryougoku/index.html,03-5610-0050,139.796287,35.697776
両国子育てひろば,リョウゴクコソダテヒロバ,赤ちゃん休けいスポット,公共施設,トイレ,授乳,おむつ,墨田区横網一丁目2番13号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/kosodate_hiroba.html,03-3621-6455,139.792447,35.697856
アスク両国保育園,アスクリョウゴクホイクエン,赤ちゃん休けいスポット,認証保育所,,,おむつ,墨田区亀沢二丁目14番9号,http://www.nihonhoiku.co.jp/facilities/hoikuen/ryogoku/,03-5608-4382,139.8011501,35.6977116
ゆらりん曳舟保育園,ユラリンヒキフネホイクエン,赤ちゃん休けいスポット,認証保育所,トイレ,,おむつ,墨田区京島一丁目38番1-107号,http://www.lifesupport.co.jp/child/yurarin/hikifune/index.html,03-5631-6888,139.81832,35.718049
保育園夢未来錦糸町園,ホイクエンユメミライキンシチョウエン,赤ちゃん休けいスポット,認証保育所,,授乳,おむつ,墨田区太平三丁目3番12号,http://www.gakidaisyo.co.jp/kinshicho.html,03-5637-8737,139.814096,35.699717
梅若保育園,ウメワカホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区墨田二丁目38番13号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/umewaka_hoiku/index.html,03-3611-6571,139.817607,35.730793
おむらい保育園,オムライホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区文花一丁目32番1号103号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/omurai_hoiku/index.html,03-3613-5391,139.824433,35.707797
鐘ヶ淵北保育園,カネガフチキタホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区堤通二丁目8番15号109号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/kanegahutikita_hoiku/index.html,03-3619-8531,139.817221,35.735897
亀沢保育園,カメザワホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区亀沢一丁目27番5号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/kamezawa_hoiku/index.html,03-3624-7781,139.799427,35.698556
江東橋保育園,コウトウバシホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区緑四丁目35番9号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/kotobashi_hoiku/index.html,03-3631-2411,139.807469,35.695781
江東橋保育園（分園）,コウトウバシホイクエン（ブンエン）,赤ちゃん休けいスポット,保育園,トイレ,,おむつ,墨田区亀沢三丁目12番5号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/kotobashibu_hoiku/index.html,03-3623-0152,139.804502,35.69714
しらひげ保育園,シラヒゲホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区堤通二丁目5番5号101号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/shirahige_hoiku/index.html,03-3611-1580,139.813903,35.730935
水神保育園,スイジンホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区堤通二丁目6番9号103号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/suijin_hoiku/index.html,03-3616-1970,139.815873,35.733398
すみだ保育園,スミダホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区墨田四丁目22番4号101号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/sumida_hoiku/index.html,03-3619-5844,139.823048,35.732047
太平保育園,タイヘイホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区太平一丁目13番10号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/taihei_hoiku/index.html,03-3626-0776,139.810371,35.700095
たちばな保育園,タチバナホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区立花三丁目21番16号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/tachibana_hoiku/index.html,03-3617-7950,139.83434,35.707091
立川保育園,タテカワホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区立川一丁目5番2号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/tatekawa_hoiku/index.html,03-3633-6960,139.799566,35.690474
寺島保育園,テラジマホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区東向島一丁目23番10号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/terajima_hoiku/index.html,03-3614-0311,139.812601,35.720181
長浦保育園,ナガウラホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,おむつ,墨田区八広五丁目10番1号105号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/nagaura_hoiku/index.html,03-3616-7227,139.825747,35.72479
中川保育園,ナカガワホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区東墨田二丁目1番15号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/nakagawa_hoiku/index.html,03-3612-2968,139.830587,35.718702
中川南保育園,ナカガワミナミホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区立花六丁目8番2号106号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/nakagawaminami_hoiku/index.html,03-3616-4141,139.835519,35.710431
花園保育園,ハナゾノホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区東向島三丁目16番2号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/hanazono_hoiku/index.html,03-3614-5430,139.814625,35.72468
東あずま保育園,ヒガシアズマホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,おむつ,墨田区立花一丁目27番6号101号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/higashiazuma_hoiku/index.html,03-3613-2868,139.829229,35.704459
東駒形保育園,ヒガシコマガタホイクエン,赤ちゃん休けいスポット,保育園,,授乳,おむつ,墨田区東駒形一丁目6番8号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/higasikomagata_hoiku/index.html,03-3625-8672,139.798161,35.705406
福神橋保育園,フクジンバシホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区文花一丁目30番21号101号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/hukujinbashi_hoiku/index.html,03-3611-7721,139.822277,35.708174
文花保育園,ブンカホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,,墨田区文花一丁目24番5号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/bunka_hoiku/index.html,03-3611-6068,139.823212,35.709755
八広保育園,ヤヒロホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区八広三丁目7番5号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/yahiro_hoiku/index.html,03-3617-2323,139.826387,35.720913
横川橋保育園,ヨコカワバシホイクエン,赤ちゃん休けいスポット,保育園,トイレ,,おむつ,墨田区太平一丁目27番13号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/yokokawabashi_hoiku/index.html,03-3622-3323,139.810873,35.702198
押上保育園,オシアゲホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区押上二丁目10番17号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/oshiage_hoiku/index.html,03-3623-6030,139.811793,35.711381
わらべみどり保育園,ワラベミドリホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区緑三丁目12番2号,http://www.ans.co.jp/n/warabemidori/,03-5638-1551,139.80445,35.694559
あおやぎ保育園,アオヤギホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区東向島四丁目37番17号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/aoyagi_hoiku/index.html,03-3614-6789,139.819226,35.725832
きんし保育園,キンシホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区江東橋四丁目30番2号301号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/kinshi/index.html,03-3635-1001,139.818948,35.696602
ひきふね保育園,ヒキフネホイクエン,赤ちゃん休けいスポット,保育園,,授乳,おむつ,墨田区八広一丁目1番18号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/hikihune/index.html,03-3610-0263,139.821339,35.72007
横川さくら保育園,ヨコカワサクラホイクエン,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区横川五丁目9番1号,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/yokokawasakura/index.html,03-5608-4525,139.817575,35.705023
横川さくら保育園（分園）,ヨコカワサクラホイクエン（ブンエン）,赤ちゃん休けいスポット,保育園,トイレ,授乳,おむつ,墨田区立花一丁目23番5号206号室,http://www.city.sumida.lg.jp/sisetu_info/kosodate/hoikuen/kuritu_hoikuen/yokokawasakurabu/index.html,03-3612-5525,139.831219,35.706644
緑幼稚園,ミドリヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区緑二丁目11番5号,http://www.sumida.ed.jp/midoriyo/,03-3635-1395,139.801845,35.694147
柳島幼稚園,ヤナギシマヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区横川五丁目2番30号,http://www.sumida.ed.jp/yanagishimayo/index.html,03-3625-1344,139.817524,35.703311
菊川幼稚園,キクカワヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区立川四丁目12番15号,http://www.sumida.ed.jp/kikukawayo/,03-3633-5300,139.807336,35.691487
第三寺島幼稚園,ダイサンテラジマヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区東向島六丁目8番1号,http://www.sumida.ed.jp/santerajimayo/index.html,03-3614-6867,139.820417,35.721429
曳舟幼稚園,ヒキフネヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区京島一丁目28番2号,http://www.sumida.ed.jp/hikifuneyo/index.html,03-3618-0636,139.82081,35.716029
八広幼稚園,ヤヒロヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区八広五丁目12番15号,http://www.sumida.ed.jp/yahiroyo/index.html,03-3614-8440,139.8256,35.72658
立花幼稚園,タチバナヨウチエン,赤ちゃん休けいスポット,幼稚園,トイレ,授乳,おむつ,墨田区立花一丁目25番9号,http://www.sumida.ed.jp/tachibanayo/index.html,03-3618-4419,139.831726,35.704833
（株）オオゼキ　菊川店,（カブ）オオゼキ　キクカワテン,赤ちゃん休けいスポット,,,,おむつ,墨田区菊川3-15-12,,,,
（株）カズン八広店,（カブ）カズンヤヒロテン,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区八広1-7-8,,,,
（株）片岡屏風店,（カブ）カタオカビョウブテン,赤ちゃん休けいスポット,,トイレ,授乳,,墨田区向島1-31-6,,,,
（株）キャニオン,（カブ）キャニオン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区八広6-52-15,,,,
（株）四季園芸,（カブ）シキエンゲイ,赤ちゃん休けいスポット,,トイレ,,,墨田区本所3-19-8,,,,
（株）隅田屋商店,（カブ）スミダヤショウテン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東駒形1-6-1,,,,
（株）なぎさ　葬儀相談センター,（カブ）ナギサ　ソウギソウダンセンター,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区江東橋4-5-10　1F,,,,
（有）小梅寿司,（ユウ）コウメスシ,赤ちゃん休けいスポット,,,授乳,,墨田区向島1-32-10,,,,
（有）関口,（ユウ）セキグチ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区本所4-19-12,,,,
BUNKAN,BUNKAN,赤ちゃん休けいスポット,,トイレ,,,墨田区京島3-17-7,,,,
Caf? chopin　カフェ・ショパン,Caf? chopin　カフェ・ショパン,赤ちゃん休けいスポット,,トイレ,,,墨田区押上2-5-1,,,,
CAF?　のらくろ,CAF?　ノラクロ,赤ちゃん休けいスポット,,トイレ,,,墨田区京島3-54-17,,,,
ENDO　GYM,ENDO　GYM,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区江東橋4-22-4,,,,
for‐R整体院,for‐Rセイタイイン,赤ちゃん休けいスポット,,,授乳,,墨田区錦糸1-7-16　1F,,,,
Grow/Grow device,Grow/Grow device,赤ちゃん休けいスポット,,トイレ,,,墨田区江東橋4-24-9　1F,,,,
Hair ＆Make　CORte,Hair ＆Make　CORte,赤ちゃん休けいスポット,,トイレ,,,墨田区押上-52-7,,,,
HOLLY,HOLLY,赤ちゃん休けいスポット,,トイレ,,,墨田区向島2-22-10,,,,
NPO法人とらいあんぐるライフスペース　隅田作業所,NPOホウジントライアングルライフスペース　スミダサギョウショ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区八広3-1-5-101,,,,
TOMORROW,TOMORROW,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区亀沢4-8-5,,,,
UCAN　SPORTSショップ,UCAN　SPORTSショップ,赤ちゃん休けいスポット,,トイレ,授乳,,墨田区緑2-11-2　1F,,,,
アールズゼロ美容室,アールズゼロビヨウシツ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区東向島2-34-1-101,,,,
アカチャンホンポ錦糸町店,アカチャンホンポキンシチョウテン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区錦糸2-2-1　アルカキット錦糸町５階,,,,
アクア鍼灸整骨院,アクアシンキュウセイコツイン,赤ちゃん休けいスポット,,,授乳,,墨田区太平3-4-3　1F,,,,
アズマカイロプラクティック,アズマカイロプラクティック,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区太平3-7-3　1F,,,,
アトリエ創藝館,アトリエソウゲイカン,赤ちゃん休けいスポット,,トイレ,,,墨田区横川2-10-1,,,,
あゆみケアサービス,アユミケアサービス,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区墨田5-43-9,,,,
荒井湯,アライユ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区本所2-8-7,,,,
アルカキット錦糸町,アルカキットキンシチョウ,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区錦糸2-2-1,,,,
居食屋　幸,イショクヤ　サチ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区八広1-37-12,,,,
イトーヨーカドー曳舟店,イトーヨーカドーヒキフネテン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区京島1-2-1,,,,
いまくに接骨院,イマクニセッコツイン,赤ちゃん休けいスポット,,,,おむつ,墨田区太平3-18-1,,,,
ウエル学院平野進学教室,ウエルガクインヒラノシンガクキョウシツ,赤ちゃん休けいスポット,,,授乳,,墨田区東向島6-5-9,,,,
エース鍼灸整骨院,エースシンキュウセイコツイン,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区京島1-53-9　1F,,,,
ENEOSガソリンスタンド,エネオスガソリンスタンド,赤ちゃん休けいスポット,,トイレ,,,墨田区八広5-1-4,,,,
オリンピック墨田文花店,オリンピックスミダブンカテン,赤ちゃん休けいスポット,,トイレ,,,墨田区文花1-31-9,,,,
尾張屋,オワリヤ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区本所2-8-4,,,,
ガスト押上店,ガストオシアゲテン,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区業平3-17-9,,,,
ガスト錦糸町北口店,ガストキンシチョウキタグチテン,赤ちゃん休けいスポット,,,,おむつ,墨田区錦糸1-17-10,,,,
CUT STUDIO K｀s platz,カット　スタジオ K｀s platz,赤ちゃん休けいスポット,,トイレ,,,墨田区押上3-37-5,,,,
CUT STUDIO KOJIMA,カット　スタジオ　コジマ,赤ちゃん休けいスポット,,トイレ,,,墨田区八広1-36-10　1F,,,,
カメカフェ,カメカフェ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区石原1-23-4,,,,
かもめ押上,カモメオシアゲ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区押上3-6-6-102,,,,
河のや,カワノヤ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東駒形4-11-6,,,,
革バック工房　KIYOKAWA,カワバックコウボウ　KIYOKAWA,赤ちゃん休けいスポット,,,授乳,,墨田区吾妻橋2-1-6,,,,
河原のあべ,カワラノアベ,赤ちゃん休けいスポット,,トイレ,,,墨田区向島5-24-2,,,,
きそ路,キソジ,赤ちゃん休けいスポット,,,授乳,おむつ,墨田区太平4-18-10,,,,
喫茶イーグル,キッサイーグル,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区八広5-23-13,,,,
喫茶店トワ・エ・モワ,キッサテントワ・エ・モワ,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区八広5-3-17,,,,
きものレンタル淑Yoshi,キモノレンタルヨシYoshi,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東駒形3-1-1,,,,
錦糸町飯店,キンシチョウハンテン,赤ちゃん休けいスポット,,トイレ,,,墨田区江東橋3-8-12　1Ｆ,,,,
健康食品サンショップ両国店,ケンコウショクヒンサンショップリョウゴクテン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区両国1-21-3,,,,
小菅（株）,コスゲ（カブ）,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区東向島2-33-2,,,,
コスモスあらいや,コスモスアライヤ,赤ちゃん休けいスポット,,トイレ,,,墨田区押上3-34-8,,,,
こりこりアロマ整骨院,コリコリアロマセイコツイン,赤ちゃん休けいスポット,,トイレ,授乳,おむつ,墨田区押上1-29-6　1F,,,,
ザ・ホテルベルグランデ,ザ・ホテルベルグランデ,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区両国2-19-1,,,,
埼玉屋小梅,サイタマヤコウメ,赤ちゃん休けいスポット,,トイレ,,,墨田区向島1-5-5,,,,
祥美容室,サチビヨウシツ,赤ちゃん休けいスポット,,,授乳,,墨田区千歳3-8-13-103,,,,
サミット両国石原店,サミットリョウゴクイシハラテン,赤ちゃん休けいスポット,,トイレ,,おむつ,墨田区石原1-40-6,,,,
サロンドオオモリ石原店,サロンドオオモリイシワラテン,赤ちゃん休けいスポット,,トイレ,,,蠅ｨ逕ｰ蛹ｺ遏ｳ蜴・・・9・・0・・01,,,,
サンシャイ,サンシャイ,赤ちゃん休けいスポット,,,授乳,,墨田区本所1-34-7　1Ｆ,,,,
三徳湯,サントクユ,赤ちゃん休けいスポット,,,,おむつ,墨田区八広6-8-8,,,,
