"町丁目","調査区域面積[平方メートル]","総合支所","樹木被覆地[平方メートル]","草地[平方メートル]","屋上緑地[平方メートル]","裸地[平方メートル]","水面[平方メートル]","緑被地[平方メートル]","緑被地+オープンスペース[平方メートル]","樹木被覆率[％]","草地率[％]","屋上緑地率[％]","裸地率[％]","水面率[％]","緑被率[％]","緑被地+オープンスペース率[％]"
"芝大門一丁目","83988","芝地区","7433","212","1381","0","0","9025","9025","8.85","0.25","1.64","0.00","0.00","10.75","10.75"
"芝大門二丁目","68694","芝地区","2276","0","241","0","0","2516","2516","3.31","0.00","0.35","0.00","0.00","3.66","3.66"
"芝公園一丁目","69868","芝地区","15086","293","1943","0","0","17322","17322","21.59","0.42","2.78","0.00","0.00","24.79","24.79"
"芝公園二丁目","98628","芝地区","15614","860","746","305","0","17220","17525","15.83","0.87","0.76","0.31","0.00","17.46","17.77"
"芝公園三丁目","220165","芝地区","68593","2963","1383","4353","0","72940","77293","31.16","1.35","0.63","1.98","0.00","33.13","35.11"
"芝公園四丁目","264684","芝地区","112369","18272","0","7345","0","130641","137986","42.45","6.90","0.00","2.78","0.00","49.36","52.13"
"虎ノ門一丁目","130033","芝地区","8697","10","4155","0","0","12861","12861","6.69","0.01","3.20","0.00","0.00","9.89","9.89"
"虎ノ門二丁目","127811","芝地区","16648","809","1763","0","0","19220","19220","13.03","0.63","1.38","0.00","0.00","15.04","15.04"
"虎ノ門三丁目","126633","芝地区","18361","930","1057","2047","0","20348","22395","14.50","0.73","0.83","1.62","0.00","16.07","17.69"
"虎ノ門四丁目","85123","芝地区","23057","223","245","0","0","23525","23525","27.09","0.26","0.29","0.00","0.00","27.64","27.64"
"虎ノ門五丁目","78623","芝地区","12196","390","2420","0","0","15007","15007","15.51","0.50","3.08","0.00","0.00","19.09","19.09"
"愛宕一丁目","36549","芝地区","14447","252","151","595","0","14851","15446","39.53","0.69","0.41","1.63","0.00","40.63","42.26"
"愛宕二丁目","40768","芝地区","19172","430","306","84","0","19907","19992","47.03","1.05","0.75","0.21","0.00","48.83","49.04"
"麻布狸穴町","19978","麻布地区","4842","65","399","520","0","5306","5826","24.24","0.33","2.00","2.60","0.00","26.56","29.17"
"麻布永坂町","50477","麻布地区","21829","1379","381","0","0","23590","23590","43.25","2.73","0.76","0.00","0.00","46.73","46.73"
"南麻布一丁目","158876","麻布地区","21689","1443","1286","454","502","24418","25374","13.65","0.91","0.81","0.29","0.32","15.37","15.97"
"南麻布二丁目","143077","麻布地区","14107","659","1243","131","1037","16009","17177","9.86","0.46","0.87","0.09","0.72","11.19","12.01"
"南麻布三丁目","192487","麻布地区","33899","3803","4258","1396","550","41960","43906","17.61","1.98","2.21","0.73","0.29","21.80","22.81"
"南麻布四丁目","261656","麻布地区","66895","10341","4489","701","1631","81726","84058","25.57","3.95","1.72","0.27","0.62","31.23","32.13"
"南麻布五丁目","233183","麻布地区","76381","6725","2838","10819","1466","85944","98230","32.76","2.88","1.22","4.64","0.63","36.86","42.13"
"元麻布一丁目","94750","麻布地区","25354","1552","1105","0","0","28010","28010","26.76","1.64","1.17","0.00","0.00","29.56","29.56"
"元麻布二丁目","141104","麻布地区","24396","923","2532","6467","176","27851","34494","17.29","0.65","1.79","4.58","0.12","19.74","24.45"
"元麻布三丁目","140354","麻布地区","26992","3021","2074","1203","0","32086","33290","19.23","2.15","1.48","0.86","0.00","22.86","23.72"
"西麻布一丁目","93779","麻布地区","7144","593","379","150","0","8115","8265","7.62","0.63","0.40","0.16","0.00","8.65","8.81"
"西麻布二丁目","143354","麻布地区","15243","928","882","685","0","17053","17738","10.63","0.65","0.61","0.48","0.00","11.90","12.37"
"西麻布三丁目","188761","麻布地区","26149","1734","2609","2008","0","30491","32499","13.85","0.92","1.38","1.06","0.00","16.15","17.22"
"西麻布四丁目","169710","麻布地区","25224","780","2226","4922","0","28230","33152","14.86","0.46","1.31","2.90","0.00","16.63","19.53"
"六本木一丁目","151165","麻布地区","47565","704","5109","48","0","53378","53426","31.47","0.47","3.38","0.03","0.00","35.31","35.34"
"六本木二丁目","73981","麻布地区","20223","4875","128","0","920","25226","26146","27.34","6.59","0.17","0.00","1.24","34.10","35.34"
"六本木三丁目","188970","麻布地区","19696","869","3668","0","0","24233","24233","10.42","0.46","1.94","0.00","0.00","12.82","12.82"
"六本木四丁目","94804","麻布地区","10590","983","1244","5208","0","12817","18024","11.17","1.04","1.31","5.49","0.00","13.52","19.01"
"六本木五丁目","203207","麻布地区","41340","4006","3377","5182","87","48723","53991","20.34","1.97","1.66","2.55","0.04","23.98","26.57"
"六本木六丁目","209017","麻布地区","37704","6207","10634","3591","501","54545","58637","18.04","2.97","5.09","1.72","0.24","26.10","28.05"
"六本木七丁目","277735","麻布地区","42639","10428","2767","12473","0","55834","68307","15.35","3.75","1.00","4.49","0.00","20.10","24.59"
"麻布台一丁目","122741","麻布地区","9191","1177","285","3143","105","10653","13901","7.49","0.96","0.23","2.56","0.09","8.68","11.33"
"麻布台二丁目","57759","麻布地区","14509","1156","1163","0","0","16828","16828","25.12","2.00","2.01","0.00","0.00","29.14","29.14"
"麻布台三丁目","37895","麻布地区","4637","65","147","0","0","4849","4849","12.24","0.17","0.39","0.00","0.00","12.80","12.80"
"麻布十番一丁目","56658","麻布地区","3093","47","424","0","0","3564","3564","5.46","0.08","0.75","0.00","0.00","6.29","6.29"
"麻布十番二丁目","66832","麻布地区","3850","0","527","488","0","4378","4866","5.76","0.00","0.79","0.73","0.00","6.55","7.28"
"麻布十番三丁目","33414","麻布地区","925","0","123","0","0","1047","1047","2.77","0.00","0.37","0.00","0.00","3.13","3.13"
"麻布十番四丁目","17086","麻布地区","1404","0","47","0","709","1451","2160","8.22","0.00","0.28","0.00","4.15","8.49","12.64"
"東麻布一丁目","90873","麻布地区","6841","324","851","1023","0","8015","9038","7.53","0.36","0.94","1.13","0.00","8.82","9.95"
"東麻布二丁目","100701","麻布地区","6637","685","862","384","574","8184","9142","6.59","0.68","0.86","0.38","0.57","8.13","9.08"
"東麻布三丁目","43349","麻布地区","2816","232","249","0","122","3297","3419","6.50","0.54","0.57","0.00","0.28","7.61","7.89"
"元赤坂一丁目","87762","赤坂地区","10435","556","1464","0","5674","12455","18129","11.89","0.63","1.67","0.00","6.47","14.19","20.66"
"元赤坂二丁目","723221","赤坂地区","464785","81855","98","8702","20891","546738","576331","64.27","11.32","0.01","1.20","2.89","75.60","79.69"
"赤坂一丁目","153316","赤坂地区","36046","1643","4041","139","0","41731","41870","23.51","1.07","2.64","0.09","0.00","27.22","27.31"
"赤坂二丁目","208052","赤坂地区","21408","1469","3032","932","0","25910","26842","10.29","0.71","1.46","0.45","0.00","12.45","12.90"
"赤坂三丁目","95365","赤坂地区","3051","361","694","137","0","4106","4244","3.20","0.38","0.73","0.14","0.00","4.31","4.45"
"赤坂四丁目","151793","赤坂地区","22069","1343","2425","507","0","25837","26344","14.54","0.88","1.60","0.33","0.00","17.02","17.36"
"赤坂五丁目","106982","赤坂地区","24344","845","1787","138","0","26976","27113","22.75","0.79","1.67","0.13","0.00","25.22","25.34"
"赤坂六丁目","182849","赤坂地区","40475","1689","2882","222","66","45046","45334","22.14","0.92","1.58","0.12","0.04","24.64","24.79"
"赤坂七丁目","163341","赤坂地区","29387","2824","1035","2383","0","33246","35629","17.99","1.73","0.63","1.46","0.00","20.35","21.81"
"赤坂八丁目","176340","赤坂地区","33032","2997","3808","0","0","39836","39836","18.73","1.70","2.16","0.00","0.00","22.59","22.59"
"赤坂九丁目","176962","赤坂地区","43081","7474","4144","997","1185","54699","56881","24.34","4.22","2.34","0.56","0.67","30.91","32.14"
"南青山一丁目","164558","赤坂地区","29369","11203","968","554","0","41540","42095","17.85","6.81","0.59","0.34","0.00","25.24","25.58"
"南青山二丁目","502230","赤坂地区","137776","38342","2246","1659","9","178364","180032","27.43","7.63","0.45","0.33","0.00","35.51","35.85"
"南青山三丁目","128810","赤坂地区","12716","1865","1532","567","0","16112","16679","9.87","1.45","1.19","0.44","0.00","12.51","12.95"
"南青山四丁目","207222","赤坂地区","37450","4343","1908","878","0","43701","44579","18.07","2.10","0.92","0.42","0.00","21.09","21.51"
"南青山五丁目","162614","赤坂地区","16192","704","2828","1169","0","19724","20893","9.96","0.43","1.74","0.72","0.00","12.13","12.85"
"南青山六丁目","133981","赤坂地区","28492","1013","844","594","54","30350","30998","21.27","0.76","0.63","0.44","0.04","22.65","23.14"
"南青山七丁目","99454","赤坂地区","14344","833","890","186","0","16067","16253","14.42","0.84","0.89","0.19","0.00","16.16","16.34"
"北青山一丁目","150369","赤坂地区","60392","5670","485","6425","0","66548","72973","40.16","3.77","0.32","4.27","0.00","44.26","48.53"
"北青山二丁目","200529","赤坂地区","24695","15031","1968","9155","0","41694","50850","12.32","7.50","0.98","4.57","0.00","20.79","25.36"
"北青山三丁目","151246","赤坂地区","20591","5043","2433","423","42","28067","28532","13.61","3.33","1.61","0.28","0.03","18.56","18.86"
"三田四丁目","242854","高輪地区","54624","4393","1573","10944","37","60589","71570","22.49","1.81","0.65","4.51","0.02","24.95","29.47"
"三田五丁目","115158","高輪地区","11556","149","319","297","0","12024","12320","10.04","0.13","0.28","0.26","0.00","10.44","10.70"
"高輪一丁目","248595","高輪地区","56588","3891","1148","6289","0","61628","67917","22.76","1.57","0.46","2.53","0.00","24.79","27.32"
"高輪二丁目","330186","高輪地区","63188","6013","2284","1260","56","71485","72802","19.14","1.82","0.69","0.38","0.02","21.65","22.05"
"高輪三丁目","436152","高輪地区","109769","4448","3875","7721","815","118092","126628","25.17","1.02","0.89","1.77","0.19","27.08","29.03"
"高輪四丁目","314670","高輪地区","70005","8835","3190","12","0","82031","82043","22.25","2.81","1.01","0.00","0.00","26.07","26.07"
"白金一丁目","135543","高輪地区","11982","2885","650","1654","1021","15518","18192","8.84","2.13","0.48","1.22","0.75","11.45","13.42"
"白金二丁目","154777","高輪地区","44862","5174","1149","5648","16","51184","56848","28.98","3.34","0.74","3.65","0.01","33.07","36.73"
"白金三丁目","106877","高輪地区","8002","703","604","495","26","9309","9830","7.49","0.66","0.56","0.46","0.02","8.71","9.20"
"白金四丁目","156877","高輪地区","44749","6645","1456","3484","0","52849","56334","28.52","4.24","0.93","2.22","0.00","33.69","35.91"
"白金五丁目","97029","高輪地区","10416","965","326","1663","1060","11707","14430","10.74","0.99","0.34","1.71","1.09","12.07","14.87"
"白金六丁目","119977","高輪地区","19581","895","422","395","0","20899","21294","16.32","0.75","0.35","0.33","0.00","17.42","17.75"
"白金台一丁目","147576","高輪地区","40416","2987","593","25","436","43996","44457","27.39","2.02","0.40","0.02","0.30","29.81","30.12"
"白金台二丁目","151718","高輪地区","30940","1364","973","2147","0","33277","35424","20.39","0.90","0.64","1.42","0.00","21.93","23.35"
"白金台三丁目","159213","高輪地区","33742","1267","797","3092","0","35806","38897","21.19","0.80","0.50","1.94","0.00","22.49","24.43"
"白金台四丁目","161583","高輪地区","34864","6777","931","2000","172","42572","44744","21.58","4.19","0.58","1.24","0.11","26.35","27.69"
"白金台五丁目","362827","高輪地区","233387","4971","1622","1898","1472","239980","243350","64.32","1.37","0.45","0.52","0.41","66.14","67.07"
"芝浦一丁目","287447","芝浦港南地区","30750","5483","3130","6337","24033","39364","69734","10.70","1.91","1.09","2.20","8.36","13.69","24.26"
"芝浦二丁目","143201","芝浦港南地区","16573","246","587","0","22148","17406","39554","11.57","0.17","0.41","0.00","15.47","12.16","27.62"
"芝浦三丁目","261375","芝浦港南地区","32381","3082","3448","0","17906","38911","56817","12.39","1.18","1.32","0.00","6.85","14.89","21.74"
"芝浦四丁目","550667","芝浦港南地区","69744","6877","3752","11086","72539","80372","163997","12.67","1.25","0.68","2.01","13.17","14.60","29.78"
"海岸二丁目","163955","芝浦港南地区","11066","1224","317","0","20768","12608","33376","6.75","0.75","0.19","0.00","12.67","7.69","20.36"
"海岸三丁目","589977","芝浦港南地区","40625","5995","1038","4156","37518","47658","89332","6.89","1.02","0.18","0.70","6.36","8.08","15.14"
"港南一丁目","411673","芝浦港南地区","70105","22671","5901","0","32016","98677","130693","17.03","5.51","1.43","0.00","7.78","23.97","31.75"
"港南二丁目","688749","芝浦港南地区","42715","5964","10593","27350","21358","59272","107981","6.20","0.87","1.54","3.97","3.10","8.61","15.68"
"港南三丁目","230046","芝浦港南地区","27800","7009","1370","16180","21560","36179","73919","12.08","3.05","0.60","7.03","9.37","15.73","32.13"
"港南四丁目","431734","芝浦港南地区","80351","55468","2933","10898","34953","138752","184603","18.61","12.85","0.68","2.52","8.10","32.14","42.76"
"港南五丁目","441271","芝浦港南地区","29917","4834","2564","3536","0","37315","40851","6.78","1.10","0.58","0.80","0.00","8.46","9.26"
"台場一丁目","427147","芝浦港南地区","126078","35987","3131","1989","0","165197","167186","29.52","8.43","0.73","0.47","0.00","38.67","39.14"
"台場二丁目","223640","芝浦港南地区","28913","6414","3044","262","0","38371","38632","12.93","2.87","1.36","0.12","0.00","17.16","17.27"

"※調査区域面積は行政界図形面積とするため、区公表面積と異なる",,,,,,,,,,,,,,,,
"※緑被地は樹木被覆地、草地、屋上緑地とする",,,,,,,,,,,,,,,,
"※オープンスペースは樹木被覆地、草地、屋上緑地、裸地、水面とする",,,,,,,,,,,,,,,,
"※面積は小数第1位、率は小数第3位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,,,,,,

"港区みどりの実態調査（第１０次）町丁目別緑被地等一覧","Ver202203",,,,,,,,,,,,,,,
