地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／新生活運動 New Community Practices,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
2,13225,23,稲城市,Inagi-shi,11,45,16,4,1,7,-,-,4,5,10,2,2,4,1,5,-,-,-,-
2,13227,24,羽村市,Hamura-shi,8,59,24,-,1,2,-,-,21,-,-,2,1,4,2,3,22,-,-,1
2,13228,25,あきる野市,Akiruno-shi,22,8,4,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,4
2,13229,26,西東京市,Nishitokyo-shi,14,209,174,6,8,5,-,61,94,-,14,9,9,-,-,-,-,-,-,3
1,13300,,郡部,All gun,21,101,39,4,-,1,1,5,28,3,13,7,-,7,3,20,6,-,-,3
2,13303,1,瑞穂町,Mizuho-machi,9,44,16,4,-,-,1,1,10,3,7,6,-,2,-,3,6,-,-,1
2,13305,2,日の出町,Hinode-machi,5,20,14,-,-,-,-,-,14,-,1,-,-,4,-,-,-,-,-,1
2,13307,3,檜原村,Hinohara-mura,2,6,3,-,-,-,-,2,1,-,2,1,-,-,-,-,-,-,-,-
2,13308,4,奥多摩町,Okutama-machi,5,31,6,-,-,1,-,2,3,-,3,-,-,1,3,17,-,-,-,1
1,13350,,島部,All islands,26,91,60,-,19,1,14,14,12,-,21,3,-,-,2,2,2,-,-,1
2,13361,1,大島町,Oshima-machi,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13362,2,利島村,Toshima-mura,1,8,5,-,-,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-
2,13363,3,新島村,Niijima-mura,2,6,3,-,-,-,-,1,2,-,-,1,-,-,-,-,2,-,-,-
2,13364,4,神津島村,Kozushima-mura,2,11,3,-,-,-,-,2,1,-,6,-,-,-,1,1,-,-,-,-
2,13381,5,三宅村,Miyake-mura,5,5,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-
2,13382,6,御蔵島村,Mikurajima-mura,-,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2,13401,7,八丈町,Hachijo-machi,7,39,35,-,19,-,6,10,-,-,2,-,-,-,1,-,-,-,-,1
2,13402,8,青ヶ島村,Aogashima-mura,1,18,14,-,-,-,8,-,6,-,1,2,-,-,-,1,-,-,-,-
2,13421,9,小笠原村,Ogasawara-mura,1,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成23年）TOKYO STATISTICAL YEARBOOK ( 2011 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,,,,,,,
17-8  社会教育施設数及び社会教育事業数 (平成22年度) 17-8  NUMBER OF SOCIAL EDUCATION FACILITIES AND SOCIAL EDUCATION PROGRAMS ( Fiscal Year 2010 ),,,,,,,,,,,,,,,,,,,,,,,,
注) 施設数は，平成23年5月1日現在の数値である。   ,,,,,,,,,,,,,,,,,,,,,,,,
Note: Number of facilities as of May 1， 2011. ,,,,,,,,,,,,,,,,,,,,,,,,
資料：都教育庁地域教育支援部生涯学習課 「区市町村生涯学習・社会教育行政データブック」 Source: Office of Education， TMG   ,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,
（単位　学級〔学級数〕， 事業〔事業数〕）(Units: Number of classes， number of programs),,,,,,,,,,,,,,,,,,,,,,,,
