"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201401,"集積所回収","ペットボトル",68500,4
201401,"拠点回収","紙パック",240,26
201401,"拠点回収","使用済み乾電池",0,"―"
201401,"拠点回収","ペットボトル",7260,4
201401,"拠点回収","使用済み小型家電製品",75,48
201401,"拠点回収","古着",0,"―"
201401,"拠点回収","使用済み蛍光灯",11,"―"
201401,"ピックアップ回収","金属製品等(不燃ごみからの回収)",15240,-26
201401,"ピックアップ回収","コード類（不燃ごみからの回収）",0,"―"
201401,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",0,"―"
201401,"ピックアップ回収","金属製品等（粗大ごみからの回収）",20030,4
201401,"ピックアップ回収","羽毛ふとん（粗大ごみからの回収）",270,"―　"
201401,"店頭回収","ペットボトル",10040,6
201402,"集積所回収","資源プラスチック",207590,4
201402,"集積所回収","古紙",563440,1
201402,"集積所回収","びん・缶",333969,3
201402,"集積所回収","ペットボトル",61970,2
201402,"拠点回収","紙パック",190,-5
201402,"拠点回収","使用済み乾電池",0,"―"
201402,"拠点回収","ペットボトル",5900,-1
201402,"拠点回収","使用済み小型家電製品",61,120
201402,"拠点回収","古着",1530,"―"
201402,"拠点回収","使用済み蛍光灯",13,"―"
201402,"ピックアップ回収","金属製品等(不燃ごみからの回収)",14020,-17
201402,"ピックアップ回収","コード類（不燃ごみからの回収）",1320,"―"
201402,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",648,"―"
201402,"ピックアップ回収","金属製品等（粗大ごみからの回収）",19310,1
201402,"ピックアップ回収","羽毛ふとん（粗大ごみからの回収）",180,"―"
201402,"店頭回収","ペットボトル",10580,14
201403,"集積所回収","資源プラスチック",228640,2
201403,"集積所回収","古紙",699420,6
201403,"集積所回収","びん・缶",356543,1
201403,"集積所回収","ペットボトル",68660,-1
201403,"拠点回収","紙パック",170,-39
201403,"拠点回収","使用済み乾電池",2020,"―"
201403,"拠点回収","ペットボトル",6150,-7
201403,"拠点回収","使用済み小型家電製品",76,42
201403,"拠点回収","古着",1210,"―"
201403,"拠点回収","使用済み蛍光灯",29,"―"
201403,"ピックアップ回収","金属製品等(不燃ごみからの回収)",17890,-13
201403,"ピックアップ回収","コード類（不燃ごみからの回収）",2050,"―"
201403,"ピックアップ回収","使用済み蛍光灯（不燃ごみからの回収）",665,"―"
201403,"ピックアップ回収","金属製品等（粗大ごみからの回収）",22510,10
201403,"ピックアップ回収","羽毛ふとん（粗大ごみからの回収）",0,"―"
201403,"店頭回収","ペットボトル",12420,17

"平成25年度　資源回収量【速報値】","Ver201403",,,
