,,,,,,,,,,(単位：トン）,,,,,
30,非鉄金属,35,-,35,-,-,-,"5,699","4,840",859,,,,,
31,金属製品,"4,260","1,375","2,885",-,-,-,"18,249","13,449","4,800",,,,,
32,鉄道車両,-,-,-,-,-,-,15,15,-,,,,,
33,完成自動車,-,-,-,-,-,-,"1,390","1,313",77,,,,,
34,その他輸送用車両,15,-,15,-,-,-,206,146,60,,,,,
35,二輪自動車,-,-,-,-,-,-,315,255,60,,,,,
36,自動車部品,"14,040","13,905",135,-,-,-,"32,312","5,321","26,991",,,,,
37,その他輸送機械,-,-,-,-,-,-,618,371,247,,,,,
38,産業機械,725,340,385,-,-,-,"29,922","8,582","21,340",,,,,
39,電気機械,"1,920",55,"1,865",-,-,-,"17,757","10,416","7,341",,,,,
40,測量・光学・医療機械,35,5,30,-,-,-,"10,909","2,165","8,744",,,,,
41,事務用機器,"2,150","2,145",5,"55,778","55,778",-,551,551,-,,,,,
42,その他機械,440,425,15,-,-,-,768,170,598,,,,,
化学工業品,,"12,160","5,935","6,225",-,-,-,"54,488","32,580","21,908",,,,,
43,陶磁器,-,-,-,-,-,-,653,653,-,,,,,
44,セメント,235,235,-,-,-,-,-,-,-,,,,,
45,ガラス類,805,805,-,-,-,-,"1,338","1,141",197,,,,,
46,窯業品,45,15,30,-,-,-,"5,852","1,954","3,898",,,,,
47,重油,-,-,-,-,-,-,-,-,-,,,,,
48,揮発油,-,-,-,-,-,-,6,6,-,,,,,
49,その他の石油,"1,875","1,615",260,-,-,-,331,201,130,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,,,,,
51,LPG/液化石油ガス,105,-,105,-,-,-,"2,470","2,423",47,,,,,
52,その他石油製品,205,195,10,-,-,-,318,278,40,,,,,
53,コークス,-,-,-,-,-,-,-,-,-,,,,,
54,石炭製品,-,-,-,-,-,-,15,15,-,,,,,
55,化学薬品,"6,215","1,525","4,690",-,-,-,"11,498","7,408","4,090",,,,,
56,化学肥料,"2,335","1,295","1,040",-,-,-,182,152,30,,,,,
57,その他化学工業品,340,250,90,-,-,-,"31,825","18,349","13,476",,,,,
軽工業品,,"116,065","48,725","67,340","41,046","11,736","29,310","160,541","148,330","12,211",,,,,
58,紙・パルプ,"47,735","3,060","44,675",-,-,-,"49,998","49,901",97,,,,,
59,糸及び紡績半製品,-,-,-,-,-,-,"2,459",380,"2,079",,,,,
60,その他繊維工業品,10,-,10,-,-,-,"1,502","1,121",381,,,,,
61,砂糖,"4,845","4,515",330,-,-,-,"12,529","8,456","4,073",,,,,
62,製造食品,"31,525","24,685","6,840","11,736","11,736",-,"33,753","28,386","5,367",,,,,
63,飲料,"18,980","14,175","4,805","29,310",-,"29,310","30,055","29,873",182,,,,,
64,水,"9,410",255,"9,155",-,-,-,"1,570","1,553",17,,,,,
65,たばこ,"3,310","1,965","1,345",-,-,-,-,-,-,,,,,
66,その他食料工業品,250,70,180,-,-,-,"28,675","28,660",15,,,,,
雑工業品,,"31,600","27,940","3,660",-,-,-,"29,482","21,551","7,931",,,,,
67,がん具,80,80,-,-,-,-,63,63,-,,,,,
68,衣服・身廻品・はきもの,240,185,55,-,-,-,"6,562","3,367","3,195",,,,,
69,文房具・運動娯楽用品・楽器,50,10,40,-,-,-,"6,052","3,191","2,861",,,,,
70,家具装備品,"1,360",250,"1,110",-,-,-,"2,292","2,193",99,,,,,
71,その他日用品,"11,675","10,695",980,-,-,-,"6,034","5,416",618,,,,,
72,ゴム製品,"6,310","5,845",465,-,-,-,"3,748","3,058",690,,,,,
73,木製品,5,-,5,-,-,-,"3,153","3,153",-,,,,,
74,その他製造工業品,"11,880","10,875","1,005",-,-,-,"1,578","1,110",468,,,,,
特殊品,,"114,355","32,433","81,922","410,318","358,572","51,746","251,566","145,183","106,383",,,,,
75,金属くず,5,5,-,-,-,-,"1,373","1,373",-,,,,,
76,再利用資材,-,-,-,-,-,-,"1,991","1,981",10,,,,,
77,動植物性製造飼肥料,"1,540","1,435",105,-,-,-,"30,933","30,933",-,,,,,
78,廃棄物,475,-,475,-,-,-,-,-,-,,,,,
79,廃土砂,10,10,-,-,-,-,-,-,-,,,,,
80,輸送用容器,"33,205","6,055","27,150",-,-,-,"10,870","10,116",754,,,,,
81,取合せ品,"79,120","24,928","54,192","410,318","358,572","51,746","206,399","100,780","105,619",,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,,,,,
