,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
37,その他輸送機械,347,205,6,"1,508","170,355",895,685,"3,052","6,861",583,653,315,194,195,702,-,386,345,60,-,37,その他輸送機械,,,
38,産業機械,"5,380","2,384","72,518","17,735","53,158","3,762","47,847","19,131","35,234","70,815","54,715","5,451","20,776","2,372","13,236","13,215","22,654","5,954","4,732","3,421",38,産業機械,,,
39,電気機械,"1,926","3,410","115,661","13,306","39,494","127,198","29,754","86,065","68,942","23,108","16,627","17,379","5,771","12,531","12,412","49,156","78,263","2,142","1,237","8,303",39,電気機械,,,
40,測量・光学・医療機械,341,349,"2,566","11,861","3,235","13,840","5,975","16,263","4,415","8,364","2,033","6,036","3,674","2,562","2,933",415,"6,508",732,316,437,40,測量・光学・医療機械,,,
41,事務用機器,51,30,198,336,-,858,513,"1,144","7,280",818,"1,804",606,45,560,180,-,"1,926",-,-,30,41,事務用機器,,,
42,その他機械,59,88,162,-,-,15,60,58,544,965,-,66,394,225,329,-,"2,482",71,803,409,42,その他機械,,,
化学工業品,,"27,770","26,387","38,270","122,618","102,929","24,782","25,809","105,383","20,230","82,278","46,015","19,723","106,787","31,851","67,835","11,741","4,915","38,543","45,473","42,840",化学工業品,,,,
43,陶磁器,291,341,351,"2,371","2,451","10,357","15,054",266,170,"1,126","1,121",90,"2,208","1,288",687,-,175,143,"1,709",988,43,陶磁器,,,
44,セメント,-,-,-,-,435,-,-,-,-,-,-,-,510,-,60,-,-,-,-,"5,745",44,セメント,,,
45,ガラス類,"7,489","1,123","3,583","20,421","2,667","1,659","2,692","2,966","2,126","4,529",115,43,"1,526",270,"1,371",62,840,"1,438",653,536,45,ガラス類,,,
46,窯業品,"4,945","1,253","10,122","2,959","50,832","2,112",71,"10,454",533,"2,600","2,211",15,"6,761",450,"3,396",165,138,26,429,"2,767",46,窯業品,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,
48,揮発油,-,-,-,-,-,-,-,-,-,45,-,-,-,-,17,-,-,120,-,-,48,揮発油,,,
49,その他の石油,75,45,-,55,-,-,-,118,-,"1,354",-,-,"1,822",-,516,-,-,"1,169","2,463",-,49,その他の石油,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,10,-,-,50,LNG/液化天然ガス,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,LPG/液化石油ガス,,,
52,その他石油製品,45,25,235,855,162,-,90,255,293,506,-,-,"1,273",990,481,-,-,720,"3,000",30,52,その他石油製品,,,
53,コークス,-,-,-,705,"1,429",-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス,,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,54,石炭製品,,,
55,化学薬品,"3,695","5,569","5,173","18,176","23,228","3,681",403,"8,931","8,663","22,794","3,395","1,770","29,239","5,760","15,786","3,710",510,"4,321","10,964",928,55,化学薬品,,,
56,化学肥料,650,299,915,"1,005","3,385",-,600,348,300,"2,985",45,-,540,-,932,180,75,-,-,-,56,化学肥料,,,
57,その他化学工業品,"10,580","17,732","17,891","76,071","18,340","6,973","6,824","82,045","8,145","46,309","39,128","17,805","62,893","23,093","44,589","7,624","3,177","30,596","26,255","31,846",57,その他化学工業品,,,
軽工業品,,"354,827","185,782","91,513","107,783","71,477","58,985","16,317","74,488","40,361","68,419","41,581","42,371","193,767","36,812","49,045","96,533","7,332","164,430","132,185","57,110",軽工業品,,,,
58,紙・パルプ,"56,596",577,"10,789","30,395","22,301","4,444","6,171","3,578","11,359","10,762","25,352",699,"15,238","1,606","9,896",624,822,"1,429","111,758",543,58,紙・パルプ,,,
59,糸及び紡績半製品,30,-,-,"5,977",60,30,526,562,345,248,"3,285",255,220,180,156,-,"3,150",75,"1,672",299,59,糸及び紡績半製品,,,
60,その他繊維工業品,463,136,"4,268","23,836","11,603","2,545","4,457","23,943","1,918","1,323","7,045","2,255","15,044","1,918","1,036",867,23,81,"7,559","1,865",60,その他繊維工業品,,,
61,砂糖,"2,467","9,529",-,30,240,-,-,120,-,"8,282",23,-,"1,117",-,"4,038",-,-,"1,011",495,"1,110",61,砂糖,,,
62,製造食品,"239,527","111,591","75,805","33,667","35,649","51,906","4,807","39,117","24,073","30,145","3,671","35,902","65,193","23,675","19,304","92,961","2,845","57,462","5,816","51,148",62,製造食品,,,
63,飲料,"18,036","25,635",351,"8,838",491,60,71,"1,425","1,661","6,482",45,"3,050","60,370","8,938","7,683","2,081",385,"77,313","4,705","1,665",63,飲料,,,
64,水,"36,496","38,194",150,240,-,-,-,529,-,150,-,-,"7,302",-,"6,743",-,-,277,-,-,64,水,,,
65,たばこ,-,-,-,-,383,-,-,189,-,"3,437","2,160",-,"2,476",-,15,-,81,"3,975",-,-,65,たばこ,,,
66,その他食料工業品,"1,212",120,150,"4,800",750,-,285,"5,025","1,005","7,590",-,210,"26,807",495,174,-,26,"22,807",180,480,66,その他食料工業品,,,
雑工業品,,"42,940","8,875","263,902","162,435","145,100","202,414","343,021","223,262","287,775","104,272","268,025","321,576","60,122","290,555","29,516","28,019","163,155","19,709","14,072","45,973",雑工業品,,,,
67,がん具,131,205,431,878,696,"9,948","51,656","1,883","19,024","4,648","5,362","21,700","1,308","9,780",708,-,"3,993",337,15,"1,231",67,がん具,,,
68,衣服・身廻品・はきもの,"1,579","1,747","90,384","24,923","60,527","106,938","187,780","46,300","92,939","6,896","126,089","207,795","7,964","205,473","8,014","16,165","17,395","3,281","8,528","10,153",68,衣服・身廻品・はきもの,,,
69,文房具・運動娯楽用品・楽器,"12,092","2,655","3,777","11,785","3,128","37,192","12,866","9,903","31,842","8,479","3,749","41,042","4,717","17,963","8,329","8,440","1,268","3,670","2,102","3,172",69,文房具・運動娯楽用品・楽器,,,
70,家具装備品,"3,007","2,677","72,243","53,297","54,583","40,251","78,306","78,357","112,704","28,855","33,512","46,017","14,462","46,633","6,286","1,076","13,902","5,527","1,123","15,298",70,家具装備品,,,
71,その他日用品,"19,839",580,"3,054","5,983","12,956",403,"3,178","2,888","12,722","2,337","40,584","1,196","3,417","1,049","1,471",533,"1,922","1,496",195,"4,956",71,その他日用品,,,
72,ゴム製品,86,315,"13,049","13,331","3,498","1,260","2,050","9,082","5,974","8,735","40,134",905,"16,635","1,854","1,475",-,"8,661","4,655",476,"5,073",72,ゴム製品,,,
73,木製品,"5,804",525,"78,320","45,971","6,343","1,287","5,133","65,992","4,528","37,928","3,216","1,494","9,864","2,744",226,"1,762","115,254",270,42,"5,211",73,木製品,,,
74,その他製造工業品,402,171,"2,644","6,267","3,369","5,135","2,052","8,857","8,042","6,394","15,379","1,427","1,755","5,059","3,007",43,760,473,"1,591",879,74,その他製造工業品,,,
特殊品,,"403,121","44,352","29,846","62,371","13,472","12,547","104,533","11,351","17,077","8,990","17,234","9,811","12,640","19,856","71,088","13,310","10,463","11,018","19,396","13,897",特殊品,,,,
75,金属くず,"2,114","3,621",917,"6,024",95,150,80,"1,635",276,"1,582",449,15,740,270,"6,145",239,"1,165",-,"4,293","2,138",75,金属くず,,,
76,再利用資材,"21,628",150,60,"1,676",-,-,-,405,300,450,150,-,150,-,"1,549",-,-,-,195,180,76,再利用資材,,,
77,動植物性製造飼肥料,"377,769","39,335","2,322","13,724",300,191,60,338,413,"1,150",47,315,"5,564","7,552","38,990","2,355",-,"1,486","4,799","6,119",77,動植物性製造飼肥料,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,
80,輸送用容器,"1,518","1,216","26,043","39,865","12,600","10,886","101,661","8,400","14,131","5,022","16,126","5,737","5,089","9,556","23,994","7,834","8,006","9,512","10,019","4,181",80,輸送用容器,,,
81,取合せ品,92,30,504,"1,082",477,"1,320","2,732",573,"1,957",786,462,"3,744","1,097","2,478",410,"2,882","1,292",20,90,"1,279",81,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
