,,,,,,,,,,,(単位：トン）,,,
34,その他輸送用車両,"19,817",369,"4,028","18,400","4,499",165,"1,183",407,"1,961","23,522",,,
35,二輪自動車,"1,029","1,982","1,054",255,503,402,236,"3,257","1,173","26,852",,,
36,自動車部品,"87,754","144,670","27,833","12,848","16,483","17,647","52,035","21,851","34,373","11,396",,,
37,その他輸送機械,"22,051",200,"4,725",285,"14,170",468,204,"1,432",547,"45,419",,,
38,産業機械,"268,100","117,294","111,755","18,117","148,837","6,393","62,417","29,487","44,306","86,536",,,
39,電気機械,"579,235","312,701","384,588","44,145","309,951",790,"65,620","25,506","32,558","263,059",,,
40,測量・光学・医療機械,"69,058","26,508","35,069","3,867","36,134","3,410","8,815","12,654","20,881","9,927",,,
41,事務用機器,"21,679","11,968","47,957","2,236","24,324",15,787,32,403,"1,823",,,
42,その他機械,"3,248","4,649","1,692",270,"4,243",15,643,260,697,985,,,
化学工業品,,"297,901","321,315","107,790","97,955","63,099","37,219","245,584","237,408","199,718","68,864",,,
43,陶磁器,"5,535","16,536","18,616","2,991","12,344",288,965,"1,845","9,398",30,,,
44,セメント,45,600,-,-,-,-,270,135,"1,080",-,,,
45,ガラス類,"60,307","7,679","5,488","8,589","11,580","1,057","6,211","4,342","1,893","6,534",,,
46,窯業品,"10,135","4,836","2,987","14,537","8,258","7,652","7,783","14,267","11,846","3,199",,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,
48,揮発油,-,1,-,-,-,-,-,30,30,-,,,
49,その他の石油,170,765,"1,823",-,-,"1,237","2,443","2,295","2,609",-,,,
50,LNG/液化天然ガス,15,-,-,-,-,30,30,22,57,-,,,
51,LPG/液化石油ガス,-,-,-,-,-,-,930,-,-,-,,,
52,その他石油製品,"1,575",555,508,187,"2,685","1,140",244,"1,484",269,-,,,
53,コークス,-,-,-,210,-,-,-,"1,980",-,-,,,
54,石炭製品,-,-,-,4,-,30,-,240,-,-,,,
55,化学薬品,"52,304","18,916","19,129","33,886","2,460","6,031","47,377","47,248","28,770","8,212",,,
56,化学肥料,"2,036",15,285,"6,465",30,300,"1,529","1,182",315,"4,945",,,
57,その他化学工業品,"165,779","271,412","58,954","31,086","25,742","19,454","177,802","162,338","143,451","45,944",,,
軽工業品,,"148,301","415,369","122,553","216,500","29,130","115,046","359,344","157,975","277,592","89,340",,,
58,紙・パルプ,"30,365","4,043","30,863","5,701","5,451","3,655","38,484","14,740","6,208","69,471",,,
59,糸及び紡績半製品,"3,147","3,166",185,951,798,-,"7,604",207,"3,363",75,,,
60,その他繊維工業品,"51,654","25,844","6,408","14,560","11,758",160,"27,920","5,421","7,645","18,495",,,
61,砂糖,350,135,180,255,"2,212","8,497","1,031","5,204",197,-,,,
62,製造食品,"57,749","374,588","52,291","192,395","8,258","35,031","146,294","91,683","142,129","1,224",,,
63,飲料,"3,560","7,233","25,883","2,563",487,"1,695","76,728","20,521","87,785",15,,,
64,水,187,-,"4,423",-,-,750,"1,009","19,816","20,169",-,,,
65,たばこ,96,-,672,-,166,-,"58,812",30,683,-,,,
66,その他食料工業品,"1,193",360,"1,648",75,-,"65,258","1,462",353,"9,413",60,,,
雑工業品,,"2,032,058","291,259","721,974","830,590","887,486","73,236","135,038","83,868","294,270","304,853",,,
67,がん具,"61,433","25,436","241,454","7,042","157,229",345,"2,250",785,812,"5,070",,,
68,衣服・身廻品・はきもの,"1,379,310","63,720","244,757","627,524","275,495","1,837","21,953","23,201","168,070","114,017",,,
69,文房具・運動娯楽用品・楽器,"86,230","7,634","78,407","24,842","92,836","1,080","20,044","14,875","15,460","5,267",,,
70,家具装備品,"327,876","68,540","79,331","61,118","292,502","4,753","25,559","15,655","28,384","80,929",,,
71,その他日用品,"42,198","27,133","17,714","14,044","17,201","2,251","14,678","9,259","14,946","82,548",,,
72,ゴム製品,"33,520","84,956","18,405","35,653","3,913","1,370","23,421","4,630","31,784",600,,,
73,木製品,"43,331","5,731","26,715","48,971","13,977","60,469","8,384","1,443","25,769","2,324",,,
74,その他製造工業品,"58,160","8,109","15,191","11,396","34,333","1,131","18,749","14,020","9,045","14,098",,,
特殊品,,"141,513","143,089","48,833","64,421","71,869","139,087","42,006","292,739","41,145","53,814",,,
75,金属くず,451,"1,935","1,698",60,142,"7,172","1,371","8,723","1,786",30,,,
76,再利用資材,929,480,690,-,30,251,"1,514","2,855",825,-,,,
77,動植物性製造飼肥料,"1,324","44,212","6,532","6,148",222,"125,129","5,670","257,568","6,958",75,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,,,
80,輸送用容器,"131,163","93,674","31,805","52,314","61,800","6,206","31,526","22,097","28,527","53,155",,,
81,取合せ品,"7,646","2,788","8,108","5,899","9,675",329,"1,925","1,496","3,049",554,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,,,
