,,,,,,,,,,,,,,,,,,,(単位：トン）
ポルト,5,5,-,諸港(ブルガリア),126,126,-,エヴァレット,"10,350","9,615",735,ポルトープランス,43,43,-,諸港(ペルー),56,56,-
諸港(ポルトガル),185,27,158,エストニア,"4,902","1,084","3,818",タコマ,"1,506,837","482,152","1,024,685",ドミニカ共和国,789,532,257,チリ,"375,225","3,407","371,818"
スペイン,"98,928","18,994","79,934",タリン,"2,464","1,068","1,396","ポートランド,オレゴン州","3,449","3,449",-,リオハイナ,267,248,19,アリカ,243,104,139
バルセロナ,"46,330","8,215","38,115",諸港(ｴｽﾄﾆｱ),"2,438",16,"2,422",オークランド,"1,077,417","92,289","985,128",カウセード,441,203,238,イクイケ,"3,022","1,550","1,472"
バレンシア,"39,837","7,679","32,158",ラトビア,"17,978",550,"17,428",サンフランシスコ,861,861,-,諸港(ドミニカ共和国),81,81,-,アントファガスタ,45,45,-
カルタヘナ,"1,794",-,"1,794",リガ,"17,438",540,"16,898",サクラメント,6,6,-,プエルトリコ,"2,874","2,709",165,バルパライソ,"104,695",690,"104,005"
マラガ,234,4,230,諸港(ラトビア),540,10,530,ロサンゼルス,"1,784,606","642,302","1,142,304",サンファン,"2,844","2,679",165,サンアントニオ,"79,774",392,"79,382"
アルヘシラス,"5,481",968,"4,513",リトアニア,"7,404","5,509","1,895",ロングビーチ,"1,097,269","667,077","430,192",諸港(プエルトリコ),30,30,-,プエルトモント,870,-,870
ビルバオ,"1,424",764,660,クライペタ,"6,808","5,304","1,504",サンディエゴ,353,353,-,トリニダード・トバゴ,"1,627","1,627",-,プンタ　アレナス,"1,518",-,"1,518"
ヒホン,158,-,158,諸港(リトアニア),596,205,391,ストックトン,8,8,-,トバコ島,1,1,-,リルケン,"176,107",83,"176,024"
カジス,56,15,41,ウクライナ,"2,280",779,"1,501",ホノルル,56,56,-,ポートオブスペイン,77,77,-,サン　ビセンテ,150,-,150
ビゴ,"2,903","1,055","1,848",オデッサ,"1,571",647,924,ベイタウン,60,60,-,ポイントリサス,"1,549","1,549",-,コロネル,"4,140",15,"4,125"
タラゴーナ,1,1,-,イリチェフスク,2,2,-,ブラウンスビル,44,44,-,ジャマイカ,175,160,15,諸港(チリ),"4,661",528,"4,133"
セビリア,30,30,-,諸港(ウクライナ),707,130,577,レークチャールス,7,7,-,キングストン,175,160,15,ブラジル,"175,100","71,954","103,146"
諸港(スペイン),680,263,417,クロアチア,"1,797",76,"1,721",ニューアーク,235,103,132,蘭領アンティル,19,19,-,サルバドル,151,151,-
イタリア,"203,083","33,429","169,654",リエカ,"1,653",74,"1,579",オレンジ,3,3,-,キュラソー,4,4,-,ビトリア,121,121,-
トリエステ,"32,276","5,536","26,740",諸港(クロアチア),144,2,142,リッチモンド，バージニア州,31,31,-,ウイレムスタット,15,15,-,リオデジャネイロ,350,350,-
ベネチア,"9,952",667,"9,285",スロベニア,"31,948","3,800","28,148",テキサスシティー,9,9,-,グレナダ,45,45,-,サントス,"54,086","39,504","14,582"
ジェノバ,"64,274","15,926","48,348",コーペル,"31,868","3,750","28,118",ウィルミントン，デラウェア州,2,2,-,セントジョージ,45,45,-,パラナグァ,"28,806",517,"28,289"
ラスペチア,"29,072","5,409","23,663",諸港(スロベニア),80,50,30,バンクーバー,"8,070","8,055",15,ベリーズ,366,31,335,リオグランデ,"4,565",650,"3,915"
リボルノ,"1,084",19,"1,065",モナコ,16,16,-,トーランス,"1,163","1,163",-,ベリーズ,366,31,335,イタジャイ及びナヴェガンテス,"1,619",286,"1,333"
ナポリ,"38,461","1,080","37,381",諸港(モナコ),16,16,-,諸港(アメリカ),"209,844","207,168","2,676",セントビンセント,30,30,-,マナウス,"26,239","26,235",4
カリアーリ,195,-,195,ジョージア,187,130,57,メキシコ,"195,566","12,705","182,861",キングスタウン,30,30,-,インビトゥーバ,"1,019",-,"1,019"
パレルモ,"1,956",1,"1,955",バツーミ,70,55,15,ベラクルス,218,-,218,米領ヴァージン,135,135,-,セペティバ及びイタグアイ,"1,282",22,"1,260"
カタニア,547,14,533,ポティ,75,45,30,プログレーソ,"3,506",-,"3,506",諸港(米領ヴァージン),135,135,-,諸港(ブラジル）,"56,862","4,118","52,744"
バリ,"2,467",1,"2,466",諸港（ジョージア）,42,30,12,エンセナーダ,319,139,180,バハマ,27,27,-,アルゼンチン,"5,618","1,946","3,672"
アンコナ,"4,260",175,"4,085",モンテネグロ,30,30,-,マンサニーヨ,"183,220","6,438","176,782",ナッソー,24,24,-,ブエノスアイレス,"2,600","1,804",796
ペザーロ,6,6,-,諸港(モンテネグロ),30,30,-,アルタミラ,555,-,555,諸港(バハマ),3,3,-,マルデルプラタ,60,-,60
ラベンナ,"2,345",45,"2,300",北アメリカ,"8,668,505","3,010,400","5,658,105",ラザロカルディナス,"2,879","1,259","1,620",ドミニカ,6,6,-,プエルトマドリン,"2,555",-,"2,555"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
