,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,,
34,その他輸送用車両,-,-,-,-,-,-,-,-,-,-,-,-,206,146,60,-,-,-,142,105,37,34,その他輸送用車両,,,,,
35,二輪自動車,-,-,-,-,-,-,-,-,-,-,-,-,315,255,60,-,-,-,5,5,-,35,二輪自動車,,,,,
36,自動車部品,-,-,-,"8,985",-,"8,985","8,941",-,"8,941",44,-,44,"23,327","5,321","18,006",-,-,-,"29,745","8,535","21,210",36,自動車部品,,,,,
37,その他輸送機械,-,-,-,-,-,-,-,-,-,-,-,-,618,371,247,-,-,-,-,-,-,37,その他輸送機械,,,,,
38,産業機械,-,-,-,317,-,317,317,-,317,-,-,-,"29,273","7,944","21,329",-,-,-,"1,925","1,520",405,38,産業機械,,,,,
39,電気機械,-,-,-,"33,399","23,921","9,478","33,190","23,744","9,446",209,177,32,"8,369","5,111","3,258",-,-,-,"2,115","1,670",445,39,電気機械,,,,,
40,測量・光学・医療機械,-,-,-,"25,585","13,938","11,647","25,321","13,901","11,420",264,37,227,"2,273",753,"1,520",-,-,-,25,15,10,40,測量・光学・医療機械,,,,,
41,事務用機器,-,-,-,521,521,-,521,521,-,-,-,-,30,30,-,"55,778","55,778",-,"1,280",725,555,41,事務用機器,,,,,
42,その他機械,-,-,-,"2,967","2,280",687,"2,546","2,019",527,421,261,160,170,170,-,-,-,-,"2,130",585,"1,545",42,その他機械,,,,,
化学工業品,,"2,470","2,423",47,"12,491","2,694","9,797","11,823","2,372","9,451",668,322,346,"45,560","29,338","16,222",-,-,-,"46,174","41,783","4,391",化学工業品,,,,,,
43,陶磁器,-,-,-,-,-,-,-,-,-,-,-,-,653,653,-,-,-,-,-,-,-,43,陶磁器,,,,,
44,セメント,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,370,370,-,44,セメント,,,,,
45,ガラス類,-,-,-,-,-,-,-,-,-,-,-,-,"1,338","1,141",197,-,-,-,290,285,5,45,ガラス類,,,,,
46,窯業品,-,-,-,-,-,-,-,-,-,-,-,-,"5,852","1,954","3,898",-,-,-,830,830,-,46,窯業品,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,,,
48,揮発油,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,-,-,-,-,-,-,-,-,-,-,-,-,331,201,130,-,-,-,"2,325","2,150",175,49,その他の石油,,,,,
50,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-,20,50,LNG/液化天然ガス,,,,,
51,LPG/液化石油ガス,"2,470","2,423",47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45,45,-,51,LPG/液化石油ガス,,,,,
52,その他石油製品,-,-,-,-,-,-,-,-,-,-,-,-,318,278,40,-,-,-,455,405,50,52,その他石油製品,,,,,
53,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,コークス,,,,,
54,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,15,15,-,-,-,-,-,-,-,54,石炭製品,,,,,
55,化学薬品,-,-,-,-,-,-,-,-,-,-,-,-,"11,498","7,408","4,090",-,-,-,"36,629","34,623","2,006",55,化学薬品,,,,,
56,化学肥料,-,-,-,-,-,-,-,-,-,-,-,-,182,152,30,-,-,-,"3,060","1,205","1,855",56,化学肥料,,,,,
57,その他化学工業品,-,-,-,"12,491","2,694","9,797","11,823","2,372","9,451",668,322,346,"25,367","17,530","7,837",-,-,-,"2,150","1,870",280,57,その他化学工業品,,,,,
軽工業品,,"6,694","6,694",-,"64,656","50,246","14,410","32,173","18,582","13,591","32,483","31,664",819,"110,085","106,445","3,640","29,310",-,"29,310","242,715","123,630","119,085",軽工業品,,,,,,
58,紙・パルプ,-,-,-,"1,222",-,"1,222","1,222",-,"1,222",-,-,-,"47,328","47,231",97,-,-,-,"77,065","15,020","62,045",58,紙・パルプ,,,,,
59,糸及び紡績半製品,-,-,-,-,-,-,-,-,-,-,-,-,"2,459",380,"2,079",-,-,-,-,-,-,59,糸及び紡績半製品,,,,,
60,その他繊維工業品,-,-,-,359,359,-,359,359,-,-,-,-,"1,502","1,121",381,-,-,-,50,50,-,60,その他繊維工業品,,,,,
61,砂糖,-,-,-,"7,351","1,310","6,041","6,961","1,310","5,651",390,-,390,"8,456","8,456",-,-,-,-,"41,330","3,605","37,725",61,砂糖,,,,,
62,製造食品,"4,889","4,889",-,"30,732","23,600","7,132","22,949","16,246","6,703","7,783","7,354",429,"15,847","14,963",884,-,-,-,"43,170","31,220","11,950",62,製造食品,,,,,
63,飲料,"1,805","1,805",-,667,667,-,667,667,-,-,-,-,"27,583","27,401",182,"29,310",-,"29,310","75,125","72,550","2,575",63,飲料,,,,,
64,水,-,-,-,-,-,-,-,-,-,-,-,-,"1,570","1,553",17,-,-,-,"4,390",445,"3,945",64,水,,,,,
65,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,80,-,65,たばこ,,,,,
66,その他食料工業品,-,-,-,"24,325","24,310",15,15,-,15,"24,310","24,310",-,"5,340","5,340",-,-,-,-,"1,505",660,845,66,その他食料工業品,,,,,
雑工業品,,"3,493","2,891",602,"36,529","28,043","8,486","33,937","26,190","7,747","2,592","1,853",739,"17,079","15,205","1,874",-,-,-,"81,333","72,118","9,215",雑工業品,,,,,,
67,がん具,-,-,-,-,-,-,-,-,-,-,-,-,63,63,-,-,-,-,35,35,-,67,がん具,,,,,
68,衣服・身廻品・はきもの,-,-,-,"15,958","11,586","4,372","15,412","11,157","4,255",546,429,117,"1,263","1,082",181,-,-,-,185,185,-,68,衣服・身廻品・はきもの,,,,,
69,文房具・運動娯楽用品・楽器,-,-,-,"11,571","8,462","3,109","10,964","8,462","2,502",607,-,607,"2,875","2,219",656,-,-,-,110,90,20,69,文房具・運動娯楽用品・楽器,,,,,
70,家具装備品,-,-,-,"4,225","4,225",-,"4,146","4,146",-,79,79,-,"1,872","1,773",99,-,-,-,"8,570","8,320",250,70,家具装備品,,,,,
71,その他日用品,"3,493","2,891",602,"2,509","2,425",84,"2,509","2,425",84,-,-,-,"2,827","2,827",-,-,-,-,"49,350","45,090","4,260",71,その他日用品,,,,,
72,ゴム製品,-,-,-,781,80,701,686,-,686,95,80,15,"3,668","2,978",690,-,-,-,570,410,160,72,ゴム製品,,,,,
73,木製品,-,-,-,"1,265","1,265",-,-,-,-,"1,265","1,265",-,"3,153","3,153",-,-,-,-,20,20,-,73,木製品,,,,,
74,その他製造工業品,-,-,-,220,-,220,220,-,220,-,-,-,"1,358","1,110",248,-,-,-,"22,493","17,968","4,525",74,その他製造工業品,,,,,
特殊品,,"30,363","15,510","14,853","24,819","23,810","1,009",437,-,437,"24,382","23,810",572,"857,314","322,606","534,708","176,934","154,082","22,852","149,856","51,646","98,210",特殊品,,,,,,
75,金属くず,-,-,-,379,165,214,214,-,214,165,165,-,"1,208","1,208",-,-,-,-,"1,870",55,"1,815",75,金属くず,,,,,
76,再利用資材,-,-,-,189,-,189,189,-,189,-,-,-,"1,981","1,981",-,-,-,-,"6,895",25,"6,870",76,再利用資材,,,,,
77,動植物性製造飼肥料,-,-,-,"16,115","16,115",-,-,-,-,"16,115","16,115",-,"29,613","29,613",-,-,-,-,"9,905","8,780","1,125",77,動植物性製造飼肥料,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,135","4,130",5,78,廃棄物,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,,,
80,輸送用容器,87,-,87,34,-,34,34,-,34,-,-,-,"10,749","10,116",633,-,-,-,"114,661","35,116","79,545",80,輸送用容器,,,,,
81,取合せ品,"30,276","15,510","14,766","8,102","7,530",572,-,-,-,"8,102","7,530",572,"813,763","279,688","534,075","176,934","154,082","22,852","12,390","3,540","8,850",81,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
