,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
60,その他繊維工業品,-,50,569,75,117,-,210,150,-,-,-,359,-,-,-,-,-,-,-,-,60,その他繊維工業品,,,
61,砂糖,-,"3,605","8,381",-,"4,525",45,"1,178",-,-,-,-,-,-,-,-,132,-,-,-,-,61,砂糖,,,
62,製造食品,"11,736","31,220","16,187","6,053","24,853","1,794","2,883","2,137",945,"3,398",-,"1,005","1,227",-,"1,214","1,407",683,604,421,-,62,製造食品,,,
63,飲料,-,"72,550","4,930",173,"14,090","17,988",385,"2,453","1,472","1,416",-,-,-,-,-,-,124,-,591,-,63,飲料,,,
64,水,-,445,"1,392",58,333,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,水,,,
65,たばこ,-,80,-,-,"1,965",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,たばこ,,,
66,その他食料工業品,-,660,"26,141","1,665","1,115",179,510,90,15,-,-,-,-,-,-,-,-,-,-,-,66,その他食料工業品,,,
雑工業品,,-,"73,118","9,426","10,329","28,693",630,"8,674","3,143",514,"1,684",-,"2,120",766,147,"1,237","1,007",608,391,947,-,雑工業品,,,,
67,がん具,-,35,35,-,80,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,67,がん具,,,
68,衣服・身廻品・はきもの,-,185,"1,321","3,148",185,85,"3,675",255,-,-,-,679,391,-,678,388,-,252,480,-,68,衣服・身廻品・はきもの,,,
69,文房具・運動娯楽用品・楽器,-,90,"2,194","4,116",10,30,"2,630",-,-,-,-,803,375,-,173,89,-,96,94,-,69,文房具・運動娯楽用品・楽器,,,
70,家具装備品,-,"8,320",855,"1,015",280,30,"1,286",634,-,-,-,543,-,-,281,460,-,23,373,-,70,家具装備品,,,
71,その他日用品,-,"45,210","2,416","1,665","10,650",15,405,120,-,"1,684",-,95,-,147,105,70,608,20,-,-,71,その他日用品,,,
72,ゴム製品,-,410,"1,423",-,"6,715",60,30,615,-,-,-,-,-,-,-,-,-,-,-,-,72,ゴム製品,,,
73,木製品,-,900,349,385,-,395,511,"1,412",486,-,-,-,-,-,-,-,-,-,-,-,73,木製品,,,
74,その他製造工業品,-,"17,968",833,-,"10,773",15,137,107,-,-,-,-,-,-,-,-,-,-,-,-,74,その他製造工業品,,,
特殊品,,"353,408","68,827","78,258","140,005","25,445","36,262","29,276","16,387",750,"11,576","11,879",-,"1,560","7,300","2,264",-,"1,381","1,225",-,"4,444",特殊品,,,,
75,金属くず,-,55,"1,309",-,5,4,-,60,-,-,-,-,-,-,-,-,-,-,-,-,75,金属くず,,,
76,再利用資材,-,25,49,-,-,-,"1,932",-,-,-,-,-,-,-,-,-,-,-,-,-,76,再利用資材,,,
77,動植物性製造飼肥料,-,"14,500","9,694","8,010","12,285","1,380",379,"6,945",-,-,-,-,-,-,"2,145",-,-,385,-,-,77,動植物性製造飼肥料,,,
78,廃棄物,-,"4,130",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,
79,廃土砂,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,
80,輸送用容器,-,"35,116",629,30,"5,580",630,"2,500","6,030",-,-,-,-,-,-,-,-,-,-,-,-,80,輸送用容器,,,
81,取合せ品,"353,408","15,001","66,577","131,965","7,565","34,248","24,465","3,352",750,"11,576","11,879",-,"1,560","7,300",119,-,"1,381",840,-,"4,444",81,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
