,,,,,,,,,,,(単位：トン）
54,石炭製品,-,-,510,-,-,-,-,-,-,-
55,化学薬品,"12,210","11,806","3,956","2,268","4,110","2,213","1,158",-,"3,702","2,547"
56,化学肥料,-,-,"1,000",-,-,-,-,-,-,-
57,その他化学工業品,"15,102","82,414","15,374","22,214","6,615","40,672","22,790","5,578","31,721","29,892"
軽工業品,,"2,409","1,112","12,447","5,607","10,350","12,106","5,908",715,972,"8,337"
58,紙・パルプ,"1,284",625,"9,820","2,538",423,"8,922","4,587",48,839,"3,247"
59,糸及び紡績半製品,22,-,-,20,35,90,47,-,-,62
60,その他繊維工業品,17,199,"1,052","2,149",425,793,565,379,23,730
61,砂糖,-,-,-,-,-,-,-,-,-,18
62,製造食品,"1,013",279,"1,569",812,"7,667","1,912",339,215,89,"4,079"
63,飲料,71,9,6,43,"1,560",389,257,73,21,80
64,水,-,-,-,45,-,-,-,-,-,119
65,たばこ,2,-,-,-,-,-,113,-,-,-
66,その他食料工業品,-,-,-,-,240,-,-,-,-,2
雑工業品,,"4,923","2,408","13,004","39,046","15,795","13,124","11,489","2,537","13,372","4,746"
67,がん具,21,-,-,323,77,-,-,60,322,124
68,衣服・身廻品・はきもの,341,60,116,"22,080",704,272,534,81,19,808
69,文房具・運動娯楽用品・楽器,277,"1,185",547,374,"2,129","1,314",556,124,165,"1,707"
70,家具装備品,"1,197",60,509,"5,089","4,947",812,"1,309",120,160,692
71,その他日用品,5,404,269,"6,576","1,396","1,440",383,30,258,102
72,ゴム製品,"1,278",443,"7,038","4,162","6,139","1,639",177,9,3,330
73,木製品,682,15,15,148,40,2,"4,862",-,-,90
74,その他製造工業品,"1,122",241,"4,510",294,363,"7,645","3,668","2,113","12,445",893
特殊品,,"85,849","5,117","41,974","11,382","13,318","24,725","12,313","116,178","4,927","26,525"
75,金属くず,60,"2,415","9,900",30,-,15,-,-,-,"1,695"
76,再利用資材,"84,466","2,401","26,010",117,-,"10,924","4,050","115,965",-,"22,533"
77,動植物性製造飼肥料,-,15,"1,053",30,126,"6,535","3,480",-,-,120
78,廃棄物,-,-,-,-,-,-,-,-,-,-
79,廃土砂,-,-,-,-,-,-,-,-,-,-
80,輸送用容器,696,96,"4,719","10,544",932,"6,800","3,588",161,"4,782","1,258"
81,取合せ品,627,190,292,661,"12,260",451,"1,195",52,145,919
分類不能のもの,,-,-,-,-,-,-,-,-,-,-
