,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,,
品種,,合計,,,品川,,,,,,,,,13号地その2,,,,,,品種,,,,,,,
,,,,,合計,,,品川コンテナ,,,品川外貿,,,合計,,,青海コンテナふ頭（公共）,,,,,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,計,輸出,輸入,,,,,,,,
軽工業品,,"5,458,931","646,357","4,812,574","561,766","38,675","523,091","545,530","38,467","507,063","16,236",208,"16,028","1,590,008","156,624","1,433,384","690,209","83,714","606,495",軽工業品,,,,,,,
58,紙・パルプ,"966,663","263,254","703,409","71,139","12,557","58,582","69,504","12,557","56,947","1,635",-,"1,635","273,922","68,765","205,157","120,203","35,777","84,426",58,紙・パルプ,,,,,,
59,糸及び紡績半製品,"56,960","3,492","53,468","10,428",261,"10,167","10,413",261,"10,152",15,-,15,"17,090",754,"16,336","9,493",266,"9,227",59,糸及び紡績半製品,,,,,,
60,その他繊維工業品,"379,021","59,430","319,591","61,630","7,144","54,486","61,426","7,105","54,321",204,39,165,"129,644","14,052","115,592","70,883","7,482","63,401",60,その他繊維工業品,,,,,,
61,砂糖,"53,613",370,"53,243","1,224",15,"1,209","1,224",15,"1,209",-,-,-,"10,103",223,"9,880","3,037",192,"2,845",61,砂糖,,,,,,
62,製造食品,"2,820,154","262,856","2,557,298","292,952","14,424","278,528","285,492","14,392","271,100","7,460",32,"7,428","974,389","62,514","911,875","435,936","34,386","401,550",62,製造食品,,,,,,
63,飲料,"754,795","50,720","704,075","106,470","3,826","102,644","103,537","3,689","99,848","2,933",137,"2,796","84,606","9,294","75,312","30,643","5,253","25,390",63,飲料,,,,,,
64,水,"178,136","5,320","172,816","1,265",421,844,"1,265",421,844,-,-,-,"57,841",736,"57,105","5,142",326,"4,816",64,水,,,,,,
65,たばこ,"77,778",218,"77,560","14,676",16,"14,660","10,687",16,"10,671","3,989",-,"3,989","4,464",37,"4,427","1,276",28,"1,248",65,たばこ,,,,,,
66,その他食料工業品,"171,811",697,"171,114","1,982",11,"1,971","1,982",11,"1,971",-,-,-,"37,949",249,"37,700","13,596",4,"13,592",66,その他食料工業品,,,,,,
雑工業品,,"11,630,444","1,174,765","10,455,679","1,128,154","118,265","1,009,889","1,116,046","118,185","997,861","12,108",80,"12,028","4,940,129","277,493","4,662,636","3,184,196","133,992","3,050,204",雑工業品,,,,,,,
67,がん具,"699,165","22,212","676,953","28,891","2,255","26,636","28,876","2,255","26,621",15,-,15,"327,369","6,212","321,157","186,136","2,919","183,217",67,がん具,,,,,,
68,衣服・身廻品・はきもの,"4,862,172","158,037","4,704,135","547,363","24,099","523,264","536,910","24,067","512,843","10,453",32,"10,421","2,075,130","61,687","2,013,443","1,503,980","12,917","1,491,063",68,衣服・身廻品・はきもの,,,,,,
69,文房具・運動娯楽用品・楽器,"818,096","126,831","691,265","70,454","11,036","59,418","69,612","11,024","58,588",842,12,830,"285,635","34,753","250,882","188,506","21,554","166,952",69,文房具・運動娯楽用品・楽器,,,,,,
70,家具装備品,"2,158,475","108,807","2,049,668","184,125","8,591","175,534","183,911","8,591","175,320",214,-,214,"929,157","29,427","899,730","573,970","14,169","559,801",70,家具装備品,,,,,,
71,その他日用品,"545,552","127,908","417,644","40,468","6,950","33,518","40,447","6,946","33,501",21,4,17,"247,958","14,814","233,144","186,483","7,855","178,628",71,その他日用品,,,,,,
72,ゴム製品,"803,330","354,845","448,485","58,075","10,284","47,791","58,044","10,253","47,791",31,31,-,"202,499","48,548","153,951","104,529","26,615","77,914",72,ゴム製品,,,,,,
73,木製品,"1,179,405","9,623","1,169,782","111,949","4,943","107,006","111,529","4,943","106,586",420,-,420,"666,410","1,749","664,661","306,070","1,137","304,933",73,木製品,,,,,,
74,その他製造工業品,"564,249","266,502","297,747","86,829","50,107","36,722","86,717","50,106","36,611",112,1,111,"205,971","80,303","125,668","134,522","46,826","87,696",74,その他製造工業品,,,,,,
特殊品,,"4,879,038","2,700,781","2,178,257","459,533","335,080","124,453","454,727","334,803","119,924","4,806",277,"4,529","1,748,298","935,782","812,516","870,640","550,809","319,831",特殊品,,,,,,,
75,金属くず,"143,357","71,316","72,041","31,755","28,233","3,522","31,755","28,233","3,522",-,-,-,"51,398","26,451","24,947","19,536","10,961","8,575",75,金属くず,,,,,,
76,再利用資材,"2,220,569","2,173,069","47,500","277,937","275,422","2,515","277,937","275,422","2,515",-,-,-,"807,847","789,811","18,036","496,314","489,161","7,153",76,再利用資材,,,,,,
77,動植物性製造飼肥料,"1,052,195","23,875","1,028,320","14,739","1,046","13,693","14,724","1,046","13,678",15,-,15,"393,959","13,396","380,563","47,126","4,215","42,911",77,動植物性製造飼肥料,,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃棄物,,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,廃土砂,,,,,,
80,輸送用容器,"1,150,053","196,466","953,587","116,359","19,054","97,305","111,570","18,779","92,791","4,789",275,"4,514","414,597","51,386","363,211","270,064","25,100","244,964",80,輸送用容器,,,,,,
81,取合せ品,"312,864","236,055","76,809","18,743","11,325","7,418","18,741","11,323","7,418",2,2,-,"80,497","54,738","25,759","37,600","21,372","16,228",81,取合せ品,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,,
