地域階層,地域,和暦（年度）,西暦（年度）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（本務者）／国立（人）,教員数（本務者）／国立／男（人）,教員数（本務者）／国立／女（人）,教員数（本務者）／公立（人）,教員数（本務者）／公立／男（人）,教員数（本務者）／公立／女（人）,教員数（本務者）／私立（人）,教員数（本務者）／私立／男（人）,教員数（本務者）／私立／女（人）,教員数（兼務者）（人）,教員数（兼務者）／国立（人）,教員数（兼務者）／公立（人）,教員数（兼務者）／私立（人）
2,渋谷区,令和4,2022,930,477,453,－,－,－,21,1,20,909,476,433,1532,－,125,1407
2,中野区,令和4,2022,251,138,113,－,－,－,－,－,－,251,138,113,415,－,－,415
2,杉並区,令和4,2022,144,94,50,－,－,－,－,－,－,144,94,50,369,－,－,369
2,豊島区,令和4,2022,763,410,353,－,－,－,－,－,－,763,410,353,2049,－,－,2049
2,北区,令和4,2022,137,70,67,－,－,－,－,－,－,137,70,67,246,－,－,246
2,荒川区,令和4,2022,81,33,48,－,－,－,－,－,－,81,33,48,525,－,－,525
2,板橋区,令和4,2022,151,26,125,－,－,－,20,1,19,131,25,106,546,－,102,444
2,練馬区,令和4,2022,34,29,5,－,－,－,－,－,－,34,29,5,56,－,－,56
2,足立区,令和4,2022,53,8,45,－,－,－,－,－,－,53,8,45,252,－,－,252
2,葛飾区,令和4,2022,68,50,18,－,－,－,－,－,－,68,50,18,169,－,－,169
2,江戸川区,令和4,2022,366,192,174,－,－,－,－,－,－,366,192,174,1171,－,－,1171
1,市部,令和4,2022,1089,579,510,8,2,6,102,5,97,979,572,407,2891,77,553,2261
2,八王子市,令和4,2022,304,193,111,－,－,－,12,2,10,292,191,101,666,－,113,553
2,立川市,令和4,2022,127,83,44,－,－,－,－,－,－,127,83,44,204,－,－,204
2,武蔵野市,令和4,2022,122,63,59,－,－,－,－,－,－,122,63,59,81,－,－,81
2,三鷹市,令和4,2022,21,14,7,－,－,－,－,－,－,21,14,7,25,－,－,25
2,青梅市,令和4,2022,43,21,22,－,－,－,19,2,17,24,19,5,154,－,101,53
2,府中市,令和4,2022,26,－,26,－,－,－,22,－,22,4,－,4,161,－,127,34
2,昭島市,令和4,2022,7,－,7,－,－,－,－,－,－,7,－,7,59,－,－,59
2,調布市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,町田市,令和4,2022,158,94,64,－,－,－,－,－,－,158,94,64,236,－,－,236
2,小金井市,令和4,2022,98,65,33,－,－,－,－,－,－,98,65,33,304,－,－,304
2,小平市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,日野市,令和4,2022,9,3,6,－,－,－,－,－,－,9,3,6,133,－,－,133
2,東村山市,令和4,2022,8,2,6,8,2,6,－,－,－,－,－,－,77,77,－,－
2,国分寺市,令和4,2022,54,21,33,－,－,－,－,－,－,54,21,33,28,－,－,28
2,国立市,令和4,2022,12,7,5,－,－,－,－,－,－,12,7,5,33,－,－,33
2,福生市,令和4,2022,4,－,4,－,－,－,－,－,－,4,－,4,5,－,－,5
2,狛江市,令和4,2022,10,－,10,－,－,－,－,－,－,10,－,10,143,－,－,143
2,東大和市,令和4,2022,29,－,29,－,－,－,29,－,29,－,－,－,101,－,101,－
2,清瀬市,令和4,2022,14,1,13,－,－,－,－,－,－,14,1,13,250,－,－,250
2,東久留米市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,武蔵村山市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,多摩市,令和4,2022,36,12,24,－,－,－,20,1,19,16,11,5,140,－,111,29
2,稲城市,令和4,2022,7,－,7,－,－,－,－,－,－,7,－,7,91,－,－,91
2,羽村市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,あきる野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,西東京市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,
１１－８　専修学校　区市町村、設置者別教員数,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,
