種別,地域階層,地域,和暦（年度）,西暦（年度）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,生徒数／本科（人）,生徒数／本科／男（人）,生徒数／本科／女（人）,生徒数／本科／全日制（人）,生徒数／本科／全日制／男（人）,生徒数／本科／全日制／女（人）,生徒数／本科／全日制／１学年／男（人）,生徒数／本科／全日制／１学年／女（人）,生徒数／本科／全日制／２学年／男（人）,生徒数／本科／全日制／２学年／女（人）,生徒数／本科／全日制／３学年／男（人）,生徒数／本科／全日制／３学年／女（人）,生徒数／本科／定時制（人）,生徒数／本科／定時制／男（人）,生徒数／本科／定時制／女（人）,生徒数／本科／定時制／１学年／男（人）,生徒数／本科／定時制／１学年／女（人）,生徒数／本科／定時制／２学年／男（人）,生徒数／本科／定時制／２学年／女（人）,生徒数／本科／定時制／３学年／男（人）,生徒数／本科／定時制／３学年／女（人）,生徒数／本科／定時制／４学年／男（人）,生徒数／本科／定時制／４学年／女（人）,生徒数／専攻科／男（人）,生徒数／専攻科／女（人）,生徒数／別科／男（人）,生徒数／別科／女（人）,本科の帰国生徒数（再掲）（人）
公立,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
公立,2,小笠原村,令和4,2022,48,29,19,48,29,19,48,29,19,10,7,10,5,9,7,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,0,総数,平成29,2017,176317,84912,91405,176246,84912,91334,174968,83944,91024,28120,30683,28106,30461,27718,29880,1278,968,310,344,106,306,105,318,99,－,－,－,71,－,－,485
私立,0,総数,平成30,2018,175382,84488,90894,175302,84488,90814,174103,83581,90522,28451,30627,27513,29933,27617,29962,1199,907,292,290,90,325,100,292,102,－,－,－,80,－,－,457
私立,0,総数,令和元,2019,173764,84386,89378,173694,84386,89308,172496,83491,89005,28589,30181,27857,29569,27045,29255,1198,895,303,312,113,272,92,311,98,－,－,－,70,－,－,460
私立,0,総数,令和2,2020,172856,83926,88930,172783,83926,88857,171632,83069,88563,27922,30083,27833,29388,27314,29092,1151,857,294,303,92,296,112,258,90,－,－,－,73,－,－,444
私立,0,総数,令和3,2021,171745,83606,88139,171681,83606,88075,170525,82744,87781,27987,29461,27354,29380,27403,28940,1156,862,294,281,92,293,90,288,112,－,－,－,64,－,－,422
私立,0,総数,令和4,2022,172009,84053,87956,171942,84053,87889,170815,83198,87617,29032,30356,27300,28586,26866,28675,1127,855,272,296,95,273,89,286,88,－,－,－,67,－,－,402
私立,1,区部,令和4,2022,133321,66487,66834,133254,66487,66767,132127,65632,66495,23082,23042,21423,21719,21127,21734,1127,855,272,296,95,273,89,286,88,－,－,－,67,－,－,212
私立,2,千代田区,令和4,2022,9276,2240,7036,9276,2240,7036,9276,2240,7036,724,2194,683,2347,833,2495,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7
私立,2,中央区,令和4,2022,427,211,216,427,211,216,427,211,216,65,85,78,58,68,73,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,港区,令和4,2022,9852,4653,5199,9852,4653,5199,9852,4653,5199,1594,1794,1528,1714,1531,1691,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,34
私立,2,新宿区,令和4,2022,4898,3793,1105,4898,3793,1105,4898,3793,1105,1322,411,1225,351,1246,343,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7
私立,2,文京区,令和4,2022,11228,5798,5430,11228,5798,5430,10737,5557,5180,1876,1849,1828,1619,1853,1712,491,241,250,75,87,88,82,78,81,－,－,－,－,－,－,9
私立,2,台東区,令和4,2022,1707,1197,510,1707,1197,510,1707,1197,510,429,160,324,162,444,188,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,墨田区,令和4,2022,2456,1459,997,2456,1459,997,2456,1459,997,521,356,520,340,418,301,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,江東区,令和4,2022,1919,1288,631,1919,1288,631,1919,1288,631,435,210,428,216,425,205,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3
私立,2,品川区,令和4,2022,7186,2944,4242,7186,2944,4242,7186,2944,4242,912,1473,1208,1643,824,1126,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,8
私立,2,目黒区,令和4,2022,4864,2853,2011,4864,2853,2011,4864,2853,2011,1062,777,924,623,867,611,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大田区,令和4,2022,4669,3193,1476,4669,3193,1476,4669,3193,1476,1193,522,970,407,1030,547,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,世田谷区,令和4,2022,17870,8430,9440,17870,8430,9440,17256,7835,9421,2656,3246,2598,2984,2581,3191,614,595,19,220,8,176,5,199,6,－,－,－,－,－,－,17
私立,2,渋谷区,令和4,2022,6434,2139,4295,6434,2139,4295,6434,2139,4295,753,1482,673,1434,713,1379,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,45
私立,2,中野区,令和4,2022,5752,3413,2339,5752,3413,2339,5752,3413,2339,1241,847,1093,773,1079,719,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,10
私立,2,杉並区,令和4,2022,10872,4933,5939,10872,4933,5939,10872,4933,5939,1762,1965,1581,1931,1590,2043,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,19
私立,2,豊島区,令和4,2022,9604,5493,4111,9604,5493,4111,9604,5493,4111,1983,1459,1788,1366,1722,1286,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,13
私立,2,北区,令和4,2022,7431,3603,3828,7431,3603,3828,7409,3584,3825,1392,1488,1166,1224,1026,1113,22,19,3,1,－,9,2,9,1,－,－,－,－,－,－,11
私立,2,荒川区,令和4,2022,1400,1197,203,1400,1197,203,1400,1197,203,400,43,403,75,394,85,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,5
私立,2,板橋区,令和4,2022,5945,2778,3167,5945,2778,3167,5945,2778,3167,982,1033,868,1040,928,1094,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3
私立,2,練馬区,令和4,2022,2997,1983,1014,2997,1983,1014,2997,1983,1014,667,357,657,332,659,325,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,19
私立,2,足立区,令和4,2022,1400,819,581,1400,819,581,1400,819,581,276,200,262,157,281,224,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,葛飾区,令和4,2022,1659,995,664,1659,995,664,1659,995,664,407,254,320,214,268,196,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,江戸川区,令和4,2022,3475,1075,2400,3408,1075,2333,3408,1075,2333,430,837,298,709,347,787,－,－,－,－,－,－,－,－,－,－,－,－,67,－,－,2
私立,1,市部,令和4,2022,38688,17566,21122,38688,17566,21122,38688,17566,21122,5950,7314,5877,6867,5739,6941,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,190
私立,2,八王子市,令和4,2022,7197,3567,3630,7197,3567,3630,7197,3567,3630,1167,1235,1147,1146,1253,1249,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6
私立,2,立川市,令和4,2022,2228,1069,1159,2228,1069,1159,2228,1069,1159,387,387,359,383,323,389,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,武蔵野市,令和4,2022,2704,870,1834,2704,870,1834,2704,870,1834,307,640,292,610,271,584,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,14
私立,2,三鷹市,令和4,2022,2831,1473,1358,2831,1473,1358,2831,1473,1358,486,506,547,409,440,443,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
私立,2,青梅市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,府中市,令和4,2022,1233,676,557,1233,676,557,1233,676,557,206,195,264,194,206,168,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,昭島市,令和4,2022,348,193,155,348,193,155,348,193,155,52,61,65,50,76,44,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,11
私立,2,調布市,令和4,2022,2047,544,1503,2047,544,1503,2047,544,1503,242,545,149,457,153,501,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,6
私立,2,町田市,令和4,2022,4238,1891,2347,4238,1891,2347,4238,1891,2347,592,769,648,811,651,767,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7
私立,2,小金井市,令和4,2022,2660,1347,1313,2660,1347,1313,2660,1347,1313,455,435,441,442,451,436,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,134
私立,2,小平市,令和4,2022,3375,1221,2154,3375,1221,2154,3375,1221,2154,422,743,408,724,391,687,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,日野市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東村山市,令和4,2022,1855,734,1121,1855,734,1121,1855,734,1121,293,372,227,398,214,351,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,国分寺市,令和4,2022,1139,731,408,1139,731,408,1139,731,408,216,137,259,133,256,138,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,7
私立,2,国立市,令和4,2022,1379,1023,356,1379,1023,356,1379,1023,356,343,122,332,113,348,121,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,1
私立,2,福生市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,狛江市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東大和市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,清瀬市,令和4,2022,101,48,53,101,48,53,101,48,53,24,19,14,22,10,12,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,東久留米市,令和4,2022,231,116,115,231,116,115,231,116,115,39,44,39,34,38,37,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,3
私立,2,武蔵村山市,令和4,2022,1467,714,753,1467,714,753,1467,714,753,259,300,280,245,175,208,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,多摩市,令和4,2022,763,174,589,763,174,589,763,174,589,68,195,52,198,54,196,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,稲城市,令和4,2022,493,－,493,493,－,493,493,－,493,－,194,－,159,－,140,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,羽村市,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,あきる野市,令和4,2022,1218,827,391,1218,827,391,1218,827,391,280,132,281,126,266,133,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,西東京市,令和4,2022,1181,348,833,1181,348,833,1181,348,833,112,283,73,213,163,337,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,郡部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,瑞穂町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,日の出町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７－５　高等学校（全日制・定時制）　区市町村、課程、科、学年別生徒数（帰国生徒数再掲）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）専攻科は全日制のみである。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
