種別,地域階層,地域,和暦（年度）,西暦（年度）,在園者数（人）,在園者数／男（人）,在園者数／女（人）,在園者数／３歳児（人）,在園者数／３歳児／男（人）,在園者数／３歳児／女（人）,在園者数／３歳児／本年度入園／平成31年4月2日～令和元年5月1日生まれ（人）,在園者数／３歳児／本年度入園／平成30年4月2日～平成31年4月1日生まれ（人）,在園者数／３歳児／前年度間入園（人）,在園者数／４歳児（人）,在園者数／４歳児／男（人）,在園者数／４歳児／女（人）,在園者数／４歳児／３歳児入園（人）,在園者数／４歳児／４歳児入園（本年度入園）（人）,在園者数／５歳児（人）,在園者数／５歳児／男（人）,在園者数／５歳児／女（人）,在園者数／５歳児／３歳児入園（人）,在園者数／５歳児／４歳児入園（人）,在園者数／５歳児／５歳児入園（本年度入園）（人）,本年度入園者総数(再掲)（人）,修了者数(令和4年3月)（人）,修了者数(令和4年3月)／男（人）,修了者数(令和4年3月)／女（人）
私立,2,青梅市,令和4,2022,398,203,195,114,60,54,4,48,62,137,71,66,118,19,147,72,75,124,16,7,78,142,70,72
私立,2,府中市,令和4,2022,3103,1586,1517,892,474,418,10,738,144,1059,524,535,1015,44,1152,588,564,1079,55,18,810,1277,654,623
私立,2,昭島市,令和4,2022,822,424,398,261,139,122,4,196,61,260,133,127,244,16,301,152,149,270,24,7,223,346,183,163
私立,2,調布市,令和4,2022,2142,1062,1080,612,310,302,11,526,75,716,342,374,676,40,814,410,404,674,124,16,593,839,405,434
私立,2,町田市,令和4,2022,4889,2480,2409,1508,766,742,39,1212,257,1621,829,792,1529,92,1760,885,875,1587,137,36,1379,1950,977,973
私立,2,小金井市,令和4,2022,798,409,389,238,116,122,－,238,－,274,139,135,263,11,286,154,132,249,30,7,256,280,139,141
私立,2,小平市,令和4,2022,2978,1558,1420,944,492,452,10,866,68,954,488,466,919,35,1080,578,502,1010,51,19,930,1147,591,556
私立,2,日野市,令和4,2022,1532,777,755,472,245,227,9,413,50,512,263,249,491,21,548,269,279,516,27,5,448,597,329,268
私立,2,東村山市,令和4,2022,1584,775,809,496,254,242,7,412,77,555,256,299,510,45,533,265,268,487,35,11,475,594,303,291
私立,2,国分寺市,令和4,2022,928,501,427,298,151,147,－,298,－,291,162,129,275,16,339,188,151,312,18,9,323,357,170,187
私立,2,国立市,令和4,2022,847,430,417,237,123,114,1,220,16,293,148,145,276,17,317,159,158,290,19,8,246,321,166,155
私立,2,福生市,令和4,2022,346,193,153,100,57,43,1,62,37,114,66,48,103,11,132,70,62,113,16,3,77,139,63,76
私立,2,狛江市,令和4,2022,792,434,358,244,129,115,－,244,－,267,146,121,252,15,281,159,122,266,13,2,261,287,155,132
私立,2,東大和市,令和4,2022,628,330,298,189,97,92,1,135,53,215,120,95,203,12,224,113,111,212,9,3,151,269,127,142
私立,2,清瀬市,令和4,2022,1305,634,671,389,201,188,19,299,71,436,203,233,413,23,480,230,250,443,27,10,351,491,255,236
私立,2,東久留米市,令和4,2022,1272,642,630,416,201,215,4,395,17,406,207,199,394,12,450,234,216,423,19,8,419,449,229,220
私立,2,武蔵村山市,令和4,2022,782,399,383,244,119,125,－,232,12,274,143,131,262,12,264,137,127,227,25,12,256,257,121,136
私立,2,多摩市,令和4,2022,1444,688,756,401,196,205,6,371,24,503,247,256,480,23,540,245,295,497,37,6,406,604,304,300
私立,2,稲城市,令和4,2022,1588,810,778,507,246,261,15,412,80,538,283,255,518,20,543,281,262,508,27,8,455,588,289,299
私立,2,羽村市,令和4,2022,564,286,278,142,75,67,9,97,36,193,101,92,185,8,229,110,119,204,20,5,119,239,131,108
私立,2,あきる野市,令和4,2022,692,339,353,202,94,108,10,102,90,245,114,131,237,8,245,131,114,226,15,4,124,247,104,143
私立,2,西東京市,令和4,2022,2553,1289,1264,791,384,407,4,767,20,813,422,391,760,53,949,483,466,837,75,37,861,1015,519,496
私立,1,郡部,令和4,2022,366,192,174,115,62,53,6,67,42,107,54,53,102,5,144,76,68,136,7,1,79,153,90,63
私立,2,瑞穂町,令和4,2022,286,152,134,90,47,43,4,59,27,83,45,38,78,5,113,60,53,106,6,1,69,124,73,51
私立,2,日の出町,令和4,2022,80,40,40,25,15,10,2,8,15,24,9,15,24,－,31,16,15,30,1,－,10,29,17,12
私立,2,檜原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,奥多摩町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,1,島部,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,大島町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,利島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,新島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,神津島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,三宅村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,御蔵島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,八丈町,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,青ヶ島村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
私立,2,小笠原村,令和4,2022,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
２－４　幼稚園　区市町村、入園年齢別在園者数及び修了者数,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
