種別,和暦（年度）,西暦（年度）,学校数（校）,学校数／本校／全日制（校）,学校数／本校／定時制（校）,学校数／本校／併置（校）,学校数／分校（校）,学校数／分校／うち併置校（全日制、定時制の併置）（校）,生徒数（人）,生徒数／男（人）,生徒数／女（人）,教員数（本務者）（人）,教員数（本務者）／男（人）,教員数（本務者）／女（人）,教員数（兼務者）（人）
総数（国・公・私立）,昭和39,1964,421,229,21,159,12,2,550144,291688,258456,17124,13254,3870,6999
総数（国・公・私立）,昭和40,1965,421,220,19,171,11,1,584103,307497,276606,18539,14286,4253,7148
総数（国・公・私立）,昭和41,1966,420,209,18,183,10,1,544525,286714,257811,19015,14606,4409,6587
総数（国・公・私立）,昭和42,1967,421,208,17,186,10,1,502890,263322,239568,18686,14455,4231,6210
総数（国・公・私立）,昭和43,1968,420,213,15,182,10,1,459787,241070,218717,18409,14272,4137,6072
総数（国・公・私立）,昭和44,1969,421,216,14,181,10,1,432527,224884,207643,18281,14220,4061,6328
総数（国・公・私立）,昭和45,1970,417,220,11,178,8,1,420748,218372,202376,18056,14096,3960,6092
総数（国・公・私立）,昭和46,1971,419,216,11,187,5,－,416069,215397,200672,18111,14177,3934,6457
総数（国・公・私立）,昭和47,1972,424,232,11,177,4,－,414443,213791,200652,18421,14441,3980,6726
総数（国・公・私立）,昭和48,1973,425,232,11,180,2,－,415822,213172,202650,18566,14612,3954,7160
総数（国・公・私立）,昭和49,1974,428,234,11,181,2,－,424096,216433,207663,18801,14837,3964,7653
総数（国・公・私立）,昭和50,1975,431,239,11,179,2,－,433889,219392,214497,19236,15121,4115,7480
総数（国・公・私立）,昭和51,1976,435,246,10,177,2,－,437894,219836,218058,19762,15509,4253,7417
総数（国・公・私立）,昭和52,1977,442,260,10,170,2,－,440956,220419,220537,20186,15784,4402,7411
総数（国・公・私立）,昭和53,1978,450,272,10,166,2,－,449258,224363,224895,20477,15981,4496,7680
総数（国・公・私立）,昭和54,1979,452,276,9,165,2,－,461659,230139,231520,20786,16179,4607,7975
総数（国・公・私立）,昭和55,1980,456,284,8,162,2,－,477208,236356,240852,21283,16518,4765,8277
総数（国・公・私立）,昭和56,1981,457,286,7,162,2,－,487200,239289,247911,21694,16807,4887,8411
総数（国・公・私立）,昭和57,1982,457,287,7,161,2,－,483107,237143,245964,21770,16837,4933,8466
総数（国・公・私立）,昭和58,1983,461,291,7,161,2,－,494795,242517,252278,21996,16979,5017,8653
総数（国・公・私立）,昭和59,1984,464,303,7,152,2,－,506974,248701,258273,22283,17136,5147,8955
総数（国・公・私立）,昭和60,1985,465,307,7,148,3,－,526908,257096,269812,22617,17329,5288,9340
総数（国・公・私立）,昭和61,1986,466,309,7,146,4,1,529703,258243,271460,22745,17382,5363,9572
総数（国・公・私立）,昭和62,1987,466,309,7,146,4,1,533296,259384,273912,22969,17518,5451,9676
総数（国・公・私立）,昭和63,1988,467,311,7,145,4,1,542096,263502,278594,23325,17679,5646,10138
総数（国・公・私立）,平成元,1989,468,313,7,144,4,1,543166,263303,279863,23346,17656,5690,10407
総数（国・公・私立）,平成2,1990,467,312,7,144,4,1,529675,255952,273723,23324,17652,5672,10491
総数（国・公・私立）,平成3,1991,468,314,8,142,4,1,503166,242780,260386,23093,17378,5715,10694
総数（国・公・私立）,平成4,1992,467,313,8,142,4,1,471240,227512,243728,22774,17097,5677,10629
総数（国・公・私立）,平成5,1993,467,312,8,143,4,1,446829,215814,231015,22407,16711,5696,10467
総数（国・公・私立）,平成6,1994,465,311,7,144,3,－,430094,207495,222599,22103,16382,5721,10584
総数（国・公・私立）,平成7,1995,464,318,7,136,3,－,417137,200973,216164,21758,16029,5729,10498
総数（国・公・私立）,平成8,1996,462,327,6,126,3,－,398466,192265,206201,21434,15694,5740,10773
総数（国・公・私立）,平成9,1997,458,326,6,123,3,－,381497,184378,197119,20944,15312,5632,10624
総数（国・公・私立）,平成10,1998,458,330,6,119,3,－,369403,179659,189744,20598,14961,5637,10282
総数（国・公・私立）,平成11,1999,458,330,6,119,3,－,364531,178046,186485,20425,14769,5656,10586
総数（国・公・私立）,平成12,2000,458,329,7,119,3,－,358824,176209,182615,20205,14536,5669,10284
総数（国・公・私立）,平成13,2001,457,329,11,115,2,－,349813,172009,177804,20006,14370,5636,10136
総数（国・公・私立）,平成14,2002,456,330,11,113,2,－,338051,166691,171360,19708,14073,5635,10178
総数（国・公・私立）,平成15,2003,452,334,10,107,1,－,329659,163052,166607,19445,13840,5605,10286
総数（国・公・私立）,平成16,2004,445,328,10,107,－,－,325178,161049,164129,19291,13680,5611,9937
総数（国・公・私立）,平成17,2005,448,330,12,106,－,－,318279,157722,160557,19164,13551,5613,10115
総数（国・公・私立）,平成18,2006,451,334,16,99,2,－,311592,154859,156733,18889,13314,5575,10213
総数（国・公・私立）,平成19,2007,450,334,23,91,2,－,306810,151915,154895,18622,13065,5557,10294
総数（国・公・私立）,平成20,2008,447,344,25,78,2,－,306508,151763,154745,18513,12913,5600,10313
総数（国・公・私立）,平成21,2009,438,345,21,72,1,－,308253,152467,155786,18569,12887,5682,10472
総数（国・公・私立）,平成22,2010,435,359,15,61,1,－,313183,154385,158798,18672,12838,5834,10706
総数（国・公・私立）,平成23,2011,434,358,15,61,1,－,313779,154369,159410,18750,12812,5938,10761
総数（国・公・私立）,平成24,2012,432,356,15,61,－,－,315262,154865,160397,18951,12832,6119,10783
総数（国・公・私立）,平成25,2013,431,355,15,61,－,－,312593,153505,159088,19009,12760,6249,10848
総数（国・公・私立）,平成26,2014,431,356,15,60,－,－,315967,154850,161117,19059,12769,6290,10933
総数（国・公・私立）,平成27,2015,429,353,15,61,－,－,316839,155840,160999,19242,12832,6410,10748
総数（国・公・私立）,平成28,2016,429,353,15,61,－,－,318366,156244,162122,19259,12792,6467,10829
総数（国・公・私立）,平成29,2017,429,354,15,60,－,－,316832,155571,161261,19339,12818,6521,10640
総数（国・公・私立）,平成30,2018,429,355,15,59,－,－,314305,154529,159776,19333,12760,6573,10651
総数（国・公・私立）,令和元,2019,429,355,15,59,－,－,310285,153300,156985,19265,12711,6554,10632
総数（国・公・私立）,令和2,2020,428,354,15,59,－,－,306229,151322,154907,19254,12705,6549,10659
総数（国・公・私立）,令和3,2021,429,356,15,58,－,－,301648,149093,152555,19238,12626,6612,10655
総数（国・公・私立）,令和4,2022,429,357,16,56,－,－,299883,148652,151231,19096,12437,6659,10550
,,,,,,,,,,,,,,,
令和４年度　学校基本統計（学校基本調査報告書）,,,,,,,,,,,,,,,
付表Ⅰ　学校数等の推移　１－６学校数等の推移（高等学校(全日制・定時制））,,,,,,,,,,,,,,,
注）生徒数は本科のみである。,,,,,,,,,,,,,,,
