 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,839",802,"15,640","6,207",373,802,"2,409","6,070","1,466",-,"13,231",137
,49.7%,103.0%,34.8%,43.6%,67.1%,103.0%,29.2%,42.7%,46.6%,-,36.1%,4566.7%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"122,600","21,121","1,184,817","240,820","34,343","20,833","324,244","238,879","88,257",288,"860,573","1,941"
,94.2%,89.5%,103.1%,121.1%,96.2%,88.7%,100.4%,121.8%,93.5%,228.6%,104.2%,73.4%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"10,713","3,791","105,265","46,542","2,381","3,711","29,200","45,870","8,332",80,"76,065",672
,85.5%,72.0%,90.4%,102.9%,66.7%,71.9%,86.9%,104.2%,93.0%,80.0%,91.8%,55.3%
中国(香港含む),"79,257","48,705","733,978","488,545","15,042","48,669","127,589","487,436","64,215",36,"606,389","1,109"
,107.6%,99.9%,96.1%,103.0%,115.6%,100.3%,88.0%,103.2%,105.8%,18.1%,98.0%,62.2%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"23,258","20,586","229,503","178,028","11,154","19,132","108,359","159,941","12,104","1,454","121,144","18,087"
,98.4%,88.2%,98.2%,81.1%,96.8%,88.3%,86.6%,79.4%,100.0%,86.8%,111.6%,100.1%
内航定期計,"19,428","4,720","185,836","44,018","8,894","3,274","86,353","26,325","10,534","1,446","99,483","17,693"
,99.3%,105.4%,105.6%,100.3%,90.6%,115.9%,96.6%,96.2%,108.0%,87.5%,115.0%,107.2%
北海道,"7,132",597,"65,541","3,530","3,749",491,"33,675","3,250","3,383",106,"31,866",280
,107.0%,187.7%,112.4%,159.8%,108.2%,355.8%,110.3%,322.1%,105.7%,58.9%,114.7%,23.3%
東北,"2,847",983,"32,587","9,085","1,342",981,"14,933","8,536","1,505",2,"17,654",549
,80.8%,95.3%,86.6%,85.4%,73.2%,105.7%,82.0%,91.0%,89.1%,1.9%,91.0%,43.5%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,3.2%,27.3%,-,-,-,60.3%,-,-,16.5%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"2,490","1,411","22,328","10,186",269,"1,411","3,483","10,003","2,221",-,"18,845",183
,138.6%,85.6%,136.8%,83.5%,68.8%,91.0%,80.8%,88.5%,158.1%,-,156.9%,20.5%
近畿,712,388,"9,985","4,075",107,388,877,"3,948",605,-,"9,108",127
,78.2%,277.1%,129.9%,76.7%,356.7%,277.1%,139.9%,78.7%,68.7%,-,129.1%,43.1%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"3,050",96,"25,937",809,"1,080",3,"10,698",409,"1,970",93,"15,239",400
,96.3%,58.9%,103.0%,70.3%,80.7%,4.9%,92.7%,94.7%,107.7%,91.2%,111.7%,55.6%
沖縄,"3,197","1,245","29,107","16,193","2,347",-,"22,465",39,850,"1,245","6,642","16,154"
,96.2%,106.6%,98.9%,136.6%,90.8%,-,97.2%,-,115.0%,106.6%,104.9%,136.3%
内航不定期,"3,830","15,866","43,667","134,010","2,260","15,858","22,006","133,616","1,570",8,"21,661",394
,94.3%,84.1%,75.6%,76.3%,132.2%,84.2%,61.6%,76.8%,66.7%,33.3%,98.2%,25.1%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
