"施設種別","地区","保育園名","0歳","1歳","2歳","3歳","4歳","5歳"
"認可保育園","赤坂","青山保育園","23","37","-","非公開","-","-"
"認可保育園","赤坂","赤坂ちとせ保育園","40","40","40","-","-","-"
"認可保育園","赤坂","太陽の子赤坂保育園","37","非公開","非公開","-","-","-"
"認可保育園","赤坂","アイグラン保育園青山一丁目","非公開","22以下","-","-","-","-"
"認可保育園","赤坂","太陽の子南青山保育園","非公開","36","-","-","-","-"
"認可保育園","赤坂","小学館アカデミー南青山保育園","非公開","22以下","-","-","-","-"
"認可保育園","赤坂","赤坂山王保育園","38","22以下","-","非公開","-","-"
"認可保育園","赤坂","赤坂クレア保育園","非公開","-","非公開","-","-","-"
"認可保育園","赤坂","おはよう保育園ののあおやま","非公開","非公開","-","-","-","-"
"認可保育園","高輪","伊皿子坂保育園","22以下","40","非公開","40","-","-"
"認可保育園","高輪","高輪保育園","22以下","40","35","-","-","-"
"認可保育園","高輪","白金保育園","40","40","-","非公開","-","-"
"認可保育園","高輪","神応保育園","40","31","-","22以下","40","-"
"認可保育園","高輪","太陽の子三田五丁目保育園","非公開","-","非公開","-","-","-"
"認可保育園","高輪","みなと保育園","非公開","40","22以下","-","-","-"
"認可保育園","高輪","愛星保育園","34","40","22以下","-","-","-"
"認可保育園","高輪","ゆらりん高輪保育園","29","40","31","38","非公開","-"
"認可保育園","高輪","高輪夢保育園","34","29","-","-","-","-"
"認可保育園","高輪","ゆらりん白金保育園","31","40","非公開","-","非公開","-"
"認可保育園","高輪","みつばち保育園","40","34","37",,,
"認可保育園","高輪","ニチイキッズ白金台保育園","非公開","33","-","-","-","-"
"認可保育園","高輪","高輪さつき保育園","40","40","-","非公開","-","-"
"認可保育園","高輪","えほんのもり白金台保育園","31","非公開","非公開","-","-","-"
"認可保育園","高輪","さくらさくみらい高輪","40","34","-","非公開","-","-"
"認可保育園","高輪","ミアヘルサ保育園ひびき白金高輪",,"22以下","-","非公開","-","非公開"
"認可保育園","高輪","うれしい保育園白金高輪","40","40","37","40","-","非公開"
"認可保育園","高輪","ほっぺるランド高輪二丁目","非公開","22以下","-","-","-","-"
"認可保育園","高輪","アイグラン保育園白金台","22以下","40","-","-","-",
"認可保育園","高輪","スターチャイルド白金高輪ナーサリー","40","40","40",,,
"認可保育園","芝浦港南","しばうら保育園","40","41","非公開","-","非公開","34"
"認可保育園","芝浦港南","しばうら保育園分園","40","40","-","-",,
"認可保育園","芝浦港南","こうなん保育園","40","22以下","非公開","非公開","-","22以下"
"認可保育園","芝浦港南","たかはま保育園","37","41","非公開","非公開","-","-"
"認可保育園","芝浦港南","台場保育園","22以下","32","非公開","非公開","-","-"
"認可保育園","芝浦港南","太陽の子シーバンス保育園","24","37","34","非公開","-","-"
"認可保育園","芝浦港南","太陽の子芝浦一丁目保育園","非公開","40","-","-","-","22以下"
"認可保育園","芝浦港南","アンジェリカ田町保育園","40","40","非公開","非公開","-","非公開"
"認可保育園","芝浦港南","にじのいるか保育園芝浦","22以下","40","-","-","-","-"
"認可保育園","芝浦港南","太陽の子芝浦三丁目保育園","40","40","非公開","非公開","34","41"
"認可保育園","芝浦港南","アスク芝浦4丁目保育園","40","40","28","-","-","-"
"認可保育園","芝浦港南","ゆらりん港南保育園","非公開","28","-","-","-","-"
"認可保育園","芝浦港南","グローバルキッズ港南保育園","34","29","非公開","-","-","非公開"
"認可保育園","芝浦港南","ベネッセ港南保育園","非公開","24","-","-","-","-"
"認可保育園","芝浦港南","ふたばクラブ港南保育園","42","40","-","-","-","-"
"認可保育園","芝浦港南","ゆらりんはぁと保育園","38","40","非公開","22以下","37","-"
"認可保育園","芝浦港南","ゆらりん港南緑水保育園","22以下","40","40","30","非公開","非公開"
"認可保育園","芝浦港南","デイジー保育園芝浦","40","40","-","-","非公開","-"
"認可保育園","芝浦港南","にじいろ保育園海岸三丁目","40","35","非公開","-","-","-"
"認可保育園","芝浦港南","太陽の子芝浦二丁目保育園","38","41","非公開","非公開","-","-"
"認定こども園","芝浦港南","芝浦アイランドこども園","40","41","40","36","28","-"
"港区保育室","芝","芝公園二丁目保育室",,"35","-","-","-","-"
"港区保育室","麻布","南麻布三丁目保育室",,,,,"-","-"
"港区保育室","赤坂","青南保育室","41","37","-","-","-","-"
"港区保育室","赤坂","第二青南保育室","40","38","34","-","-","-"
"港区保育室","高輪","桂坂保育室","非公開","29","非公開","40","-","-"
"港区保育室","高輪","志田町保育室","40","40","40","-","非公開","40"
"港区保育室","高輪","白金三丁目保育室","35","40","-","非公開","-","-"
"港区保育室","芝浦港南","たまち保育室","36","34","-","-","-","-"
"港区保育室","芝浦港南","芝浦橋保育室","40","22以下","-","-","-","-"
"港区保育室","芝浦港南","五色橋保育室","29","非公開","非公開","-","-","-"
"小規模保育事業","芝","こころナーサリー新橋","-","-","-",,,
"小規模保育事業","芝","ふらわぁきっず保育園新橋","-","非公開","-",,,
"小規模保育事業","麻布","デイジー保育園麻布十番","42","非公開","-",,,
"小規模保育事業","麻布","デイジー保育園麻布十番フォレスト","-","-","-",,,
"小規模保育事業","麻布","ここいく保育園西麻布","37","-","-",,,
"小規模保育事業","赤坂","sakura保育園","非公開","27","-",,,
"小規模保育事業","高輪","ふらわぁきっず保育園三田","32","非公開","-",,,
"小規模保育事業","高輪","ちゃいるど・はっぴっぴ!!白金保育園","非公開","40","-",,,
"小規模保育事業","芝浦港南","港南あおぞら保育園","非公開","40","22以下",,,
"小規模保育事業","芝浦港南","にじのそら保育園芝浦","非公開","28","40",,,

"令和5年4月入所1次利用調整における入所者最低指数","Ver202304",,,,,,,
