年次,Year,月次,Month,区分,Classification,総数 Total,北海道 Hokkaido,九州 Kyushu,四国 Shikoku,沖縄 Okinawa,伊豆諸島 Izu islands,伊豆諸島 Izu islands／うち of which／大島 Oshima,伊豆諸島 Izu islands／うち of which／三宅島 Miyakejima,伊豆諸島 Izu islands／うち of which／八丈島 Hachijojima,小笠原 Ogasawara,その他 Others,外国 Overseas
令和元,2019,8,Aug.,乗船者, Boarding passengers,146666,-,3402,-,-,54370,22709,4053,3724,3948,84294,652
令和元,2019,9,Sept.,乗船者, Boarding passengers,99488,-,1526,-,-,28803,14254,2744,2032,2369,64108,2682
令和元,2019,10,Oct.,乗船者, Boarding passengers,63887,-,2093,-,-,16752,10013,2007,971,1921,41883,1238
令和元,2019,11,Nov.,乗船者, Boarding passengers,72654,-,1915,-,-,21147,13150,2911,1280,1582,47112,898
令和元,2019,12,Dec.,乗船者, Boarding passengers,23474,-,2124,-,-,18055,12119,2219,1199,2456,839,-
平成27,2015,,,降船者, Deboarding passengers,779509,-,15445,395,393,239143,136443,27833,9646,25397,487654,11082
平成28,2016,,,降船者, Deboarding passengers,910930,6,15517,-,412,260659,156877,25979,9904,27899,601459,4978
平成29,2017,,,降船者, Deboarding passengers,935732,-,16774,-,-,276626,165727,25117,11477,29393,611595,1344
平成30,2018,,,降船者, Deboarding passengers,908293,273,17624,-,-,263775,157292,23701,9684,30405,571353,24863
平成31･令和元,2019,,,降船者, Deboarding passengers,880199,-,20063,-,-,276992,169774,25147,10244,28962,523262,30920
平成31,2019,1,Jan.,降船者, Deboarding passengers,40561,-,1381,-,-,14671,11940,1435,417,1540,22969,-
平成31,2019,2,Feb.,降船者, Deboarding passengers,37761,-,765,-,-,14656,12753,994,333,1886,20454,-
平成31,2019,3,Mar.,降船者, Deboarding passengers,82629,-,2179,-,-,23489,18727,1882,1038,3266,52321,1374
平成31,2019,4,Apr.,降船者, Deboarding passengers,67830,-,2287,-,-,18441,11616,1849,740,2115,37832,7155
令和元,2019,5,May,降船者, Deboarding passengers,91768,-,1649,-,-,30687,15322,3072,2137,2584,46814,10034
令和元,2019,6,June,降船者, Deboarding passengers,70386,-,1165,-,-,16830,10491,1943,383,1837,44171,6383
令和元,2019,7,July,降船者, Deboarding passengers,96132,-,1306,-,-,29914,14623,2527,781,3610,61302,-
令和元,2019,8,Aug.,降船者, Deboarding passengers,143593,-,2858,-,-,51245,23364,3412,2124,4564,84294,632
令和元,2019,9,Sept.,降船者, Deboarding passengers,100099,-,1755,-,-,29096,15774,2245,1073,2393,64108,2747
令和元,2019,10,Oct.,降船者, Deboarding passengers,61144,-,1660,-,-,14861,10076,1612,321,1397,41885,1341
令和元,2019,11,Nov.,降船者, Deboarding passengers,69591,-,1882,-,-,17884,12765,2476,530,1825,47112,888
令和元,2019,12,Dec.,降船者, Deboarding passengers,18705,-,1176,-,-,15218,12323,1700,367,1945,-,366
,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-20　航路別乗降船人員 (平成27～平成31･令和元年)（東京港） 4-20 NUMBER OF PASSENGERS BY VESSEL ROUTE ( 2015-2019 )( Port of Tokyo ),,,,,,,,,,,,,,,,,
資料：都港湾局港湾経営部振興課「東京港港勢」 Source: Bureau of Port and Harbor， TMG,,,,,,,,,,,,,,,,,
