品目階層,品目,Item,平成29年 2017／数量 Quantity,平成29年 2017／金額 Value,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value
3,その他,Others,28129,13548657,28514,12423318,29019,11597772
2,香辛つま物類,Spices/garnishes,13000,18678624,12271,18802048,12158,17703035
3,根しょうが,Ginger,4831,3006912,4419,2807415,4366,2780896
3,その他,Others,8169,15671712,7851,15994632,7792,14922139
2,きのこ山菜類,Mushrooms/Wild plants,43207,23632761,41127,23115793,41182,22774580
3,なましいたけ,"""Shiitake"" mushroom， fresh",7452,7653929,7532,7151541,7470,6971346
3,えのきだけ,"""Enokidake"" mushroom",14944,3042586,13895,3043341,14192,2932357
3,しめじ,"""Shimeji"" mushroom",9928,4137826,8848,3879825,8732,3778928
3,その他,Others,10883,8798421,10852,9041086,10789,9091950
2,その他野菜類,Others,5090,3468031,5960,3320743,4543,3232399
3,うめ,"""Ume"" apricot",1934,1086515,2277,1011794,1806,1047266
3,その他,Others,3155,2381516,3683,2308949,2737,2185134
2,野菜加工品,Processed vegetables,25356,5521736,26020,5365081,27100,5479339
1,果実,Fruits,443165,180635919,411839,180112020,413053,178146145
2,みかん類,Mandarins,99023,30588697,93298,29946065,93890,28526571
2,かんきつ類,Citrus varieties,55335,17421700,50770,16606226,53734,16951371
3,いよかん,"""Iyo""tangor",5774,1289289,5511,1403790,5583,1315327
3,グレープ,Grapefruit,4495,823005,4183,800229,3901,699152
3,その他,Others,45066,15309406,41075,14402207,44249,14936891
2,りんご類,Apples,68142,19758220,58404,19224100,61485,19222716
2,日本なし類,Japanese pears,24533,7435597,23737,7501620,21939,7724051
2,西洋なし類,European pears,3011,1026466,2629,939820,2955,987871
2,かき類,Japanese persimmons,22938,5857849,20395,5715382,20641,5779774
2,びわ類,Loquats,483,686116,320,539981,458,683853
2,もも類,Peaches,15101,8306097,13749,8386952,12971,8038508
2,すもも類,Plums,2775,1737377,3412,1990658,2643,1699216
2,おうとう類,Cherries,2178,3848306,1916,3707771,1431,3284372
2,あんず類,Apricots,76,51495,114,67873,109,70853
2,ぶどう類,Grapes,14649,15467449,13984,16488901,14072,17388216
2,くり類,Chestnuts,934,703853,1143,658915,784,575397
2,いちぢく類,Figs,1185,1007760,1000,925889,929,888452
2,いちご類,Strawberries,24821,32440591,24636,33750628,23946,33453685
2,メロン類,Melons,19286,10356451,18817,9715443,18415,9625712
2,すいか類,Watermelons,42692,9461306,40521,9672720,40278,8951856
2,その他果実,Other fruits,42510,11104449,39690,11186678,39133,11202676
2,果実加工品,Processed fruits,3494,3376138,3304,3086401,3241,3090997
1,つけ物,Pickles,11041,6562786,11212,6414472,11835,5699528
1,その他食料品,Other foods,12749,2884470,11858,2703133,11360,2533430
1,鳥卵,Poultry eggs,11794,3061285,11677,2770782,11288,2642093
,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 10　卸売市場取引 10  WHOLESALE MARKET TRANSACTIONS,,,,,,,,
10-1  品目別農産物の入荷数量 （平成29～平成31･令和元年） 10-1 RECEIVED AGRICULTURAL PRODUCTS BY ITEM（ 2017-2019 ）,,,,,,,,
第10-1～10-4表は， 都中央卸売市場の卸売業者が取扱ったものである。,,,,,,,,
Tables 10-1 through 10-4 show figures for transactions by wholesalers at Tokyo Metropolitan Central Wholesale Market.,,,,,,,,
資料：都中央卸売市場事業部業務課 「東京都中央卸売市場年報」 Source: Tokyo Metropolitan Central Wholesale Market,,,,,,,,
品目階層(0:総数　1:野菜・果実・つけ物・その他食料品・鳥卵　2:農産物種類別　3:品目),,,,,,,,
（単位　数量　トン， 金額　千円） (Quantity in tons， Value in thousands of yen),,,,,,,,
