年次,Year,月次,Month,調布飛行場 Chofu Airport／旅客数 Passengers／乗客 Boarding,調布飛行場 Chofu Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／旅客数 Passengers／乗客 Boarding,大島空港 Oshima Airport／旅客数 Passengers／降客 Deboarding,大島空港 Oshima Airport／貨物 Freight／積荷 Loaded(t),大島空港 Oshima Airport／貨物 Freight／降荷 Unloaded(t),大島空港 Oshima Airport／郵便物 Mail／積荷 Loaded(t),大島空港 Oshima Airport／郵便物 Mail／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／旅客数 Passengers／乗客 Boarding,三宅島空港 Miyakejima Airport／旅客数 Passengers／降客 Deboarding,三宅島空港 Miyakejima Airport／貨物 Freight／積荷 Loaded(t),三宅島空港 Miyakejima Airport／貨物 Freight／降荷 Unloaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／積荷 Loaded(t),三宅島空港 Miyakejima Airport／郵便物 Mail／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／旅客数 Passengers／乗客 Boarding,八丈島空港 Hachijojima Airport／旅客数 Passengers／降客 Deboarding,八丈島空港 Hachijojima Airport／貨物 Freight／積荷 Loaded(t),八丈島空港 Hachijojima Airport／貨物 Freight／降荷 Unloaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／積荷 Loaded(t),八丈島空港 Hachijojima Airport／郵便物 Mail／降荷 Unloaded(t),新島空港 Niijima Airport／旅客数 Passengers／乗客 Boarding,新島空港 Niijima Airport／旅客数 Passengers／降客 Deboarding,新島空港 Niijima Airport／貨物 Freight／積荷 Loaded(t),新島空港 Niijima Airport／貨物 Freight／降荷 Unloaded(t),新島空港 Niijima Airport／郵便物 Mail／積荷 Loaded(t),新島空港 Niijima Airport／郵便物 Mail／降荷 Unloaded(t),神津島空港 Kozushima Airport／旅客数 Passengers／乗客 Boarding,神津島空港 Kozushima Airport／旅客数 Passengers／降客 Deboarding,神津島空港 Kozushima Airport／貨物 Freight／積荷 Loaded(t),神津島空港 Kozushima Airport／貨物 Freight／降荷 Unloaded(t),神津島空港 Kozushima Airport／郵便物 Mail／積荷 Loaded(t),神津島空港 Kozushima Airport／郵便物 Mail／降荷 Unloaded(t)
令和元,2019,8,Aug.,4711,5539,1063,983,79,1070,-,-,1525,1098,21,190,-,-,14389,12683,57407,28999,1330,3938,1715,1501,178,1484,-,-,1236,1129,121,312,-,-
令和元,2019,9,Sept.,3395,4283,662,623,89,1045,-,-,1307,848,6,200,-,-,9730,8150,41779,20323,1364,3455,1402,1150,239,1523,-,-,912,774,100,86,-,-
令和元,2019,10,Oct.,3109,3784,596,585,129,1081,-,-,1119,769,63,213,-,-,7708,7137,36101,24418,1416,4230,1256,1019,271,1379,-,-,813,736,208,63,-,-
令和元,2019,11,Nov.,3455,4366,653,549,89,1068,-,-,1281,822,33,217,-,-,9478,8525,48855,18278,1419,3980,1448,1236,180,1167,-,-,984,848,167,74,-,-
令和元,2019,12,Dec.,3798,4672,685,607,131,1087,-,-,1379,804,14,320,-,-,7368,6969,70944,18921,1690,3967,1533,1395,272,1551,-,-,1075,992,127,104,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（平成31年・令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-23　航空輸送量 (3)  その他の空港 （国内線）（平成27～平成31･令和元年） 4-23 TRANSPORTATION BY ＡIR (3) OTHER AIRPORTS ( DOMESTIC )  ( 2015-2019 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料： 都港湾局離島港湾部管理課 Source: Bureau of  Port and Harbor， TMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：月別貨物郵便物取扱量（kg）） (Unit: Monthly amount of  freight/mail handled in kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
